Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260220C00070000,4/21/2025 12:56 PM,70,96.10,159.80,163.00,0.00,0.00%,-,4,0.00%
AVGO260220C00075000,4/23/2025 9:37 AM,75,106.30,154.75,156.85,0.00,0.00%,-,1,0.00%
AVGO260220C00085000,2025-07-05 12:40:00,85,120.27,162.35,165.05,0.00,0.00%,5,15,65.72%
AVGO260220C00090000,2025-07-05 12:40:00,90,115.77,157.50,161.00,0.00,0.00%,5,1,73.05%
AVGO260220C00095000,5/14/2025 1:18 PM,95,139.80,154.70,157.50,0.00,0.00%,1,1,70.34%
AVGO260220C00100000,5/14/2025 2:39 PM,100,135.00,150.00,152.80,0.00,0.00%,2,30,69.21%
AVGO260220C00105000,4/25/2025 1:38 PM,105,93.15,126.90,128.90,0.00,0.00%,1,3,0.00%
AVGO260220C00110000,2025-09-04 14:28:00,110,82.17,103.10,104.45,0.00,0.00%,3,4,0.00%
AVGO260220C00115000,4/24/2025 11:02 AM,115,77.58,117.95,119.85,0.00,0.00%,20,89,0.00%
AVGO260220C00120000,2025-10-06 10:41:00,120,126.20,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260220C00125000,5/13/2025 10:58 AM,125,111.50,126.80,129.60,0.00,0.00%,1,27,62.99%
AVGO260220C00130000,4/24/2025 11:35 AM,130,65.70,104.80,106.50,0.00,0.00%,3,22,0.00%
AVGO260220C00135000,2025-09-05 14:24:00,135,82.23,116.50,118.75,0.00,0.00%,2,13,54.71%
AVGO260220C00140000,2025-12-06 11:08:00,140,123.10,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260220C00145000,2025-06-06 10:46:00,145,113.28,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00150000,2025-06-06 10:27:00,150,107.72,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00155000,6/17/2025 2:57 PM,155,103.32,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00160000,2025-06-06 13:43:00,160,98.22,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00165000,2025-11-06 13:50:00,165,97.56,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260220C00170000,2025-11-06 10:55:00,170,90.84,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260220C00175000,2025-11-06 15:18:00,175,88.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00180000,6/16/2025 10:59 AM,180,83.39,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260220C00185000,6/17/2025 9:51 AM,185,79.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00190000,6/16/2025 10:58 AM,190,75.70,0.00,0.00,0.00,0.00%,21,0,0.00%
AVGO260220C00195000,2025-12-06 11:28:00,195,75.75,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00200000,6/13/2025 2:41 PM,200,66.80,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260220C00210000,6/13/2025 3:41 PM,210,60.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00220000,6/17/2025 2:57 PM,220,54.80,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00230000,6/17/2025 1:39 PM,230,47.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220C00240000,6/17/2025 3:58 PM,240,42.20,0.00,0.00,0.00,0.00%,22,0,0.00%
AVGO260220C00250000,6/17/2025 3:01 PM,250,38.30,0.00,0.00,0.00,0.00%,71,0,0.10%
AVGO260220C00260000,6/17/2025 3:47 PM,260,33.70,0.00,0.00,0.00,0.00%,40,0,1.56%
AVGO260220C00270000,6/17/2025 3:58 PM,270,28.61,0.00,0.00,0.00,0.00%,40,0,1.56%
AVGO260220C00280000,6/17/2025 3:55 PM,280,25.20,0.00,0.00,0.00,0.00%,16,0,3.13%
AVGO260220C00290000,6/17/2025 3:45 PM,290,22.50,0.00,0.00,0.00,0.00%,84,0,3.13%
AVGO260220C00300000,6/17/2025 3:46 PM,300,19.45,0.00,0.00,0.00,0.00%,37,0,6.25%
AVGO260220C00310000,6/17/2025 3:55 PM,310,16.35,0.00,0.00,0.00,0.00%,13,0,6.25%
AVGO260220C00320000,6/17/2025 3:01 PM,320,14.40,0.00,0.00,0.00,0.00%,29,0,6.25%
AVGO260220C00330000,2025-12-06 14:16:00,330,13.95,0.00,0.00,0.00,0.00%,21,0,6.25%
AVGO260220C00340000,6/17/2025 11:32 AM,340,10.40,0.00,0.00,0.00,0.00%,10,0,6.25%
AVGO260220C00350000,6/17/2025 11:32 AM,350,8.95,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260220C00360000,6/17/2025 11:32 AM,360,7.70,0.00,0.00,0.00,0.00%,10,0,6.25%
AVGO260220C00370000,6/16/2025 3:15 PM,370,7.15,0.00,0.00,0.00,0.00%,34,0,12.50%
AVGO260220C00380000,6/16/2025 2:35 PM,380,6.10,0.00,0.00,0.00,0.00%,6,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260220P00070000,2025-06-06 12:57:00,70,0.31,0.00,0.00,0.00,0.00%,10,0,25.00%
AVGO260220P00075000,6/13/2025 10:28 AM,75,0.44,0.00,0.00,0.00,0.00%,10,0,25.00%
AVGO260220P00080000,5/28/2025 2:38 PM,80,0.73,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO260220P00085000,5/14/2025 2:07 PM,85,0.92,0.59,0.72,0.00,0.00%,10,112,65.43%
AVGO260220P00090000,2025-02-05 09:30:00,90,1.68,0.77,0.97,0.00,0.00%,16,20,65.16%
AVGO260220P00095000,2025-06-06 10:08:00,95,0.75,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO260220P00100000,2025-03-06 10:47:00,100,1.02,0.00,0.00,0.00,0.00%,4,0,25.00%
AVGO260220P00105000,2025-09-06 11:32:00,105,1.07,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO260220P00110000,2025-06-06 11:46:00,110,1.17,0.00,0.00,0.00,0.00%,4,0,25.00%
AVGO260220P00115000,5/21/2025 12:02 PM,115,2.20,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO260220P00120000,2025-10-06 09:39:00,120,1.65,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00125000,6/13/2025 3:15 PM,125,2.02,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00130000,5/14/2025 1:11 PM,130,3.60,2.34,2.41,0.00,0.00%,4,282,53.33%
AVGO260220P00135000,2025-12-06 14:25:00,135,2.35,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO260220P00140000,6/17/2025 12:19 PM,140,2.85,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00145000,6/16/2025 10:57 AM,145,3.22,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00150000,2025-12-06 12:49:00,150,3.37,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00155000,2025-05-06 14:29:00,155,3.85,0.00,0.00,0.00,0.00%,35,0,12.50%
AVGO260220P00160000,6/13/2025 10:43 AM,160,4.78,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00165000,6/17/2025 10:49 AM,165,5.59,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260220P00170000,6/13/2025 10:43 AM,170,6.23,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO260220P00175000,2025-10-06 12:25:00,175,7.25,0.00,0.00,0.00,0.00%,278,0,6.25%
AVGO260220P00180000,6/17/2025 11:52 AM,180,7.95,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260220P00185000,6/17/2025 12:10 PM,185,8.95,0.00,0.00,0.00,0.00%,8,0,6.25%
AVGO260220P00190000,6/17/2025 12:49 PM,190,10.31,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260220P00195000,6/16/2025 10:44 AM,195,11.10,0.00,0.00,0.00,0.00%,11,0,6.25%
AVGO260220P00200000,6/16/2025 9:30 AM,200,12.49,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260220P00210000,6/17/2025 3:47 PM,210,15.55,0.00,0.00,0.00,0.00%,152,0,3.13%
AVGO260220P00220000,6/16/2025 3:39 PM,220,18.24,0.00,0.00,0.00,0.00%,3,0,3.13%
AVGO260220P00230000,6/17/2025 3:46 PM,230,22.69,0.00,0.00,0.00,0.00%,140,0,1.56%
AVGO260220P00240000,6/17/2025 10:59 AM,240,27.36,0.00,0.00,0.00,0.00%,1,0,0.78%
AVGO260220P00250000,6/17/2025 3:46 PM,250,31.67,0.00,0.00,0.00,0.00%,202,0,0.00%
AVGO260220P00260000,6/17/2025 11:39 AM,260,37.20,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260220P00270000,2025-11-06 13:31:00,270,41.30,0.00,0.00,0.00,0.00%,13,0,0.00%
AVGO260220P00280000,2025-12-06 10:25:00,280,46.15,0.00,0.00,0.00,0.00%,9,0,0.00%
AVGO260220P00290000,2025-04-06 14:31:00,290,51.90,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260220P00300000,6/13/2025 12:10 PM,300,61.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260220P00310000,2025-04-06 13:32:00,310,65.75,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO260220P00320000,2025-06-06 11:45:00,320,77.20,0.00,0.00,0.00,0.00%,40,0,0.00%
AVGO260220P00330000,2025-07-04 15:18:00,330,175.75,122.15,123.40,0.00,0.00%,3,0,81.54%
AVGO260220P00340000,2025-02-06 13:10:00,340,97.55,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260220P00350000,2025-03-06 13:40:00,350,101.55,0.00,0.00,0.00,0.00%,15,0,0.00%
AVGO260220P00360000,2025-07-04 12:06:00,360,210.45,151.20,152.70,0.00,0.00%,-,0,88.21%
AVGO260220P00370000,2025-07-04 15:18:00,370,215.90,161.05,163.80,0.00,0.00%,-,0,91.11%
