Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO270115C00070000,2025-11-06 14:23:00,70,184.40,0.00,0.00,0.00,0.00%,78,0,0.00%
AVGO270115C00075000,2025-05-06 13:14:00,75,191.00,0.00,0.00,0.00,0.00%,25,0,0.00%
AVGO270115C00080000,2025-09-06 10:29:00,80,171.90,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00085000,2025-04-06 10:00:00,85,181.24,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO270115C00090000,2025-11-06 15:47:00,90,167.86,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00095000,2025-03-06 12:48:00,95,167.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00100000,6/13/2025 3:17 PM,100,156.50,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO270115C00105000,2025-11-06 14:43:00,105,154.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00110000,6/16/2025 10:38 AM,110,149.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00115000,2025-11-06 14:53:00,115,147.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00120000,6/13/2025 12:57 PM,120,142.34,0.00,0.00,0.00,0.00%,7,0,0.00%
AVGO270115C00125000,2025-11-06 11:16:00,125,137.98,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00130000,2025-12-06 14:39:00,130,136.14,0.00,0.00,0.00,0.00%,13,0,0.00%
AVGO270115C00135000,2025-12-06 11:23:00,135,133.76,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO270115C00140000,2025-05-06 09:55:00,140,135.59,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00145000,2025-12-06 14:32:00,145,124.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00150000,6/16/2025 11:51 AM,150,120.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00155000,2025-10-06 09:33:00,155,108.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00160000,6/16/2025 10:29 AM,160,110.35,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO270115C00165000,6/13/2025 1:51 PM,165,107.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00170000,6/17/2025 2:35 PM,170,103.20,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO270115C00175000,6/13/2025 1:45 PM,175,100.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00180000,6/13/2025 3:48 PM,180,96.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO270115C00185000,6/17/2025 11:12 AM,185,93.60,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO270115C00190000,6/16/2025 1:20 PM,190,92.80,0.00,0.00,0.00,0.00%,19,0,0.00%
AVGO270115C00195000,6/16/2025 9:44 AM,195,88.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00200000,6/17/2025 11:58 AM,200,84.50,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO270115C00210000,6/17/2025 2:40 PM,210,78.80,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00220000,6/16/2025 10:00 AM,220,74.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00230000,6/17/2025 11:38 AM,230,68.29,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115C00240000,6/17/2025 11:29 AM,240,63.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115C00250000,6/17/2025 3:59 PM,250,58.40,0.00,0.00,0.00,0.00%,49,0,0.05%
AVGO270115C00260000,6/17/2025 3:50 PM,260,55.05,0.00,0.00,0.00,0.00%,10,0,0.78%
AVGO270115C00270000,6/17/2025 3:59 PM,270,50.24,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO270115C00280000,6/17/2025 11:09 AM,280,46.82,0.00,0.00,0.00,0.00%,15,0,1.56%
AVGO270115C00290000,6/17/2025 9:34 AM,290,44.20,0.00,0.00,0.00,0.00%,5,0,3.13%
AVGO270115C00300000,6/17/2025 12:54 PM,300,39.40,0.00,0.00,0.00,0.00%,12,0,3.13%
AVGO270115C00310000,2025-12-06 14:44:00,310,39.75,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO270115C00320000,6/16/2025 11:12 AM,320,36.40,0.00,0.00,0.00,0.00%,11,0,3.13%
AVGO270115C00330000,6/17/2025 11:09 AM,330,31.82,0.00,0.00,0.00,0.00%,14,0,3.13%
AVGO270115C00340000,6/16/2025 3:40 PM,340,30.57,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO270115C00350000,6/16/2025 1:22 PM,350,28.64,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270115C00360000,6/17/2025 10:24 AM,360,25.75,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270115C00370000,6/17/2025 2:44 PM,370,23.40,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO270115C00380000,6/17/2025 2:40 PM,380,21.68,0.00,0.00,0.00,0.00%,4,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO270115P00070000,6/17/2025 2:21 PM,70,1.56,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO270115P00075000,6/13/2025 2:37 PM,75,1.85,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO270115P00080000,2025-10-06 10:43:00,80,2.04,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00085000,2025-12-06 15:43:00,85,2.29,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00090000,6/16/2025 1:07 PM,90,2.61,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO270115P00095000,2025-09-06 11:23:00,95,3.06,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO270115P00100000,6/16/2025 2:05 PM,100,3.35,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00105000,2025-09-06 10:23:00,105,3.92,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270115P00110000,2025-06-06 14:00:00,110,4.41,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00115000,2025-12-06 15:40:00,115,4.90,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO270115P00120000,6/17/2025 11:03 AM,120,5.60,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO270115P00125000,6/17/2025 10:25 AM,125,6.18,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00130000,6/17/2025 10:10 AM,130,6.80,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270115P00135000,2025-10-06 12:08:00,135,8.03,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO270115P00140000,6/17/2025 9:32 AM,140,8.61,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270115P00145000,6/17/2025 10:25 AM,145,9.55,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270115P00150000,6/17/2025 10:25 AM,150,10.60,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270115P00155000,6/13/2025 10:58 AM,155,11.68,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO270115P00160000,2025-11-06 12:21:00,160,12.80,0.00,0.00,0.00,0.00%,101,0,6.25%
AVGO270115P00165000,6/17/2025 11:11 AM,165,14.11,0.00,0.00,0.00,0.00%,14,0,6.25%
AVGO270115P00170000,6/16/2025 2:30 PM,170,15.06,0.00,0.00,0.00,0.00%,41,0,6.25%
AVGO270115P00175000,6/16/2025 2:01 PM,175,16.35,0.00,0.00,0.00,0.00%,20,0,6.25%
AVGO270115P00180000,6/17/2025 1:56 PM,180,18.64,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO270115P00185000,2025-12-06 15:38:00,185,19.30,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO270115P00190000,6/13/2025 1:04 PM,190,21.23,0.00,0.00,0.00,0.00%,7,0,3.13%
AVGO270115P00195000,2025-12-06 12:55:00,195,22.54,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270115P00200000,6/17/2025 3:52 PM,200,25.20,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270115P00210000,2025-10-06 11:58:00,210,29.95,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO270115P00220000,6/16/2025 2:30 PM,220,32.04,0.00,0.00,0.00,0.00%,2,0,1.56%
AVGO270115P00230000,6/17/2025 3:29 PM,230,37.02,0.00,0.00,0.00,0.00%,2,0,1.56%
AVGO270115P00240000,6/16/2025 11:15 AM,240,40.80,0.00,0.00,0.00,0.00%,1,0,0.78%
AVGO270115P00250000,6/17/2025 3:29 PM,250,46.74,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115P00260000,6/17/2025 2:40 PM,260,52.45,0.00,0.00,0.00,0.00%,30,0,0.00%
AVGO270115P00270000,6/16/2025 12:20 PM,270,56.53,0.00,0.00,0.00,0.00%,390,0,0.00%
AVGO270115P00280000,6/17/2025 11:46 AM,280,63.95,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115P00290000,2025-06-06 14:01:00,290,70.90,0.00,0.00,0.00,0.00%,29,0,0.00%
AVGO270115P00300000,2025-06-06 15:10:00,300,78.75,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO270115P00310000,5/21/2025 12:04 PM,310,93.27,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115P00320000,6/13/2025 10:24 AM,320,90.65,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270115P00330000,2025-07-04 15:27:00,330,176.80,127.25,128.95,0.00,0.00%,2,0,57.74%
AVGO270115P00340000,2025-07-04 15:22:00,340,184.85,136.05,137.35,0.00,0.00%,-,1,58.39%
AVGO270115P00350000,6/13/2025 2:36 PM,350,114.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115P00360000,2025-03-06 10:38:00,360,120.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270115P00370000,6/16/2025 11:09 AM,370,126.40,0.00,0.00,0.00,0.00%,15,0,0.00%
AVGO270115P00380000,6/16/2025 2:02 PM,380,135.00,0.00,0.00,0.00,0.00%,30,0,0.00%
