Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250725C00150000,2025-12-06 10:46:00,150,108.01,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO250725C00155000,6/16/2025 9:37 AM,155,97.72,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725C00175000,2025-06-06 15:17:00,175,72.92,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725C00180000,6/13/2025 9:48 AM,180,74.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO250725C00185000,6/17/2025 10:21 AM,185,67.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250725C00190000,2025-06-06 15:50:00,190,58.49,0.00,0.00,0.00,0.00%,12,0,0.00%
AVGO250725C00195000,6/16/2025 12:41 PM,195,59.32,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725C00200000,6/17/2025 1:50 PM,200,50.10,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO250725C00205000,6/17/2025 3:43 PM,205,48.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250725C00210000,2025-10-06 10:06:00,210,36.50,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO250725C00215000,6/17/2025 11:00 AM,215,37.27,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725C00220000,6/17/2025 3:11 PM,220,34.70,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO250725C00225000,6/17/2025 3:11 PM,225,30.66,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO250725C00230000,6/17/2025 12:26 PM,230,24.37,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO250725C00235000,6/17/2025 1:05 PM,235,20.20,0.00,0.00,0.00,0.00%,26,0,0.00%
AVGO250725C00240000,6/17/2025 1:05 PM,240,16.90,0.00,0.00,0.00,0.00%,27,0,0.00%
AVGO250725C00245000,6/17/2025 1:49 PM,245,14.50,0.00,0.00,0.00,0.00%,39,0,0.00%
AVGO250725C00250000,6/17/2025 3:57 PM,250,12.09,0.00,0.00,0.00,0.00%,139,0,0.20%
AVGO250725C00255000,6/17/2025 3:42 PM,255,10.60,0.00,0.00,0.00,0.00%,49,0,1.56%
AVGO250725C00260000,6/17/2025 3:45 PM,260,8.45,0.00,0.00,0.00,0.00%,61,0,3.13%
AVGO250725C00265000,6/17/2025 3:53 PM,265,6.25,0.00,0.00,0.00,0.00%,21,0,3.13%
AVGO250725C00270000,6/17/2025 3:17 PM,270,5.18,0.00,0.00,0.00,0.00%,29,0,6.25%
AVGO250725C00275000,6/17/2025 3:26 PM,275,4.04,0.00,0.00,0.00,0.00%,19,0,6.25%
AVGO250725C00280000,6/17/2025 3:43 PM,280,3.00,0.00,0.00,0.00,0.00%,5,0,6.25%
AVGO250725C00285000,6/17/2025 3:56 PM,285,2.09,0.00,0.00,0.00,0.00%,14,0,6.25%
AVGO250725C00290000,6/17/2025 3:59 PM,290,1.51,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO250725C00295000,6/17/2025 3:59 PM,295,1.18,0.00,0.00,0.00,0.00%,18,0,12.50%
AVGO250725C00300000,6/17/2025 2:49 PM,300,1.06,0.00,0.00,0.00,0.00%,21,0,12.50%
AVGO250725C00305000,6/17/2025 12:13 PM,305,0.80,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO250725C00310000,6/16/2025 3:27 PM,310,0.79,0.00,0.00,0.00,0.00%,194,0,12.50%
AVGO250725C00315000,6/13/2025 10:01 AM,315,0.80,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO250725C00320000,6/17/2025 12:33 PM,320,0.41,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO250725C00325000,2025-12-06 14:24:00,325,0.64,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO250725C00330000,6/17/2025 12:09 PM,330,0.31,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO250725C00335000,6/13/2025 11:51 AM,335,0.34,0.00,0.00,0.00,0.00%,-,0,25.00%
AVGO250725C00340000,6/16/2025 10:11 AM,340,0.20,0.00,0.00,0.00,0.00%,1,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250725P00145000,6/17/2025 10:54 AM,145,0.11,0.00,0.00,0.00,0.00%,15,0,25.00%
AVGO250725P00155000,6/17/2025 11:08 AM,155,0.16,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO250725P00160000,6/16/2025 12:40 PM,160,0.17,0.00,0.00,0.00,0.00%,9,0,25.00%
AVGO250725P00165000,6/17/2025 11:34 AM,165,0.25,0.00,0.00,0.00,0.00%,7,0,25.00%
AVGO250725P00170000,6/17/2025 2:54 PM,170,0.33,0.00,0.00,0.00,0.00%,7,0,25.00%
AVGO250725P00175000,6/17/2025 2:57 PM,175,0.42,0.00,0.00,0.00,0.00%,7,0,25.00%
AVGO250725P00180000,6/17/2025 1:48 PM,180,0.47,0.00,0.00,0.00,0.00%,13,0,25.00%
AVGO250725P00185000,6/17/2025 12:57 PM,185,0.58,0.00,0.00,0.00,0.00%,5,0,25.00%
AVGO250725P00190000,6/17/2025 9:52 AM,190,0.67,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO250725P00195000,6/17/2025 1:49 PM,195,0.96,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO250725P00200000,6/17/2025 3:05 PM,200,1.14,0.00,0.00,0.00,0.00%,131,0,12.50%
AVGO250725P00205000,6/17/2025 3:59 PM,205,1.57,0.00,0.00,0.00,0.00%,114,0,12.50%
AVGO250725P00210000,6/17/2025 3:49 PM,210,1.80,0.00,0.00,0.00,0.00%,33,0,12.50%
AVGO250725P00215000,6/17/2025 3:56 PM,215,2.41,0.00,0.00,0.00,0.00%,28,0,12.50%
AVGO250725P00220000,6/17/2025 1:50 PM,220,3.20,0.00,0.00,0.00,0.00%,11,0,6.25%
AVGO250725P00225000,6/17/2025 3:02 PM,225,3.65,0.00,0.00,0.00,0.00%,14,0,6.25%
AVGO250725P00230000,6/17/2025 2:44 PM,230,4.92,0.00,0.00,0.00,0.00%,31,0,6.25%
AVGO250725P00235000,6/17/2025 3:44 PM,235,5.80,0.00,0.00,0.00,0.00%,18,0,3.13%
AVGO250725P00240000,6/17/2025 3:40 PM,240,7.30,0.00,0.00,0.00,0.00%,69,0,3.13%
AVGO250725P00245000,6/17/2025 2:07 PM,245,9.97,0.00,0.00,0.00,0.00%,316,0,1.56%
AVGO250725P00250000,6/17/2025 2:07 PM,250,12.22,0.00,0.00,0.00,0.00%,66,0,0.00%
AVGO250725P00255000,6/17/2025 1:29 PM,255,14.90,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725P00260000,6/17/2025 3:14 PM,260,16.65,0.00,0.00,0.00,0.00%,78,0,0.00%
AVGO250725P00265000,2025-10-06 10:52:00,265,27.40,0.00,0.00,0.00,0.00%,7,0,0.00%
AVGO250725P00270000,6/17/2025 9:32 AM,270,23.15,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO250725P00280000,2025-06-06 09:30:00,280,33.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250725P00285000,2025-06-06 09:48:00,285,34.84,0.00,0.00,0.00,0.00%,1,0,0.00%
