Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO270617C00090000,2025-11-06 14:56:00,90,169.30,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO270617C00095000,4/28/2025 9:57 AM,95,106.35,147.25,151.50,0.00,0.00%,-,1,0.00%
AVGO270617C00100000,6/13/2025 2:10 PM,100,159.55,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO270617C00120000,2025-02-06 10:39:00,120,143.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO270617C00125000,2025-08-05 10:48:00,125,99.50,135.75,139.30,0.00,0.00%,-,1,54.47%
AVGO270617C00130000,2025-04-06 13:58:00,130,146.45,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO270617C00135000,2025-03-06 11:17:00,135,138.25,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00140000,2025-06-06 12:23:00,140,128.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00145000,2025-07-05 10:03:00,145,82.95,125.55,130.50,0.00,0.00%,-,2,59.16%
AVGO270617C00150000,2025-06-06 11:20:00,150,123.50,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO270617C00155000,2025-07-05 11:55:00,155,78.65,115.35,116.80,0.00,0.00%,-,1,51.90%
AVGO270617C00160000,5/21/2025 10:48 AM,160,100.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617C00165000,2025-07-05 11:54:00,165,73.25,109.00,110.50,0.00,0.00%,-,3,51.48%
AVGO270617C00170000,2025-11-06 15:59:00,170,111.07,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00175000,2025-06-06 12:53:00,175,105.55,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO270617C00180000,2025-10-06 09:52:00,180,98.65,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO270617C00185000,2025-12-06 10:24:00,185,106.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617C00190000,2025-06-06 10:17:00,190,99.25,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00195000,2025-11-06 12:42:00,195,94.18,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO270617C00200000,2025-12-06 10:13:00,200,96.40,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617C00210000,6/16/2025 2:29 PM,210,88.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00220000,6/16/2025 11:26 AM,220,83.70,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO270617C00230000,2025-12-06 15:29:00,230,79.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO270617C00240000,2025-12-06 10:47:00,240,76.82,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617C00250000,6/16/2025 2:29 PM,250,69.00,0.00,0.00,0.00,0.00%,4,0,0.05%
AVGO270617C00260000,6/17/2025 1:16 PM,260,61.75,0.00,0.00,0.00,0.00%,5,0,0.78%
AVGO270617C00270000,2025-12-06 11:27:00,270,62.86,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO270617C00280000,6/17/2025 2:55 PM,280,55.60,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO270617C00290000,6/13/2025 3:59 PM,290,51.13,0.00,0.00,0.00,0.00%,78,0,3.13%
AVGO270617C00300000,6/17/2025 9:44 AM,300,48.70,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270617C00310000,2025-11-06 09:53:00,310,45.50,0.00,0.00,0.00,0.00%,8,0,3.13%
AVGO270617C00320000,2025-10-06 14:59:00,320,40.45,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270617C00330000,2025-11-06 15:12:00,330,41.50,0.00,0.00,0.00,0.00%,20,0,3.13%
AVGO270617C00340000,6/17/2025 10:34 AM,340,37.50,0.00,0.00,0.00,0.00%,15,0,3.13%
AVGO270617C00350000,6/17/2025 10:25 AM,350,35.50,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617C00380000,6/17/2025 10:30 AM,380,28.75,0.00,0.00,0.00,0.00%,1,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO270617P00090000,6/17/2025 3:58 PM,90,4.05,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO270617P00095000,6/17/2025 3:52 PM,95,4.45,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO270617P00100000,6/13/2025 3:07 PM,100,4.94,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270617P00105000,2025-04-06 15:27:00,105,5.44,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270617P00110000,2025-06-06 15:55:00,110,6.19,0.00,0.00,0.00,0.00%,90,0,12.50%
AVGO270617P00115000,2025-06-06 10:17:00,115,6.87,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270617P00120000,6/17/2025 9:42 AM,120,7.70,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270617P00125000,2025-06-06 15:40:00,125,8.80,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO270617P00130000,2025-04-06 15:20:00,130,9.24,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO270617P00135000,2025-05-06 14:54:00,135,9.85,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00140000,2025-12-06 14:20:00,140,11.05,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00145000,2025-11-06 09:58:00,145,12.50,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00150000,2025-11-06 13:16:00,150,13.25,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO270617P00155000,2025-04-06 14:54:00,155,14.65,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00160000,2025-10-06 11:52:00,160,17.00,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00165000,2025-12-06 15:55:00,165,17.03,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO270617P00170000,2025-11-06 09:51:00,170,19.30,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00175000,6/13/2025 10:03 AM,175,20.70,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00180000,2025-09-06 10:42:00,180,22.98,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO270617P00185000,2025-06-06 11:09:00,185,23.83,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270617P00190000,2025-03-06 15:50:00,190,25.55,0.00,0.00,0.00,0.00%,11,0,3.13%
AVGO270617P00195000,2025-04-06 09:53:00,195,26.31,0.00,0.00,0.00,0.00%,5,0,3.13%
AVGO270617P00200000,6/16/2025 3:15 PM,200,29.15,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO270617P00210000,6/16/2025 9:58 AM,210,33.48,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO270617P00220000,2025-12-06 15:06:00,220,36.92,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO270617P00230000,6/13/2025 10:59 AM,230,42.17,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO270617P00240000,6/16/2025 10:20 AM,240,47.15,0.00,0.00,0.00,0.00%,1,0,0.78%
AVGO270617P00250000,6/16/2025 2:05 PM,250,51.35,0.00,0.00,0.00,0.00%,42,0,0.00%
AVGO270617P00260000,2025-10-06 14:05:00,260,59.95,0.00,0.00,0.00,0.00%,31,0,0.00%
AVGO270617P00270000,2025-09-06 09:54:00,270,65.15,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO270617P00280000,5/13/2025 1:27 PM,280,78.46,69.95,71.65,0.00,0.00%,1,1,37.31%
AVGO270617P00290000,2025-04-06 09:42:00,290,71.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO270617P00300000,2025-06-05 09:38:00,300,113.25,77.15,80.75,0.00,0.00%,-,1,33.69%
AVGO270617P00310000,6/16/2025 12:16 PM,310,86.80,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617P00330000,5/28/2025 2:46 PM,330,110.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO270617P00350000,2025-09-06 12:28:00,350,121.62,0.00,0.00,0.00,0.00%,4,0,0.00%
