Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260320C00070000,2025-01-05 11:47:00,70,129.90,172.80,175.50,0.00,0.00%,-,2,0.00%
AVGO260320C00075000,2025-09-04 11:15:00,75,90.30,134.90,136.75,0.00,0.00%,-,1,0.00%
AVGO260320C00080000,4/29/2025 10:56 AM,80,115.50,162.90,165.30,0.00,0.00%,2,3,0.00%
AVGO260320C00085000,2025-12-06 12:54:00,85,172.55,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO260320C00090000,2025-05-05 09:42:00,90,115.61,0.00,0.00,0.00,0.00%,2,18,0.00%
AVGO260320C00095000,2025-03-06 11:53:00,95,163.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00100000,2025-06-06 10:35:00,100,154.18,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00105000,4/16/2025 1:11 PM,105,76.07,126.65,129.70,0.00,0.00%,1,5,0.00%
AVGO260320C00110000,2025-02-06 09:45:00,110,140.46,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00115000,5/19/2025 3:30 PM,115,120.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00120000,2025-06-06 12:34:00,120,135.65,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO260320C00125000,5/23/2025 10:20 AM,125,111.55,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00130000,2025-11-06 15:07:00,130,127.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00135000,5/27/2025 2:02 PM,135,109.01,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260320C00140000,6/13/2025 3:55 PM,140,115.80,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00145000,2025-09-06 09:30:00,145,106.97,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260320C00150000,2025-10-06 14:58:00,150,103.30,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00155000,2025-11-06 15:25:00,155,106.24,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260320C00160000,2025-12-06 12:37:00,160,105.13,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00165000,6/17/2025 2:26 PM,165,95.35,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320C00170000,2025-11-06 12:47:00,170,92.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260320C00175000,6/16/2025 10:04 AM,175,87.29,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00180000,6/16/2025 11:19 AM,180,88.30,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO260320C00185000,6/17/2025 3:36 PM,185,81.75,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO260320C00190000,6/16/2025 10:58 AM,190,77.59,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO260320C00195000,2025-12-06 10:57:00,195,78.80,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320C00200000,6/17/2025 3:58 PM,200,68.95,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260320C00210000,6/16/2025 3:30 PM,210,64.85,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260320C00220000,6/17/2025 2:55 PM,220,57.38,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO260320C00230000,6/17/2025 3:31 PM,230,51.85,0.00,0.00,0.00,0.00%,9,0,0.00%
AVGO260320C00240000,6/17/2025 3:43 PM,240,46.39,0.00,0.00,0.00,0.00%,32,0,0.00%
AVGO260320C00250000,6/17/2025 3:58 PM,250,40.17,0.00,0.00,0.00,0.00%,13,0,0.10%
AVGO260320C00260000,6/17/2025 3:10 PM,260,36.60,0.00,0.00,0.00,0.00%,10,0,0.78%
AVGO260320C00270000,6/17/2025 1:24 PM,270,31.40,0.00,0.00,0.00,0.00%,3,0,1.56%
AVGO260320C00280000,6/17/2025 3:45 PM,280,28.70,0.00,0.00,0.00,0.00%,6,0,3.13%
AVGO260320C00290000,6/17/2025 3:59 PM,290,24.40,0.00,0.00,0.00,0.00%,19,0,3.13%
AVGO260320C00300000,6/17/2025 3:27 PM,300,22.25,0.00,0.00,0.00,0.00%,15,0,3.13%
AVGO260320C00310000,6/17/2025 3:09 PM,310,19.41,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO260320C00320000,6/13/2025 3:55 PM,320,16.50,0.00,0.00,0.00,0.00%,12,0,6.25%
AVGO260320C00330000,6/17/2025 3:41 PM,330,14.75,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO260320C00340000,2025-12-06 13:04:00,340,14.70,0.00,0.00,0.00,0.00%,29,0,6.25%
AVGO260320C00350000,6/17/2025 1:09 PM,350,10.55,0.00,0.00,0.00,0.00%,32,0,6.25%
AVGO260320C00360000,6/17/2025 3:47 PM,360,9.80,0.00,0.00,0.00,0.00%,5,0,6.25%
AVGO260320C00370000,6/16/2025 2:58 PM,370,8.87,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO260320C00380000,6/16/2025 10:01 AM,380,7.55,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260320P00070000,2025-11-06 14:12:00,70,0.43,0.00,0.00,0.00,0.00%,43,0,25.00%
AVGO260320P00075000,4/28/2025 10:21 AM,75,1.33,0.78,0.86,0.00,0.00%,10,4,71.34%
AVGO260320P00080000,2025-02-06 09:43:00,80,0.74,0.00,0.00,0.00,0.00%,25,0,25.00%
AVGO260320P00085000,2025-09-06 13:48:00,85,0.70,0.00,0.00,0.00,0.00%,3,0,25.00%
AVGO260320P00090000,2025-11-06 15:29:00,90,0.82,0.00,0.00,0.00,0.00%,4,0,25.00%
AVGO260320P00095000,2025-04-06 11:25:00,95,0.96,0.00,0.00,0.00,0.00%,91,0,25.00%
AVGO260320P00100000,2025-10-06 09:35:00,100,1.13,0.00,0.00,0.00,0.00%,5,0,25.00%
AVGO260320P00105000,5/19/2025 11:02 AM,105,2.10,0.00,0.00,0.00,0.00%,3,0,25.00%
AVGO260320P00110000,6/17/2025 11:02 AM,110,1.57,0.00,0.00,0.00,0.00%,8,0,25.00%
AVGO260320P00115000,2025-11-06 11:02:00,115,1.60,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO260320P00120000,6/17/2025 3:03 PM,120,2.09,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260320P00125000,6/17/2025 11:02 AM,125,2.34,0.00,0.00,0.00,0.00%,8,0,12.50%
AVGO260320P00130000,2025-09-06 11:08:00,130,2.59,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO260320P00135000,2025-09-06 09:36:00,135,3.30,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260320P00140000,6/13/2025 1:59 PM,140,3.40,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO260320P00145000,6/13/2025 10:16 AM,145,4.00,0.00,0.00,0.00,0.00%,694,0,12.50%
AVGO260320P00150000,6/16/2025 11:05 AM,150,4.35,0.00,0.00,0.00,0.00%,11,0,12.50%
AVGO260320P00155000,6/16/2025 9:30 AM,155,5.10,0.00,0.00,0.00,0.00%,15,0,12.50%
AVGO260320P00160000,6/16/2025 11:01 AM,160,5.65,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO260320P00165000,6/17/2025 2:06 PM,165,6.75,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO260320P00170000,6/16/2025 3:06 PM,170,7.07,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO260320P00175000,6/17/2025 2:20 PM,175,8.40,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260320P00180000,6/17/2025 9:54 AM,180,9.08,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260320P00185000,6/16/2025 3:54 PM,185,10.05,0.00,0.00,0.00,0.00%,37,0,6.25%
AVGO260320P00190000,6/16/2025 3:54 PM,190,11.20,0.00,0.00,0.00,0.00%,50,0,6.25%
AVGO260320P00195000,6/13/2025 3:29 PM,195,13.45,0.00,0.00,0.00,0.00%,13,0,6.25%
AVGO260320P00200000,6/17/2025 1:02 PM,200,14.55,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260320P00210000,6/17/2025 9:47 AM,210,17.32,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO260320P00220000,6/17/2025 3:44 PM,220,20.76,0.00,0.00,0.00,0.00%,19,0,3.13%
AVGO260320P00230000,6/17/2025 3:44 PM,230,24.67,0.00,0.00,0.00,0.00%,776,0,1.56%
AVGO260320P00240000,6/17/2025 1:05 PM,240,29.90,0.00,0.00,0.00,0.00%,10,0,0.78%
AVGO260320P00250000,6/17/2025 3:45 PM,250,33.80,0.00,0.00,0.00,0.00%,252,0,0.00%
AVGO260320P00260000,2025-10-06 15:51:00,260,41.65,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260320P00270000,6/16/2025 3:21 PM,270,43.60,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260320P00280000,2025-06-06 09:43:00,280,50.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320P00290000,2025-03-06 10:40:00,290,57.30,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320P00300000,2025-05-06 09:51:00,300,61.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260320P00310000,2025-04-06 13:57:00,310,67.68,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO260320P00320000,2025-04-06 13:50:00,320,75.10,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO260320P00330000,2025-11-06 10:13:00,330,87.40,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260320P00340000,2025-07-04 15:22:00,340,184.70,132.10,133.45,0.00,0.00%,6,0,79.85%
AVGO260320P00350000,2025-02-06 15:57:00,350,107.55,0.00,0.00,0.00,0.00%,30,0,0.00%
AVGO260320P00360000,2025-07-05 15:50:00,360,156.70,116.00,117.00,0.00,0.00%,1,1,37.65%
AVGO260320P00370000,2025-02-05 15:15:00,370,165.60,129.60,131.25,0.00,0.00%,2,0,46.61%
