Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO251121C00130000,2025-04-06 15:45:00,130,134.16,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO251121C00135000,2025-11-06 15:26:00,135,120.65,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO251121C00145000,2025-10-06 15:01:00,145,104.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO251121C00150000,2025-06-06 09:31:00,150,104.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00160000,6/17/2025 11:24 AM,160,95.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00165000,2025-10-06 12:31:00,165,86.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00170000,6/16/2025 3:21 PM,170,89.09,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00175000,6/17/2025 11:36 AM,175,81.74,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251121C00180000,2025-11-06 12:00:00,180,79.10,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00185000,6/16/2025 1:34 PM,185,76.76,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251121C00190000,6/16/2025 3:26 PM,190,72.04,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251121C00195000,2025-06-06 11:43:00,195,66.60,0.00,0.00,0.00,0.00%,50,0,0.00%
AVGO251121C00200000,6/13/2025 10:21 AM,200,61.68,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00210000,6/17/2025 12:24 PM,210,53.23,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121C00220000,6/17/2025 3:53 PM,220,47.26,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO251121C00230000,6/17/2025 11:07 AM,230,40.45,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251121C00240000,6/16/2025 3:58 PM,240,35.75,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO251121C00250000,6/17/2025 3:58 PM,250,29.25,0.00,0.00,0.00,0.00%,33,0,0.10%
AVGO251121C00260000,6/17/2025 3:49 PM,260,25.48,0.00,0.00,0.00,0.00%,58,0,1.56%
AVGO251121C00270000,6/17/2025 3:49 PM,270,21.24,0.00,0.00,0.00,0.00%,17,0,3.13%
AVGO251121C00280000,6/17/2025 3:44 PM,280,17.80,0.00,0.00,0.00,0.00%,11,0,3.13%
AVGO251121C00290000,6/17/2025 3:45 PM,290,14.75,0.00,0.00,0.00,0.00%,17,0,6.25%
AVGO251121C00300000,6/17/2025 3:55 PM,300,11.75,0.00,0.00,0.00,0.00%,19,0,6.25%
AVGO251121C00310000,6/17/2025 2:04 PM,310,9.50,0.00,0.00,0.00,0.00%,4,0,6.25%
AVGO251121C00320000,6/17/2025 10:07 AM,320,8.30,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO251121C00330000,6/16/2025 3:14 PM,330,7.00,0.00,0.00,0.00,0.00%,11,0,6.25%
AVGO251121C00340000,6/17/2025 11:14 AM,340,5.25,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO251121C00350000,6/17/2025 1:57 PM,350,4.30,0.00,0.00,0.00,0.00%,29,0,12.50%
AVGO251121C00360000,2025-12-06 14:43:00,360,4.35,0.00,0.00,0.00,0.00%,58,0,12.50%
AVGO251121C00370000,2025-11-06 13:33:00,370,3.65,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO251121C00380000,6/16/2025 9:42 AM,380,2.57,0.00,0.00,0.00,0.00%,15,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO251121P00130000,6/13/2025 2:51 PM,130,1.25,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251121P00135000,2025-11-06 09:59:00,135,1.22,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251121P00140000,6/17/2025 12:49 PM,140,1.55,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO251121P00145000,6/13/2025 3:23 PM,145,1.90,0.00,0.00,0.00,0.00%,14,0,12.50%
AVGO251121P00150000,6/16/2025 11:57 AM,150,1.93,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO251121P00155000,6/17/2025 3:57 PM,155,2.46,0.00,0.00,0.00,0.00%,25,0,12.50%
AVGO251121P00160000,6/16/2025 2:58 PM,160,2.56,0.00,0.00,0.00,0.00%,13,0,12.50%
AVGO251121P00165000,6/17/2025 12:21 PM,165,3.13,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO251121P00170000,6/17/2025 12:53 PM,170,3.70,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO251121P00175000,6/16/2025 11:52 AM,175,3.93,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO251121P00180000,6/16/2025 1:28 PM,180,4.47,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO251121P00185000,2025-12-06 14:42:00,185,5.15,0.00,0.00,0.00,0.00%,19,0,12.50%
AVGO251121P00190000,6/13/2025 3:56 PM,190,6.85,0.00,0.00,0.00,0.00%,5,0,6.25%
AVGO251121P00195000,6/17/2025 1:56 PM,195,7.55,0.00,0.00,0.00,0.00%,48,0,6.25%
AVGO251121P00200000,6/17/2025 2:55 PM,200,8.35,0.00,0.00,0.00,0.00%,802,0,6.25%
AVGO251121P00210000,6/17/2025 12:26 PM,210,10.80,0.00,0.00,0.00,0.00%,17,0,6.25%
AVGO251121P00220000,6/17/2025 3:06 PM,220,13.60,0.00,0.00,0.00,0.00%,159,0,3.13%
AVGO251121P00230000,6/17/2025 1:59 PM,230,17.65,0.00,0.00,0.00,0.00%,20,0,3.13%
AVGO251121P00240000,6/17/2025 1:59 PM,240,21.80,0.00,0.00,0.00,0.00%,250,0,1.56%
AVGO251121P00250000,6/17/2025 1:59 PM,250,26.50,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251121P00260000,6/17/2025 10:40 AM,260,31.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251121P00270000,6/16/2025 2:25 PM,270,35.30,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO251121P00280000,2025-11-06 12:13:00,280,42.85,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251121P00290000,2025-05-06 14:20:00,290,45.95,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO251121P00300000,2025-10-06 10:07:00,300,63.50,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251121P00310000,6/16/2025 3:51 PM,310,64.55,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO251121P00320000,2025-06-06 15:30:00,320,77.06,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251121P00330000,2025-06-06 12:22:00,330,83.77,0.00,0.00,0.00,0.00%,2,0,0.00%
