Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO251017C00070000,2025-12-05 09:47:00,70,149.20,179.40,180.50,0.00,0.00%,3,0,106.98%
AVGO251017C00085000,2025-07-04 15:57:00,85,72.85,124.00,125.35,0.00,0.00%,-,4,0.00%
AVGO251017C00090000,2025-12-05 12:43:00,90,129.93,163.10,164.30,0.00,0.00%,2,0,130.01%
AVGO251017C00095000,2025-07-04 15:18:00,95,64.85,114.45,115.80,0.00,0.00%,-,23,0.00%
AVGO251017C00100000,6/16/2025 9:54 AM,100,152.31,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO251017C00105000,2025-09-04 11:51:00,105,62.35,105.05,106.35,0.00,0.00%,14,36,0.00%
AVGO251017C00110000,2025-06-06 12:03:00,110,142.45,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00115000,4/22/2025 1:24 PM,115,59.85,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251017C00120000,2025-11-06 10:31:00,120,131.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00125000,2025-02-05 14:41:00,125,84.90,118.45,120.35,0.00,0.00%,1,113,0.00%
AVGO251017C00130000,2025-10-06 09:44:00,130,116.90,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO251017C00135000,5/15/2025 3:23 PM,135,100.60,115.20,116.50,0.00,0.00%,54,92,65.11%
AVGO251017C00140000,6/17/2025 1:48 PM,140,110.97,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00145000,2025-12-06 15:10:00,145,112.33,0.00,0.00,0.00,0.00%,13,0,0.00%
AVGO251017C00150000,6/16/2025 3:50 PM,150,105.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017C00155000,6/17/2025 12:12 PM,155,97.80,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251017C00160000,6/17/2025 2:26 PM,160,93.20,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00165000,2025-04-06 15:58:00,165,100.42,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017C00170000,6/17/2025 1:17 PM,170,83.09,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251017C00175000,6/17/2025 11:13 AM,175,80.17,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251017C00180000,6/17/2025 10:15 AM,180,78.40,0.00,0.00,0.00,0.00%,15,0,0.00%
AVGO251017C00185000,6/17/2025 9:38 AM,185,72.69,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO251017C00190000,6/16/2025 2:23 PM,190,69.69,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017C00195000,6/16/2025 10:02 AM,195,63.47,0.00,0.00,0.00,0.00%,4,0,0.00%
AVGO251017C00200000,6/16/2025 2:23 PM,200,61.37,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO251017C00210000,6/17/2025 10:08 AM,210,53.05,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO251017C00220000,6/17/2025 1:17 PM,220,42.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00230000,6/17/2025 2:24 PM,230,37.10,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017C00240000,6/17/2025 2:39 PM,240,31.55,0.00,0.00,0.00,0.00%,87,0,0.00%
AVGO251017C00250000,6/17/2025 3:25 PM,250,26.65,0.00,0.00,0.00,0.00%,362,0,0.10%
AVGO251017C00260000,6/17/2025 3:46 PM,260,21.85,0.00,0.00,0.00,0.00%,17,0,1.56%
AVGO251017C00270000,6/17/2025 3:55 PM,270,17.20,0.00,0.00,0.00,0.00%,42,0,3.13%
AVGO251017C00280000,6/17/2025 3:47 PM,280,14.05,0.00,0.00,0.00,0.00%,46,0,3.13%
AVGO251017C00290000,6/17/2025 3:45 PM,290,11.35,0.00,0.00,0.00,0.00%,51,0,6.25%
AVGO251017C00300000,6/17/2025 3:37 PM,300,9.17,0.00,0.00,0.00,0.00%,39,0,6.25%
AVGO251017C00310000,6/17/2025 3:26 PM,310,7.20,0.00,0.00,0.00,0.00%,92,0,6.25%
AVGO251017C00320000,6/17/2025 3:50 PM,320,5.54,0.00,0.00,0.00,0.00%,45,0,6.25%
AVGO251017C00330000,6/17/2025 11:26 AM,330,4.30,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO251017C00340000,6/17/2025 2:06 PM,340,3.35,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO251017C00350000,6/17/2025 12:43 PM,350,2.62,0.00,0.00,0.00,0.00%,21,0,12.50%
AVGO251017C00360000,6/17/2025 3:50 PM,360,2.22,0.00,0.00,0.00,0.00%,65,0,12.50%
AVGO251017C00370000,6/17/2025 1:56 PM,370,1.78,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO251017C00380000,6/16/2025 2:44 PM,380,1.55,0.00,0.00,0.00,0.00%,5,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO251017P00070000,2025-06-06 15:16:00,70,0.08,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO251017P00075000,5/16/2025 2:41 PM,75,0.21,0.08,0.10,0.00,0.00%,1,221,79.88%
AVGO251017P00080000,6/13/2025 3:57 PM,80,0.16,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO251017P00085000,6/13/2025 12:35 PM,85,0.15,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO251017P00090000,2025-11-06 10:32:00,90,0.19,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00095000,2025-12-06 09:30:00,95,0.25,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00100000,6/16/2025 11:22 AM,100,0.26,0.00,0.00,0.00,0.00%,10,0,25.00%
AVGO251017P00105000,2025-09-06 12:54:00,105,0.35,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00110000,2025-06-06 15:06:00,110,0.42,0.00,0.00,0.00,0.00%,8,0,25.00%
AVGO251017P00115000,2025-03-06 09:42:00,115,0.60,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00120000,6/13/2025 3:57 PM,120,0.66,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00125000,6/13/2025 11:10 AM,125,0.71,0.00,0.00,0.00,0.00%,10,0,25.00%
AVGO251017P00130000,6/17/2025 12:19 PM,130,0.78,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00135000,2025-12-06 10:38:00,135,0.85,0.00,0.00,0.00,0.00%,4,0,25.00%
AVGO251017P00140000,6/16/2025 11:01 AM,140,1.07,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO251017P00145000,6/17/2025 12:26 PM,145,1.24,0.00,0.00,0.00,0.00%,3,0,25.00%
AVGO251017P00150000,6/17/2025 1:11 PM,150,1.48,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO251017P00155000,2025-10-06 13:37:00,155,1.69,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO251017P00160000,6/17/2025 12:21 PM,160,1.93,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO251017P00165000,6/16/2025 3:27 PM,165,2.10,0.00,0.00,0.00,0.00%,21,0,12.50%
AVGO251017P00170000,6/17/2025 11:53 AM,170,2.61,0.00,0.00,0.00,0.00%,25,0,12.50%
AVGO251017P00175000,6/16/2025 1:52 PM,175,2.85,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO251017P00180000,6/16/2025 11:10 AM,180,3.30,0.00,0.00,0.00,0.00%,1.396,0,12.50%
AVGO251017P00185000,6/16/2025 3:15 PM,185,3.90,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO251017P00190000,6/17/2025 3:26 PM,190,4.80,0.00,0.00,0.00,0.00%,38,0,12.50%
AVGO251017P00195000,6/17/2025 3:50 PM,195,5.75,0.00,0.00,0.00,0.00%,164,0,6.25%
AVGO251017P00200000,6/17/2025 3:57 PM,200,6.82,0.00,0.00,0.00,0.00%,16,0,6.25%
AVGO251017P00210000,6/17/2025 3:59 PM,210,9.00,0.00,0.00,0.00,0.00%,6,0,6.25%
AVGO251017P00220000,6/17/2025 3:50 PM,220,11.40,0.00,0.00,0.00,0.00%,32,0,6.25%
AVGO251017P00230000,6/17/2025 3:58 PM,230,14.95,0.00,0.00,0.00,0.00%,13,0,3.13%
AVGO251017P00240000,6/17/2025 1:49 PM,240,19.20,0.00,0.00,0.00,0.00%,6,0,1.56%
AVGO251017P00250000,6/17/2025 2:22 PM,250,23.23,0.00,0.00,0.00,0.00%,32,0,0.00%
AVGO251017P00260000,6/17/2025 1:54 PM,260,29.15,0.00,0.00,0.00,0.00%,11,0,0.00%
AVGO251017P00270000,6/17/2025 2:06 PM,270,35.05,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO251017P00280000,6/17/2025 11:35 AM,280,40.90,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017P00290000,2025-10-06 09:47:00,290,51.70,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017P00300000,2025-11-06 15:55:00,300,53.95,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO251017P00310000,6/13/2025 2:36 PM,310,65.05,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO251017P00320000,5/15/2025 3:42 PM,320,90.55,73.90,74.55,0.00,0.00%,12,13,37.92%
AVGO251017P00330000,2025-12-06 15:57:00,330,77.20,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO251017P00340000,1/22/2025 11:02 AM,340,101.20,122.60,123.80,0.00,0.00%,11,12,103.21%
AVGO251017P00350000,12/23/2024 10:49 AM,350,123.55,109.85,111.50,0.00,0.00%,1,3,62.88%
AVGO251017P00360000,2025-07-04 15:22:00,360,204.95,151.20,152.55,0.00,0.00%,30,0,125.61%
AVGO251017P00370000,2025-07-04 13:47:00,370,215.15,159.80,162.60,0.00,0.00%,1,0,127.73%
