Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250919C00070000,2025-02-06 14:37:00,70,180.30,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250919C00075000,4/23/2025 10:00 AM,75,104.25,153.80,154.95,0.00,0.00%,-,0,0.00%
AVGO250919C00080000,2025-02-06 09:30:00,80,164.12,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO250919C00085000,4/23/2025 9:52 AM,85,96.30,144.05,145.35,0.00,0.00%,1,22,0.00%
AVGO250919C00090000,2025-09-06 15:50:00,90,155.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00095000,2025-08-04 11:01:00,95,75.25,114.25,115.50,0.00,0.00%,6,28,0.00%
AVGO250919C00100000,6/17/2025 9:59 AM,100,151.99,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO250919C00105000,6/17/2025 1:13 PM,105,144.40,0.00,0.00,0.00,0.00%,36,0,0.00%
AVGO250919C00110000,6/17/2025 3:24 PM,110,142.38,0.00,0.00,0.00,0.00%,63,0,0.00%
AVGO250919C00115000,6/17/2025 11:28 AM,115,136.15,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO250919C00120000,2025-06-06 15:19:00,120,128.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00125000,2025-05-06 15:47:00,125,137.65,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250919C00130000,2025-10-06 10:21:00,130,114.70,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00135000,2025-10-06 09:44:00,135,111.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00140000,5/14/2025 2:59 PM,140,94.70,110.50,111.10,0.00,0.00%,1,157,69.90%
AVGO250919C00145000,6/16/2025 3:55 PM,145,109.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250919C00150000,6/16/2025 3:04 PM,150,105.25,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO250919C00155000,6/17/2025 9:30 AM,155,98.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00160000,6/16/2025 3:55 PM,160,94.47,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO250919C00165000,6/17/2025 2:34 PM,165,88.06,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00170000,6/17/2025 2:12 PM,170,83.52,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO250919C00175000,6/17/2025 1:51 PM,175,77.05,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO250919C00180000,6/17/2025 1:03 PM,180,72.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250919C00185000,6/17/2025 1:50 PM,185,68.30,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO250919C00190000,6/17/2025 3:36 PM,190,67.05,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO250919C00195000,6/17/2025 12:26 PM,195,60.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919C00200000,6/17/2025 2:44 PM,200,57.35,0.00,0.00,0.00,0.00%,27,0,0.00%
AVGO250919C00210000,6/17/2025 1:20 PM,210,47.52,0.00,0.00,0.00,0.00%,12,0,0.00%
AVGO250919C00220000,6/17/2025 12:41 PM,220,40.30,0.00,0.00,0.00,0.00%,134,0,0.00%
AVGO250919C00230000,6/17/2025 3:57 PM,230,34.06,0.00,0.00,0.00,0.00%,39,0,0.00%
AVGO250919C00240000,6/17/2025 3:52 PM,240,28.72,0.00,0.00,0.00,0.00%,125,0,0.00%
AVGO250919C00250000,6/17/2025 3:58 PM,250,22.55,0.00,0.00,0.00,0.00%,1.208,0,0.20%
AVGO250919C00260000,6/17/2025 3:59 PM,260,17.90,0.00,0.00,0.00,0.00%,189,0,1.56%
AVGO250919C00270000,6/17/2025 3:35 PM,270,15.05,0.00,0.00,0.00,0.00%,323,0,3.13%
AVGO250919C00280000,6/17/2025 3:51 PM,280,11.32,0.00,0.00,0.00,0.00%,240,0,6.25%
AVGO250919C00290000,6/17/2025 3:53 PM,290,8.57,0.00,0.00,0.00,0.00%,29,0,6.25%
AVGO250919C00300000,6/17/2025 3:57 PM,300,6.35,0.00,0.00,0.00,0.00%,384,0,6.25%
AVGO250919C00310000,6/17/2025 3:35 PM,310,5.25,0.00,0.00,0.00,0.00%,27,0,6.25%
AVGO250919C00320000,6/17/2025 3:17 PM,320,3.94,0.00,0.00,0.00,0.00%,7,0,12.50%
AVGO250919C00330000,6/17/2025 3:44 PM,330,2.97,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO250919C00340000,6/17/2025 3:53 PM,340,2.24,0.00,0.00,0.00,0.00%,57,0,12.50%
AVGO250919C00350000,6/17/2025 3:28 PM,350,1.82,0.00,0.00,0.00,0.00%,38,0,12.50%
AVGO250919C00360000,6/17/2025 1:38 PM,360,1.36,0.00,0.00,0.00,0.00%,26,0,12.50%
AVGO250919C00370000,6/17/2025 3:08 PM,370,1.13,0.00,0.00,0.00,0.00%,46,0,12.50%
AVGO250919C00380000,6/17/2025 12:12 PM,380,0.89,0.00,0.00,0.00,0.00%,68,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250919P00070000,6/13/2025 10:40 AM,70,0.06,0.00,0.00,0.00,0.00%,2,0,50.00%
AVGO250919P00075000,6/13/2025 10:46 AM,75,0.08,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO250919P00080000,2025-09-06 11:42:00,80,0.06,0.00,0.00,0.00,0.00%,3,0,50.00%
AVGO250919P00085000,2025-04-06 09:30:00,85,0.10,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO250919P00090000,6/16/2025 1:48 PM,90,0.09,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO250919P00095000,2025-09-06 09:30:00,95,0.11,0.00,0.00,0.00,0.00%,1,0,50.00%
AVGO250919P00100000,2025-09-06 15:58:00,100,0.14,0.00,0.00,0.00,0.00%,10,0,25.00%
AVGO250919P00105000,6/17/2025 11:26 AM,105,0.19,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO250919P00110000,2025-11-06 11:55:00,110,0.23,0.00,0.00,0.00,0.00%,50,0,25.00%
AVGO250919P00115000,6/16/2025 9:39 AM,115,0.28,0.00,0.00,0.00,0.00%,71,0,25.00%
AVGO250919P00120000,6/16/2025 3:52 PM,120,0.32,0.00,0.00,0.00,0.00%,3,0,25.00%
AVGO250919P00125000,6/13/2025 11:46 AM,125,0.44,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO250919P00130000,6/13/2025 11:22 AM,130,0.52,0.00,0.00,0.00,0.00%,7,0,25.00%
AVGO250919P00135000,2025-12-06 13:28:00,135,0.55,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO250919P00140000,6/16/2025 1:58 PM,140,0.64,0.00,0.00,0.00,0.00%,13,0,25.00%
AVGO250919P00145000,6/17/2025 2:28 PM,145,0.86,0.00,0.00,0.00,0.00%,9,0,25.00%
AVGO250919P00150000,6/16/2025 2:14 PM,150,0.89,0.00,0.00,0.00,0.00%,18,0,25.00%
AVGO250919P00155000,6/17/2025 3:29 PM,155,1.15,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO250919P00160000,6/17/2025 3:03 PM,160,1.36,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO250919P00165000,6/17/2025 3:57 PM,165,1.69,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO250919P00170000,6/17/2025 11:45 AM,170,1.82,0.00,0.00,0.00,0.00%,7,0,12.50%
AVGO250919P00175000,6/17/2025 12:33 PM,175,2.20,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO250919P00180000,6/17/2025 3:48 PM,180,2.65,0.00,0.00,0.00,0.00%,2.716,0,12.50%
AVGO250919P00185000,6/17/2025 3:37 PM,185,3.05,0.00,0.00,0.00,0.00%,28,0,12.50%
AVGO250919P00190000,6/17/2025 3:38 PM,190,3.60,0.00,0.00,0.00,0.00%,8,0,12.50%
AVGO250919P00195000,6/17/2025 3:28 PM,195,4.25,0.00,0.00,0.00,0.00%,12,0,12.50%
AVGO250919P00200000,6/17/2025 3:56 PM,200,5.23,0.00,0.00,0.00,0.00%,81,0,12.50%
AVGO250919P00210000,6/17/2025 3:57 PM,210,7.20,0.00,0.00,0.00,0.00%,95,0,6.25%
AVGO250919P00220000,6/17/2025 3:57 PM,220,9.70,0.00,0.00,0.00,0.00%,108,0,6.25%
AVGO250919P00230000,6/17/2025 3:26 PM,230,12.20,0.00,0.00,0.00,0.00%,45,0,3.13%
AVGO250919P00240000,6/17/2025 3:53 PM,240,16.22,0.00,0.00,0.00,0.00%,207,0,1.56%
AVGO250919P00250000,6/17/2025 3:53 PM,250,20.69,0.00,0.00,0.00,0.00%,140,0,0.00%
AVGO250919P00260000,6/17/2025 2:49 PM,260,25.95,0.00,0.00,0.00,0.00%,7,0,0.00%
AVGO250919P00270000,6/17/2025 2:00 PM,270,33.10,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250919P00280000,6/17/2025 1:20 PM,280,39.75,0.00,0.00,0.00,0.00%,13,0,0.00%
AVGO250919P00290000,6/17/2025 1:20 PM,290,47.32,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO250919P00300000,6/16/2025 12:18 PM,300,51.00,0.00,0.00,0.00,0.00%,63,0,0.00%
AVGO250919P00310000,2025-12-06 15:57:00,310,58.55,0.00,0.00,0.00,0.00%,25,0,0.00%
AVGO250919P00320000,2025-06-06 09:39:00,320,69.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919P00330000,5/29/2025 2:16 PM,330,90.03,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919P00350000,5/21/2025 11:42 AM,350,115.84,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250919P00360000,12/24/2024 9:52 AM,360,125.55,116.80,119.00,0.00,0.00%,2,4,67.22%
AVGO250919P00370000,2025-12-06 11:18:00,370,113.60,0.00,0.00,0.00,0.00%,2,0,0.00%
