Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260918C00070000,5/14/2025 11:35 AM,70,166.02,180.05,182.45,0.00,0.00%,1,1,67.91%
AVGO260918C00075000,6/17/2025 10:05 AM,75,179.47,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00080000,2025-06-06 12:17:00,80,173.84,0.00,0.00,0.00,0.00%,9,0,0.00%
AVGO260918C00085000,2025-04-04 14:36:00,85,72.30,121.30,122.80,0.00,0.00%,6,6,0.00%
AVGO260918C00090000,2025-01-04 13:54:00,90,85.20,119.75,121.50,0.00,0.00%,-,0,0.00%
AVGO260918C00095000,4/30/2025 2:07 PM,95,102.95,150.90,154.30,0.00,0.00%,1,0,0.00%
AVGO260918C00100000,5/16/2025 11:50 AM,100,136.55,153.60,156.20,0.00,0.00%,9,10,65.06%
AVGO260918C00105000,2025-04-06 09:43:00,105,165.74,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260918C00110000,2025-06-05 09:30:00,110,96.45,154.65,159.00,0.00,0.00%,24,12,88.30%
AVGO260918C00115000,2025-06-06 09:37:00,115,145.38,0.00,0.00,0.00,0.00%,19,0,0.00%
AVGO260918C00120000,2025-06-06 09:37:00,120,141.19,0.00,0.00,0.00,0.00%,19,0,0.00%
AVGO260918C00125000,2025-01-05 10:40:00,125,87.10,126.30,128.60,0.00,0.00%,2,2,47.58%
AVGO260918C00130000,2025-10-06 10:07:00,130,123.08,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00135000,5/16/2025 2:08 PM,135,106.50,124.85,126.10,0.00,0.00%,8,5,58.84%
AVGO260918C00140000,2025-06-06 11:20:00,140,123.06,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918C00145000,5/22/2025 10:58 AM,145,102.03,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00150000,6/17/2025 10:11 AM,150,117.32,0.00,0.00,0.00,0.00%,9,0,0.00%
AVGO260918C00155000,2025-03-06 10:59:00,155,117.57,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00160000,6/13/2025 11:24 AM,160,109.15,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918C00165000,2025-12-05 11:48:00,165,76.43,104.90,105.70,0.00,0.00%,1,24,58.77%
AVGO260918C00170000,2025-11-06 12:40:00,170,99.70,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO260918C00175000,2025-09-06 10:07:00,175,92.21,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00180000,6/17/2025 3:25 PM,180,93.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918C00185000,6/13/2025 1:21 PM,185,90.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00190000,6/17/2025 12:14 PM,190,85.25,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918C00195000,6/17/2025 12:18 PM,195,82.22,0.00,0.00,0.00,0.00%,24,0,0.00%
AVGO260918C00200000,6/17/2025 10:41 AM,200,78.78,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00210000,6/13/2025 12:39 PM,210,75.01,0.00,0.00,0.00,0.00%,40,0,0.00%
AVGO260918C00220000,6/17/2025 1:30 PM,220,66.54,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO260918C00230000,6/17/2025 1:13 PM,230,61.40,0.00,0.00,0.00,0.00%,15,0,0.00%
AVGO260918C00240000,6/17/2025 12:38 PM,240,56.80,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO260918C00250000,6/17/2025 10:20 AM,250,54.06,0.00,0.00,0.00,0.00%,1,0,0.05%
AVGO260918C00260000,6/17/2025 3:57 PM,260,47.95,0.00,0.00,0.00,0.00%,2,0,0.78%
AVGO260918C00270000,6/16/2025 11:33 AM,270,45.95,0.00,0.00,0.00,0.00%,21,0,1.56%
AVGO260918C00280000,6/16/2025 11:37 AM,280,42.42,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO260918C00290000,6/16/2025 1:22 PM,290,38.84,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO260918C00300000,6/16/2025 3:22 PM,300,35.46,0.00,0.00,0.00,0.00%,51,0,3.13%
AVGO260918C00310000,6/17/2025 11:38 AM,310,30.90,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO260918C00320000,6/17/2025 12:00 PM,320,28.20,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260918C00330000,2025-11-06 15:59:00,330,27.20,0.00,0.00,0.00,0.00%,36,0,6.25%
AVGO260918C00340000,2025-12-06 15:11:00,340,25.65,0.00,0.00,0.00,0.00%,23,0,6.25%
AVGO260918C00350000,6/17/2025 11:47 AM,350,21.45,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260918C00360000,6/17/2025 2:46 PM,360,19.70,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260918C00370000,6/17/2025 12:26 PM,370,17.45,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260918C00380000,6/17/2025 2:46 PM,380,16.40,0.00,0.00,0.00,0.00%,1,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO260918P00070000,2025-03-06 13:19:00,70,0.98,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO260918P00075000,4/16/2025 11:52 AM,75,3.30,1.61,1.69,0.00,0.00%,-,5,62.82%
AVGO260918P00080000,2025-03-06 14:49:00,80,1.50,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO260918P00085000,6/17/2025 12:30 PM,85,1.69,0.00,0.00,0.00,0.00%,2,0,25.00%
AVGO260918P00090000,2025-09-06 09:30:00,90,2.05,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260918P00095000,2025-02-04 14:48:00,95,5.45,2.03,4.80,0.00,0.00%,3,74,60.22%
AVGO260918P00100000,2025-10-06 14:56:00,100,2.44,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO260918P00105000,5/20/2025 1:32 PM,105,3.80,0.00,0.00,0.00,0.00%,20,0,12.50%
AVGO260918P00110000,2025-11-06 09:59:00,110,3.10,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260918P00115000,5/23/2025 9:36 AM,115,5.30,0.00,0.00,0.00,0.00%,39,0,12.50%
AVGO260918P00120000,2025-10-06 14:55:00,120,4.15,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO260918P00125000,2025-05-06 15:20:00,125,4.53,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260918P00130000,2025-11-06 09:51:00,130,5.20,0.00,0.00,0.00,0.00%,125,0,12.50%
AVGO260918P00135000,2025-03-06 15:24:00,135,6.10,0.00,0.00,0.00,0.00%,21,0,12.50%
AVGO260918P00140000,2025-06-06 14:10:00,140,6.75,0.00,0.00,0.00,0.00%,12,0,12.50%
AVGO260918P00145000,5/22/2025 12:36 PM,145,10.10,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO260918P00150000,6/13/2025 12:16 PM,150,8.25,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO260918P00155000,2025-06-06 13:53:00,155,9.33,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO260918P00160000,2025-10-06 12:42:00,160,10.55,0.00,0.00,0.00,0.00%,10,0,6.25%
AVGO260918P00165000,2025-10-06 11:02:00,165,12.20,0.00,0.00,0.00,0.00%,4,0,6.25%
AVGO260918P00170000,6/13/2025 1:10 PM,170,12.50,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO260918P00175000,2025-10-06 12:21:00,175,14.20,0.00,0.00,0.00,0.00%,12,0,6.25%
AVGO260918P00180000,2025-12-06 11:04:00,180,14.12,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO260918P00185000,2025-12-06 15:03:00,185,15.95,0.00,0.00,0.00,0.00%,103,0,6.25%
AVGO260918P00190000,6/17/2025 10:08 AM,190,17.61,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO260918P00195000,2025-06-06 09:58:00,195,19.60,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO260918P00200000,6/13/2025 9:50 AM,200,20.80,0.00,0.00,0.00,0.00%,50,0,3.13%
AVGO260918P00210000,6/13/2025 11:02 AM,210,24.70,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO260918P00220000,6/17/2025 10:08 AM,220,28.21,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO260918P00230000,2025-12-06 12:31:00,230,31.90,0.00,0.00,0.00,0.00%,1,0,1.56%
AVGO260918P00240000,6/13/2025 2:36 PM,240,38.55,0.00,0.00,0.00,0.00%,1,0,0.78%
AVGO260918P00250000,6/13/2025 2:38 PM,250,43.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918P00260000,6/17/2025 12:04 PM,260,47.90,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260918P00270000,6/16/2025 11:40 AM,270,52.40,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO260918P00280000,2025-06-06 10:09:00,280,59.85,0.00,0.00,0.00,0.00%,40,0,0.00%
AVGO260918P00290000,2025-03-06 10:47:00,290,65.20,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO260918P00300000,2025-06-06 10:31:00,300,73.91,0.00,0.00,0.00,0.00%,100,0,0.00%
AVGO260918P00310000,4/25/2025 2:24 PM,310,121.73,94.45,95.65,0.00,0.00%,2,0,49.30%
AVGO260918P00320000,2025-06-06 11:44:00,320,86.30,0.00,0.00,0.00,0.00%,30,0,0.00%
AVGO260918P00330000,2025-07-04 15:46:00,330,177.50,125.25,126.75,0.00,0.00%,-,4,62.92%
AVGO260918P00340000,2025-07-04 15:22:00,340,184.85,134.20,135.65,0.00,0.00%,-,0,63.93%
AVGO260918P00350000,2025-11-06 10:11:00,350,110.00,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO260918P00370000,4/25/2025 2:24 PM,370,178.63,144.35,146.25,0.00,0.00%,2,0,51.09%
