Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250815C00270000,6/13/2025 9:47 AM,270,219.90,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB250815C00280000,6/13/2025 9:48 AM,280,210.44,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB250815C00320000,2025-02-06 14:13:00,320,184.05,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB250815C00330000,5/28/2025 9:30 AM,330,181.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815C00390000,5/13/2025 1:33 PM,390,130.39,99.70,103.20,0.00,0.00%,-,1,53.96%
BRKB250815C00400000,2025-09-06 14:31:00,400,98.41,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250815C00410000,2025-03-06 10:18:00,410,91.62,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815C00420000,6/17/2025 3:55 PM,420,69.00,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB250815C00430000,6/16/2025 10:54 AM,430,66.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815C00440000,2025-05-06 14:07:00,440,56.65,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB250815C00450000,6/17/2025 1:03 PM,450,43.86,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250815C00460000,6/17/2025 2:32 PM,460,33.60,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB250815C00470000,6/17/2025 3:30 PM,470,26.83,0.00,0.00,0.00,0.00%,16,0,0.00%
BRKB250815C00480000,6/17/2025 3:55 PM,480,20.00,0.00,0.00,0.00,0.00%,67,0,0.00%
BRKB250815C00490000,6/17/2025 3:55 PM,490,14.10,0.00,0.00,0.00,0.00%,171,0,0.78%
BRKB250815C00500000,6/17/2025 3:28 PM,500,9.95,0.00,0.00,0.00,0.00%,127,0,1.56%
BRKB250815C00510000,6/17/2025 3:57 PM,510,6.50,0.00,0.00,0.00,0.00%,106,0,3.13%
BRKB250815C00520000,6/17/2025 3:40 PM,520,4.13,0.00,0.00,0.00,0.00%,88,0,3.13%
BRKB250815C00530000,6/17/2025 3:58 PM,530,2.49,0.00,0.00,0.00,0.00%,442,0,6.25%
BRKB250815C00540000,6/17/2025 3:28 PM,540,1.59,0.00,0.00,0.00,0.00%,40,0,6.25%
BRKB250815C00550000,6/17/2025 3:53 PM,550,1.03,0.00,0.00,0.00,0.00%,28,0,6.25%
BRKB250815C00560000,6/17/2025 2:33 PM,560,0.67,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250815C00570000,6/17/2025 11:17 AM,570,0.60,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB250815C00580000,6/17/2025 2:29 PM,580,0.41,0.00,0.00,0.00,0.00%,31,0,12.50%
BRKB250815C00590000,2025-04-06 11:27:00,590,0.54,0.00,0.00,0.00,0.00%,19,0,12.50%
BRKB250815C00600000,6/13/2025 10:38 AM,600,0.49,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB250815C00610000,6/17/2025 2:29 PM,610,0.30,0.00,0.00,0.00,0.00%,15,0,12.50%
BRKB250815C00620000,2025-02-06 10:37:00,620,0.32,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB250815C00630000,2025-10-06 15:18:00,630,0.34,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250815C00640000,5/28/2025 10:28 AM,640,0.33,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250815C00680000,2025-05-06 10:00:00,680,0.18,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250815C00690000,6/17/2025 3:51 PM,690,0.15,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB250815C00710000,5/27/2025 12:23 PM,710,0.16,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250815C00730000,2025-06-06 10:01:00,730,0.15,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250815C00760000,5/20/2025 12:01 PM,760,0.12,0.00,0.00,0.00,0.00%,-,0,25.00%
BRKB250815C00770000,6/17/2025 10:20 AM,770,0.10,0.00,0.00,0.00,0.00%,3,0,25.00%
BRKB250815C00780000,6/17/2025 10:20 AM,780,0.09,0.00,0.00,0.00,0.00%,1,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250815P00260000,2025-10-06 09:40:00,260,0.07,0.00,0.00,0.00,0.00%,20,0,25.00%
BRKB250815P00270000,6/16/2025 1:56 PM,270,0.07,0.00,0.00,0.00,0.00%,25,0,25.00%
BRKB250815P00280000,6/16/2025 1:55 PM,280,0.08,0.00,0.00,0.00,0.00%,20,0,25.00%
BRKB250815P00290000,6/17/2025 12:05 PM,290,0.09,0.00,0.00,0.00,0.00%,16,0,25.00%
BRKB250815P00300000,6/17/2025 12:07 PM,300,0.12,0.00,0.00,0.00,0.00%,40,0,25.00%
BRKB250815P00310000,6/16/2025 2:17 PM,310,0.14,0.00,0.00,0.00,0.00%,12,0,25.00%
BRKB250815P00320000,5/19/2025 11:12 AM,320,0.28,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250815P00330000,6/17/2025 12:16 PM,330,0.27,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250815P00340000,6/17/2025 1:12 PM,340,0.33,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250815P00350000,6/17/2025 2:23 PM,350,0.45,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250815P00360000,6/17/2025 2:09 PM,360,0.54,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB250815P00370000,6/17/2025 2:01 PM,370,0.69,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB250815P00380000,6/17/2025 9:30 AM,380,0.80,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250815P00390000,6/17/2025 2:45 PM,390,1.06,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250815P00400000,6/17/2025 2:04 PM,400,1.32,0.00,0.00,0.00,0.00%,8,0,12.50%
BRKB250815P00410000,6/13/2025 3:54 PM,410,1.80,0.00,0.00,0.00,0.00%,11,0,6.25%
BRKB250815P00420000,6/17/2025 2:16 PM,420,2.05,0.00,0.00,0.00,0.00%,40,0,6.25%
BRKB250815P00430000,6/17/2025 3:43 PM,430,2.70,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB250815P00440000,6/17/2025 2:59 PM,440,3.50,0.00,0.00,0.00,0.00%,39,0,6.25%
BRKB250815P00450000,6/17/2025 3:41 PM,450,4.80,0.00,0.00,0.00,0.00%,42,0,3.13%
BRKB250815P00460000,6/17/2025 3:58 PM,460,6.45,0.00,0.00,0.00,0.00%,55,0,3.13%
BRKB250815P00470000,6/17/2025 3:46 PM,470,8.95,0.00,0.00,0.00,0.00%,20,0,1.56%
BRKB250815P00480000,6/17/2025 3:56 PM,480,12.20,0.00,0.00,0.00,0.00%,36,0,0.39%
BRKB250815P00490000,6/17/2025 3:12 PM,490,16.30,0.00,0.00,0.00,0.00%,23,0,0.00%
BRKB250815P00500000,6/17/2025 3:22 PM,500,21.95,0.00,0.00,0.00,0.00%,13,0,0.00%
BRKB250815P00510000,6/17/2025 11:18 AM,510,27.20,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB250815P00520000,6/17/2025 10:48 AM,520,34.40,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815P00530000,6/17/2025 10:48 AM,530,43.35,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815P00540000,6/17/2025 9:47 AM,540,52.00,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250815P00550000,2025-10-06 12:29:00,550,59.48,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB250815P00780000,6/16/2025 10:26 AM,780,289.30,0.00,0.00,0.00,0.00%,2,0,0.00%
