Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251219C00250000,6/16/2025 9:34 AM,250,248.05,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB251219C00260000,4/23/2025 10:00 AM,260,278.16,250.00,253.20,0.00,0.00%,1,19,103.68%
BRKB251219C00270000,2025-09-04 13:02:00,270,237.25,250.40,254.10,0.00,0.00%,2,68,113.96%
BRKB251219C00280000,4/23/2025 9:37 AM,280,257.40,230.80,234.05,0.00,0.00%,1,6,95.56%
BRKB251219C00290000,2025-11-06 15:49:00,290,205.15,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00300000,6/13/2025 9:34 AM,300,195.40,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00310000,4/23/2025 9:37 AM,310,228.75,202.10,205.40,0.00,0.00%,1,15,84.39%
BRKB251219C00320000,5/14/2025 9:32 AM,320,198.90,174.75,178.10,0.00,0.00%,1,43,57.35%
BRKB251219C00330000,6/16/2025 3:31 PM,330,169.97,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00340000,2025-09-06 10:31:00,340,161.75,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251219C00350000,6/17/2025 3:58 PM,350,144.63,0.00,0.00,0.00,0.00%,29,0,0.00%
BRKB251219C00360000,6/17/2025 1:12 PM,360,136.80,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219C00370000,6/17/2025 3:41 PM,370,126.00,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00380000,2025-11-06 11:48:00,380,123.04,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB251219C00390000,6/17/2025 3:43 PM,390,107.48,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00400000,6/17/2025 10:42 AM,400,101.09,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219C00410000,6/17/2025 10:40 AM,410,92.38,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB251219C00420000,2025-02-06 12:05:00,420,96.90,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00430000,6/16/2025 11:21 AM,430,77.35,0.00,0.00,0.00,0.00%,28,0,0.00%
BRKB251219C00435000,2025-02-06 09:41:00,435,85.55,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00440000,6/17/2025 3:59 PM,440,64.08,0.00,0.00,0.00,0.00%,15,0,0.00%
BRKB251219C00445000,6/16/2025 12:24 PM,445,65.83,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00450000,6/17/2025 1:28 PM,450,56.38,0.00,0.00,0.00,0.00%,11,0,0.00%
BRKB251219C00455000,5/29/2025 3:59 PM,455,73.05,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00460000,6/16/2025 2:30 PM,460,53.10,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251219C00465000,2025-11-06 12:14:00,465,49.70,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB251219C00470000,6/17/2025 1:20 PM,470,42.90,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219C00475000,2025-04-06 15:59:00,475,44.82,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251219C00480000,6/17/2025 3:58 PM,480,35.77,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB251219C00485000,6/17/2025 3:49 PM,485,32.95,0.00,0.00,0.00,0.00%,13,0,0.10%
BRKB251219C00490000,6/17/2025 1:13 PM,490,30.70,0.00,0.00,0.00,0.00%,7,0,0.39%
BRKB251219C00495000,6/13/2025 3:32 PM,495,29.95,0.00,0.00,0.00,0.00%,2,0,0.78%
BRKB251219C00500000,6/17/2025 3:52 PM,500,24.80,0.00,0.00,0.00,0.00%,96,0,0.78%
BRKB251219C00505000,6/17/2025 2:07 PM,505,22.32,0.00,0.00,0.00,0.00%,35,0,1.56%
BRKB251219C00510000,6/17/2025 2:26 PM,510,20.00,0.00,0.00,0.00,0.00%,4,0,1.56%
BRKB251219C00515000,6/17/2025 3:59 PM,515,18.00,0.00,0.00,0.00,0.00%,3,0,1.56%
BRKB251219C00520000,6/17/2025 3:58 PM,520,16.27,0.00,0.00,0.00,0.00%,4,0,1.56%
BRKB251219C00525000,6/13/2025 3:23 PM,525,16.20,0.00,0.00,0.00,0.00%,80,0,3.13%
BRKB251219C00530000,6/17/2025 1:35 PM,530,13.00,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB251219C00535000,6/17/2025 10:26 AM,535,12.10,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251219C00540000,6/17/2025 3:29 PM,540,10.30,0.00,0.00,0.00,0.00%,21,0,3.13%
BRKB251219C00545000,6/17/2025 12:21 PM,545,9.15,0.00,0.00,0.00,0.00%,20,0,3.13%
BRKB251219C00550000,6/17/2025 3:53 PM,550,7.85,0.00,0.00,0.00,0.00%,64,0,3.13%
BRKB251219C00555000,6/17/2025 10:45 AM,555,7.30,0.00,0.00,0.00,0.00%,6,0,3.13%
BRKB251219C00560000,6/17/2025 10:36 AM,560,6.45,0.00,0.00,0.00,0.00%,6,0,3.13%
BRKB251219C00565000,6/17/2025 10:27 AM,565,5.75,0.00,0.00,0.00,0.00%,7,0,3.13%
BRKB251219C00570000,6/17/2025 10:06 AM,570,5.15,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251219C00575000,6/13/2025 12:12 PM,575,5.10,0.00,0.00,0.00,0.00%,13,0,6.25%
BRKB251219C00580000,6/17/2025 1:34 PM,580,3.72,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB251219C00585000,6/13/2025 2:59 PM,585,3.90,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00590000,2025-12-06 09:48:00,590,3.12,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00595000,2025-11-06 15:22:00,595,3.00,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00600000,6/17/2025 9:30 AM,600,2.61,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB251219C00605000,2025-12-06 11:24:00,605,2.37,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00610000,6/17/2025 3:09 PM,610,1.85,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB251219C00615000,2025-11-06 14:00:00,615,1.90,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251219C00620000,2025-10-06 14:31:00,620,1.70,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00625000,2025-05-06 13:19:00,625,1.60,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00630000,2025-11-06 10:18:00,630,1.47,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219C00640000,2025-12-06 14:21:00,640,1.29,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251219C00650000,6/17/2025 1:41 PM,650,0.91,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251219C00660000,2025-12-06 10:13:00,660,0.92,0.00,0.00,0.00,0.00%,8,0,6.25%
BRKB251219C00670000,5/28/2025 1:23 PM,670,1.05,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251219C00680000,5/28/2025 3:16 PM,680,0.86,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251219C00690000,2025-12-06 10:09:00,690,0.66,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251219C00700000,2025-12-06 10:15:00,700,0.62,0.00,0.00,0.00,0.00%,30,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251219P00250000,2025-10-06 13:31:00,250,0.44,0.00,0.00,0.00,0.00%,80,0,12.50%
BRKB251219P00260000,2025-11-06 12:32:00,260,0.51,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB251219P00270000,6/16/2025 2:01 PM,270,0.61,0.00,0.00,0.00,0.00%,15,0,12.50%
BRKB251219P00280000,6/16/2025 2:00 PM,280,0.71,0.00,0.00,0.00,0.00%,12,0,12.50%
BRKB251219P00290000,6/16/2025 2:00 PM,290,0.83,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251219P00300000,6/16/2025 2:00 PM,300,0.97,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251219P00310000,6/13/2025 1:41 PM,310,1.21,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB251219P00320000,6/13/2025 1:53 PM,320,1.36,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB251219P00330000,2025-11-06 12:32:00,330,1.46,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251219P00340000,2025-10-06 12:49:00,340,1.70,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB251219P00350000,6/17/2025 3:58 PM,350,2.26,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219P00360000,6/13/2025 12:27 PM,360,2.45,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251219P00370000,6/16/2025 2:58 PM,370,2.66,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB251219P00380000,6/17/2025 9:33 AM,380,3.30,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251219P00390000,6/17/2025 2:27 PM,390,4.02,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251219P00400000,6/17/2025 2:40 PM,400,4.80,0.00,0.00,0.00,0.00%,19,0,6.25%
BRKB251219P00410000,6/17/2025 9:33 AM,410,5.30,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251219P00420000,6/17/2025 12:21 PM,420,6.45,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251219P00430000,6/13/2025 10:21 AM,430,7.85,0.00,0.00,0.00,0.00%,5,0,3.13%
BRKB251219P00435000,6/17/2025 1:57 PM,435,8.60,0.00,0.00,0.00,0.00%,3,0,3.13%
BRKB251219P00440000,6/13/2025 10:27 AM,440,9.30,0.00,0.00,0.00,0.00%,7,0,3.13%
BRKB251219P00445000,6/16/2025 2:38 PM,445,9.35,0.00,0.00,0.00,0.00%,59,0,3.13%
BRKB251219P00450000,6/17/2025 3:55 PM,450,11.97,0.00,0.00,0.00,0.00%,6,0,1.56%
BRKB251219P00455000,6/17/2025 1:33 PM,455,12.70,0.00,0.00,0.00,0.00%,11,0,1.56%
BRKB251219P00460000,6/17/2025 3:55 PM,460,14.52,0.00,0.00,0.00,0.00%,3,0,1.56%
BRKB251219P00465000,6/16/2025 11:28 AM,465,13.50,0.00,0.00,0.00,0.00%,5,0,1.56%
BRKB251219P00470000,6/17/2025 11:44 AM,470,16.35,0.00,0.00,0.00,0.00%,22,0,0.78%
BRKB251219P00475000,6/16/2025 11:06 AM,475,16.49,0.00,0.00,0.00,0.00%,4,0,0.78%
BRKB251219P00480000,6/17/2025 2:57 PM,480,20.87,0.00,0.00,0.00,0.00%,10,0,0.20%
BRKB251219P00485000,6/17/2025 2:57 PM,485,22.89,0.00,0.00,0.00,0.00%,63,0,0.00%
BRKB251219P00490000,6/13/2025 3:42 PM,490,24.60,0.00,0.00,0.00,0.00%,44,0,0.00%
BRKB251219P00495000,6/13/2025 3:01 PM,495,26.75,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB251219P00500000,6/17/2025 3:17 PM,500,30.10,0.00,0.00,0.00,0.00%,9,0,0.00%
BRKB251219P00505000,2025-11-06 09:30:00,505,28.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219P00510000,2025-12-06 09:34:00,510,34.75,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB251219P00515000,2025-09-06 13:47:00,515,32.88,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219P00520000,2025-11-06 11:19:00,520,37.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219P00525000,5/23/2025 2:59 PM,525,35.19,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219P00530000,6/17/2025 3:42 PM,530,49.85,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251219P00535000,6/16/2025 2:13 PM,535,48.56,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251219P00540000,2025-12-06 13:51:00,540,54.21,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219P00545000,6/13/2025 3:32 PM,545,59.27,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219P00550000,2025-09-06 13:28:00,550,57.37,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219P00555000,2025-02-05 12:32:00,555,38.00,52.75,56.20,0.00,0.00%,8,8,0.00%
BRKB251219P00560000,2025-02-06 11:09:00,560,61.42,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219P00565000,5/16/2025 2:19 PM,565,54.95,79.45,82.60,0.00,0.00%,1,2,13.50%
BRKB251219P00570000,2025-05-06 10:03:00,570,83.16,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB251219P00575000,5/23/2025 1:11 PM,575,72.77,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251219P00580000,5/15/2025 3:17 PM,580,71.34,91.30,94.80,0.00,0.00%,2,2,0.00%
BRKB251219P00585000,2025-01-05 15:55:00,585,60.05,80.05,82.95,0.00,0.00%,-,0,0.00%
BRKB251219P00590000,2025-10-04 13:34:00,590,85.55,76.00,78.20,0.00,0.00%,1,9,0.00%
BRKB251219P00595000,2025-12-05 10:48:00,595,82.50,102.65,105.25,0.00,0.00%,-,0,0.00%
BRKB251219P00600000,5/27/2025 3:24 PM,600,91.34,0.00,0.00,0.00,0.00%,5,0,0.00%
