Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260116C00190000,2025-12-05 13:35:00,190,328.00,302.50,305.85,0.00,0.00%,60,0,97.20%
BRKB260116C00200000,2025-02-06 10:37:00,200,307.74,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116C00210000,4/30/2025 2:07 PM,210,330.90,299.25,302.05,0.00,0.00%,1,76,120.24%
BRKB260116C00220000,2025-03-06 09:42:00,220,288.32,0.00,0.00,0.00,0.00%,29,0,0.00%
BRKB260116C00230000,2025-03-06 09:46:00,230,277.73,0.00,0.00,0.00,0.00%,7,0,0.00%
BRKB260116C00240000,2025-12-06 15:57:00,240,256.82,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00250000,2025-10-06 10:21:00,250,248.85,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00260000,2025-10-06 10:05:00,260,239.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116C00270000,2025-05-05 09:56:00,270,248.70,232.10,235.60,0.00,0.00%,6,1.247,81.26%
BRKB260116C00280000,6/17/2025 3:08 PM,280,212.75,0.00,0.00,0.00,0.00%,7,0,0.00%
BRKB260116C00290000,2025-06-06 15:12:00,290,213.35,0.00,0.00,0.00,0.00%,13,0,0.00%
BRKB260116C00300000,6/17/2025 1:06 PM,300,195.80,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116C00310000,2025-12-06 13:10:00,310,188.45,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00320000,2025-03-06 13:26:00,320,188.57,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260116C00330000,2025-06-06 09:37:00,330,175.95,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116C00340000,2025-11-06 15:49:00,340,159.30,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260116C00350000,6/17/2025 2:16 PM,350,147.00,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB260116C00360000,2025-06-06 14:19:00,360,147.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116C00370000,2025-10-06 10:58:00,370,136.45,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00380000,2025-03-06 09:52:00,380,133.54,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB260116C00390000,2025-11-06 12:06:00,390,115.52,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260116C00400000,6/17/2025 1:13 PM,400,102.31,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00410000,6/17/2025 12:09 PM,410,93.20,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116C00420000,2025-11-06 12:30:00,420,88.99,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260116C00430000,6/17/2025 3:20 PM,430,75.23,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB260116C00440000,6/17/2025 2:14 PM,440,66.83,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB260116C00450000,6/17/2025 1:16 PM,450,60.00,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260116C00460000,6/17/2025 3:34 PM,460,52.20,0.00,0.00,0.00,0.00%,13,0,0.00%
BRKB260116C00470000,6/17/2025 3:42 PM,470,44.95,0.00,0.00,0.00,0.00%,7,0,0.00%
BRKB260116C00480000,6/17/2025 2:57 PM,480,38.95,0.00,0.00,0.00,0.00%,24,0,0.00%
BRKB260116C00490000,6/17/2025 3:54 PM,490,32.85,0.00,0.00,0.00,0.00%,44,0,0.39%
BRKB260116C00500000,6/17/2025 3:59 PM,500,27.40,0.00,0.00,0.00,0.00%,210,0,0.78%
BRKB260116C00510000,6/17/2025 11:46 AM,510,23.40,0.00,0.00,0.00,0.00%,15,0,1.56%
BRKB260116C00520000,6/17/2025 3:40 PM,520,18.65,0.00,0.00,0.00,0.00%,16,0,1.56%
BRKB260116C00530000,6/17/2025 2:30 PM,530,14.90,0.00,0.00,0.00,0.00%,14,0,3.13%
BRKB260116C00540000,6/17/2025 3:21 PM,540,11.94,0.00,0.00,0.00,0.00%,15,0,3.13%
BRKB260116C00550000,6/17/2025 3:06 PM,550,9.50,0.00,0.00,0.00,0.00%,130,0,3.13%
BRKB260116C00560000,6/17/2025 3:41 PM,560,7.40,0.00,0.00,0.00,0.00%,12,0,3.13%
BRKB260116C00570000,6/17/2025 2:49 PM,570,5.80,0.00,0.00,0.00,0.00%,12,0,3.13%
BRKB260116C00580000,6/17/2025 1:18 PM,580,4.70,0.00,0.00,0.00,0.00%,20,0,6.25%
BRKB260116C00590000,6/16/2025 1:21 PM,590,4.05,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116C00600000,6/17/2025 3:58 PM,600,3.00,0.00,0.00,0.00,0.00%,212,0,6.25%
BRKB260116C00610000,6/17/2025 1:06 PM,610,2.44,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116C00620000,6/16/2025 12:02 PM,620,2.22,0.00,0.00,0.00,0.00%,35,0,6.25%
BRKB260116C00630000,6/17/2025 2:43 PM,630,1.58,0.00,0.00,0.00,0.00%,30,0,6.25%
BRKB260116C00640000,2025-09-06 11:53:00,640,1.69,0.00,0.00,0.00,0.00%,50,0,6.25%
BRKB260116C00650000,6/16/2025 10:33 AM,650,1.31,0.00,0.00,0.00,0.00%,30,0,6.25%
BRKB260116C00660000,6/17/2025 12:14 PM,660,1.11,0.00,0.00,0.00,0.00%,40,0,6.25%
BRKB260116C00670000,6/16/2025 2:27 PM,670,0.99,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116C00680000,6/16/2025 2:27 PM,680,0.86,0.00,0.00,0.00,0.00%,31,0,6.25%
BRKB260116C00690000,6/16/2025 9:34 AM,690,0.94,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116C00700000,2025-12-06 09:41:00,700,0.82,0.00,0.00,0.00,0.00%,20,0,12.50%
BRKB260116C00710000,5/28/2025 12:01 PM,710,0.84,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260116C00720000,5/29/2025 10:03 AM,720,0.72,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260116C00730000,6/16/2025 12:31 PM,730,0.55,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB260116C00740000,5/20/2025 3:01 PM,740,0.63,0.00,0.00,0.00,0.00%,43,0,12.50%
BRKB260116C00750000,6/17/2025 12:14 PM,750,0.47,0.00,0.00,0.00,0.00%,20,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260116P00190000,6/16/2025 1:37 PM,190,0.17,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB260116P00200000,6/16/2025 2:02 PM,200,0.23,0.00,0.00,0.00,0.00%,30,0,25.00%
BRKB260116P00210000,2025-12-06 13:35:00,210,0.30,0.00,0.00,0.00,0.00%,15,0,25.00%
BRKB260116P00220000,2025-12-06 13:35:00,220,0.39,0.00,0.00,0.00,0.00%,12,0,25.00%
BRKB260116P00230000,6/13/2025 3:41 PM,230,0.49,0.00,0.00,0.00,0.00%,4,0,25.00%
BRKB260116P00240000,2025-12-06 13:34:00,240,0.54,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260116P00250000,2025-12-06 13:33:00,250,0.66,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260116P00260000,6/16/2025 2:59 PM,260,0.70,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB260116P00270000,6/16/2025 10:56 AM,270,0.77,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB260116P00280000,6/16/2025 3:00 PM,280,0.97,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB260116P00290000,2025-03-06 15:27:00,290,1.37,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260116P00300000,6/16/2025 10:26 AM,300,1.25,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260116P00310000,6/16/2025 3:00 PM,310,1.47,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB260116P00320000,2025-06-06 10:01:00,320,1.86,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260116P00330000,6/17/2025 2:43 PM,330,2.09,0.00,0.00,0.00,0.00%,30,0,12.50%
BRKB260116P00340000,6/17/2025 9:52 AM,340,2.33,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116P00350000,6/16/2025 9:30 AM,350,2.61,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116P00360000,6/16/2025 10:46 AM,360,2.68,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260116P00370000,6/17/2025 2:43 PM,370,3.59,0.00,0.00,0.00,0.00%,62,0,6.25%
BRKB260116P00380000,6/13/2025 2:14 PM,380,3.79,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB260116P00390000,6/13/2025 3:26 PM,390,4.55,0.00,0.00,0.00,0.00%,11,0,6.25%
BRKB260116P00400000,6/17/2025 3:41 PM,400,5.50,0.00,0.00,0.00,0.00%,35,0,6.25%
BRKB260116P00410000,6/17/2025 1:44 PM,410,6.25,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260116P00420000,6/13/2025 3:41 PM,420,7.55,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260116P00430000,6/16/2025 9:32 AM,430,8.03,0.00,0.00,0.00,0.00%,9,0,3.13%
BRKB260116P00440000,6/17/2025 1:28 PM,440,10.70,0.00,0.00,0.00,0.00%,24,0,3.13%
BRKB260116P00450000,6/17/2025 2:33 PM,450,13.01,0.00,0.00,0.00,0.00%,36,0,1.56%
BRKB260116P00460000,6/16/2025 10:01 AM,460,13.35,0.00,0.00,0.00,0.00%,8,0,1.56%
BRKB260116P00470000,6/17/2025 12:59 PM,470,18.00,0.00,0.00,0.00,0.00%,2,0,0.78%
BRKB260116P00480000,6/17/2025 3:40 PM,480,22.20,0.00,0.00,0.00,0.00%,16,0,0.20%
BRKB260116P00490000,6/17/2025 3:17 PM,490,26.40,0.00,0.00,0.00,0.00%,62,0,0.00%
BRKB260116P00500000,6/17/2025 1:26 PM,500,31.00,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116P00510000,6/17/2025 3:24 PM,510,36.58,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116P00520000,2025-11-06 15:51:00,520,40.80,0.00,0.00,0.00,0.00%,16,0,0.00%
BRKB260116P00530000,2025-12-06 14:26:00,530,46.60,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116P00540000,2025-11-06 12:02:00,540,52.45,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260116P00550000,6/13/2025 2:56 PM,550,64.60,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB260116P00560000,2025-09-06 10:11:00,560,70.65,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116P00570000,5/23/2025 1:22 PM,570,68.30,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116P00580000,6/17/2025 2:47 PM,580,96.27,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116P00590000,2025-12-05 10:46:00,590,77.90,97.90,100.05,0.00,0.00%,3,0,0.00%
BRKB260116P00600000,5/27/2025 11:24 AM,600,92.77,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116P00610000,2025-06-05 09:31:00,610,99.73,120.50,123.60,0.00,0.00%,1,0,0.00%
BRKB260116P00620000,2025-02-05 15:32:00,620,80.49,115.00,117.95,0.00,0.00%,1,0,0.00%
BRKB260116P00640000,3/14/2025 2:55 PM,640,124.25,107.50,111.15,0.00,0.00%,-,0,0.00%
BRKB260116P00650000,2025-05-05 09:31:00,650,132.40,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260116P00660000,5/23/2025 1:22 PM,660,156.81,0.00,0.00,0.00,0.00%,80,0,0.00%
BRKB260116P00670000,6/17/2025 2:47 PM,670,186.23,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116P00680000,5/23/2025 1:16 PM,680,177.41,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260116P00700000,2025-07-05 15:29:00,700,181.91,204.95,208.05,0.00,0.00%,-,0,0.00%
BRKB260116P00710000,2025-12-05 10:46:00,710,197.50,218.20,220.20,0.00,0.00%,-,0,0.00%
BRKB260116P00750000,2025-05-05 11:15:00,750,234.00,257.55,260.30,0.00,0.00%,20,0,0.00%
