Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250703C00440000,2025-12-06 12:50:00,440,49.47,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB250703C00450000,5/28/2025 11:00 AM,450,59.80,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250703C00455000,2025-10-06 12:18:00,455,38.05,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703C00465000,2025-06-06 15:26:00,465,31.90,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703C00470000,2025-09-06 10:05:00,470,23.66,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250703C00475000,6/16/2025 11:05 AM,475,19.00,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250703C00480000,6/17/2025 2:22 PM,480,9.78,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB250703C00482500,6/17/2025 2:22 PM,482.5,8.19,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB250703C00485000,6/17/2025 2:55 PM,485,6.95,0.00,0.00,0.00,0.00%,13,0,0.39%
BRKB250703C00487500,6/17/2025 2:26 PM,487.5,5.45,0.00,0.00,0.00,0.00%,12,0,0.78%
BRKB250703C00490000,6/17/2025 3:30 PM,490,4.65,0.00,0.00,0.00,0.00%,41,0,1.56%
BRKB250703C00492500,6/17/2025 3:58 PM,492.5,3.75,0.00,0.00,0.00,0.00%,6,0,1.56%
BRKB250703C00495000,6/17/2025 3:49 PM,495,2.92,0.00,0.00,0.00,0.00%,122,0,3.13%
BRKB250703C00497500,6/17/2025 2:40 PM,497.5,1.97,0.00,0.00,0.00,0.00%,4,0,3.13%
BRKB250703C00500000,6/17/2025 3:54 PM,500,1.74,0.00,0.00,0.00,0.00%,138,0,3.13%
BRKB250703C00502500,6/17/2025 10:19 AM,502.5,1.58,0.00,0.00,0.00,0.00%,51,0,3.13%
BRKB250703C00505000,6/17/2025 3:58 PM,505,1.03,0.00,0.00,0.00,0.00%,48,0,6.25%
BRKB250703C00507500,6/16/2025 3:29 PM,507.5,1.25,0.00,0.00,0.00,0.00%,6,0,6.25%
BRKB250703C00510000,6/17/2025 1:56 PM,510,0.63,0.00,0.00,0.00,0.00%,6,0,6.25%
BRKB250703C00515000,6/17/2025 3:50 PM,515,0.46,0.00,0.00,0.00,0.00%,9,0,6.25%
BRKB250703C00520000,6/17/2025 3:09 PM,520,0.28,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250703C00525000,6/17/2025 1:15 PM,525,0.20,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB250703C00530000,6/16/2025 3:38 PM,530,0.22,0.00,0.00,0.00,0.00%,4,0,12.50%
BRKB250703C00535000,6/16/2025 1:48 PM,535,0.17,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250703C00540000,6/17/2025 10:00 AM,540,0.14,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250703C00545000,2025-04-06 11:46:00,545,0.33,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB250703C00550000,6/17/2025 3:31 PM,550,0.08,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB250703C00555000,5/30/2025 2:19 PM,555,0.40,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB250703C00560000,5/27/2025 10:44 AM,560,0.50,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB250703C00565000,5/27/2025 10:54 AM,565,0.42,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB250703C00570000,2025-09-06 11:52:00,570,0.15,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250703C00585000,2025-11-06 09:30:00,585,0.05,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250703C00590000,6/16/2025 10:23 AM,590,0.04,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250703C00595000,2025-11-06 11:56:00,595,0.05,0.00,0.00,0.00,0.00%,-,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250703P00320000,6/13/2025 12:58 PM,320,0.02,0.00,0.00,0.00,0.00%,-,0,50.00%
BRKB250703P00340000,6/13/2025 3:58 PM,340,0.03,0.00,0.00,0.00,0.00%,80,0,25.00%
BRKB250703P00350000,6/16/2025 11:37 AM,350,0.04,0.00,0.00,0.00,0.00%,2,0,25.00%
BRKB250703P00355000,6/13/2025 3:52 PM,355,0.06,0.00,0.00,0.00,0.00%,-,0,25.00%
BRKB250703P00360000,2025-12-06 11:19:00,360,0.04,0.00,0.00,0.00,0.00%,-,0,25.00%
BRKB250703P00365000,2025-12-06 11:20:00,365,0.05,0.00,0.00,0.00,0.00%,-,0,25.00%
BRKB250703P00370000,2025-11-06 11:43:00,370,0.08,0.00,0.00,0.00,0.00%,10,0,25.00%
BRKB250703P00375000,6/13/2025 3:16 PM,375,0.09,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250703P00380000,6/16/2025 2:44 PM,380,0.07,0.00,0.00,0.00,0.00%,2,0,25.00%
BRKB250703P00385000,5/28/2025 1:14 PM,385,0.31,0.00,0.00,0.00,0.00%,2,0,25.00%
BRKB250703P00390000,6/17/2025 2:43 PM,390,0.10,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250703P00395000,6/17/2025 2:27 PM,395,0.11,0.00,0.00,0.00,0.00%,5,0,25.00%
BRKB250703P00400000,6/17/2025 12:45 PM,400,0.12,0.00,0.00,0.00,0.00%,1,0,25.00%
BRKB250703P00405000,6/13/2025 10:06 AM,405,0.25,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250703P00410000,2025-12-06 12:57:00,410,0.25,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250703P00415000,6/13/2025 11:34 AM,415,0.26,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB250703P00420000,6/17/2025 11:11 AM,420,0.22,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250703P00425000,6/13/2025 10:07 AM,425,0.42,0.00,0.00,0.00,0.00%,8,0,12.50%
BRKB250703P00430000,6/17/2025 9:49 AM,430,0.31,0.00,0.00,0.00,0.00%,4,0,12.50%
BRKB250703P00435000,6/13/2025 3:55 PM,435,0.60,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250703P00440000,6/17/2025 3:40 PM,440,0.51,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB250703P00445000,6/16/2025 10:05 AM,445,0.46,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250703P00450000,6/17/2025 2:15 PM,450,0.71,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB250703P00455000,6/17/2025 2:01 PM,455,0.90,0.00,0.00,0.00,0.00%,9,0,6.25%
BRKB250703P00460000,6/17/2025 3:39 PM,460,1.25,0.00,0.00,0.00,0.00%,29,0,6.25%
BRKB250703P00465000,6/17/2025 3:50 PM,465,1.67,0.00,0.00,0.00,0.00%,59,0,3.13%
BRKB250703P00470000,6/17/2025 3:58 PM,470,2.42,0.00,0.00,0.00,0.00%,30,0,3.13%
BRKB250703P00475000,6/17/2025 3:58 PM,475,3.42,0.00,0.00,0.00,0.00%,2,0,1.56%
BRKB250703P00477500,6/17/2025 1:00 PM,477.5,3.43,0.00,0.00,0.00,0.00%,7,0,1.56%
BRKB250703P00480000,6/17/2025 3:16 PM,480,4.55,0.00,0.00,0.00,0.00%,16,0,0.78%
BRKB250703P00482500,6/17/2025 2:22 PM,482.5,5.70,0.00,0.00,0.00,0.00%,6,0,0.39%
BRKB250703P00485000,6/17/2025 3:36 PM,485,6.75,0.00,0.00,0.00,0.00%,33,0,0.00%
BRKB250703P00487500,6/17/2025 3:40 PM,487.5,8.20,0.00,0.00,0.00,0.00%,32,0,0.00%
BRKB250703P00490000,6/17/2025 3:20 PM,490,9.30,0.00,0.00,0.00,0.00%,11,0,0.00%
BRKB250703P00492500,6/17/2025 2:50 PM,492.5,11.05,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB250703P00495000,6/17/2025 12:17 PM,495,11.41,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250703P00497500,6/16/2025 3:03 PM,497.5,9.95,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703P00500000,6/17/2025 10:47 AM,500,14.40,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250703P00505000,6/16/2025 3:08 PM,505,16.10,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250703P00507500,6/16/2025 11:39 AM,507.5,16.85,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250703P00510000,2025-11-06 10:31:00,510,19.52,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703P00515000,2025-12-06 12:30:00,515,28.05,0.00,0.00,0.00,0.00%,7,0,0.00%
BRKB250703P00520000,2025-11-06 11:02:00,520,29.36,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703P00530000,2025-04-06 12:22:00,530,37.51,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250703P00540000,5/23/2025 9:53 AM,540,39.50,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB250703P00555000,2025-12-06 12:52:00,555,67.60,0.00,0.00,0.00,0.00%,-,0,0.00%
