Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260618C00230000,5/28/2025 10:08 AM,230,290.67,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618C00240000,1/28/2025 1:25 PM,240,247.90,288.00,292.45,0.00,0.00%,2,4,101.34%
BRKB260618C00250000,6/13/2025 9:35 AM,250,251.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618C00260000,1/21/2025 9:32 AM,260,229.63,235.00,238.95,0.00,0.00%,1,16,56.46%
BRKB260618C00270000,1/16/2025 10:02 AM,270,209.40,227.00,231.50,0.00,0.00%,-,4,56.58%
BRKB260618C00280000,2025-12-06 12:31:00,280,222.02,0.00,0.00,0.00,0.00%,25,0,0.00%
BRKB260618C00290000,2025-05-06 11:26:00,290,213.70,0.00,0.00,0.00,0.00%,28,0,0.00%
BRKB260618C00300000,2025-11-06 15:46:00,300,204.30,0.00,0.00,0.00,0.00%,36,0,0.00%
BRKB260618C00310000,4/16/2025 3:20 PM,310,225.04,220.50,225.50,0.00,0.00%,1,5,76.35%
BRKB260618C00320000,4/16/2025 2:04 PM,320,217.45,211.50,216.50,0.00,0.00%,2,47,73.74%
BRKB260618C00330000,2025-04-06 15:45:00,330,182.05,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB260618C00340000,2025-11-06 11:49:00,340,170.80,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00350000,2025-11-06 11:49:00,350,161.64,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260618C00360000,2025-11-06 11:49:00,360,152.48,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00370000,2025-11-06 10:24:00,370,144.45,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00380000,6/17/2025 2:00 PM,380,129.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618C00390000,6/16/2025 3:20 PM,390,125.60,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00400000,2025-12-06 09:30:00,400,116.10,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB260618C00410000,6/16/2025 11:21 AM,410,109.50,0.00,0.00,0.00,0.00%,411,0,0.00%
BRKB260618C00420000,6/16/2025 9:30 AM,420,101.21,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618C00430000,6/17/2025 12:44 PM,430,89.50,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00440000,6/17/2025 11:21 AM,440,80.85,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260618C00450000,6/16/2025 11:34 AM,450,78.38,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618C00460000,6/17/2025 2:45 PM,460,67.10,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00470000,6/16/2025 2:00 PM,470,63.00,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618C00480000,6/17/2025 3:59 PM,480,53.50,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB260618C00490000,6/17/2025 3:11 PM,490,47.86,0.00,0.00,0.00,0.00%,96,0,0.39%
BRKB260618C00500000,6/17/2025 3:55 PM,500,41.70,0.00,0.00,0.00,0.00%,11,0,0.78%
BRKB260618C00510000,6/17/2025 2:00 PM,510,36.45,0.00,0.00,0.00,0.00%,4,0,1.56%
BRKB260618C00520000,6/17/2025 2:54 PM,520,31.75,0.00,0.00,0.00,0.00%,44,0,1.56%
BRKB260618C00530000,6/17/2025 3:52 PM,530,27.80,0.00,0.00,0.00,0.00%,66,0,1.56%
BRKB260618C00540000,6/17/2025 3:59 PM,540,23.70,0.00,0.00,0.00,0.00%,18,0,3.13%
BRKB260618C00550000,6/16/2025 12:07 PM,550,22.38,0.00,0.00,0.00,0.00%,9,0,3.13%
BRKB260618C00560000,6/17/2025 2:28 PM,560,17.00,0.00,0.00,0.00,0.00%,18,0,3.13%
BRKB260618C00570000,6/17/2025 1:45 PM,570,14.65,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260618C00580000,6/13/2025 3:27 PM,580,13.43,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB260618C00590000,6/17/2025 9:38 AM,590,10.95,0.00,0.00,0.00,0.00%,5,0,3.13%
BRKB260618C00600000,6/17/2025 1:28 PM,600,8.50,0.00,0.00,0.00,0.00%,16,0,3.13%
BRKB260618C00610000,2025-06-06 14:11:00,610,8.75,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260618C00620000,2025-12-06 12:21:00,620,6.25,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618C00630000,6/17/2025 1:18 PM,630,5.00,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260618C00640000,6/17/2025 9:50 AM,640,4.40,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB260618C00650000,2025-04-06 14:25:00,650,4.06,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB260618C00660000,2025-05-06 10:50:00,660,3.00,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB260618C00670000,6/17/2025 11:25 AM,670,2.60,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618C00680000,6/16/2025 9:30 AM,680,2.48,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618C00690000,2025-11-06 14:12:00,690,2.00,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260618C00700000,6/16/2025 3:41 PM,700,1.74,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618C00710000,5/15/2025 9:36 AM,710,2.15,1.54,1.74,0.00,0.00%,1,5,21.23%
BRKB260618C00720000,2025-10-06 15:47:00,720,1.35,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB260618C00730000,2025-06-06 11:21:00,730,1.27,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260618C00740000,2025-10-06 14:34:00,740,1.09,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB260618C00750000,6/17/2025 2:30 PM,750,0.96,0.00,0.00,0.00,0.00%,2,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260618P00230000,2025-12-06 15:25:00,230,1.13,0.00,0.00,0.00,0.00%,12,0,12.50%
BRKB260618P00240000,2025-12-06 09:41:00,240,1.30,0.00,0.00,0.00,0.00%,6,0,12.50%
BRKB260618P00250000,2025-06-06 13:44:00,250,1.60,0.00,0.00,0.00,0.00%,4,0,12.50%
BRKB260618P00260000,6/17/2025 12:58 PM,260,1.75,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB260618P00270000,2025-03-06 15:09:00,270,2.15,0.00,0.00,0.00,0.00%,8,0,12.50%
BRKB260618P00280000,2025-09-05 14:21:00,280,2.86,1.97,3.35,0.00,0.00%,-,2,35.20%
BRKB260618P00290000,6/16/2025 12:53 PM,290,2.40,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260618P00300000,2025-04-06 11:41:00,300,3.05,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260618P00310000,6/13/2025 9:51 AM,310,3.30,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618P00320000,2025-06-06 10:01:00,320,3.50,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618P00330000,2025-11-06 12:33:00,330,3.75,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB260618P00340000,5/28/2025 2:09 PM,340,4.90,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB260618P00350000,6/17/2025 11:56 AM,350,5.10,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB260618P00360000,6/17/2025 10:11 AM,360,5.75,0.00,0.00,0.00,0.00%,6,0,6.25%
BRKB260618P00370000,6/16/2025 10:27 AM,370,6.10,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618P00380000,6/17/2025 11:38 AM,380,7.57,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260618P00390000,6/17/2025 11:29 AM,390,8.53,0.00,0.00,0.00,0.00%,21,0,3.13%
BRKB260618P00400000,6/17/2025 3:46 PM,400,10.15,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB260618P00410000,2025-11-06 14:13:00,410,10.50,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260618P00420000,2025-12-06 15:52:00,420,12.07,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260618P00430000,2025-05-06 11:00:00,430,14.70,0.00,0.00,0.00,0.00%,117,0,3.13%
BRKB260618P00440000,6/16/2025 1:07 PM,440,15.60,0.00,0.00,0.00,0.00%,5,0,1.56%
BRKB260618P00450000,6/17/2025 3:53 PM,450,19.45,0.00,0.00,0.00,0.00%,9,0,1.56%
BRKB260618P00460000,6/17/2025 10:44 AM,460,21.30,0.00,0.00,0.00,0.00%,1,0,0.78%
BRKB260618P00470000,6/17/2025 9:54 AM,470,23.85,0.00,0.00,0.00,0.00%,1,0,0.78%
BRKB260618P00480000,6/17/2025 11:28 AM,480,28.00,0.00,0.00,0.00,0.00%,1,0,0.20%
BRKB260618P00490000,6/17/2025 1:51 PM,490,32.73,0.00,0.00,0.00,0.00%,23,0,0.00%
BRKB260618P00500000,6/17/2025 1:51 PM,500,37.23,0.00,0.00,0.00,0.00%,23,0,0.00%
BRKB260618P00510000,6/13/2025 11:23 AM,510,39.80,0.00,0.00,0.00,0.00%,16,0,0.00%
BRKB260618P00520000,6/17/2025 2:52 PM,520,48.20,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618P00530000,2025-12-06 09:30:00,530,52.90,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB260618P00540000,6/13/2025 12:15 PM,540,56.99,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB260618P00550000,2025-06-06 09:55:00,550,59.90,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260618P00560000,2025-02-06 11:09:00,560,65.17,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260618P00570000,2025-12-05 10:36:00,570,64.50,79.50,81.65,0.00,0.00%,2,0,0.00%
BRKB260618P00580000,5/30/2025 9:32 AM,580,77.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618P00590000,5/29/2025 9:44 AM,590,88.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260618P00600000,2025-05-05 14:12:00,600,86.75,106.85,110.30,0.00,0.00%,7,0,0.00%
BRKB260618P00610000,2025-12-05 10:38:00,610,98.40,118.00,120.05,0.00,0.00%,2,0,0.00%
BRKB260618P00620000,2025-06-05 09:33:00,620,108.37,130.45,133.25,0.00,0.00%,1,0,0.00%
BRKB260618P00630000,4/15/2025 3:30 PM,630,100.80,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB260618P00640000,2025-02-05 15:53:00,640,100.67,134.10,138.45,0.00,0.00%,1,0,0.00%
BRKB260618P00650000,2025-09-05 11:10:00,650,137.18,154.70,157.60,0.00,0.00%,10,0,0.00%
BRKB260618P00660000,4/17/2025 3:47 PM,660,139.45,143.90,147.75,0.00,0.00%,2,0,0.00%
BRKB260618P00680000,2025-02-05 15:56:00,680,139.75,174.10,178.50,0.00,0.00%,1,0,0.00%
BRKB260618P00750000,5/14/2025 9:32 AM,750,239.90,260.60,265.00,0.00,0.00%,1,0,0.00%
