Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260320C00240000,5/14/2025 11:05 AM,240,276.30,255.25,258.80,0.00,0.00%,1,3,71.79%
BRKB260320C00250000,2025-03-02 11:03:00,250,225.90,0.00,0.00,0.00,0.00%,-,1,0.00%
BRKB260320C00260000,5/23/2025 12:31 PM,260,254.53,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00270000,4/29/2025 11:06 AM,270,273.45,245.50,250.35,0.00,0.00%,2,11,88.40%
BRKB260320C00280000,2025-09-04 13:42:00,280,246.85,244.55,248.70,0.00,0.00%,-,2,93.84%
BRKB260320C00290000,3/28/2025 1:28 PM,290,250.44,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00300000,6/17/2025 2:32 PM,300,196.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00310000,2025-11-06 15:42:00,310,191.14,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00320000,2025-05-06 09:45:00,320,183.69,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00330000,2025-11-06 15:40:00,330,172.57,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00340000,5/20/2025 3:45 PM,340,184.70,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00350000,4/30/2025 2:07 PM,350,201.30,168.50,172.45,0.00,0.00%,1,31,62.22%
BRKB260320C00360000,6/16/2025 11:30 AM,360,147.50,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00370000,6/16/2025 9:35 AM,370,138.81,0.00,0.00,0.00,0.00%,12,0,0.00%
BRKB260320C00380000,6/13/2025 9:35 AM,380,126.50,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00390000,4/30/2025 12:31 PM,390,162.20,132.25,136.05,0.00,0.00%,2,44,52.61%
BRKB260320C00400000,6/17/2025 2:00 PM,400,106.00,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB260320C00410000,5/20/2025 10:32 AM,410,123.70,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00420000,5/19/2025 2:38 PM,420,117.10,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00430000,5/29/2025 2:49 PM,430,101.75,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320C00440000,2025-12-06 09:51:00,440,74.90,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320C00450000,2025-06-06 10:40:00,450,75.60,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260320C00460000,6/17/2025 2:27 PM,460,57.96,0.00,0.00,0.00,0.00%,18,0,0.00%
BRKB260320C00470000,2025-09-06 09:40:00,470,57.70,0.00,0.00,0.00,0.00%,59,0,0.00%
BRKB260320C00480000,6/17/2025 3:42 PM,480,45.17,0.00,0.00,0.00,0.00%,9,0,0.00%
BRKB260320C00490000,6/17/2025 1:32 PM,490,39.28,0.00,0.00,0.00,0.00%,4,0,0.39%
BRKB260320C00500000,6/17/2025 3:47 PM,500,33.85,0.00,0.00,0.00,0.00%,10,0,0.78%
BRKB260320C00510000,6/17/2025 3:28 PM,510,28.85,0.00,0.00,0.00,0.00%,8,0,1.56%
BRKB260320C00520000,6/17/2025 3:24 PM,520,24.45,0.00,0.00,0.00,0.00%,10,0,1.56%
BRKB260320C00530000,6/17/2025 3:48 PM,530,20.25,0.00,0.00,0.00,0.00%,20,0,1.56%
BRKB260320C00540000,6/17/2025 1:31 PM,540,16.77,0.00,0.00,0.00,0.00%,3,0,3.13%
BRKB260320C00550000,6/17/2025 3:49 PM,550,13.80,0.00,0.00,0.00,0.00%,4,0,3.13%
BRKB260320C00560000,6/17/2025 1:32 PM,560,11.30,0.00,0.00,0.00,0.00%,32,0,3.13%
BRKB260320C00570000,2025-12-06 14:13:00,570,9.78,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB260320C00580000,6/17/2025 1:17 PM,580,7.40,0.00,0.00,0.00,0.00%,6,0,3.13%
BRKB260320C00590000,6/17/2025 2:23 PM,590,5.87,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB260320C00600000,6/17/2025 2:03 PM,600,4.85,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB260320C00610000,2025-11-06 10:38:00,610,4.50,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00620000,2025-10-06 13:42:00,620,3.65,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00630000,6/17/2025 12:11 PM,630,2.74,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00640000,2025-06-06 09:33:00,640,2.75,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00650000,2025-04-06 10:59:00,650,2.40,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00660000,2025-10-06 09:30:00,660,1.71,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00670000,5/13/2025 3:55 PM,670,2.39,1.55,1.70,0.00,0.00%,2,17,21.41%
BRKB260320C00680000,2025-11-06 09:39:00,680,1.30,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00690000,2025-10-06 14:47:00,690,1.15,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB260320C00700000,2025-05-06 09:45:00,700,1.02,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00710000,6/17/2025 1:35 PM,710,0.82,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320C00720000,6/17/2025 12:17 PM,720,0.81,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260320C00730000,5/30/2025 3:46 PM,730,0.92,0.00,0.00,0.00,0.00%,9,0,6.25%
BRKB260320C00740000,2025-09-06 11:36:00,740,0.71,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260320C00750000,6/13/2025 1:17 PM,750,0.65,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB260320P00240000,2025-11-06 10:55:00,240,0.82,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB260320P00250000,6/13/2025 9:35 AM,250,1.01,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB260320P00260000,2025-06-06 15:44:00,260,1.22,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB260320P00270000,6/13/2025 12:22 PM,270,1.23,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260320P00280000,5/13/2025 11:59 AM,280,1.50,1.49,1.63,0.00,0.00%,1,10,35.10%
BRKB260320P00290000,4/24/2025 10:06 AM,290,2.57,1.98,2.40,0.00,0.00%,-,1,35.71%
BRKB260320P00300000,6/16/2025 12:44 PM,300,1.78,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB260320P00310000,2025-05-05 12:10:00,310,3.10,1.51,3.65,0.00,0.00%,1,0,34.79%
BRKB260320P00320000,2025-12-06 09:51:00,320,2.39,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB260320P00330000,6/16/2025 10:26 AM,330,2.50,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320P00340000,2025-05-06 09:50:00,340,3.45,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320P00350000,2025-10-06 13:06:00,350,3.25,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB260320P00360000,6/17/2025 9:50 AM,360,4.00,0.00,0.00,0.00,0.00%,9,0,6.25%
BRKB260320P00370000,2025-12-06 15:05:00,370,4.42,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB260320P00380000,6/17/2025 11:04 AM,380,5.15,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320P00390000,2025-11-06 10:33:00,390,5.50,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB260320P00400000,6/13/2025 3:02 PM,400,7.12,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB260320P00410000,6/13/2025 3:40 PM,410,8.55,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB260320P00420000,6/13/2025 11:26 AM,420,9.10,0.00,0.00,0.00,0.00%,18,0,3.13%
BRKB260320P00430000,2025-12-06 10:42:00,430,10.55,0.00,0.00,0.00,0.00%,10,0,3.13%
BRKB260320P00440000,6/13/2025 11:26 AM,440,12.40,0.00,0.00,0.00,0.00%,18,0,3.13%
BRKB260320P00450000,6/17/2025 2:48 PM,450,16.00,0.00,0.00,0.00,0.00%,12,0,1.56%
BRKB260320P00460000,6/17/2025 2:47 PM,460,18.70,0.00,0.00,0.00,0.00%,10,0,1.56%
BRKB260320P00470000,6/17/2025 3:55 PM,470,22.00,0.00,0.00,0.00,0.00%,7,0,0.78%
BRKB260320P00480000,6/17/2025 3:48 PM,480,25.20,0.00,0.00,0.00,0.00%,11,0,0.20%
BRKB260320P00490000,6/17/2025 3:33 PM,490,29.34,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320P00500000,2025-10-06 10:34:00,500,30.75,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260320P00510000,2025-09-06 09:40:00,510,35.37,0.00,0.00,0.00,0.00%,59,0,0.00%
BRKB260320P00520000,6/16/2025 12:04 PM,520,40.70,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320P00530000,2025-09-06 10:32:00,530,47.18,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB260320P00540000,2025-09-06 10:32:00,540,54.04,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260320P00550000,6/17/2025 2:06 PM,550,67.68,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB260320P00560000,2025-05-06 11:27:00,560,73.80,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260320P00570000,2025-06-06 09:45:00,570,76.02,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260320P00580000,2025-05-06 11:27:00,580,93.15,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB260320P00590000,2025-12-06 15:54:00,590,100.55,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260320P00600000,2025-12-05 10:40:00,600,88.20,108.45,110.75,0.00,0.00%,2,0,0.00%
BRKB260320P00610000,2025-09-05 09:45:00,610,98.52,114.75,117.25,0.00,0.00%,1,0,0.00%
BRKB260320P00620000,2025-02-05 11:28:00,620,84.80,114.05,118.45,0.00,0.00%,1,0,0.00%
BRKB260320P00630000,2025-12-06 15:54:00,630,140.46,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB260320P00640000,2025-04-04 10:05:00,640,124.09,119.70,123.80,0.00,0.00%,2,0,0.00%
BRKB260320P00650000,2025-03-04 12:26:00,650,112.02,108.50,111.85,0.00,0.00%,50,0,0.00%
BRKB260320P00680000,4/28/2025 10:54 AM,680,145.55,172.20,174.05,0.00,0.00%,2,0,0.00%
BRKB260320P00700000,2025-03-04 12:26:00,700,161.87,158.20,161.65,0.00,0.00%,-,0,0.00%
BRKB260320P00750000,2025-07-04 15:23:00,750,261.00,235.00,238.35,0.00,0.00%,-,0,0.00%
