Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251121C00380000,6/16/2025 1:59 PM,380,119.30,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121C00400000,6/16/2025 2:15 PM,400,100.85,0.00,0.00,0.00,0.00%,106,0,0.00%
BRKB251121C00405000,2025-09-06 13:49:00,405,101.45,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251121C00420000,2025-12-06 10:09:00,420,79.90,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB251121C00425000,6/16/2025 2:25 PM,425,78.60,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB251121C00435000,6/16/2025 2:28 PM,435,70.45,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121C00440000,6/13/2025 12:32 PM,440,66.52,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB251121C00445000,2025-11-06 12:27:00,445,63.00,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB251121C00450000,6/17/2025 12:59 PM,450,54.67,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121C00460000,6/13/2025 2:48 PM,460,48.00,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB251121C00465000,6/16/2025 9:42 AM,465,47.10,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB251121C00470000,6/17/2025 1:59 PM,470,39.40,0.00,0.00,0.00,0.00%,6,0,0.00%
BRKB251121C00475000,6/16/2025 2:53 PM,475,39.50,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB251121C00480000,6/13/2025 3:13 PM,480,35.45,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB251121C00485000,6/17/2025 11:02 AM,485,31.30,0.00,0.00,0.00,0.00%,2,0,0.10%
BRKB251121C00490000,6/17/2025 11:56 AM,490,27.80,0.00,0.00,0.00,0.00%,5,0,0.39%
BRKB251121C00495000,6/17/2025 12:44 PM,495,24.90,0.00,0.00,0.00,0.00%,4,0,0.78%
BRKB251121C00500000,6/17/2025 1:30 PM,500,21.45,0.00,0.00,0.00,0.00%,7,0,1.56%
BRKB251121C00505000,6/17/2025 10:39 AM,505,20.60,0.00,0.00,0.00,0.00%,2,0,1.56%
BRKB251121C00510000,6/17/2025 11:12 AM,510,18.20,0.00,0.00,0.00,0.00%,4,0,1.56%
BRKB251121C00515000,6/17/2025 1:50 PM,515,15.50,0.00,0.00,0.00,0.00%,1,0,1.56%
BRKB251121C00520000,6/17/2025 11:39 AM,520,14.00,0.00,0.00,0.00,0.00%,8,0,3.13%
BRKB251121C00525000,6/17/2025 10:06 AM,525,12.85,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251121C00530000,6/17/2025 10:33 AM,530,11.10,0.00,0.00,0.00,0.00%,3,0,3.13%
BRKB251121C00535000,6/17/2025 11:07 AM,535,9.70,0.00,0.00,0.00,0.00%,3,0,3.13%
BRKB251121C00540000,6/17/2025 1:06 PM,540,8.25,0.00,0.00,0.00,0.00%,8,0,3.13%
BRKB251121C00545000,6/17/2025 11:48 AM,545,7.10,0.00,0.00,0.00,0.00%,7,0,3.13%
BRKB251121C00550000,6/16/2025 10:06 AM,550,7.30,0.00,0.00,0.00,0.00%,5,0,3.13%
BRKB251121C00555000,6/17/2025 1:58 PM,555,5.20,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251121C00560000,6/17/2025 10:26 AM,560,4.85,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251121C00565000,2025-12-06 10:45:00,565,4.65,0.00,0.00,0.00,0.00%,8,0,6.25%
BRKB251121C00570000,2025-11-06 10:53:00,570,4.25,0.00,0.00,0.00,0.00%,13,0,6.25%
BRKB251121C00575000,2025-10-06 10:41:00,575,3.80,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251121C00580000,2025-10-06 14:00:00,580,3.20,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251121C00590000,6/17/2025 10:25 AM,590,2.15,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251121C00600000,6/16/2025 3:51 PM,600,1.84,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB251121C00630000,6/17/2025 11:42 AM,630,0.90,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB251121C00640000,6/16/2025 10:44 AM,640,0.84,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251121C00680000,6/17/2025 10:07 AM,680,0.45,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB251121C00690000,6/17/2025 10:08 AM,690,0.41,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB251121C00710000,6/13/2025 3:20 PM,710,0.40,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121C00720000,6/13/2025 3:20 PM,720,0.38,0.00,0.00,0.00,0.00%,-,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251121P00250000,6/16/2025 1:59 PM,250,0.31,0.00,0.00,0.00,0.00%,20,0,25.00%
BRKB251121P00260000,2025-10-06 15:29:00,260,0.40,0.00,0.00,0.00,0.00%,15,0,12.50%
BRKB251121P00270000,2025-10-06 15:29:00,270,0.48,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00280000,2025-10-06 15:30:00,280,0.56,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00290000,2025-10-06 15:30:00,290,0.65,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00300000,2025-10-06 15:31:00,300,0.77,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00310000,2025-10-06 15:31:00,310,0.90,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00320000,6/16/2025 1:58 PM,320,1.02,0.00,0.00,0.00,0.00%,10,0,12.50%
BRKB251121P00350000,2025-11-06 14:04:00,350,1.65,0.00,0.00,0.00,0.00%,-,0,12.50%
BRKB251121P00360000,2025-10-06 11:17:00,360,1.95,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251121P00370000,2025-12-06 14:40:00,370,2.39,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251121P00380000,6/13/2025 3:53 PM,380,2.95,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251121P00400000,6/13/2025 9:34 AM,400,4.10,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251121P00405000,2025-12-06 12:28:00,405,4.20,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251121P00410000,2025-12-06 12:29:00,410,4.52,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251121P00420000,6/16/2025 12:42 PM,420,4.89,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251121P00425000,6/17/2025 1:28 PM,425,6.20,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB251121P00430000,6/13/2025 1:18 PM,430,6.40,0.00,0.00,0.00,0.00%,-,0,3.13%
BRKB251121P00435000,6/17/2025 12:21 PM,435,7.35,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251121P00440000,6/17/2025 3:10 PM,440,8.40,0.00,0.00,0.00,0.00%,150,0,3.13%
BRKB251121P00445000,6/17/2025 3:57 PM,445,9.52,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251121P00450000,6/17/2025 3:57 PM,450,10.54,0.00,0.00,0.00,0.00%,4,0,3.13%
BRKB251121P00455000,6/17/2025 12:03 PM,455,10.95,0.00,0.00,0.00,0.00%,2,0,1.56%
BRKB251121P00460000,6/17/2025 11:50 AM,460,12.10,0.00,0.00,0.00,0.00%,11,0,1.56%
BRKB251121P00465000,6/17/2025 1:30 PM,465,14.25,0.00,0.00,0.00,0.00%,3,0,1.56%
BRKB251121P00470000,6/17/2025 11:59 AM,470,14.95,0.00,0.00,0.00,0.00%,1,0,0.78%
BRKB251121P00475000,6/16/2025 10:17 AM,475,15.00,0.00,0.00,0.00,0.00%,1,0,0.78%
BRKB251121P00480000,6/17/2025 11:59 AM,480,18.40,0.00,0.00,0.00,0.00%,6,0,0.39%
BRKB251121P00485000,6/17/2025 11:18 AM,485,20.20,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB251121P00490000,6/17/2025 1:57 PM,490,23.30,0.00,0.00,0.00,0.00%,9,0,0.00%
BRKB251121P00495000,2025-12-06 14:14:00,495,23.75,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB251121P00500000,6/16/2025 10:08 AM,500,24.60,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121P00505000,6/16/2025 3:36 PM,505,28.07,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121P00510000,6/16/2025 10:55 AM,510,30.02,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251121P00540000,6/16/2025 2:52 PM,540,50.95,0.00,0.00,0.00,0.00%,1,0,0.00%
