Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251017C00390000,2025-09-06 13:48:00,390,111.96,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251017C00400000,6/16/2025 3:55 PM,400,99.60,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017C00410000,6/17/2025 9:38 AM,410,88.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017C00420000,2025-09-06 13:49:00,420,84.80,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251017C00430000,6/16/2025 10:51 AM,430,72.70,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017C00440000,6/17/2025 2:58 PM,440,58.40,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017C00450000,2025-11-06 14:44:00,450,53.49,0.00,0.00,0.00,0.00%,-,0,0.00%
BRKB251017C00460000,6/17/2025 11:25 AM,460,43.67,0.00,0.00,0.00,0.00%,12,0,0.00%
BRKB251017C00470000,6/13/2025 1:25 PM,470,37.65,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251017C00475000,6/17/2025 1:19 PM,475,31.85,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB251017C00480000,6/17/2025 2:41 PM,480,28.00,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017C00485000,6/17/2025 2:38 PM,485,25.14,0.00,0.00,0.00,0.00%,8,0,0.20%
BRKB251017C00490000,6/17/2025 12:09 PM,490,23.00,0.00,0.00,0.00,0.00%,13,0,0.78%
BRKB251017C00495000,6/17/2025 3:54 PM,495,19.90,0.00,0.00,0.00,0.00%,8,0,0.78%
BRKB251017C00500000,6/17/2025 3:07 PM,500,17.70,0.00,0.00,0.00,0.00%,9,0,1.56%
BRKB251017C00505000,6/17/2025 2:26 PM,505,15.30,0.00,0.00,0.00,0.00%,5,0,1.56%
BRKB251017C00510000,6/17/2025 2:26 PM,510,13.25,0.00,0.00,0.00,0.00%,24,0,1.56%
BRKB251017C00515000,6/17/2025 2:02 PM,515,11.40,0.00,0.00,0.00,0.00%,9,0,3.13%
BRKB251017C00520000,6/17/2025 2:26 PM,520,9.80,0.00,0.00,0.00,0.00%,10,0,3.13%
BRKB251017C00525000,6/17/2025 2:26 PM,525,8.35,0.00,0.00,0.00,0.00%,24,0,3.13%
BRKB251017C00530000,6/17/2025 11:07 AM,530,7.60,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017C00535000,6/17/2025 12:09 PM,535,6.20,0.00,0.00,0.00,0.00%,4,0,3.13%
BRKB251017C00540000,2025-12-06 12:50:00,540,5.90,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017C00550000,6/17/2025 2:43 PM,550,3.45,0.00,0.00,0.00,0.00%,8,0,6.25%
BRKB251017C00555000,2025-06-06 12:06:00,555,4.82,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251017C00560000,6/17/2025 1:11 PM,560,2.68,0.00,0.00,0.00,0.00%,13,0,6.25%
BRKB251017C00565000,2025-06-06 15:26:00,565,3.40,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB251017C00570000,6/16/2025 10:02 AM,570,2.40,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB251017C00580000,6/17/2025 2:06 PM,580,1.40,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251017C00585000,2025-10-06 11:18:00,585,1.65,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251017C00590000,2025-09-06 14:39:00,590,1.58,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251017C00730000,6/13/2025 9:34 AM,730,0.26,0.00,0.00,0.00,0.00%,-,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB251017P00250000,6/16/2025 1:58 PM,250,0.18,0.00,0.00,0.00,0.00%,10,0,25.00%
BRKB251017P00300000,6/16/2025 3:31 PM,300,0.48,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB251017P00340000,6/17/2025 10:34 AM,340,1.01,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB251017P00350000,6/16/2025 1:30 PM,350,1.12,0.00,0.00,0.00,0.00%,3,0,12.50%
BRKB251017P00380000,2025-06-06 10:17:00,380,1.80,0.00,0.00,0.00,0.00%,10,0,6.25%
BRKB251017P00390000,6/13/2025 3:53 PM,390,2.62,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251017P00400000,2025-11-06 14:00:00,400,2.55,0.00,0.00,0.00,0.00%,-,0,6.25%
BRKB251017P00410000,2025-09-06 15:06:00,410,3.19,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB251017P00420000,6/17/2025 10:50 AM,420,4.11,0.00,0.00,0.00,0.00%,4,0,6.25%
BRKB251017P00425000,6/17/2025 3:02 PM,425,4.90,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB251017P00430000,6/16/2025 10:06 AM,430,4.43,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017P00435000,2025-12-06 15:30:00,435,5.35,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017P00440000,6/16/2025 12:50 PM,440,5.70,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017P00445000,2025-11-06 12:11:00,445,6.40,0.00,0.00,0.00,0.00%,6,0,3.13%
BRKB251017P00450000,6/13/2025 3:38 PM,450,8.40,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017P00455000,2025-12-06 13:13:00,455,8.60,0.00,0.00,0.00,0.00%,1,0,3.13%
BRKB251017P00460000,6/17/2025 2:00 PM,460,10.75,0.00,0.00,0.00,0.00%,3,0,1.56%
BRKB251017P00465000,6/17/2025 12:21 PM,465,11.55,0.00,0.00,0.00,0.00%,1,0,1.56%
BRKB251017P00470000,6/17/2025 11:00 AM,470,12.50,0.00,0.00,0.00,0.00%,3,0,0.78%
BRKB251017P00475000,6/16/2025 10:55 AM,475,12.65,0.00,0.00,0.00,0.00%,1,0,0.78%
BRKB251017P00480000,6/17/2025 11:59 AM,480,16.10,0.00,0.00,0.00,0.00%,4,0,0.39%
BRKB251017P00485000,6/17/2025 12:05 PM,485,18.20,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251017P00490000,6/16/2025 12:33 PM,490,17.80,0.00,0.00,0.00,0.00%,23,0,0.00%
BRKB251017P00495000,6/16/2025 12:34 PM,495,20.00,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB251017P00500000,6/17/2025 2:37 PM,500,26.70,0.00,0.00,0.00,0.00%,4,0,0.00%
BRKB251017P00505000,6/13/2025 10:08 AM,505,27.40,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017P00510000,6/17/2025 2:37 PM,510,32.72,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB251017P00515000,2025-10-06 14:49:00,515,31.38,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017P00525000,6/13/2025 10:08 AM,525,40.98,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB251017P00540000,2025-09-06 09:31:00,540,48.50,0.00,0.00,0.00,0.00%,1,0,0.00%
