Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250919C00250000,2025-06-06 12:55:00,250,246.05,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00260000,2025-05-06 09:31:00,260,233.95,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00270000,4/16/2025 3:16 PM,270,250.00,246.75,250.25,0.00,0.00%,5,10,152.61%
BRKB250919C00280000,2025-05-06 09:31:00,280,214.30,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00290000,2025-03-06 09:47:00,290,215.03,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00300000,2025-05-06 09:57:00,300,191.90,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00310000,2025-04-06 15:58:00,310,186.23,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00320000,2025-05-06 09:31:00,320,175.15,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00330000,5/30/2025 3:54 PM,330,178.95,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00340000,5/20/2025 2:53 PM,340,174.88,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00350000,2025-11-06 10:55:00,350,146.44,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00355000,2025-08-04 09:40:00,355,161.50,164.35,168.10,0.00,0.00%,1,5,104.97%
BRKB250919C00360000,2025-12-06 12:37:00,360,132.75,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00365000,2025-02-06 14:11:00,365,142.07,0.00,0.00,0.00,0.00%,12,0,0.00%
BRKB250919C00370000,2025-11-06 14:16:00,370,124.15,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00375000,2/21/2025 2:42 PM,375,117.16,166.70,169.55,0.00,0.00%,5,6,123.58%
BRKB250919C00380000,2025-03-06 09:52:00,380,125.06,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB250919C00385000,2025-05-06 12:39:00,385,111.05,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250919C00390000,2025-12-06 09:30:00,390,102.00,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00395000,2025-09-06 09:37:00,395,104.67,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00400000,2025-12-06 13:51:00,400,95.51,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00405000,6/16/2025 2:46 PM,405,92.45,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB250919C00410000,2025-11-06 15:55:00,410,86.10,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00415000,5/22/2025 1:06 PM,415,99.85,0.00,0.00,0.00,0.00%,40,0,0.00%
BRKB250919C00420000,6/16/2025 3:56 PM,420,78.69,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00425000,2025-05-06 11:12:00,425,71.85,0.00,0.00,0.00,0.00%,513,0,0.00%
BRKB250919C00430000,6/17/2025 3:58 PM,430,63.73,0.00,0.00,0.00,0.00%,9,0,0.00%
BRKB250919C00435000,2025-12-06 09:31:00,435,60.15,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00440000,6/17/2025 9:30 AM,440,59.35,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00445000,2025-11-06 13:13:00,445,57.65,0.00,0.00,0.00,0.00%,10,0,0.00%
BRKB250919C00450000,6/17/2025 1:17 PM,450,47.44,0.00,0.00,0.00,0.00%,7,0,0.00%
BRKB250919C00455000,6/17/2025 1:57 PM,455,43.40,0.00,0.00,0.00,0.00%,2,0,0.00%
BRKB250919C00460000,6/17/2025 11:39 AM,460,40.22,0.00,0.00,0.00,0.00%,8,0,0.00%
BRKB250919C00465000,2025-12-06 09:43:00,465,36.66,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919C00470000,6/17/2025 1:33 PM,470,32.10,0.00,0.00,0.00,0.00%,11,0,0.00%
BRKB250919C00475000,6/16/2025 2:38 PM,475,32.00,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB250919C00480000,6/17/2025 3:55 PM,480,25.00,0.00,0.00,0.00,0.00%,28,0,0.00%
BRKB250919C00485000,6/17/2025 3:59 PM,485,21.85,0.00,0.00,0.00,0.00%,77,0,0.20%
BRKB250919C00490000,6/17/2025 3:56 PM,490,19.45,0.00,0.00,0.00,0.00%,26,0,0.78%
BRKB250919C00495000,6/17/2025 3:12 PM,495,17.05,0.00,0.00,0.00,0.00%,36,0,0.78%
BRKB250919C00500000,6/17/2025 3:22 PM,500,14.60,0.00,0.00,0.00,0.00%,42,0,1.56%
BRKB250919C00505000,6/17/2025 3:15 PM,505,12.50,0.00,0.00,0.00,0.00%,55,0,1.56%
BRKB250919C00510000,6/17/2025 3:23 PM,510,10.60,0.00,0.00,0.00,0.00%,48,0,3.13%
BRKB250919C00515000,6/17/2025 3:21 PM,515,8.80,0.00,0.00,0.00,0.00%,29,0,3.13%
BRKB250919C00520000,6/17/2025 3:46 PM,520,7.35,0.00,0.00,0.00,0.00%,68,0,3.13%
BRKB250919C00525000,6/17/2025 2:55 PM,525,6.10,0.00,0.00,0.00,0.00%,35,0,3.13%
BRKB250919C00530000,6/17/2025 2:57 PM,530,5.10,0.00,0.00,0.00,0.00%,7,0,3.13%
BRKB250919C00535000,6/17/2025 2:25 PM,535,4.05,0.00,0.00,0.00,0.00%,18,0,3.13%
BRKB250919C00540000,6/17/2025 3:54 PM,540,3.40,0.00,0.00,0.00,0.00%,71,0,3.13%
BRKB250919C00545000,6/17/2025 3:39 PM,545,2.93,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919C00550000,6/17/2025 2:58 PM,550,2.35,0.00,0.00,0.00,0.00%,36,0,6.25%
BRKB250919C00560000,6/17/2025 3:45 PM,560,1.67,0.00,0.00,0.00,0.00%,12,0,6.25%
BRKB250919C00570000,6/17/2025 1:39 PM,570,1.19,0.00,0.00,0.00,0.00%,23,0,6.25%
BRKB250919C00580000,6/17/2025 3:57 PM,580,0.92,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB250919C00590000,6/17/2025 10:35 AM,590,0.77,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250919C00600000,6/17/2025 10:45 AM,600,0.63,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919C00610000,6/13/2025 2:41 PM,610,0.62,0.00,0.00,0.00,0.00%,3,0,6.25%
BRKB250919C00620000,2025-06-06 12:07:00,620,0.54,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB250919C00630000,6/13/2025 9:34 AM,630,0.47,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919C00640000,2025-09-06 14:39:00,640,0.43,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919C00650000,2025-10-06 09:30:00,650,0.34,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250919C00660000,6/16/2025 11:59 AM,660,0.30,0.00,0.00,0.00,0.00%,25,0,12.50%
BRKB250919C00670000,6/16/2025 3:01 PM,670,0.28,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250919C00680000,2025-04-06 09:42:00,680,0.23,0.00,0.00,0.00,0.00%,5,0,12.50%
BRKB250919C00690000,2025-06-06 15:21:00,690,0.25,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919C00700000,6/17/2025 3:15 PM,700,0.20,0.00,0.00,0.00,0.00%,2,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BRKB250919P00250000,6/13/2025 9:34 AM,250,0.12,0.00,0.00,0.00,0.00%,2,0,25.00%
BRKB250919P00260000,6/16/2025 1:57 PM,260,0.13,0.00,0.00,0.00,0.00%,25,0,25.00%
BRKB250919P00270000,6/16/2025 1:57 PM,270,0.15,0.00,0.00,0.00,0.00%,20,0,25.00%
BRKB250919P00280000,6/17/2025 3:03 PM,280,0.21,0.00,0.00,0.00,0.00%,5,0,25.00%
BRKB250919P00290000,2025-12-06 13:38:00,290,0.27,0.00,0.00,0.00,0.00%,12,0,25.00%
BRKB250919P00300000,2025-12-06 13:37:00,300,0.34,0.00,0.00,0.00,0.00%,10,0,25.00%
BRKB250919P00310000,6/17/2025 12:51 PM,310,0.40,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00320000,2025-10-06 12:08:00,320,0.50,0.00,0.00,0.00,0.00%,2,0,12.50%
BRKB250919P00330000,2025-10-06 15:19:00,330,0.58,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00340000,6/17/2025 12:51 PM,340,0.73,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00350000,6/13/2025 1:18 PM,350,0.89,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00355000,5/23/2025 10:12 AM,355,1.42,0.00,0.00,0.00,0.00%,52,0,12.50%
BRKB250919P00360000,6/17/2025 10:12 AM,360,1.00,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00365000,6/16/2025 10:05 AM,365,0.96,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00370000,6/16/2025 1:12 PM,370,1.11,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00375000,2025-04-06 14:09:00,375,1.49,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00380000,6/16/2025 3:55 PM,380,1.35,0.00,0.00,0.00,0.00%,1,0,12.50%
BRKB250919P00385000,6/17/2025 2:41 PM,385,1.75,0.00,0.00,0.00,0.00%,32,0,6.25%
BRKB250919P00390000,6/17/2025 9:30 AM,390,1.72,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919P00395000,5/27/2025 1:27 PM,395,2.05,0.00,0.00,0.00,0.00%,5,0,6.25%
BRKB250919P00400000,6/17/2025 11:29 AM,400,2.16,0.00,0.00,0.00,0.00%,9,0,6.25%
BRKB250919P00405000,6/16/2025 1:26 PM,405,2.15,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919P00410000,6/17/2025 3:38 PM,410,2.92,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250919P00415000,6/17/2025 3:39 PM,415,3.25,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919P00420000,6/17/2025 3:33 PM,420,3.60,0.00,0.00,0.00,0.00%,7,0,6.25%
BRKB250919P00425000,6/17/2025 3:39 PM,425,4.05,0.00,0.00,0.00,0.00%,1,0,6.25%
BRKB250919P00430000,6/17/2025 3:38 PM,430,4.55,0.00,0.00,0.00,0.00%,2,0,6.25%
BRKB250919P00435000,6/17/2025 3:28 PM,435,5.00,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB250919P00440000,6/17/2025 3:52 PM,440,5.65,0.00,0.00,0.00,0.00%,22,0,3.13%
BRKB250919P00445000,6/17/2025 3:37 PM,445,6.50,0.00,0.00,0.00,0.00%,2,0,3.13%
BRKB250919P00450000,6/17/2025 3:41 PM,450,7.35,0.00,0.00,0.00,0.00%,16,0,3.13%
BRKB250919P00455000,6/17/2025 1:44 PM,455,7.75,0.00,0.00,0.00,0.00%,14,0,3.13%
BRKB250919P00460000,6/17/2025 3:30 PM,460,9.30,0.00,0.00,0.00,0.00%,34,0,1.56%
BRKB250919P00465000,6/17/2025 2:48 PM,465,10.65,0.00,0.00,0.00,0.00%,47,0,1.56%
BRKB250919P00470000,6/17/2025 3:21 PM,470,11.95,0.00,0.00,0.00,0.00%,39,0,1.56%
BRKB250919P00475000,6/17/2025 3:55 PM,475,13.80,0.00,0.00,0.00,0.00%,66,0,0.78%
BRKB250919P00480000,6/17/2025 3:44 PM,480,15.55,0.00,0.00,0.00,0.00%,67,0,0.39%
BRKB250919P00485000,6/17/2025 3:58 PM,485,17.80,0.00,0.00,0.00,0.00%,80,0,0.00%
BRKB250919P00490000,6/17/2025 2:49 PM,490,19.90,0.00,0.00,0.00,0.00%,52,0,0.00%
BRKB250919P00495000,6/17/2025 2:32 PM,495,22.30,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250919P00500000,6/17/2025 1:20 PM,500,24.50,0.00,0.00,0.00,0.00%,5,0,0.00%
BRKB250919P00505000,6/13/2025 12:25 PM,505,24.25,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919P00510000,6/17/2025 10:45 AM,510,28.76,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250919P00515000,6/17/2025 11:53 AM,515,33.08,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919P00520000,6/13/2025 12:57 PM,520,34.30,0.00,0.00,0.00,0.00%,9,0,0.00%
BRKB250919P00525000,6/17/2025 10:45 AM,525,39.83,0.00,0.00,0.00,0.00%,3,0,0.00%
BRKB250919P00530000,6/16/2025 9:33 AM,530,40.18,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919P00535000,6/13/2025 1:14 PM,535,47.40,0.00,0.00,0.00,0.00%,13,0,0.00%
BRKB250919P00540000,6/13/2025 1:15 PM,540,51.85,0.00,0.00,0.00,0.00%,13,0,0.00%
BRKB250919P00545000,6/17/2025 3:49 PM,545,61.80,0.00,0.00,0.00,0.00%,600,0,0.00%
BRKB250919P00550000,2025-11-06 11:16:00,550,59.00,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919P00560000,5/19/2025 3:14 PM,560,48.56,0.00,0.00,0.00,0.00%,1,0,0.00%
BRKB250919P00570000,2025-09-05 09:45:00,570,58.88,75.10,77.30,0.00,0.00%,1,0,0.00%
