Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250801C00135000,6/16/2025 3:51 PM,135,43.03,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL250801C00140000,6/17/2025 9:36 AM,140,37.76,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL250801C00150000,6/17/2025 10:24 AM,150,28.02,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250801C00155000,6/17/2025 11:34 AM,155,24.17,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL250801C00160000,6/16/2025 9:52 AM,160,19.04,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250801C00165000,6/17/2025 10:18 AM,165,15.62,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOGL250801C00170000,6/17/2025 3:57 PM,170,12.44,0.00,0.00,0.00,0.00%,17,0,0.00%
GOOGL250801C00175000,6/17/2025 3:03 PM,175,9.80,0.00,0.00,0.00,0.00%,107,0,0.00%
GOOGL250801C00180000,6/17/2025 3:59 PM,180,6.97,0.00,0.00,0.00,0.00%,21,0,1.56%
GOOGL250801C00185000,6/17/2025 3:27 PM,185,5.28,0.00,0.00,0.00,0.00%,63,0,3.13%
GOOGL250801C00190000,6/17/2025 3:24 PM,190,3.68,0.00,0.00,0.00,0.00%,60,0,6.25%
GOOGL250801C00195000,6/17/2025 3:49 PM,195,2.55,0.00,0.00,0.00,0.00%,68,0,6.25%
GOOGL250801C00200000,6/17/2025 3:14 PM,200,1.78,0.00,0.00,0.00,0.00%,35,0,6.25%
GOOGL250801C00205000,6/17/2025 3:06 PM,205,1.18,0.00,0.00,0.00,0.00%,8,0,12.50%
GOOGL250801C00210000,6/16/2025 2:24 PM,210,0.86,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOGL250801C00215000,6/16/2025 11:43 AM,215,0.44,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250801C00220000,6/17/2025 2:49 PM,220,0.60,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250801P00105000,6/16/2025 9:36 AM,105,0.10,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL250801P00110000,6/17/2025 10:32 AM,110,0.38,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250801P00120000,6/16/2025 2:36 PM,120,0.40,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250801P00125000,6/17/2025 12:54 PM,125,0.43,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250801P00140000,6/17/2025 1:50 PM,140,0.82,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL250801P00145000,6/17/2025 3:06 PM,145,1.06,0.00,0.00,0.00,0.00%,33,0,12.50%
GOOGL250801P00150000,6/17/2025 3:58 PM,150,0.80,0.00,0.00,0.00,0.00%,16,0,12.50%
GOOGL250801P00155000,6/17/2025 3:43 PM,155,2.02,0.00,0.00,0.00,0.00%,296,0,6.25%
GOOGL250801P00160000,6/17/2025 3:58 PM,160,2.40,0.00,0.00,0.00,0.00%,351,0,6.25%
GOOGL250801P00165000,6/17/2025 3:55 PM,165,3.88,0.00,0.00,0.00,0.00%,64,0,3.13%
GOOGL250801P00170000,6/17/2025 2:44 PM,170,5.60,0.00,0.00,0.00,0.00%,115,0,3.13%
GOOGL250801P00175000,6/17/2025 3:28 PM,175,7.35,0.00,0.00,0.00,0.00%,11,0,0.39%
GOOGL250801P00180000,6/17/2025 3:57 PM,180,9.95,0.00,0.00,0.00,0.00%,74,0,0.00%
GOOGL250801P00190000,6/17/2025 9:34 AM,190,15.81,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250801P00195000,6/13/2025 11:38 AM,195,20.42,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL250801P00200000,6/13/2025 10:46 AM,200,26.05,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL250801P00205000,6/13/2025 10:47 AM,205,30.75,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL250801P00210000,2025-12-06 15:34:00,210,34.15,0.00,0.00,0.00,0.00%,-,0,0.00%
