Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL261218C00050000,2025-06-06 09:48:00,50,124.50,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL261218C00055000,2025-07-05 13:18:00,55,99.40,120.35,124.25,0.00,0.00%,2,58,57.25%
GOOGL261218C00060000,5/29/2025 3:30 PM,60,115.41,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218C00065000,12/17/2024 11:09 AM,65,137.85,132.50,136.50,0.00,0.00%,1,8,130.76%
GOOGL261218C00070000,2025-11-06 15:30:00,70,112.84,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00075000,2025-07-05 12:55:00,75,80.50,102.30,106.10,0.00,0.00%,2,130,53.20%
GOOGL261218C00080000,2025-06-06 15:00:00,80,100.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00085000,2025-03-06 12:44:00,85,89.48,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218C00090000,2025-09-05 13:57:00,90,71.20,89.35,92.30,0.00,0.00%,1,61,53.39%
GOOGL261218C00095000,6/16/2025 2:22 PM,95,88.92,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218C00100000,6/13/2025 3:06 PM,100,84.34,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00105000,5/20/2025 12:38 PM,105,72.80,0.00,0.00,0.00,0.00%,9,0,0.00%
GOOGL261218C00110000,6/17/2025 9:30 AM,110,77.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00115000,6/16/2025 11:53 AM,115,72.10,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00120000,6/17/2025 3:51 PM,120,68.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00125000,2025-11-06 13:49:00,125,65.90,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218C00130000,2025-10-06 11:14:00,130,64.28,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00135000,6/13/2025 11:27 AM,135,57.50,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218C00140000,6/17/2025 3:57 PM,140,53.95,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00145000,6/17/2025 3:57 PM,145,50.65,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00150000,6/17/2025 2:30 PM,150,47.59,0.00,0.00,0.00,0.00%,24,0,0.00%
GOOGL261218C00155000,6/17/2025 10:05 AM,155,43.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00160000,6/17/2025 9:57 AM,160,40.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00165000,6/17/2025 1:54 PM,165,38.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00170000,6/17/2025 2:10 PM,170,35.90,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218C00175000,6/16/2025 3:12 PM,175,33.15,0.00,0.00,0.00,0.00%,50,0,0.00%
GOOGL261218C00180000,6/17/2025 2:29 PM,180,30.65,0.00,0.00,0.00,0.00%,11,0,0.39%
GOOGL261218C00185000,6/16/2025 11:26 AM,185,28.25,0.00,0.00,0.00,0.00%,1,0,0.78%
GOOGL261218C00190000,6/17/2025 12:56 PM,190,26.27,0.00,0.00,0.00,0.00%,1,0,1.56%
GOOGL261218C00195000,2025-10-06 12:18:00,195,26.55,0.00,0.00,0.00,0.00%,5,0,1.56%
GOOGL261218C00200000,6/17/2025 3:46 PM,200,22.35,0.00,0.00,0.00,0.00%,19,0,3.13%
GOOGL261218C00205000,6/16/2025 12:47 PM,205,20.06,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOGL261218C00210000,6/16/2025 3:40 PM,210,18.97,0.00,0.00,0.00,0.00%,8,0,3.13%
GOOGL261218C00215000,6/16/2025 3:22 PM,215,17.50,0.00,0.00,0.00,0.00%,62,0,3.13%
GOOGL261218C00220000,6/17/2025 1:33 PM,220,16.29,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL261218C00225000,6/16/2025 12:39 PM,225,14.33,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOGL261218C00230000,2025-11-06 12:00:00,230,14.50,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00235000,6/16/2025 12:37 PM,235,12.17,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL261218C00240000,6/16/2025 12:31 PM,240,11.21,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00245000,6/16/2025 12:30 PM,245,10.30,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00250000,6/17/2025 11:24 AM,250,9.90,0.00,0.00,0.00,0.00%,28,0,6.25%
GOOGL261218C00255000,6/13/2025 1:15 PM,255,9.13,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00260000,6/17/2025 10:52 AM,260,8.28,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00265000,6/17/2025 10:48 AM,265,7.65,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00270000,6/16/2025 12:17 PM,270,7.00,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218C00280000,6/16/2025 11:33 AM,280,6.00,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL261218C00290000,2025-05-06 11:41:00,290,4.43,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL261218C00300000,6/17/2025 12:13 PM,300,4.70,0.00,0.00,0.00,0.00%,31,0,6.25%
GOOGL261218C00310000,6/17/2025 12:10 PM,310,4.10,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL261218C00320000,5/30/2025 3:35 PM,320,3.20,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL261218C00330000,2025-09-06 09:30:00,330,3.11,0.00,0.00,0.00,0.00%,100,0,12.50%
GOOGL261218C00340000,2025-10-06 13:59:00,340,3.05,0.00,0.00,0.00,0.00%,18,0,12.50%
GOOGL261218C00350000,6/13/2025 11:38 AM,350,2.39,0.00,0.00,0.00,0.00%,41,0,12.50%
GOOGL261218C00360000,6/16/2025 11:33 AM,360,2.21,0.00,0.00,0.00,0.00%,52,0,12.50%
GOOGL261218C00370000,6/16/2025 11:33 AM,370,2.03,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL261218C00380000,6/17/2025 12:40 PM,380,1.92,0.00,0.00,0.00,0.00%,15,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL261218P00050000,6/16/2025 1:29 PM,50,0.35,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL261218P00055000,2025-03-06 10:52:00,55,0.56,0.00,0.00,0.00,0.00%,21,0,25.00%
GOOGL261218P00060000,2025-10-06 11:35:00,60,0.61,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL261218P00065000,6/17/2025 2:26 PM,65,0.85,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL261218P00070000,2025-08-05 12:09:00,70,1.43,0.95,1.09,0.00,0.00%,4,398,44.37%
GOOGL261218P00075000,2025-09-06 11:16:00,75,1.18,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL261218P00080000,6/16/2025 3:47 PM,80,1.47,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL261218P00085000,5/30/2025 1:21 PM,85,2.13,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL261218P00090000,6/16/2025 2:20 PM,90,2.13,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL261218P00095000,2025-10-06 12:31:00,95,2.32,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL261218P00100000,6/16/2025 1:31 PM,100,3.00,0.00,0.00,0.00,0.00%,12,0,12.50%
GOOGL261218P00105000,6/16/2025 3:47 PM,105,3.44,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL261218P00110000,6/17/2025 9:45 AM,110,4.18,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL261218P00115000,5/23/2025 11:26 AM,115,5.63,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218P00120000,6/17/2025 9:44 AM,120,5.61,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL261218P00125000,2025-09-06 09:45:00,125,6.58,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL261218P00130000,6/16/2025 10:31 AM,130,7.40,0.00,0.00,0.00,0.00%,230,0,6.25%
GOOGL261218P00135000,6/16/2025 11:45 AM,135,8.60,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL261218P00140000,6/17/2025 12:07 PM,140,9.60,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL261218P00145000,2025-11-06 12:07:00,145,10.75,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOGL261218P00150000,6/17/2025 2:15 PM,150,12.75,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL261218P00155000,2025-10-06 15:17:00,155,14.44,0.00,0.00,0.00,0.00%,11,0,3.13%
GOOGL261218P00160000,6/17/2025 1:48 PM,160,16.18,0.00,0.00,0.00,0.00%,14,0,1.56%
GOOGL261218P00165000,6/17/2025 1:04 PM,165,17.98,0.00,0.00,0.00,0.00%,5,0,1.56%
GOOGL261218P00170000,6/17/2025 1:04 PM,170,20.00,0.00,0.00,0.00,0.00%,25,0,0.78%
GOOGL261218P00175000,6/17/2025 11:16 AM,175,21.97,0.00,0.00,0.00,0.00%,5,0,0.10%
GOOGL261218P00180000,6/17/2025 11:08 AM,180,24.62,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218P00185000,5/21/2025 1:39 PM,185,30.10,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00190000,2025-03-06 10:56:00,190,34.95,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00195000,2025-02-06 12:27:00,195,37.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00200000,6/17/2025 12:11 PM,200,35.55,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL261218P00205000,5/28/2025 3:52 PM,205,42.20,0.00,0.00,0.00,0.00%,160,0,0.00%
GOOGL261218P00210000,5/15/2025 3:23 PM,210,51.29,43.40,44.20,0.00,0.00%,1,244,24.90%
GOOGL261218P00215000,5/21/2025 10:24 AM,215,51.35,0.00,0.00,0.00,0.00%,350,0,0.00%
GOOGL261218P00220000,2025-09-06 11:55:00,220,50.05,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL261218P00225000,6/17/2025 1:48 PM,225,53.86,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00230000,6/17/2025 2:15 PM,230,57.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00235000,2025-06-05 13:02:00,235,71.70,68.05,69.05,0.00,0.00%,2,20,31.25%
GOOGL261218P00240000,2025-08-05 13:15:00,240,85.03,67.70,68.70,0.00,0.00%,19,0,24.31%
GOOGL261218P00245000,3/25/2025 10:07 AM,245,75.85,85.10,88.30,0.00,0.00%,1,1,45.41%
GOOGL261218P00250000,2025-07-04 12:27:00,250,104.00,96.10,98.60,0.00,0.00%,1,0,51.46%
GOOGL261218P00255000,2/24/2025 2:20 PM,255,75.75,87.55,91.35,0.00,0.00%,-,0,38.78%
GOOGL261218P00260000,3/25/2025 2:41 PM,260,90.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL261218P00265000,1/28/2025 11:50 AM,265,73.42,92.50,97.50,0.00,0.00%,-,1,35.28%
GOOGL261218P00270000,2/27/2025 1:56 PM,270,99.01,114.25,116.85,0.00,0.00%,5,0,53.57%
GOOGL261218P00280000,2025-09-06 11:19:00,280,104.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL261218P00290000,1/24/2025 10:22 AM,290,91.87,108.00,113.00,0.00,0.00%,2,0,0.00%
GOOGL261218P00300000,4/26/2024 9:55 AM,300,126.01,122.50,127.50,0.00,0.00%,1,0,31.84%
GOOGL261218P00330000,6/26/2024 9:44 AM,330,145.00,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL261218P00350000,2024-01-11 11:01:00,350,178.55,175.00,180.00,0.00,0.00%,8,0,43.46%
GOOGL261218P00360000,2024-12-12 09:41:00,360,165.29,165.55,170.50,0.00,0.00%,-,0,0.00%
GOOGL261218P00370000,2/24/2025 10:17 AM,370,189.05,202.70,206.90,0.00,0.00%,2,0,54.16%
