Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL270115C00050000,6/17/2025 9:46 AM,50,128.55,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00055000,5/30/2025 12:32 PM,55,116.60,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115C00060000,5/15/2025 10:59 AM,60,108.85,116.80,120.25,0.00,0.00%,2,176,60.10%
GOOGL270115C00065000,5/19/2025 12:22 PM,65,104.55,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115C00070000,6/16/2025 11:21 AM,70,111.50,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL270115C00075000,2025-10-06 15:36:00,75,109.00,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL270115C00080000,2025-03-06 13:48:00,80,94.60,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL270115C00085000,5/27/2025 12:25 PM,85,94.23,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115C00090000,2025-10-06 09:49:00,90,97.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00095000,2025-04-06 15:35:00,95,81.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00100000,6/16/2025 1:48 PM,100,85.10,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115C00105000,5/30/2025 12:29 PM,105,74.30,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL270115C00110000,6/17/2025 3:49 PM,110,77.45,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL270115C00115000,2025-10-06 12:15:00,115,76.77,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00120000,6/13/2025 1:34 PM,120,69.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00125000,6/17/2025 3:14 PM,125,66.00,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL270115C00130000,6/17/2025 12:00 PM,130,62.69,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL270115C00135000,6/17/2025 9:45 AM,135,57.75,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115C00140000,6/17/2025 3:11 PM,140,55.37,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL270115C00145000,6/16/2025 12:29 PM,145,50.50,0.00,0.00,0.00,0.00%,50,0,0.00%
GOOGL270115C00150000,6/17/2025 3:56 PM,150,47.85,0.00,0.00,0.00,0.00%,9,0,0.00%
GOOGL270115C00155000,6/17/2025 2:08 PM,155,45.40,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL270115C00160000,6/17/2025 3:07 PM,160,42.50,0.00,0.00,0.00,0.00%,41,0,0.00%
GOOGL270115C00165000,6/17/2025 2:49 PM,165,39.36,0.00,0.00,0.00,0.00%,8,0,0.00%
GOOGL270115C00170000,6/17/2025 3:45 PM,170,36.83,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL270115C00175000,6/17/2025 11:12 AM,175,34.40,0.00,0.00,0.00,0.00%,221,0,0.00%
GOOGL270115C00180000,6/17/2025 1:39 PM,180,32.00,0.00,0.00,0.00,0.00%,8,0,0.39%
GOOGL270115C00185000,6/17/2025 2:18 PM,185,29.31,0.00,0.00,0.00,0.00%,4,0,0.78%
GOOGL270115C00190000,6/17/2025 1:12 PM,190,27.50,0.00,0.00,0.00,0.00%,19,0,1.56%
GOOGL270115C00195000,6/17/2025 12:59 PM,195,25.20,0.00,0.00,0.00,0.00%,6,0,1.56%
GOOGL270115C00200000,6/17/2025 3:49 PM,200,23.30,0.00,0.00,0.00,0.00%,71,0,1.56%
GOOGL270115C00205000,6/17/2025 1:11 PM,205,21.75,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOGL270115C00210000,6/17/2025 3:56 PM,210,19.75,0.00,0.00,0.00,0.00%,9,0,3.13%
GOOGL270115C00215000,6/16/2025 3:21 PM,215,18.25,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL270115C00220000,6/17/2025 3:51 PM,220,16.83,0.00,0.00,0.00,0.00%,28,0,3.13%
GOOGL270115C00225000,6/16/2025 3:14 PM,225,15.43,0.00,0.00,0.00,0.00%,3,0,3.13%
GOOGL270115C00230000,6/17/2025 1:19 PM,230,14.45,0.00,0.00,0.00,0.00%,20,0,3.13%
GOOGL270115C00235000,6/17/2025 2:42 PM,235,13.00,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL270115C00240000,6/16/2025 2:30 PM,240,12.14,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00245000,6/13/2025 1:43 PM,245,11.34,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00250000,6/17/2025 3:59 PM,250,10.31,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL270115C00255000,6/16/2025 2:25 PM,255,9.55,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00260000,6/16/2025 2:21 PM,260,8.83,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00265000,6/16/2025 2:12 PM,265,8.22,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00270000,6/16/2025 2:53 PM,270,7.55,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOGL270115C00275000,6/16/2025 2:09 PM,275,6.99,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL270115C00280000,6/13/2025 9:52 AM,280,6.10,0.00,0.00,0.00,0.00%,10,0,6.25%
GOOGL270115C00285000,6/16/2025 2:06 PM,285,6.12,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00290000,6/16/2025 2:04 PM,290,5.64,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL270115C00295000,6/16/2025 2:00 PM,295,5.28,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00300000,6/17/2025 3:05 PM,300,4.95,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL270115C00305000,6/16/2025 12:32 PM,305,4.45,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL270115C00310000,2025-09-06 09:30:00,310,4.23,0.00,0.00,0.00,0.00%,20,0,6.25%
GOOGL270115C00315000,6/17/2025 3:46 PM,315,4.02,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115C00320000,6/16/2025 10:04 AM,320,3.62,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115C00325000,2025-04-06 12:02:00,325,2.83,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115C00330000,2025-09-06 10:09:00,330,3.53,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115C00335000,2025-06-06 10:38:00,335,2.94,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115C00340000,2025-11-06 10:59:00,340,3.15,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115C00345000,6/16/2025 9:34 AM,345,2.58,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115C00350000,6/17/2025 10:25 AM,350,2.58,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115C00355000,6/17/2025 2:16 PM,355,2.45,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL270115C00360000,6/17/2025 3:59 PM,360,2.40,0.00,0.00,0.00,0.00%,34,0,12.50%
GOOGL270115C00365000,6/17/2025 2:18 PM,365,2.35,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL270115C00370000,6/17/2025 2:24 PM,370,2.11,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL270115C00380000,6/17/2025 3:34 PM,380,2.05,0.00,0.00,0.00,0.00%,17,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL270115P00050000,2025-10-06 15:08:00,50,0.40,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL270115P00055000,2025-11-06 11:03:00,55,0.52,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL270115P00060000,6/17/2025 12:36 PM,60,0.69,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115P00065000,6/17/2025 12:36 PM,65,0.88,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115P00070000,6/17/2025 12:36 PM,70,1.08,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115P00075000,2025-05-06 11:15:00,75,1.42,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115P00080000,2025-04-06 12:15:00,80,1.76,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115P00085000,2025-05-06 10:12:00,85,2.15,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL270115P00090000,5/29/2025 12:52 PM,90,2.48,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL270115P00095000,2025-06-06 12:09:00,95,2.68,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL270115P00100000,6/17/2025 3:09 PM,100,3.20,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL270115P00105000,2025-10-06 09:50:00,105,3.47,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL270115P00110000,2025-10-06 12:34:00,110,4.02,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOGL270115P00115000,2025-10-06 09:46:00,115,4.75,0.00,0.00,0.00,0.00%,37,0,6.25%
GOOGL270115P00120000,6/13/2025 10:59 AM,120,6.10,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL270115P00125000,6/17/2025 1:10 PM,125,6.70,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL270115P00130000,6/13/2025 11:11 AM,130,8.00,0.00,0.00,0.00,0.00%,851,0,6.25%
GOOGL270115P00135000,6/17/2025 3:51 PM,135,9.05,0.00,0.00,0.00,0.00%,11,0,3.13%
GOOGL270115P00140000,6/17/2025 12:10 PM,140,10.00,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOGL270115P00145000,6/13/2025 10:37 AM,145,12.10,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL270115P00150000,6/17/2025 2:46 PM,150,13.20,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOGL270115P00155000,6/17/2025 3:50 PM,155,14.75,0.00,0.00,0.00,0.00%,6,0,1.56%
GOOGL270115P00160000,6/17/2025 11:08 AM,160,16.40,0.00,0.00,0.00,0.00%,2,0,1.56%
GOOGL270115P00165000,2025-06-06 10:36:00,165,19.45,0.00,0.00,0.00,0.00%,5,0,1.56%
GOOGL270115P00170000,6/17/2025 3:16 PM,170,20.52,0.00,0.00,0.00,0.00%,4,0,0.78%
GOOGL270115P00175000,6/17/2025 2:46 PM,175,23.03,0.00,0.00,0.00,0.00%,1,0,0.10%
GOOGL270115P00180000,6/13/2025 2:35 PM,180,25.48,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115P00185000,6/17/2025 9:37 AM,185,27.97,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00190000,2025-04-06 13:10:00,190,35.10,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115P00195000,2025-06-06 14:00:00,195,34.82,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115P00200000,2025-11-06 10:58:00,200,34.96,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL270115P00205000,5/14/2025 2:10 PM,205,46.30,40.35,41.20,0.00,0.00%,1,242,25.22%
GOOGL270115P00210000,2025-09-06 11:47:00,210,43.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115P00215000,6/13/2025 12:08 PM,215,46.19,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL270115P00220000,2025-10-06 12:07:00,220,47.90,0.00,0.00,0.00,0.00%,30,0,0.00%
GOOGL270115P00225000,2025-09-06 15:18:00,225,54.03,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00230000,6/17/2025 12:15 PM,230,57.30,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL270115P00235000,2025-12-05 15:51:00,235,76.81,58.50,61.80,0.00,0.00%,1,92,19.27%
GOOGL270115P00240000,5/15/2025 11:46 AM,240,75.08,66.90,68.40,0.00,0.00%,2,0,23.20%
GOOGL270115P00245000,6/13/2025 12:08 PM,245,69.94,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL270115P00250000,2025-10-06 10:40:00,250,71.10,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00255000,6/17/2025 12:09 PM,255,78.95,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00260000,2025-12-03 15:21:00,260,92.77,99.30,106.75,0.00,0.00%,133,0,51.66%
GOOGL270115P00270000,2025-06-06 14:21:00,270,96.00,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL270115P00275000,5/22/2025 10:04 AM,275,99.20,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL270115P00280000,4/24/2025 3:19 PM,280,121.45,109.00,113.65,0.00,0.00%,2,0,38.73%
GOOGL270115P00290000,5/19/2025 10:54 AM,290,125.61,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00300000,3/28/2025 3:53 PM,300,146.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL270115P00320000,12/13/2024 10:44 AM,320,128.65,122.10,126.25,0.00,0.00%,2,0,0.00%
GOOGL270115P00350000,2025-07-03 12:23:00,350,179.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL270115P00360000,11/25/2024 10:02 AM,360,192.72,165.00,170.00,0.00,0.00%,2,0,0.00%
