Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250725C00105000,2025-06-06 13:18:00,105,68.50,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250725C00120000,2025-06-06 10:10:00,120,53.43,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250725C00125000,6/16/2025 10:23 AM,125,51.55,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250725C00130000,6/17/2025 9:30 AM,130,46.85,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL250725C00135000,6/17/2025 10:26 AM,135,41.93,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250725C00140000,6/16/2025 9:50 AM,140,36.33,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250725C00145000,6/16/2025 3:45 PM,145,33.37,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250725C00150000,6/17/2025 10:30 AM,150,27.68,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL250725C00155000,6/17/2025 3:25 PM,155,23.65,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250725C00160000,6/17/2025 11:04 AM,160,19.50,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL250725C00165000,6/17/2025 11:22 AM,165,15.50,0.00,0.00,0.00,0.00%,12,0,0.00%
GOOGL250725C00170000,6/17/2025 1:34 PM,170,12.02,0.00,0.00,0.00,0.00%,42,0,0.00%
GOOGL250725C00175000,6/17/2025 3:59 PM,175,8.25,0.00,0.00,0.00,0.00%,57,0,0.00%
GOOGL250725C00180000,6/17/2025 3:58 PM,180,5.80,0.00,0.00,0.00,0.00%,145,0,1.56%
GOOGL250725C00185000,6/17/2025 3:49 PM,185,4.15,0.00,0.00,0.00,0.00%,84,0,3.13%
GOOGL250725C00190000,6/17/2025 3:54 PM,190,2.96,0.00,0.00,0.00,0.00%,232,0,6.25%
GOOGL250725C00195000,6/17/2025 3:28 PM,195,1.75,0.00,0.00,0.00,0.00%,131,0,6.25%
GOOGL250725C00200000,6/17/2025 3:58 PM,200,1.05,0.00,0.00,0.00,0.00%,161,0,6.25%
GOOGL250725C00205000,6/17/2025 3:29 PM,205,0.70,0.00,0.00,0.00,0.00%,17,0,12.50%
GOOGL250725C00210000,6/17/2025 1:32 PM,210,0.55,0.00,0.00,0.00,0.00%,81,0,12.50%
GOOGL250725C00215000,6/17/2025 9:58 AM,215,0.42,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL250725C00220000,6/17/2025 12:14 PM,220,0.34,0.00,0.00,0.00,0.00%,16,0,12.50%
GOOGL250725C00230000,2025-12-06 12:04:00,230,0.36,0.00,0.00,0.00,0.00%,-,0,12.50%
GOOGL250725C00235000,6/17/2025 11:17 AM,235,0.17,0.00,0.00,0.00,0.00%,3,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250725P00080000,2025-10-06 13:27:00,80,0.05,0.00,0.00,0.00,0.00%,-,0,50.00%
GOOGL250725P00095000,2025-12-06 09:30:00,95,0.06,0.00,0.00,0.00,0.00%,-,0,50.00%
GOOGL250725P00100000,6/13/2025 12:44 PM,100,0.11,0.00,0.00,0.00,0.00%,-,0,25.00%
GOOGL250725P00110000,6/13/2025 1:36 PM,110,0.15,0.00,0.00,0.00,0.00%,-,0,25.00%
GOOGL250725P00125000,6/17/2025 3:35 PM,125,0.22,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL250725P00130000,6/17/2025 10:31 AM,130,0.26,0.00,0.00,0.00,0.00%,10,0,25.00%
GOOGL250725P00135000,6/17/2025 10:31 AM,135,0.34,0.00,0.00,0.00,0.00%,11,0,12.50%
GOOGL250725P00140000,6/17/2025 12:13 PM,140,0.52,0.00,0.00,0.00,0.00%,17,0,12.50%
GOOGL250725P00145000,6/17/2025 3:48 PM,145,0.72,0.00,0.00,0.00,0.00%,18,0,12.50%
GOOGL250725P00150000,6/17/2025 2:44 PM,150,1.05,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL250725P00155000,6/17/2025 3:51 PM,155,1.40,0.00,0.00,0.00,0.00%,25,0,6.25%
GOOGL250725P00160000,6/17/2025 3:51 PM,160,2.01,0.00,0.00,0.00,0.00%,68,0,6.25%
GOOGL250725P00165000,6/17/2025 3:23 PM,165,3.04,0.00,0.00,0.00,0.00%,33,0,6.25%
GOOGL250725P00170000,6/17/2025 2:43 PM,170,4.60,0.00,0.00,0.00,0.00%,60,0,3.13%
GOOGL250725P00175000,6/17/2025 3:51 PM,175,6.35,0.00,0.00,0.00,0.00%,164,0,0.39%
GOOGL250725P00180000,6/17/2025 3:57 PM,180,8.92,0.00,0.00,0.00,0.00%,87,0,0.00%
GOOGL250725P00185000,6/17/2025 3:57 PM,185,11.98,0.00,0.00,0.00,0.00%,106,0,0.00%
GOOGL250725P00190000,6/17/2025 2:07 PM,190,15.36,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250725P00195000,6/17/2025 9:55 AM,195,20.85,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL250725P00200000,6/17/2025 11:12 AM,200,23.57,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250725P00205000,2025-11-06 13:49:00,205,27.54,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL250725P00230000,2025-11-06 13:49:00,230,52.88,0.00,0.00,0.00,0.00%,-,0,0.00%
