Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL260618C00050000,5/20/2025 10:38 AM,50,119.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00055000,4/17/2025 3:43 PM,55,99.40,112.15,115.75,0.00,0.00%,1,31,0.00%
GOOGL260618C00060000,5/27/2025 12:05 PM,60,114.35,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL260618C00065000,4/21/2025 2:52 PM,65,85.33,106.35,108.35,0.00,0.00%,1,5,0.00%
GOOGL260618C00070000,2025-11-06 11:12:00,70,112.22,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00075000,5/19/2025 1:05 PM,75,94.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00080000,2025-10-06 14:48:00,80,102.82,0.00,0.00,0.00,0.00%,111,0,0.00%
GOOGL260618C00085000,2025-12-06 11:37:00,85,96.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00090000,5/21/2025 12:00 PM,90,87.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00095000,2025-09-06 13:25:00,95,86.62,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618C00100000,2025-12-06 11:04:00,100,82.29,0.00,0.00,0.00,0.00%,12,0,0.00%
GOOGL260618C00105000,6/13/2025 9:40 AM,105,75.92,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618C00110000,6/16/2025 12:37 PM,110,72.08,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL260618C00115000,6/13/2025 1:48 PM,115,69.30,0.00,0.00,0.00,0.00%,52,0,0.00%
GOOGL260618C00120000,6/16/2025 3:53 PM,120,65.15,0.00,0.00,0.00,0.00%,34,0,0.00%
GOOGL260618C00125000,6/17/2025 9:45 AM,125,59.75,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00130000,6/13/2025 1:09 PM,130,57.10,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618C00135000,2025-12-06 09:53:00,135,52.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00140000,6/17/2025 3:36 PM,140,49.12,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618C00145000,6/17/2025 3:53 PM,145,45.10,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL260618C00150000,6/17/2025 11:32 AM,150,41.80,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL260618C00155000,6/17/2025 3:20 PM,155,38.76,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618C00160000,6/17/2025 2:16 PM,160,35.15,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL260618C00165000,6/17/2025 3:01 PM,165,32.00,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL260618C00170000,6/17/2025 2:27 PM,170,29.03,0.00,0.00,0.00,0.00%,29,0,0.00%
GOOGL260618C00175000,6/17/2025 2:02 PM,175,26.53,0.00,0.00,0.00,0.00%,28,0,0.00%
GOOGL260618C00180000,6/17/2025 3:50 PM,180,24.10,0.00,0.00,0.00,0.00%,98,0,0.78%
GOOGL260618C00185000,6/17/2025 1:50 PM,185,21.72,0.00,0.00,0.00,0.00%,22,0,1.56%
GOOGL260618C00190000,6/17/2025 11:27 AM,190,19.65,0.00,0.00,0.00,0.00%,13,0,1.56%
GOOGL260618C00195000,6/17/2025 12:58 PM,195,17.55,0.00,0.00,0.00,0.00%,54,0,3.13%
GOOGL260618C00200000,6/17/2025 3:43 PM,200,15.65,0.00,0.00,0.00,0.00%,127,0,3.13%
GOOGL260618C00205000,6/17/2025 10:34 AM,205,13.95,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOGL260618C00210000,6/17/2025 12:43 PM,210,12.84,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOGL260618C00215000,6/17/2025 3:07 PM,215,11.39,0.00,0.00,0.00,0.00%,5,0,3.13%
GOOGL260618C00220000,6/17/2025 1:50 PM,220,10.00,0.00,0.00,0.00,0.00%,7,0,6.25%
GOOGL260618C00225000,6/17/2025 1:53 PM,225,8.90,0.00,0.00,0.00,0.00%,6,0,6.25%
GOOGL260618C00230000,6/17/2025 12:35 PM,230,8.20,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL260618C00235000,6/17/2025 12:33 PM,235,7.37,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL260618C00240000,6/16/2025 10:41 AM,240,6.03,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL260618C00245000,6/13/2025 3:10 PM,245,5.60,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL260618C00250000,6/17/2025 3:38 PM,250,5.17,0.00,0.00,0.00,0.00%,11,0,6.25%
GOOGL260618C00255000,6/17/2025 3:46 PM,255,4.61,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260618C00260000,6/16/2025 2:09 PM,260,4.04,0.00,0.00,0.00,0.00%,10,0,6.25%
GOOGL260618C00265000,6/13/2025 1:28 PM,265,3.78,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL260618C00270000,6/16/2025 11:57 AM,270,3.25,0.00,0.00,0.00,0.00%,15,0,6.25%
GOOGL260618C00280000,6/17/2025 2:21 PM,280,2.79,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260618C00290000,2025-10-06 11:52:00,290,2.80,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618C00300000,6/13/2025 12:22 PM,300,2.00,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL260618C00310000,2025-10-06 10:08:00,310,2.03,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260618C00320000,2025-10-06 10:08:00,320,1.81,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260618C00330000,2025-10-06 15:17:00,330,1.40,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618C00340000,6/17/2025 3:42 PM,340,1.11,0.00,0.00,0.00,0.00%,8,0,12.50%
GOOGL260618C00350000,6/17/2025 9:30 AM,350,1.01,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260618C00360000,2025-10-06 15:34:00,360,1.03,0.00,0.00,0.00,0.00%,60,0,12.50%
GOOGL260618C00370000,2025-04-06 10:28:00,370,0.67,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618C00380000,6/16/2025 11:02 AM,380,0.75,0.00,0.00,0.00,0.00%,21,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL260618P00050000,5/14/2025 2:40 PM,50,0.19,0.16,0.28,0.00,0.00%,2,41,56.01%
GOOGL260618P00055000,5/16/2025 3:01 PM,55,0.24,0.18,0.38,0.00,0.00%,41,128,53.71%
GOOGL260618P00060000,2025-03-06 15:26:00,60,0.36,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL260618P00065000,2025-09-05 15:45:00,65,0.62,0.41,0.46,0.00,0.00%,406,401,50.05%
GOOGL260618P00070000,2025-06-06 13:07:00,70,0.54,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL260618P00075000,5/21/2025 1:37 PM,75,0.68,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOGL260618P00080000,6/17/2025 9:42 AM,80,0.84,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618P00085000,2025-09-06 10:30:00,85,0.99,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618P00090000,6/13/2025 3:25 PM,90,1.31,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL260618P00095000,6/17/2025 12:17 PM,95,1.48,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260618P00100000,6/17/2025 3:56 PM,100,1.85,0.00,0.00,0.00,0.00%,299,0,12.50%
GOOGL260618P00105000,2025-11-06 15:26:00,105,2.10,0.00,0.00,0.00,0.00%,95,0,12.50%
GOOGL260618P00110000,6/17/2025 2:27 PM,110,2.60,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260618P00115000,6/16/2025 9:30 AM,115,3.15,0.00,0.00,0.00,0.00%,6,0,6.25%
GOOGL260618P00120000,6/16/2025 2:01 PM,120,3.65,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOGL260618P00125000,6/17/2025 10:39 AM,125,4.22,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260618P00130000,6/17/2025 12:52 PM,130,4.95,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260618P00135000,6/16/2025 3:58 PM,135,5.81,0.00,0.00,0.00,0.00%,19,0,6.25%
GOOGL260618P00140000,6/17/2025 12:48 PM,140,6.75,0.00,0.00,0.00,0.00%,50,0,6.25%
GOOGL260618P00145000,6/17/2025 3:58 PM,145,8.15,0.00,0.00,0.00,0.00%,629,0,3.13%
GOOGL260618P00150000,6/17/2025 12:50 PM,150,9.25,0.00,0.00,0.00,0.00%,53,0,3.13%
GOOGL260618P00155000,6/17/2025 3:58 PM,155,11.00,0.00,0.00,0.00,0.00%,296,0,3.13%
GOOGL260618P00160000,6/17/2025 3:57 PM,160,12.65,0.00,0.00,0.00,0.00%,44,0,1.56%
GOOGL260618P00165000,6/17/2025 3:49 PM,165,14.35,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOGL260618P00170000,6/17/2025 2:27 PM,170,16.44,0.00,0.00,0.00,0.00%,4,0,0.78%
GOOGL260618P00175000,6/17/2025 1:00 PM,175,18.45,0.00,0.00,0.00,0.00%,4,0,0.20%
GOOGL260618P00180000,6/17/2025 1:48 PM,180,20.89,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00185000,6/13/2025 11:17 AM,185,23.75,0.00,0.00,0.00,0.00%,19,0,0.00%
GOOGL260618P00190000,6/16/2025 10:44 AM,190,26.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618P00195000,6/17/2025 9:47 AM,195,29.75,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260618P00200000,6/16/2025 2:07 PM,200,32.75,0.00,0.00,0.00,0.00%,30,0,0.00%
GOOGL260618P00205000,6/16/2025 3:26 PM,205,35.64,0.00,0.00,0.00,0.00%,112,0,0.00%
GOOGL260618P00210000,6/16/2025 3:47 PM,210,38.93,0.00,0.00,0.00,0.00%,132,0,0.00%
GOOGL260618P00215000,6/17/2025 3:57 PM,215,43.50,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00220000,2025-10-06 11:53:00,220,44.70,0.00,0.00,0.00,0.00%,12,0,0.00%
GOOGL260618P00225000,2025-09-06 15:18:00,225,51.53,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00230000,5/22/2025 10:18 AM,230,56.50,0.00,0.00,0.00,0.00%,18,0,0.00%
GOOGL260618P00235000,5/27/2025 9:34 AM,235,65.35,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00240000,6/17/2025 12:44 PM,240,63.85,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL260618P00245000,2025-10-02 11:25:00,245,59.50,80.05,84.25,0.00,0.00%,8,0,49.44%
GOOGL260618P00250000,3/17/2025 10:29 AM,250,85.30,97.25,100.70,0.00,0.00%,1,0,65.39%
GOOGL260618P00255000,2/27/2025 10:48 AM,255,85.00,99.50,102.00,0.00,0.00%,1,1,62.03%
GOOGL260618P00260000,2025-10-01 11:24:00,260,69.70,72.90,76.05,0.00,0.00%,2,1,0.00%
GOOGL260618P00270000,1/22/2025 11:01 AM,270,72.06,88.00,92.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00280000,1/30/2025 10:29 AM,280,81.59,107.00,112.00,0.00,0.00%,2,0,45.49%
GOOGL260618P00290000,2025-06-01 12:28:00,290,92.17,102.25,106.85,0.00,0.00%,-,0,0.00%
GOOGL260618P00300000,2025-12-06 14:32:00,300,124.00,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL260618P00330000,11/21/2024 9:56 AM,330,161.93,136.00,141.00,0.00,0.00%,2,0,0.00%
GOOGL260618P00340000,11/21/2024 9:54 AM,340,171.79,146.00,151.00,0.00,0.00%,-,0,0.00%
GOOGL260618P00350000,11/22/2024 10:39 AM,350,182.75,153.80,157.90,0.00,0.00%,5,0,0.00%
GOOGL260618P00370000,2025-10-02 14:52:00,370,183.36,204.50,209.50,0.00,0.00%,5,0,70.43%
GOOGL260618P00380000,2025-05-03 10:39:00,380,209.44,232.00,237.00,0.00,0.00%,2,0,99.88%
