Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL260320C00075000,5/29/2025 10:48 AM,75,100.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00080000,2025-09-06 09:30:00,80,98.23,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00085000,5/16/2025 2:16 PM,85,84.78,93.75,95.50,0.00,0.00%,1,10,67.85%
GOOGL260320C00090000,5/29/2025 11:59 AM,90,84.66,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00095000,5/21/2025 1:15 PM,95,80.10,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00100000,6/17/2025 10:00 AM,100,79.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00105000,6/17/2025 9:41 AM,105,75.46,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL260320C00110000,6/16/2025 12:37 PM,110,70.48,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL260320C00115000,2025-11-06 14:40:00,115,68.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00120000,6/17/2025 2:46 PM,120,62.50,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260320C00125000,6/13/2025 9:59 AM,125,56.49,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00130000,6/16/2025 12:25 PM,130,53.07,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL260320C00135000,6/13/2025 3:37 PM,135,49.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260320C00140000,6/17/2025 1:40 PM,140,46.20,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00145000,6/17/2025 2:48 PM,145,42.22,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00150000,6/17/2025 3:53 PM,150,38.30,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOGL260320C00155000,6/17/2025 12:57 PM,155,35.05,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320C00160000,6/17/2025 2:29 PM,160,31.38,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL260320C00165000,6/17/2025 1:19 PM,165,28.70,0.00,0.00,0.00,0.00%,27,0,0.00%
GOOGL260320C00170000,6/17/2025 1:49 PM,170,25.40,0.00,0.00,0.00,0.00%,69,0,0.00%
GOOGL260320C00175000,6/17/2025 3:12 PM,175,23.12,0.00,0.00,0.00,0.00%,122,0,0.00%
GOOGL260320C00180000,6/17/2025 3:27 PM,180,20.45,0.00,0.00,0.00,0.00%,47,0,0.78%
GOOGL260320C00185000,6/17/2025 3:55 PM,185,17.80,0.00,0.00,0.00,0.00%,23,0,1.56%
GOOGL260320C00190000,6/17/2025 2:20 PM,190,15.60,0.00,0.00,0.00,0.00%,33,0,1.56%
GOOGL260320C00195000,6/17/2025 2:05 PM,195,13.80,0.00,0.00,0.00,0.00%,78,0,3.13%
GOOGL260320C00200000,6/17/2025 1:56 PM,200,12.10,0.00,0.00,0.00,0.00%,56,0,3.13%
GOOGL260320C00205000,6/17/2025 3:44 PM,205,10.55,0.00,0.00,0.00,0.00%,20,0,3.13%
GOOGL260320C00210000,6/17/2025 3:26 PM,210,9.30,0.00,0.00,0.00,0.00%,56,0,3.13%
GOOGL260320C00215000,6/17/2025 3:38 PM,215,8.00,0.00,0.00,0.00,0.00%,12,0,6.25%
GOOGL260320C00220000,6/17/2025 3:12 PM,220,7.05,0.00,0.00,0.00,0.00%,17,0,6.25%
GOOGL260320C00225000,6/13/2025 2:07 PM,225,6.05,0.00,0.00,0.00,0.00%,24,0,6.25%
GOOGL260320C00230000,6/17/2025 10:54 AM,230,5.13,0.00,0.00,0.00,0.00%,12,0,6.25%
GOOGL260320C00235000,6/17/2025 3:07 PM,235,4.60,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL260320C00240000,6/17/2025 3:52 PM,240,3.95,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260320C00245000,6/13/2025 12:49 PM,245,3.52,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL260320C00250000,6/17/2025 12:01 PM,250,3.05,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260320C00255000,2025-10-06 11:32:00,255,3.30,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL260320C00260000,6/17/2025 10:57 AM,260,2.31,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL260320C00265000,2025-12-06 12:13:00,265,2.16,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320C00270000,6/13/2025 9:44 AM,270,1.80,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320C00280000,6/13/2025 3:39 PM,280,1.44,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260320C00290000,6/17/2025 12:35 PM,290,1.28,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320C00300000,6/17/2025 12:01 PM,300,1.04,0.00,0.00,0.00,0.00%,2,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL260320P00075000,2025-06-06 12:11:00,75,0.43,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOGL260320P00080000,2025-03-06 13:05:00,80,0.57,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL260320P00085000,2025-02-06 10:44:00,85,0.78,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL260320P00090000,2025-06-06 09:35:00,90,0.90,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320P00095000,2025-12-06 10:26:00,95,0.95,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320P00100000,2025-09-06 10:23:00,100,1.18,0.00,0.00,0.00,0.00%,7,0,12.50%
GOOGL260320P00105000,2025-10-06 12:50:00,105,1.25,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320P00110000,2025-11-06 15:53:00,110,1.68,0.00,0.00,0.00,0.00%,42,0,12.50%
GOOGL260320P00115000,6/13/2025 12:49 PM,115,2.06,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL260320P00120000,6/16/2025 3:46 PM,120,2.41,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL260320P00125000,2025-12-06 11:07:00,125,3.03,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL260320P00130000,6/17/2025 11:28 AM,130,3.55,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL260320P00135000,6/16/2025 1:22 PM,135,4.43,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL260320P00140000,6/17/2025 11:47 AM,140,5.04,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL260320P00145000,6/17/2025 3:07 PM,145,6.30,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL260320P00150000,6/17/2025 3:17 PM,150,7.45,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOGL260320P00155000,6/17/2025 3:53 PM,155,8.90,0.00,0.00,0.00,0.00%,82,0,3.13%
GOOGL260320P00160000,6/17/2025 3:07 PM,160,10.35,0.00,0.00,0.00,0.00%,21,0,3.13%
GOOGL260320P00165000,6/17/2025 2:47 PM,165,12.25,0.00,0.00,0.00,0.00%,30,0,1.56%
GOOGL260320P00170000,6/17/2025 2:09 PM,170,14.05,0.00,0.00,0.00,0.00%,1,0,0.78%
GOOGL260320P00175000,6/17/2025 2:09 PM,175,16.20,0.00,0.00,0.00,0.00%,4,0,0.20%
GOOGL260320P00180000,6/17/2025 2:00 PM,180,18.70,0.00,0.00,0.00,0.00%,65,0,0.00%
GOOGL260320P00185000,6/16/2025 11:38 AM,185,21.48,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260320P00190000,6/17/2025 2:14 PM,190,24.13,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL260320P00195000,6/16/2025 11:38 AM,195,27.45,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL260320P00200000,6/17/2025 1:10 PM,200,30.20,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL260320P00205000,6/17/2025 9:39 AM,205,34.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320P00210000,6/13/2025 11:47 AM,210,37.65,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL260320P00215000,6/17/2025 12:11 PM,215,41.06,0.00,0.00,0.00,0.00%,25,0,0.00%
GOOGL260320P00220000,6/17/2025 12:44 PM,220,45.30,0.00,0.00,0.00,0.00%,28,0,0.00%
GOOGL260320P00225000,6/17/2025 12:26 PM,225,49.60,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320P00230000,5/21/2025 11:21 AM,230,58.30,0.00,0.00,0.00,0.00%,12,0,0.00%
GOOGL260320P00235000,3/25/2025 9:38 AM,235,66.50,73.50,77.70,0.00,0.00%,1,0,55.95%
GOOGL260320P00245000,5/28/2025 3:57 PM,245,72.71,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320P00250000,5/28/2025 3:57 PM,250,77.65,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL260320P00255000,1/27/2025 11:47 AM,255,62.83,82.00,87.00,0.00,0.00%,-,0,45.96%
GOOGL260320P00280000,1/31/2025 3:39 PM,280,77.45,0.00,0.00,0.00,0.00%,5,0,0.00%
