Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL251121C00070000,2025-12-06 12:37:00,70,108.13,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00075000,5/20/2025 1:00 PM,75,94.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00080000,6/17/2025 9:56 AM,80,96.85,0.00,0.00,0.00,0.00%,13,0,0.00%
GOOGL251121C00090000,5/22/2025 10:21 AM,90,88.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00095000,5/21/2025 11:05 AM,95,79.45,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00100000,6/17/2025 11:17 AM,100,79.70,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL251121C00105000,2025-10-06 11:53:00,105,78.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00110000,2025-04-06 10:22:00,110,60.49,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL251121C00115000,2025-09-06 13:47:00,115,64.59,0.00,0.00,0.00,0.00%,42,0,0.00%
GOOGL251121C00120000,6/17/2025 2:28 PM,120,59.70,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL251121C00125000,2025-06-06 10:40:00,125,52.16,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00130000,6/13/2025 10:33 AM,130,49.20,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00135000,2025-10-06 10:00:00,135,49.04,0.00,0.00,0.00,0.00%,14,0,0.00%
GOOGL251121C00140000,6/17/2025 12:58 PM,140,42.25,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00145000,2025-12-06 15:16:00,145,37.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00150000,6/16/2025 3:21 PM,150,34.01,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL251121C00155000,6/17/2025 2:08 PM,155,30.15,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOGL251121C00160000,6/17/2025 2:42 PM,160,26.41,0.00,0.00,0.00,0.00%,35,0,0.00%
GOOGL251121C00165000,6/17/2025 3:32 PM,165,23.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121C00170000,6/16/2025 3:49 PM,170,20.35,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL251121C00175000,6/17/2025 2:40 PM,175,17.15,0.00,0.00,0.00,0.00%,19,0,0.00%
GOOGL251121C00180000,6/17/2025 3:11 PM,180,14.88,0.00,0.00,0.00,0.00%,43,0,0.78%
GOOGL251121C00185000,6/17/2025 2:31 PM,185,12.34,0.00,0.00,0.00,0.00%,52,0,1.56%
GOOGL251121C00190000,6/17/2025 3:59 PM,190,10.25,0.00,0.00,0.00,0.00%,4,0,3.13%
GOOGL251121C00195000,6/17/2025 3:03 PM,195,8.70,0.00,0.00,0.00,0.00%,24,0,3.13%
GOOGL251121C00200000,6/17/2025 12:59 PM,200,7.20,0.00,0.00,0.00,0.00%,53,0,3.13%
GOOGL251121C00205000,6/17/2025 11:23 AM,205,5.92,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL251121C00210000,6/17/2025 2:43 PM,210,4.80,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL251121C00215000,6/17/2025 10:28 AM,215,3.85,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL251121C00220000,6/17/2025 9:43 AM,220,3.05,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOGL251121C00225000,6/16/2025 9:38 AM,225,2.50,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL251121C00230000,6/17/2025 1:18 PM,230,2.31,0.00,0.00,0.00,0.00%,12,0,6.25%
GOOGL251121C00235000,6/16/2025 3:59 PM,235,1.91,0.00,0.00,0.00,0.00%,20,0,12.50%
GOOGL251121C00240000,6/13/2025 10:20 AM,240,1.53,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL251121C00245000,2025-03-06 09:43:00,245,1.03,0.00,0.00,0.00,0.00%,30,0,12.50%
GOOGL251121C00250000,6/16/2025 10:44 AM,250,1.10,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL251121C00255000,6/13/2025 1:17 PM,255,1.04,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121C00260000,2025-11-06 14:23:00,260,0.99,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121C00265000,2025-11-06 09:43:00,265,0.93,0.00,0.00,0.00,0.00%,7,0,12.50%
GOOGL251121C00270000,6/16/2025 11:06 AM,270,0.65,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL251121C00275000,2025-11-06 15:14:00,275,0.71,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121C00280000,2025-09-06 09:30:00,280,0.58,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121C00290000,5/23/2025 3:47 PM,290,0.57,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL251121C00295000,5/27/2025 3:30 PM,295,0.52,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121C00300000,6/17/2025 9:57 AM,300,0.34,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOGL251121C00305000,2025-07-05 09:30:00,305,0.20,0.00,0.00,0.00,0.00%,-,1,12.50%
GOOGL251121C00325000,5/21/2025 10:19 AM,325,0.34,0.00,0.00,0.00,0.00%,60,0,25.00%
GOOGL251121C00330000,2025-10-06 12:10:00,330,0.31,0.00,0.00,0.00,0.00%,1,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL251121P00070000,6/16/2025 3:00 PM,70,0.11,0.00,0.00,0.00,0.00%,25,0,25.00%
GOOGL251121P00075000,2025-04-06 12:15:00,75,0.22,0.00,0.00,0.00,0.00%,7,0,25.00%
GOOGL251121P00080000,5/20/2025 10:42 AM,80,0.26,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL251121P00085000,2025-10-06 10:28:00,85,0.23,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL251121P00090000,2025-10-06 09:36:00,90,0.35,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL251121P00095000,2025-10-06 10:36:00,95,0.39,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL251121P00100000,6/17/2025 12:51 PM,100,0.50,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121P00105000,2025-10-06 15:47:00,105,0.65,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121P00110000,6/16/2025 9:30 AM,110,0.92,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121P00115000,6/16/2025 12:14 PM,115,1.02,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251121P00120000,6/17/2025 11:21 AM,120,1.20,0.00,0.00,0.00,0.00%,31,0,12.50%
GOOGL251121P00125000,6/17/2025 3:13 PM,125,1.57,0.00,0.00,0.00,0.00%,31,0,12.50%
GOOGL251121P00130000,6/17/2025 10:13 AM,130,1.95,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL251121P00135000,6/17/2025 12:37 PM,135,2.33,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL251121P00140000,6/17/2025 9:30 AM,140,3.05,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOGL251121P00145000,6/17/2025 12:18 PM,145,3.60,0.00,0.00,0.00,0.00%,93,0,6.25%
GOOGL251121P00150000,6/17/2025 12:51 PM,150,4.60,0.00,0.00,0.00,0.00%,71,0,6.25%
GOOGL251121P00155000,6/17/2025 2:35 PM,155,5.90,0.00,0.00,0.00,0.00%,91,0,3.13%
GOOGL251121P00160000,6/17/2025 2:37 PM,160,7.20,0.00,0.00,0.00,0.00%,115,0,3.13%
GOOGL251121P00165000,6/17/2025 3:51 PM,165,8.70,0.00,0.00,0.00,0.00%,239,0,3.13%
GOOGL251121P00170000,6/17/2025 2:07 PM,170,10.60,0.00,0.00,0.00,0.00%,2,0,1.56%
GOOGL251121P00175000,6/17/2025 1:59 PM,175,12.70,0.00,0.00,0.00,0.00%,382,0,0.20%
GOOGL251121P00180000,6/17/2025 1:47 PM,180,15.10,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOGL251121P00185000,6/13/2025 9:44 AM,185,19.55,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251121P00190000,6/17/2025 11:17 AM,190,20.28,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL251121P00195000,6/17/2025 12:49 PM,195,23.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121P00205000,6/16/2025 9:49 AM,205,32.55,0.00,0.00,0.00,0.00%,9,0,0.00%
GOOGL251121P00210000,4/24/2025 2:06 PM,210,51.91,41.65,44.35,0.00,0.00%,-,7,46.88%
GOOGL251121P00220000,2025-10-06 09:31:00,220,44.60,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251121P00225000,2025-09-06 14:19:00,225,49.62,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL251121P00230000,2025-09-06 14:19:00,230,54.37,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL251121P00250000,2025-06-06 13:37:00,250,77.03,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251121P00255000,5/21/2025 10:31 AM,255,85.00,0.00,0.00,0.00,0.00%,-,0,0.00%
