Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL251017C00070000,5/14/2025 2:34 PM,70,96.95,105.15,106.75,0.00,0.00%,-,23,88.72%
GOOGL251017C00075000,2025-03-06 14:27:00,75,93.60,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL251017C00080000,6/13/2025 3:22 PM,80,96.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00085000,5/14/2025 10:47 AM,85,80.07,90.00,92.50,0.00,0.00%,1,2,60.74%
GOOGL251017C00090000,5/27/2025 2:48 PM,90,84.44,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00095000,5/21/2025 10:46 AM,95,77.25,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017C00100000,2025-12-06 10:10:00,100,77.30,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00105000,6/17/2025 9:56 AM,105,71.95,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017C00110000,2025-08-05 12:23:00,110,48.60,65.00,66.35,0.00,0.00%,18,265,43.12%
GOOGL251017C00115000,6/17/2025 9:56 AM,115,62.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00120000,2025-11-06 13:58:00,120,59.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00125000,5/20/2025 12:06 PM,125,45.83,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017C00130000,6/13/2025 10:11 AM,130,47.71,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00135000,6/17/2025 11:14 AM,135,46.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00140000,6/17/2025 1:09 PM,140,40.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017C00145000,6/16/2025 10:56 AM,145,35.95,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL251017C00150000,6/17/2025 1:28 PM,150,32.20,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOGL251017C00155000,6/17/2025 1:19 PM,155,28.40,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL251017C00160000,6/17/2025 3:53 PM,160,24.10,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOGL251017C00165000,6/17/2025 1:09 PM,165,20.88,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017C00170000,6/17/2025 2:44 PM,170,17.40,0.00,0.00,0.00,0.00%,9,0,0.00%
GOOGL251017C00175000,6/17/2025 3:39 PM,175,14.75,0.00,0.00,0.00,0.00%,93,0,0.00%
GOOGL251017C00180000,6/17/2025 3:53 PM,180,11.90,0.00,0.00,0.00,0.00%,202,0,0.78%
GOOGL251017C00185000,6/17/2025 12:54 PM,185,9.89,0.00,0.00,0.00,0.00%,63,0,1.56%
GOOGL251017C00190000,6/17/2025 3:48 PM,190,7.90,0.00,0.00,0.00,0.00%,78,0,3.13%
GOOGL251017C00195000,6/17/2025 3:52 PM,195,6.20,0.00,0.00,0.00,0.00%,27,0,3.13%
GOOGL251017C00200000,6/17/2025 3:36 PM,200,5.00,0.00,0.00,0.00,0.00%,127,0,6.25%
GOOGL251017C00205000,6/17/2025 3:52 PM,205,3.85,0.00,0.00,0.00,0.00%,45,0,6.25%
GOOGL251017C00210000,6/17/2025 3:17 PM,210,3.15,0.00,0.00,0.00,0.00%,50,0,6.25%
GOOGL251017C00215000,6/17/2025 3:12 PM,215,2.49,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOGL251017C00220000,6/17/2025 1:52 PM,220,1.95,0.00,0.00,0.00,0.00%,18,0,6.25%
GOOGL251017C00225000,6/17/2025 2:23 PM,225,1.54,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOGL251017C00230000,6/13/2025 1:47 PM,230,1.32,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL251017C00235000,6/13/2025 11:22 AM,235,1.08,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL251017C00240000,6/13/2025 10:08 AM,240,0.84,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017C00245000,6/16/2025 3:38 PM,245,0.71,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL251017C00250000,6/17/2025 9:30 AM,250,0.62,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017C00255000,6/17/2025 9:51 AM,255,0.50,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017C00260000,2025-12-06 14:56:00,260,0.49,0.00,0.00,0.00,0.00%,35,0,12.50%
GOOGL251017C00265000,2025-12-06 14:56:00,265,0.44,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL251017C00270000,2025-11-06 14:23:00,270,0.44,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017C00275000,2025-12-06 09:58:00,275,0.37,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOGL251017C00280000,5/22/2025 2:54 PM,280,0.47,0.00,0.00,0.00,0.00%,7,0,12.50%
GOOGL251017C00285000,3/20/2025 3:53 PM,285,0.34,0.13,0.23,0.00,0.00%,1,3,37.74%
GOOGL251017C00290000,5/27/2025 10:29 AM,290,0.37,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL251017C00295000,2025-11-06 11:46:00,295,0.29,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017C00300000,5/21/2025 11:55 AM,300,0.33,0.00,0.00,0.00,0.00%,107,0,25.00%
GOOGL251017C00305000,5/15/2025 2:12 PM,305,0.23,0.16,0.21,0.00,0.00%,1,15,41.60%
GOOGL251017C00310000,2025-06-06 09:43:00,310,0.19,0.00,0.00,0.00,0.00%,3,0,25.00%
GOOGL251017C00320000,2025-12-06 09:36:00,320,0.18,0.00,0.00,0.00,0.00%,3,0,25.00%
GOOGL251017C00325000,5/21/2025 10:37 AM,325,0.22,0.00,0.00,0.00,0.00%,-,0,25.00%
GOOGL251017C00330000,2025-11-06 10:11:00,330,0.17,0.00,0.00,0.00,0.00%,3,0,25.00%
GOOGL251017C00345000,2025-09-06 09:31:00,345,0.12,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL251017C00350000,6/17/2025 12:10 PM,350,0.10,0.00,0.00,0.00,0.00%,1,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL251017P00070000,6/16/2025 2:59 PM,70,0.07,0.00,0.00,0.00,0.00%,18,0,25.00%
GOOGL251017P00075000,2025-04-06 15:02:00,75,0.13,0.00,0.00,0.00,0.00%,15,0,25.00%
GOOGL251017P00080000,2025-09-06 14:59:00,80,0.15,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL251017P00085000,2025-10-06 10:48:00,85,0.15,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOGL251017P00090000,2025-11-06 10:26:00,90,0.20,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL251017P00095000,2025-05-06 10:51:00,95,0.37,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL251017P00100000,6/17/2025 10:03 AM,100,0.33,0.00,0.00,0.00,0.00%,4,0,25.00%
GOOGL251017P00105000,2025-11-06 15:57:00,105,0.44,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL251017P00110000,2025-10-06 12:55:00,110,0.51,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017P00115000,6/13/2025 9:32 AM,115,0.78,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL251017P00120000,6/17/2025 1:02 PM,120,0.88,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL251017P00125000,6/17/2025 12:25 PM,125,0.96,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL251017P00130000,6/16/2025 10:16 AM,130,1.30,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL251017P00135000,6/17/2025 2:44 PM,135,1.74,0.00,0.00,0.00,0.00%,15,0,12.50%
GOOGL251017P00140000,6/17/2025 12:25 PM,140,2.01,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOGL251017P00145000,6/16/2025 1:20 PM,145,2.75,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOGL251017P00150000,6/17/2025 12:23 PM,150,3.30,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOGL251017P00155000,6/17/2025 2:44 PM,155,4.54,0.00,0.00,0.00,0.00%,19,0,6.25%
GOOGL251017P00160000,6/17/2025 2:25 PM,160,5.60,0.00,0.00,0.00,0.00%,36,0,3.13%
GOOGL251017P00165000,6/17/2025 3:51 PM,165,7.24,0.00,0.00,0.00,0.00%,10,0,3.13%
GOOGL251017P00170000,6/17/2025 2:44 PM,170,8.95,0.00,0.00,0.00,0.00%,86,0,1.56%
GOOGL251017P00175000,6/17/2025 2:20 PM,175,10.95,0.00,0.00,0.00,0.00%,1,0,0.20%
GOOGL251017P00180000,6/17/2025 3:10 PM,180,13.15,0.00,0.00,0.00,0.00%,112,0,0.00%
GOOGL251017P00185000,6/17/2025 3:57 PM,185,16.20,0.00,0.00,0.00,0.00%,125,0,0.00%
GOOGL251017P00190000,6/17/2025 2:21 PM,190,19.30,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL251017P00195000,5/30/2025 12:28 PM,195,28.85,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOGL251017P00200000,6/13/2025 9:55 AM,200,28.42,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017P00205000,2025-12-06 14:43:00,205,30.75,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017P00210000,6/13/2025 9:54 AM,210,37.04,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017P00215000,2/27/2025 10:34 AM,215,45.78,60.10,61.00,0.00,0.00%,-,1,85.13%
GOOGL251017P00220000,5/22/2025 11:29 AM,220,48.00,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL251017P00225000,5/22/2025 10:22 AM,225,49.70,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL251017P00230000,5/27/2025 2:23 PM,230,57.31,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL251017P00240000,5/20/2025 10:46 AM,240,73.33,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL251017P00250000,5/23/2025 12:04 PM,250,81.05,0.00,0.00,0.00,0.00%,16,0,0.00%
GOOGL251017P00260000,5/19/2025 10:06 AM,260,94.40,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOGL251017P00265000,5/14/2025 12:14 PM,265,97.50,88.40,91.25,0.00,0.00%,12,0,50.10%
GOOGL251017P00270000,5/29/2025 1:22 PM,270,98.26,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL251017P00350000,2025-10-06 15:44:00,350,171.48,0.00,0.00,0.00,0.00%,1,0,0.00%
