Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250919C00025000,2025-09-06 10:19:00,25,151.10,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL250919C00030000,12/16/2024 1:26 PM,30,169.94,164.45,165.30,0.00,0.00%,4,4,535.99%
GOOGL250919C00035000,4/28/2025 10:35 AM,35,126.10,137.85,138.65,0.00,0.00%,10,7,0.00%
GOOGL250919C00040000,2025-08-04 09:44:00,40,110.90,112.25,114.65,0.00,0.00%,-,0,0.00%
GOOGL250919C00045000,2025-08-04 09:44:00,45,105.92,107.25,109.70,0.00,0.00%,-,0,0.00%
GOOGL250919C00050000,4/29/2025 1:47 PM,50,111.35,122.00,122.80,0.00,0.00%,1,2,0.00%
GOOGL250919C00055000,4/29/2025 1:47 PM,55,106.40,117.15,117.80,0.00,0.00%,-,45,0.00%
GOOGL250919C00060000,2025-06-06 15:46:00,60,114.73,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOGL250919C00065000,2/21/2025 12:00 PM,65,117.92,100.20,101.95,0.00,0.00%,1,1,0.00%
GOOGL250919C00070000,2025-04-02 10:00:00,70,136.47,0.00,0.00,0.00,0.00%,1,6,0.00%
GOOGL250919C00075000,2025-11-03 15:24:00,75,92.00,82.00,84.60,0.00,0.00%,14,140,0.00%
GOOGL250919C00080000,2025-09-06 09:30:00,80,95.58,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00085000,2025-07-05 11:45:00,85,69.60,87.75,90.10,0.00,0.00%,20,494,0.00%
GOOGL250919C00090000,2025-06-06 15:55:00,90,85.00,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOGL250919C00095000,2025-06-06 15:52:00,95,80.14,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOGL250919C00100000,6/17/2025 11:41 AM,100,78.15,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00105000,2025-09-06 15:50:00,105,73.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250919C00110000,6/16/2025 12:12 PM,110,67.55,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00115000,6/16/2025 2:20 PM,115,62.65,0.00,0.00,0.00,0.00%,76,0,0.00%
GOOGL250919C00120000,6/13/2025 11:22 AM,120,58.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00125000,6/13/2025 2:45 PM,125,52.85,0.00,0.00,0.00,0.00%,61,0,0.00%
GOOGL250919C00130000,6/17/2025 3:43 PM,130,48.55,0.00,0.00,0.00,0.00%,34,0,0.00%
GOOGL250919C00135000,6/13/2025 1:58 PM,135,44.58,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOGL250919C00140000,6/16/2025 12:59 PM,140,38.36,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOGL250919C00145000,6/13/2025 11:13 AM,145,34.76,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00150000,6/17/2025 2:27 PM,150,30.55,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919C00155000,6/17/2025 3:24 PM,155,26.96,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOGL250919C00160000,6/17/2025 2:46 PM,160,22.75,0.00,0.00,0.00,0.00%,36,0,0.00%
GOOGL250919C00165000,6/17/2025 3:40 PM,165,19.30,0.00,0.00,0.00,0.00%,16,0,0.00%
GOOGL250919C00170000,6/17/2025 3:30 PM,170,16.17,0.00,0.00,0.00,0.00%,138,0,0.00%
GOOGL250919C00175000,6/17/2025 3:51 PM,175,12.98,0.00,0.00,0.00,0.00%,207,0,0.00%
GOOGL250919C00180000,6/17/2025 3:59 PM,180,10.25,0.00,0.00,0.00,0.00%,434,0,1.56%
GOOGL250919C00185000,6/17/2025 3:59 PM,185,8.01,0.00,0.00,0.00,0.00%,732,0,3.13%
GOOGL250919C00190000,6/17/2025 3:54 PM,190,6.30,0.00,0.00,0.00,0.00%,201,0,3.13%
GOOGL250919C00195000,6/17/2025 3:28 PM,195,5.00,0.00,0.00,0.00,0.00%,336,0,6.25%
GOOGL250919C00200000,6/17/2025 3:59 PM,200,3.65,0.00,0.00,0.00,0.00%,699,0,6.25%
GOOGL250919C00205000,6/17/2025 3:44 PM,205,2.89,0.00,0.00,0.00,0.00%,1.039,0,6.25%
GOOGL250919C00210000,6/17/2025 3:38 PM,210,2.22,0.00,0.00,0.00,0.00%,42,0,6.25%
GOOGL250919C00215000,6/17/2025 3:38 PM,215,1.71,0.00,0.00,0.00,0.00%,14,0,6.25%
GOOGL250919C00220000,6/17/2025 3:23 PM,220,1.34,0.00,0.00,0.00,0.00%,37,0,12.50%
GOOGL250919C00225000,6/17/2025 3:51 PM,225,1.05,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOGL250919C00230000,6/17/2025 9:59 AM,230,0.80,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOGL250919C00235000,6/17/2025 11:27 AM,235,0.69,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL250919C00240000,6/17/2025 10:35 AM,240,0.56,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919C00245000,6/16/2025 11:25 AM,245,0.46,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919C00250000,6/17/2025 3:54 PM,250,0.42,0.00,0.00,0.00,0.00%,18,0,12.50%
GOOGL250919C00255000,6/16/2025 10:16 AM,255,0.33,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL250919C00260000,2025-10-06 11:26:00,260,0.45,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919C00265000,6/13/2025 2:34 PM,265,0.27,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919C00270000,2025-06-06 13:31:00,270,0.25,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919C00275000,6/16/2025 9:30 AM,275,0.19,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL250919C00280000,2025-11-06 09:39:00,280,0.26,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL250919C00285000,6/17/2025 9:42 AM,285,0.16,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOGL250919C00290000,6/13/2025 9:30 AM,290,0.15,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250919C00300000,6/17/2025 11:55 AM,300,0.12,0.00,0.00,0.00,0.00%,15,0,25.00%
GOOGL250919C00310000,2025-04-06 13:54:00,310,0.13,0.00,0.00,0.00,0.00%,12,0,25.00%
GOOGL250919C00320000,2025-05-06 11:46:00,320,0.10,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250919C00330000,2025-04-06 12:42:00,330,0.09,0.00,0.00,0.00,0.00%,20,0,25.00%
GOOGL250919C00340000,2025-03-06 15:52:00,340,0.09,0.00,0.00,0.00,0.00%,70,0,25.00%
GOOGL250919C00350000,2025-03-06 11:03:00,350,0.07,0.00,0.00,0.00,0.00%,20,0,25.00%
GOOGL250919C00360000,2025-11-06 09:45:00,360,0.05,0.00,0.00,0.00,0.00%,200,0,25.00%
GOOGL250919C00370000,2025-09-06 12:35:00,370,0.03,0.00,0.00,0.00,0.00%,11,0,25.00%
GOOGL250919C00380000,2025-12-06 09:30:00,380,0.05,0.00,0.00,0.00,0.00%,10,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOGL250919P00025000,2025-02-05 10:56:00,25,0.02,0.00,0.01,0.00,0.00%,1,624,115.63%
GOOGL250919P00030000,3/13/2025 9:30 AM,30,0.02,0.00,0.13,0.00,0.00%,2,23,133.20%
GOOGL250919P00035000,2025-01-04 10:21:00,35,0.04,0.00,0.02,0.00,0.00%,1,13,101.56%
GOOGL250919P00040000,4/29/2025 11:34 AM,40,0.02,0.00,0.03,0.00,0.00%,3,4,96.88%
GOOGL250919P00045000,2025-12-05 11:19:00,45,0.02,0.00,0.02,0.00,0.00%,1,6,85.94%
GOOGL250919P00050000,2025-08-05 13:07:00,50,0.02,0.00,0.03,0.00,0.00%,1,11,82.81%
GOOGL250919P00055000,2025-11-06 12:36:00,55,0.02,0.00,0.00,0.00,0.00%,4,0,50.00%
GOOGL250919P00060000,6/16/2025 2:59 PM,60,0.03,0.00,0.00,0.00,0.00%,13,0,50.00%
GOOGL250919P00065000,5/22/2025 11:29 AM,65,0.05,0.00,0.00,0.00,0.00%,5,0,50.00%
GOOGL250919P00070000,5/28/2025 10:49 AM,70,0.06,0.00,0.00,0.00,0.00%,1,0,50.00%
GOOGL250919P00075000,2025-06-06 09:30:00,75,0.11,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250919P00080000,6/13/2025 2:26 PM,80,0.10,0.00,0.00,0.00,0.00%,50,0,25.00%
GOOGL250919P00085000,6/16/2025 3:44 PM,85,0.11,0.00,0.00,0.00,0.00%,25,0,25.00%
GOOGL250919P00090000,6/16/2025 9:30 AM,90,0.16,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOGL250919P00095000,6/16/2025 9:30 AM,95,0.21,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOGL250919P00100000,6/16/2025 3:55 PM,100,0.22,0.00,0.00,0.00,0.00%,7,0,25.00%
GOOGL250919P00105000,6/17/2025 12:34 PM,105,0.29,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOGL250919P00110000,6/13/2025 2:09 PM,110,0.41,0.00,0.00,0.00,0.00%,21,0,25.00%
GOOGL250919P00115000,6/17/2025 11:24 AM,115,0.47,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOGL250919P00120000,6/17/2025 12:26 PM,120,0.55,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOGL250919P00125000,6/17/2025 3:43 PM,125,0.76,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOGL250919P00130000,6/17/2025 3:54 PM,130,1.00,0.00,0.00,0.00,0.00%,9,0,12.50%
GOOGL250919P00135000,6/17/2025 2:25 PM,135,1.27,0.00,0.00,0.00,0.00%,24,0,12.50%
GOOGL250919P00140000,6/17/2025 3:18 PM,140,1.65,0.00,0.00,0.00,0.00%,552,0,12.50%
GOOGL250919P00145000,6/17/2025 3:35 PM,145,2.16,0.00,0.00,0.00,0.00%,66,0,6.25%
GOOGL250919P00150000,6/17/2025 3:54 PM,150,2.83,0.00,0.00,0.00,0.00%,250,0,6.25%
GOOGL250919P00155000,6/17/2025 3:54 PM,155,3.70,0.00,0.00,0.00,0.00%,34,0,6.25%
GOOGL250919P00160000,6/17/2025 3:35 PM,160,4.75,0.00,0.00,0.00,0.00%,71,0,3.13%
GOOGL250919P00165000,6/17/2025 3:49 PM,165,6.06,0.00,0.00,0.00,0.00%,39,0,3.13%
GOOGL250919P00170000,6/17/2025 3:54 PM,170,7.90,0.00,0.00,0.00,0.00%,2.238,0,1.56%
GOOGL250919P00175000,6/17/2025 3:35 PM,175,9.85,0.00,0.00,0.00,0.00%,430,0,0.39%
GOOGL250919P00180000,6/17/2025 2:41 PM,180,12.45,0.00,0.00,0.00,0.00%,139,0,0.00%
GOOGL250919P00185000,6/17/2025 3:58 PM,185,15.30,0.00,0.00,0.00,0.00%,17,0,0.00%
GOOGL250919P00190000,6/17/2025 3:40 PM,190,18.30,0.00,0.00,0.00,0.00%,57,0,0.00%
GOOGL250919P00195000,6/16/2025 3:54 PM,195,21.60,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL250919P00200000,6/13/2025 11:37 AM,200,26.00,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOGL250919P00205000,5/22/2025 3:51 PM,205,35.00,0.00,0.00,0.00,0.00%,60,0,0.00%
GOOGL250919P00210000,6/17/2025 12:49 PM,210,33.95,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919P00215000,5/21/2025 11:18 AM,215,42.85,0.00,0.00,0.00,0.00%,9,0,0.00%
GOOGL250919P00220000,6/16/2025 9:49 AM,220,45.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919P00225000,5/14/2025 2:34 PM,225,59.45,49.90,52.20,0.00,0.00%,2,0,44.57%
GOOGL250919P00230000,6/13/2025 11:01 AM,230,54.66,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919P00235000,5/14/2025 9:56 AM,235,74.53,59.70,62.30,0.00,0.00%,1,4,50.03%
GOOGL250919P00240000,2025-08-05 15:40:00,240,85.00,65.60,67.60,0.00,0.00%,1,0,53.81%
GOOGL250919P00245000,1/23/2025 1:50 PM,245,48.65,63.35,68.00,0.00,0.00%,7,40,0.00%
GOOGL250919P00250000,5/13/2025 10:26 AM,250,90.20,74.70,77.35,0.00,0.00%,1,0,57.12%
GOOGL250919P00255000,2025-04-02 10:06:00,255,52.75,0.00,0.00,0.00,0.00%,17,0,0.00%
GOOGL250919P00260000,2025-03-02 15:13:00,260,59.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOGL250919P00270000,5/23/2025 12:04 PM,270,100.90,0.00,0.00,0.00,0.00%,21,0,0.00%
GOOGL250919P00360000,2025-07-04 10:13:00,360,212.85,206.00,207.80,0.00,0.00%,-,0,168.27%
GOOGL250919P00370000,2025-07-04 10:13:00,370,219.51,215.90,217.85,0.00,0.00%,-,0,171.28%
