Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG250801C00130000,6/17/2025 11:22 AM,130,49.07,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250801C00150000,2025-12-06 10:52:00,150,29.60,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOG250801C00160000,6/16/2025 3:36 PM,160,21.37,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOG250801C00165000,6/17/2025 2:49 PM,165,17.01,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250801C00170000,6/17/2025 10:19 AM,170,13.02,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250801C00175000,6/17/2025 3:27 PM,175,10.55,0.00,0.00,0.00,0.00%,14,0,0.00%
GOOG250801C00180000,6/17/2025 1:47 PM,180,7.75,0.00,0.00,0.00,0.00%,318,0,1.56%
GOOG250801C00185000,6/17/2025 1:54 PM,185,5.60,0.00,0.00,0.00,0.00%,121,0,3.13%
GOOG250801C00190000,6/17/2025 2:16 PM,190,3.00,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG250801C00195000,6/17/2025 12:08 PM,195,2.89,0.00,0.00,0.00,0.00%,81,0,6.25%
GOOG250801C00200000,6/17/2025 2:06 PM,200,1.88,0.00,0.00,0.00,0.00%,70,0,6.25%
GOOG250801C00205000,6/17/2025 12:51 PM,205,1.37,0.00,0.00,0.00,0.00%,17,0,6.25%
GOOG250801C00210000,6/17/2025 12:11 PM,210,0.91,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG250801C00220000,6/17/2025 9:30 AM,220,0.67,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250801C00250000,6/16/2025 9:52 AM,250,0.11,0.00,0.00,0.00,0.00%,2,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG250801P00115000,6/16/2025 10:32 AM,115,0.20,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOG250801P00125000,6/17/2025 2:11 PM,125,0.45,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250801P00130000,6/17/2025 3:46 PM,130,0.59,0.00,0.00,0.00,0.00%,9,0,25.00%
GOOG250801P00140000,6/17/2025 3:46 PM,140,0.88,0.00,0.00,0.00,0.00%,9,0,12.50%
GOOG250801P00150000,6/16/2025 12:26 PM,150,1.35,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOG250801P00155000,6/17/2025 1:01 PM,155,1.75,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG250801P00160000,6/17/2025 2:44 PM,160,2.60,0.00,0.00,0.00,0.00%,68,0,6.25%
GOOG250801P00165000,6/17/2025 3:05 PM,165,3.50,0.00,0.00,0.00,0.00%,60,0,6.25%
GOOG250801P00170000,6/17/2025 1:48 PM,170,4.90,0.00,0.00,0.00,0.00%,149,0,3.13%
GOOG250801P00175000,6/17/2025 12:12 PM,175,6.34,0.00,0.00,0.00,0.00%,19,0,0.78%
GOOG250801P00180000,6/16/2025 2:51 PM,180,9.01,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG250801P00190000,6/16/2025 2:51 PM,190,14.94,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250801P00205000,6/16/2025 3:51 PM,205,27.72,0.00,0.00,0.00,0.00%,5,0,0.00%
