Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270617C00075000,6/16/2025 11:13 AM,75,111.34,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00080000,6/16/2025 10:16 AM,80,106.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00085000,2025-09-06 11:07:00,85,102.65,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG270617C00090000,2025-11-06 11:18:00,90,101.67,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617C00095000,6/13/2025 12:04 PM,95,96.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00100000,6/17/2025 10:13 AM,100,92.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00105000,5/29/2025 12:00 PM,105,82.55,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00110000,2025-05-06 10:08:00,110,77.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00115000,2025-09-06 11:39:00,115,80.28,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG270617C00120000,2025-12-06 11:12:00,120,77.10,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617C00125000,6/16/2025 1:30 PM,125,73.30,0.00,0.00,0.00,0.00%,17,0,0.00%
GOOG270617C00130000,6/17/2025 10:20 AM,130,69.82,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00135000,6/16/2025 11:44 AM,135,66.60,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00140000,6/17/2025 3:45 PM,140,64.00,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG270617C00145000,6/16/2025 12:44 PM,145,60.00,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617C00150000,6/17/2025 1:59 PM,150,57.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00155000,6/16/2025 10:40 AM,155,54.76,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG270617C00160000,6/17/2025 2:31 PM,160,52.35,0.00,0.00,0.00,0.00%,8,0,0.00%
GOOG270617C00165000,6/17/2025 1:43 PM,165,49.89,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617C00170000,6/17/2025 1:08 PM,170,47.25,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617C00175000,6/17/2025 11:33 AM,175,44.72,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617C00180000,6/17/2025 11:33 AM,180,42.41,0.00,0.00,0.00,0.00%,102,0,0.20%
GOOG270617C00185000,6/17/2025 1:24 PM,185,40.50,0.00,0.00,0.00,0.00%,2,0,0.78%
GOOG270617C00190000,6/17/2025 3:18 PM,190,38.02,0.00,0.00,0.00,0.00%,2,0,0.78%
GOOG270617C00195000,6/13/2025 2:37 PM,195,35.54,0.00,0.00,0.00,0.00%,1,0,1.56%
GOOG270617C00200000,6/17/2025 3:58 PM,200,33.82,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG270617C00205000,6/17/2025 3:16 PM,205,32.20,0.00,0.00,0.00,0.00%,6,0,1.56%
GOOG270617C00210000,6/16/2025 1:34 PM,210,29.95,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617C00215000,6/17/2025 11:22 AM,215,28.86,0.00,0.00,0.00,0.00%,24,0,3.13%
GOOG270617C00220000,2025-12-06 10:14:00,220,26.50,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617C00225000,6/16/2025 11:23 AM,225,25.27,0.00,0.00,0.00,0.00%,12,0,3.13%
GOOG270617C00230000,6/16/2025 9:30 AM,230,23.16,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617C00240000,6/17/2025 3:58 PM,240,21.99,0.00,0.00,0.00,0.00%,3,0,3.13%
GOOG270617C00250000,2025-11-06 10:14:00,250,22.80,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617C00260000,6/16/2025 9:46 AM,260,19.70,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG271217C00250000,6/17/2025 11:13 AM,250,19.60,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG271217C00255000,2025-10-06 15:16:00,255,18.99,0.00,0.00,0.00,0.00%,200,0,6.25%
GOOG271217C00260000,2025-12-06 14:10:00,260,17.15,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOG271217C00265000,2025-12-06 14:08:00,265,16.22,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG271217C00270000,6/16/2025 3:44 PM,270,15.25,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG271217C00275000,6/17/2025 3:15 PM,275,14.55,0.00,0.00,0.00,0.00%,10,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270617P00075000,6/16/2025 9:30 AM,75,2.51,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270617P00080000,6/16/2025 10:50 AM,80,2.94,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270617P00085000,2025-12-06 14:43:00,85,3.35,0.00,0.00,0.00,0.00%,7,0,12.50%
GOOG270617P00090000,6/13/2025 10:17 AM,90,4.10,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270617P00095000,2025-10-06 12:44:00,95,3.90,0.00,0.00,0.00,0.00%,20,0,6.25%
GOOG270617P00100000,2025-10-06 15:42:00,100,4.95,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270617P00105000,2025-06-06 12:22:00,105,6.05,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG270617P00110000,6/13/2025 2:16 PM,110,6.90,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270617P00115000,2025-10-06 15:50:00,115,7.50,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270617P00120000,2025-12-06 12:29:00,120,8.90,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270617P00125000,6/16/2025 12:48 PM,125,10.20,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270617P00130000,2025-10-06 09:51:00,130,10.50,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617P00135000,6/16/2025 11:34 AM,135,12.61,0.00,0.00,0.00,0.00%,1,0,3.13%
GOOG270617P00140000,6/16/2025 1:25 PM,140,14.13,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOG270617P00145000,6/17/2025 10:29 AM,145,15.66,0.00,0.00,0.00,0.00%,4,0,3.13%
GOOG270617P00150000,6/17/2025 10:39 AM,150,17.31,0.00,0.00,0.00,0.00%,10,0,3.13%
GOOG270617P00155000,6/13/2025 1:22 PM,155,18.92,0.00,0.00,0.00,0.00%,5,0,1.56%
GOOG270617P00160000,6/17/2025 2:06 PM,160,21.15,0.00,0.00,0.00,0.00%,1,0,1.56%
GOOG270617P00165000,6/16/2025 1:15 PM,165,23.35,0.00,0.00,0.00,0.00%,1,0,0.78%
GOOG270617P00170000,6/16/2025 9:30 AM,170,25.55,0.00,0.00,0.00,0.00%,3,0,0.78%
GOOG270617P00175000,6/13/2025 3:11 PM,175,27.95,0.00,0.00,0.00,0.00%,6,0,0.20%
GOOG270617P00180000,6/17/2025 10:41 AM,180,29.74,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617P00185000,6/17/2025 1:25 PM,185,32.11,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG270617P00190000,6/13/2025 9:41 AM,190,36.18,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG270617P00195000,2025-10-06 15:18:00,195,37.64,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617P00200000,6/16/2025 1:14 PM,200,41.12,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG270617P00205000,2025-07-05 12:29:00,205,60.57,43.75,46.15,0.00,0.00%,20,22,25.34%
GOOG270617P00210000,2025-12-05 15:38:00,210,56.16,45.00,47.10,0.00,0.00%,1,23,22.88%
GOOG270617P00215000,2025-06-06 10:03:00,215,51.45,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG270617P00220000,6/17/2025 2:10 PM,220,53.30,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617P00225000,2025-04-04 13:27:00,225,78.31,62.65,64.95,0.00,0.00%,5,4,28.92%
GOOG270617P00230000,5/19/2025 3:57 PM,230,66.87,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617P00240000,5/21/2025 10:04 AM,240,68.80,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG271217P00240000,4/29/2025 10:32 AM,240,80.35,70.80,74.00,0.00,0.00%,1,12,26.05%
GOOG271217P00245000,5/21/2025 11:14 AM,245,75.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG271217P00250000,2025-10-06 11:00:00,250,72.88,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG271217P00255000,5/20/2025 3:50 PM,255,90.65,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG271217P00260000,2025-10-06 11:09:00,260,81.57,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG271217P00265000,5/30/2025 3:53 PM,265,93.33,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG271217P00270000,5/28/2025 3:49 PM,270,96.70,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG271217P00275000,2025-03-06 10:01:00,275,106.00,0.00,0.00,0.00,0.00%,1,0,0.00%
