Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270115C00075000,6/16/2025 1:39 PM,75,108.09,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00080000,2025-03-06 09:52:00,80,94.25,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00085000,2025-03-06 12:05:00,85,90.45,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00090000,2025-05-06 14:22:00,90,89.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00095000,5/21/2025 3:12 PM,95,84.11,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00100000,2025-11-06 14:43:00,100,88.05,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270115C00105000,2025-03-06 09:47:00,105,73.60,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00110000,2025-06-06 14:46:00,110,76.08,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00115000,2025-10-06 11:12:00,115,77.84,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00120000,6/17/2025 12:41 PM,120,71.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00125000,6/17/2025 10:49 AM,125,66.54,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00130000,6/17/2025 10:49 AM,130,63.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00135000,6/17/2025 1:04 PM,135,59.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00140000,6/13/2025 9:56 AM,140,54.45,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00145000,2025-12-06 10:06:00,145,51.60,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00150000,6/17/2025 2:33 PM,150,49.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00155000,6/16/2025 2:54 PM,155,46.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00160000,6/17/2025 9:45 AM,160,42.19,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115C00165000,6/17/2025 2:18 PM,165,40.09,0.00,0.00,0.00,0.00%,8,0,0.00%
GOOG270115C00170000,6/17/2025 3:38 PM,170,37.45,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG270115C00175000,6/17/2025 12:36 PM,175,35.10,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115C00180000,6/17/2025 3:39 PM,180,32.40,0.00,0.00,0.00,0.00%,8,0,0.39%
GOOG270115C00185000,6/17/2025 1:40 PM,185,30.10,0.00,0.00,0.00,0.00%,3,0,0.78%
GOOG270115C00190000,6/17/2025 3:28 PM,190,27.70,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG270115C00195000,6/17/2025 1:52 PM,195,25.60,0.00,0.00,0.00,0.00%,16,0,1.56%
GOOG270115C00200000,6/17/2025 3:08 PM,200,23.85,0.00,0.00,0.00,0.00%,51,0,1.56%
GOOG270115C00205000,2025-10-06 11:05:00,205,24.04,0.00,0.00,0.00,0.00%,17,0,3.13%
GOOG270115C00210000,6/17/2025 9:53 AM,210,19.52,0.00,0.00,0.00,0.00%,8,0,3.13%
GOOG270115C00215000,6/13/2025 12:47 PM,215,18.60,0.00,0.00,0.00,0.00%,19,0,3.13%
GOOG270115C00220000,6/17/2025 10:33 AM,220,17.00,0.00,0.00,0.00,0.00%,30,0,3.13%
GOOG270115C00225000,6/13/2025 1:00 PM,225,15.98,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOG270115C00230000,6/13/2025 3:39 PM,230,14.22,0.00,0.00,0.00,0.00%,27,0,3.13%
GOOG270115C00235000,2025-10-06 15:11:00,235,14.80,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOG270115C00240000,6/16/2025 9:34 AM,240,12.10,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270115C00245000,2025-06-06 14:20:00,245,11.00,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270115C00250000,6/17/2025 3:12 PM,250,10.55,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG270115C00255000,6/17/2025 9:56 AM,255,9.38,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOG270115C00260000,6/16/2025 1:45 PM,260,9.00,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG270115C00265000,6/16/2025 3:08 PM,265,8.30,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270115C00270000,6/17/2025 2:06 PM,270,7.77,0.00,0.00,0.00,0.00%,11,0,6.25%
GOOG270115C00275000,6/16/2025 3:05 PM,275,7.17,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270115C00280000,6/16/2025 3:04 PM,280,6.65,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270115C00290000,6/17/2025 2:57 PM,290,5.85,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG270115C00300000,6/17/2025 11:43 AM,300,5.05,0.00,0.00,0.00,0.00%,2,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270115P00075000,6/17/2025 9:30 AM,75,1.30,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOG270115P00080000,2025-10-06 14:56:00,80,1.42,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG270115P00085000,2025-03-06 15:07:00,85,2.05,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270115P00090000,2025-05-06 11:05:00,90,2.38,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG270115P00095000,2025-06-06 13:52:00,95,2.68,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270115P00100000,6/16/2025 9:32 AM,100,3.10,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270115P00105000,6/13/2025 10:09 AM,105,3.82,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270115P00110000,6/16/2025 3:15 PM,110,4.15,0.00,0.00,0.00,0.00%,11,0,6.25%
GOOG270115P00115000,6/17/2025 10:31 AM,115,4.90,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270115P00120000,6/16/2025 11:54 AM,120,5.75,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG270115P00125000,6/17/2025 10:31 AM,125,6.52,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270115P00130000,6/17/2025 3:26 PM,130,7.57,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOG270115P00135000,6/17/2025 10:37 AM,135,8.62,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG270115P00140000,6/17/2025 10:35 AM,140,9.87,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOG270115P00145000,6/16/2025 11:49 AM,145,11.35,0.00,0.00,0.00,0.00%,25,0,3.13%
GOOG270115P00150000,6/17/2025 3:07 PM,150,12.75,0.00,0.00,0.00,0.00%,3,0,3.13%
GOOG270115P00155000,6/17/2025 10:32 AM,155,14.32,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOG270115P00160000,6/17/2025 12:37 PM,160,15.70,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG270115P00165000,6/16/2025 11:50 AM,165,18.15,0.00,0.00,0.00,0.00%,17,0,1.56%
GOOG270115P00170000,6/17/2025 11:04 AM,170,19.80,0.00,0.00,0.00,0.00%,3,0,0.78%
GOOG270115P00175000,6/16/2025 11:25 AM,175,22.15,0.00,0.00,0.00,0.00%,6,0,0.20%
GOOG270115P00180000,6/16/2025 11:48 AM,180,24.72,0.00,0.00,0.00,0.00%,1.01,0,0.00%
GOOG270115P00185000,6/16/2025 11:09 AM,185,27.20,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270115P00190000,6/16/2025 11:22 AM,190,29.65,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115P00195000,2025-10-06 15:39:00,195,31.72,0.00,0.00,0.00,0.00%,33,0,0.00%
GOOG270115P00200000,6/16/2025 1:00 PM,200,36.05,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115P00205000,5/22/2025 11:29 AM,205,41.00,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270115P00210000,5/22/2025 10:14 AM,210,42.90,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOG270115P00215000,2025-05-05 15:35:00,215,52.25,50.75,51.40,0.00,0.00%,2,64,29.40%
GOOG270115P00220000,5/22/2025 2:04 PM,220,52.26,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115P00225000,2025-05-05 12:20:00,225,60.55,58.70,59.75,0.00,0.00%,4,20,30.10%
GOOG270115P00230000,2025-10-06 13:57:00,230,54.90,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115P00235000,2025-05-05 15:28:00,235,69.15,67.10,68.15,0.00,0.00%,18,0,30.50%
GOOG270115P00240000,3/25/2025 9:56 AM,240,69.60,77.00,81.50,0.00,0.00%,30,3,41.95%
GOOG270115P00245000,3/25/2025 10:37 AM,245,73.60,82.95,85.80,0.00,0.00%,161,23,42.28%
GOOG270115P00250000,4/15/2025 1:00 PM,250,91.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270115P00255000,2025-06-03 14:15:00,255,82.05,105.00,109.50,0.00,0.00%,-,0,57.79%
GOOG270115P00260000,2025-03-06 15:50:00,260,92.23,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115P00270000,5/14/2025 11:04 AM,270,104.50,92.00,96.50,0.00,0.00%,5,0,26.94%
GOOG270115P00275000,6/13/2025 3:58 PM,275,99.53,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOG270115P00280000,6/17/2025 12:50 PM,280,102.52,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270115P00290000,2025-11-02 15:24:00,290,103.09,122.05,124.65,0.00,0.00%,12,0,43.17%
GOOG270115P00300000,5/13/2025 9:41 AM,300,141.66,122.00,126.50,0.00,0.00%,1,0,31.33%
