Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270617C00075000,5/16/2025 11:24 AM,75,99.75,107.40,110.70,0.00,0.00%,2,4,58.02%
GOOG270617C00080000,6/17/2025 9:31 AM,80,106.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00085000,6/17/2025 10:31 AM,85,101.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00090000,6/17/2025 10:33 AM,90,96.90,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00095000,2025-07-05 14:46:00,95,68.30,89.00,91.90,0.00,0.00%,3,3,51.04%
GOOG270617C00100000,2025-09-06 11:00:00,100,88.00,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617C00105000,5/14/2025 10:22 AM,105,71.80,81.95,85.20,0.00,0.00%,1,2,50.99%
GOOG270617C00110000,6/13/2025 2:20 PM,110,81.40,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00115000,2025-10-06 10:05:00,115,80.13,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00120000,2025-06-06 10:02:00,120,70.30,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00125000,2025-03-06 12:15:00,125,61.90,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG270617C00130000,2025-10-06 12:44:00,130,69.79,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00135000,2025-06-06 12:55:00,135,59.80,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617C00140000,2025-12-06 13:35:00,140,60.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00145000,6/13/2025 12:49 PM,145,56.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00150000,2025-11-06 15:17:00,150,54.04,0.00,0.00,0.00,0.00%,60,0,0.00%
GOOG270617C00155000,6/16/2025 12:32 PM,155,49.45,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00160000,2025-12-06 09:56:00,160,47.03,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00165000,6/17/2025 10:30 AM,165,44.26,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617C00170000,6/13/2025 9:30 AM,170,40.85,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617C00175000,6/17/2025 1:25 PM,175,39.65,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG270617C00180000,6/16/2025 11:57 AM,180,36.45,0.00,0.00,0.00,0.00%,4,0,0.39%
GOOG270617C00185000,6/17/2025 11:25 AM,185,35.00,0.00,0.00,0.00,0.00%,3,0,0.78%
GOOG270617C00190000,6/17/2025 3:38 PM,190,32.70,0.00,0.00,0.00,0.00%,7,0,1.56%
GOOG270617C00195000,6/17/2025 1:37 PM,195,31.05,0.00,0.00,0.00,0.00%,2,0,1.56%
GOOG270617C00200000,6/17/2025 11:00 AM,200,28.63,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG270617C00205000,6/16/2025 11:55 AM,205,26.25,0.00,0.00,0.00,0.00%,10,0,1.56%
GOOG270617C00210000,6/16/2025 9:55 AM,210,24.85,0.00,0.00,0.00,0.00%,5,0,3.13%
GOOG270617C00215000,6/16/2025 11:55 AM,215,22.90,0.00,0.00,0.00,0.00%,10,0,3.13%
GOOG270617C00220000,6/17/2025 11:22 AM,220,22.04,0.00,0.00,0.00,0.00%,21,0,3.13%
GOOG270617C00225000,6/17/2025 3:58 PM,225,20.85,0.00,0.00,0.00,0.00%,7,0,3.13%
GOOG270617C00230000,6/16/2025 2:41 PM,230,18.95,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOG270617C00240000,6/16/2025 2:39 PM,240,16.60,0.00,0.00,0.00,0.00%,2,0,3.13%
GOOG270617C00250000,6/17/2025 10:32 AM,250,14.39,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG270617C00260000,6/16/2025 2:30 PM,260,12.69,0.00,0.00,0.00,0.00%,2,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG270617P00075000,2025-05-06 11:46:00,75,1.80,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270617P00080000,2025-03-06 14:04:00,80,2.30,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG270617P00085000,5/20/2025 12:11 PM,85,2.58,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG270617P00090000,5/30/2025 1:50 PM,90,3.35,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG270617P00095000,6/17/2025 11:21 AM,95,3.45,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270617P00100000,6/17/2025 11:21 AM,100,4.00,0.00,0.00,0.00,0.00%,6,0,6.25%
GOOG270617P00105000,6/17/2025 10:45 AM,105,4.71,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG270617P00110000,6/17/2025 11:22 AM,110,5.42,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG270617P00115000,6/17/2025 11:17 AM,115,6.20,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG270617P00120000,6/17/2025 11:19 AM,120,7.08,0.00,0.00,0.00,0.00%,7,0,6.25%
GOOG270617P00125000,6/17/2025 11:15 AM,125,8.08,0.00,0.00,0.00,0.00%,10,0,6.25%
GOOG270617P00130000,6/17/2025 11:17 AM,130,9.20,0.00,0.00,0.00,0.00%,10,0,6.25%
GOOG270617P00135000,6/17/2025 10:52 AM,135,10.52,0.00,0.00,0.00,0.00%,10,0,3.13%
GOOG270617P00140000,6/17/2025 11:23 AM,140,11.80,0.00,0.00,0.00,0.00%,16,0,3.13%
GOOG270617P00145000,6/17/2025 11:04 AM,145,13.28,0.00,0.00,0.00,0.00%,10,0,3.13%
GOOG270617P00150000,6/17/2025 1:49 PM,150,15.03,0.00,0.00,0.00,0.00%,12,0,3.13%
GOOG270617P00155000,6/17/2025 1:48 PM,155,16.73,0.00,0.00,0.00,0.00%,20,0,1.56%
GOOG270617P00160000,6/17/2025 2:57 PM,160,18.63,0.00,0.00,0.00,0.00%,41,0,1.56%
GOOG270617P00165000,6/17/2025 1:20 PM,165,20.40,0.00,0.00,0.00,0.00%,10,0,1.56%
GOOG270617P00170000,2025-11-06 14:51:00,170,22.02,0.00,0.00,0.00,0.00%,2,0,0.78%
GOOG270617P00175000,6/17/2025 1:49 PM,175,24.97,0.00,0.00,0.00,0.00%,1,0,0.20%
GOOG270617P00180000,6/17/2025 2:31 PM,180,27.08,0.00,0.00,0.00,0.00%,27,0,0.00%
GOOG270617P00185000,2025-10-06 13:59:00,185,28.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG270617P00190000,2025-06-06 10:00:00,190,33.97,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617P00195000,2025-06-06 09:59:00,195,36.70,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617P00200000,2025-10-06 11:18:00,200,36.12,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG270617P00205000,2025-12-05 11:49:00,205,51.89,40.05,40.95,0.00,0.00%,2,0,23.00%
GOOG270617P00210000,2025-10-06 10:06:00,210,42.79,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617P00215000,5/13/2025 10:21 AM,215,58.18,48.40,49.35,0.00,0.00%,-,82,23.95%
GOOG270617P00220000,2025-10-06 15:18:00,220,51.23,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG270617P00225000,6/17/2025 1:48 PM,225,54.90,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617P00230000,6/17/2025 1:49 PM,230,58.73,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG270617P00240000,6/17/2025 1:47 PM,240,66.45,0.00,0.00,0.00,0.00%,2,0,0.00%
