Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG260320C00075000,2025-07-05 11:48:00,75,82.00,100.85,104.70,0.00,0.00%,-,1,51.64%
GOOG260320C00080000,5/23/2025 11:37 AM,80,94.00,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG260320C00085000,6/17/2025 11:04 AM,85,96.20,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00090000,5/29/2025 12:36 PM,90,86.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG260320C00095000,2025-09-04 11:47:00,95,59.00,63.20,65.25,0.00,0.00%,1,3,0.00%
GOOG260320C00100000,6/17/2025 11:00 AM,100,82.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00105000,2025-06-06 10:18:00,105,75.15,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00110000,6/17/2025 12:35 PM,110,73.60,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00115000,2025-06-06 09:31:00,115,63.99,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG260320C00120000,6/13/2025 12:36 PM,120,64.15,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00125000,6/17/2025 2:30 PM,125,59.48,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00130000,6/17/2025 11:03 AM,130,55.25,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG260320C00135000,2025-10-06 09:47:00,135,53.00,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG260320C00140000,6/17/2025 11:26 AM,140,47.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG260320C00145000,6/17/2025 2:22 PM,145,43.05,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG260320C00150000,6/17/2025 11:50 AM,150,39.94,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG260320C00155000,6/17/2025 10:22 AM,155,35.31,0.00,0.00,0.00,0.00%,33,0,0.00%
GOOG260320C00160000,6/16/2025 3:43 PM,160,32.75,0.00,0.00,0.00,0.00%,39,0,0.00%
GOOG260320C00165000,6/17/2025 9:35 AM,165,28.70,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG260320C00170000,6/17/2025 2:08 PM,170,26.29,0.00,0.00,0.00,0.00%,51,0,0.00%
GOOG260320C00175000,6/17/2025 2:44 PM,175,23.30,0.00,0.00,0.00,0.00%,223,0,0.00%
GOOG260320C00180000,6/17/2025 3:35 PM,180,21.01,0.00,0.00,0.00,0.00%,14,0,0.39%
GOOG260320C00185000,6/17/2025 2:05 PM,185,18.45,0.00,0.00,0.00,0.00%,10,0,1.56%
GOOG260320C00190000,6/17/2025 12:43 PM,190,16.62,0.00,0.00,0.00,0.00%,9,0,1.56%
GOOG260320C00195000,6/17/2025 1:08 PM,195,14.36,0.00,0.00,0.00,0.00%,5,0,3.13%
GOOG260320C00200000,6/17/2025 1:51 PM,200,12.50,0.00,0.00,0.00,0.00%,16,0,3.13%
GOOG260320C00210000,6/17/2025 1:51 PM,210,9.46,0.00,0.00,0.00,0.00%,4,0,3.13%
GOOG260320C00220000,6/17/2025 3:10 PM,220,7.25,0.00,0.00,0.00,0.00%,61,0,6.25%
GOOG260320C00230000,6/17/2025 1:57 PM,230,5.40,0.00,0.00,0.00,0.00%,12,0,6.25%
GOOG260320C00240000,6/17/2025 2:23 PM,240,4.10,0.00,0.00,0.00,0.00%,14,0,6.25%
GOOG260320C00250000,6/17/2025 2:49 PM,250,3.15,0.00,0.00,0.00,0.00%,7,0,6.25%
GOOG260320C00260000,6/17/2025 3:35 PM,260,2.48,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG260320C00270000,6/17/2025 11:45 AM,270,2.00,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG260320C00280000,6/17/2025 10:16 AM,280,1.50,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG260320C00290000,6/17/2025 2:16 PM,290,1.26,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOG260320C00300000,6/17/2025 3:14 PM,300,1.08,0.00,0.00,0.00,0.00%,6,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG260320P00075000,2025-06-06 13:09:00,75,0.43,0.00,0.00,0.00,0.00%,46,0,25.00%
GOOG260320P00080000,5/23/2025 2:05 PM,80,0.57,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG260320P00085000,2025-09-06 10:31:00,85,0.63,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG260320P00090000,6/16/2025 11:15 AM,90,0.74,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG260320P00095000,2025-09-06 10:30:00,95,0.94,0.00,0.00,0.00,0.00%,11,0,12.50%
GOOG260320P00100000,2025-06-06 14:05:00,100,1.19,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG260320P00105000,6/17/2025 3:35 PM,105,1.38,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG260320P00110000,2025-10-06 09:30:00,110,1.54,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG260320P00115000,2025-06-06 09:58:00,115,2.20,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOG260320P00120000,2025-12-06 11:18:00,120,2.43,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG260320P00125000,6/17/2025 3:07 PM,125,2.93,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG260320P00130000,6/17/2025 3:25 PM,130,3.50,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG260320P00135000,2025-11-06 11:28:00,135,3.88,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG260320P00140000,6/17/2025 2:54 PM,140,5.09,0.00,0.00,0.00,0.00%,52,0,6.25%
GOOG260320P00145000,6/16/2025 10:38 AM,145,6.01,0.00,0.00,0.00,0.00%,15,0,6.25%
GOOG260320P00150000,6/13/2025 3:25 PM,150,7.54,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOG260320P00155000,6/17/2025 12:35 PM,155,8.10,0.00,0.00,0.00,0.00%,151,0,3.13%
GOOG260320P00160000,6/17/2025 12:43 PM,160,9.62,0.00,0.00,0.00,0.00%,5,0,3.13%
GOOG260320P00165000,6/13/2025 1:41 PM,165,11.59,0.00,0.00,0.00,0.00%,2,0,1.56%
GOOG260320P00170000,6/17/2025 3:53 PM,170,13.59,0.00,0.00,0.00,0.00%,1,0,1.56%
GOOG260320P00175000,6/17/2025 3:35 PM,175,15.60,0.00,0.00,0.00,0.00%,6,0,0.39%
GOOG260320P00180000,6/17/2025 11:57 AM,180,17.55,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG260320P00185000,6/16/2025 3:21 PM,185,20.20,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG260320P00190000,2025-12-06 12:55:00,190,23.35,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG260320P00195000,6/16/2025 2:16 PM,195,26.51,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG260320P00200000,2025-10-06 09:46:00,200,28.10,0.00,0.00,0.00,0.00%,30,0,0.00%
GOOG260320P00210000,2025-12-06 11:50:00,210,37.05,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG260320P00220000,2025-06-06 10:09:00,220,47.74,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOG260320P00230000,3/27/2025 10:46 AM,230,63.98,65.20,67.30,0.00,0.00%,1,85,49.84%
GOOG260320P00240000,6/16/2025 3:21 PM,240,62.30,0.00,0.00,0.00,0.00%,79,0,0.00%
GOOG260320P00250000,2025-09-05 10:01:00,250,94.00,73.30,77.10,0.00,0.00%,5,0,35.62%
GOOG260320P00260000,2/14/2025 2:31 PM,260,72.92,94.25,97.50,0.00,0.00%,1,0,56.91%
