Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG251121C00075000,6/17/2025 12:50 PM,75,104.85,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251121C00080000,6/13/2025 3:09 PM,80,98.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121C00095000,5/30/2025 2:39 PM,95,78.35,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121C00100000,2025-12-05 13:14:00,100,62.71,80.05,82.70,0.00,0.00%,20,0,76.51%
GOOG251121C00105000,2025-10-06 14:35:00,105,78.30,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOG251121C00110000,6/16/2025 2:52 PM,110,70.55,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG251121C00115000,2025-09-06 13:45:00,115,65.82,0.00,0.00,0.00,0.00%,41,0,0.00%
GOOG251121C00120000,5/20/2025 11:17 AM,120,52.30,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251121C00125000,2025-06-06 09:40:00,125,52.46,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG251121C00130000,2025-09-06 10:18:00,130,52.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251121C00135000,2025-06-06 14:06:00,135,45.40,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOG251121C00140000,6/17/2025 12:00 PM,140,43.95,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121C00145000,6/16/2025 9:53 AM,145,38.35,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251121C00150000,6/16/2025 9:41 AM,150,33.91,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121C00155000,6/17/2025 3:55 PM,155,30.93,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG251121C00160000,2025-10-06 12:19:00,160,30.95,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG251121C00165000,6/17/2025 9:45 AM,165,23.25,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG251121C00170000,6/17/2025 3:36 PM,170,20.95,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG251121C00175000,6/17/2025 2:00 PM,175,17.90,0.00,0.00,0.00,0.00%,13,0,0.00%
GOOG251121C00180000,6/17/2025 12:09 PM,180,15.55,0.00,0.00,0.00,0.00%,2,0,0.78%
GOOG251121C00185000,6/17/2025 2:09 PM,185,12.95,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG251121C00190000,6/17/2025 2:02 PM,190,10.80,0.00,0.00,0.00,0.00%,13,0,3.13%
GOOG251121C00195000,6/17/2025 2:27 PM,195,8.94,0.00,0.00,0.00,0.00%,6,0,3.13%
GOOG251121C00200000,6/17/2025 2:51 PM,200,7.50,0.00,0.00,0.00,0.00%,16,0,3.13%
GOOG251121C00205000,6/16/2025 3:27 PM,205,6.20,0.00,0.00,0.00,0.00%,7,0,6.25%
GOOG251121C00210000,6/17/2025 11:28 AM,210,5.09,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG251121C00215000,6/16/2025 3:26 PM,215,4.20,0.00,0.00,0.00,0.00%,5,0,6.25%
GOOG251121C00220000,6/16/2025 3:01 PM,220,3.45,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG251121C00225000,6/17/2025 10:38 AM,225,2.77,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG251121C00230000,2025-12-06 12:46:00,230,2.60,0.00,0.00,0.00,0.00%,20,0,6.25%
GOOG251121C00235000,6/16/2025 3:21 PM,235,1.97,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOG251121C00240000,6/17/2025 11:48 AM,240,1.73,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251121C00245000,6/17/2025 1:56 PM,245,1.41,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOG251121C00250000,6/17/2025 3:09 PM,250,1.21,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251121C00260000,2025-12-06 14:33:00,260,0.97,0.00,0.00,0.00,0.00%,-,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG251121P00075000,5/23/2025 2:53 PM,75,0.29,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251121P00080000,6/16/2025 9:58 AM,80,0.20,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOG251121P00085000,6/16/2025 9:51 AM,85,0.26,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251121P00090000,5/29/2025 3:25 PM,90,0.46,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOG251121P00095000,2025-02-06 10:25:00,95,0.62,0.00,0.00,0.00,0.00%,10,0,25.00%
GOOG251121P00100000,2025-11-06 13:31:00,100,0.50,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG251121P00105000,2025-12-06 10:37:00,105,0.66,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251121P00110000,2025-06-06 15:43:00,110,0.96,0.00,0.00,0.00,0.00%,4,0,12.50%
GOOG251121P00115000,2025-10-06 14:07:00,115,0.93,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251121P00120000,2025-12-06 14:31:00,120,1.30,0.00,0.00,0.00,0.00%,8,0,12.50%
GOOG251121P00125000,6/16/2025 10:09 AM,125,1.51,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251121P00130000,6/16/2025 11:48 AM,130,1.84,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG251121P00135000,2025-12-06 14:27:00,135,2.50,0.00,0.00,0.00,0.00%,48,0,6.25%
GOOG251121P00140000,6/17/2025 11:25 AM,140,2.78,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG251121P00145000,6/16/2025 12:48 PM,145,3.65,0.00,0.00,0.00,0.00%,3,0,6.25%
GOOG251121P00150000,6/16/2025 12:19 PM,150,4.50,0.00,0.00,0.00,0.00%,1,0,6.25%
GOOG251121P00155000,6/16/2025 3:58 PM,155,5.35,0.00,0.00,0.00,0.00%,10,0,6.25%
GOOG251121P00160000,6/17/2025 2:35 PM,160,6.85,0.00,0.00,0.00,0.00%,4,0,3.13%
GOOG251121P00165000,6/17/2025 1:39 PM,165,8.15,0.00,0.00,0.00,0.00%,3,0,3.13%
GOOG251121P00170000,6/16/2025 3:38 PM,170,9.82,0.00,0.00,0.00,0.00%,5,0,1.56%
GOOG251121P00175000,6/17/2025 3:45 PM,175,12.10,0.00,0.00,0.00,0.00%,17,0,0.39%
GOOG251121P00180000,6/17/2025 2:02 PM,180,14.55,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251121P00185000,6/17/2025 3:17 PM,185,17.00,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG251121P00190000,6/13/2025 9:57 AM,190,21.45,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG251121P00195000,2025-11-06 14:04:00,195,23.05,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121P00200000,6/16/2025 11:57 AM,200,27.44,0.00,0.00,0.00,0.00%,13,0,0.00%
GOOG251121P00205000,6/17/2025 1:25 PM,205,30.21,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG251121P00210000,6/17/2025 12:09 PM,210,34.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251121P00225000,2025-07-05 12:00:00,225,71.96,49.35,52.45,0.00,0.00%,-,0,38.66%
