Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG251017C00075000,6/16/2025 10:57 AM,75,103.60,0.00,0.00,0.00,0.00%,20,0,0.00%
GOOG251017C00080000,2025-06-06 15:27:00,80,96.19,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00085000,2025-09-06 15:40:00,85,94.10,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00090000,6/17/2025 10:27 AM,90,88.47,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00095000,4/22/2025 1:22 PM,95,60.60,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG251017C00100000,6/13/2025 3:42 PM,100,78.00,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251017C00105000,2025-10-06 14:35:00,105,77.55,0.00,0.00,0.00,0.00%,15,0,0.00%
GOOG251017C00110000,4/28/2025 3:08 PM,110,55.05,65.55,66.25,0.00,0.00%,8,3,0.00%
GOOG251017C00115000,2025-09-06 13:45:00,115,65.07,0.00,0.00,0.00,0.00%,41,0,0.00%
GOOG251017C00120000,2025-12-05 09:43:00,120,42.62,62.50,63.65,0.00,0.00%,1,117,73.03%
GOOG251017C00125000,2025-09-06 14:57:00,125,56.00,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00130000,2025-09-06 15:46:00,130,50.88,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG251017C00135000,2025-09-06 09:41:00,135,45.70,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG251017C00140000,2025-10-06 10:32:00,140,45.90,0.00,0.00,0.00,0.00%,3,0,0.00%
GOOG251017C00145000,6/13/2025 2:03 PM,145,37.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00150000,6/17/2025 3:07 PM,150,33.30,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017C00155000,6/17/2025 11:02 AM,155,29.00,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOG251017C00160000,6/17/2025 12:38 PM,160,25.90,0.00,0.00,0.00,0.00%,50,0,0.00%
GOOG251017C00165000,6/17/2025 12:50 PM,165,21.85,0.00,0.00,0.00,0.00%,11,0,0.00%
GOOG251017C00170000,6/17/2025 3:33 PM,170,18.49,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG251017C00175000,6/17/2025 3:43 PM,175,15.37,0.00,0.00,0.00,0.00%,71,0,0.00%
GOOG251017C00180000,6/17/2025 3:11 PM,180,12.85,0.00,0.00,0.00,0.00%,103,0,0.78%
GOOG251017C00185000,6/17/2025 2:25 PM,185,10.20,0.00,0.00,0.00,0.00%,35,0,1.56%
GOOG251017C00190000,6/17/2025 3:51 PM,190,8.30,0.00,0.00,0.00,0.00%,211,0,3.13%
GOOG251017C00195000,6/17/2025 2:25 PM,195,6.55,0.00,0.00,0.00,0.00%,275,0,3.13%
GOOG251017C00200000,6/17/2025 3:46 PM,200,5.30,0.00,0.00,0.00,0.00%,251,0,6.25%
GOOG251017C00205000,6/17/2025 12:11 PM,205,4.25,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG251017C00210000,6/17/2025 3:01 PM,210,3.30,0.00,0.00,0.00,0.00%,11,0,6.25%
GOOG251017C00215000,6/16/2025 3:58 PM,215,2.59,0.00,0.00,0.00,0.00%,11,0,6.25%
GOOG251017C00220000,6/17/2025 3:53 PM,220,2.00,0.00,0.00,0.00,0.00%,16,0,6.25%
GOOG251017C00225000,2025-12-06 09:40:00,225,1.71,0.00,0.00,0.00,0.00%,31,0,6.25%
GOOG251017C00230000,6/17/2025 10:45 AM,230,1.28,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG251017C00235000,6/17/2025 11:16 AM,235,1.10,0.00,0.00,0.00,0.00%,10,0,12.50%
GOOG251017C00240000,2025-11-06 10:30:00,240,1.18,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG251017C00245000,6/16/2025 12:02 PM,245,0.71,0.00,0.00,0.00,0.00%,40,0,12.50%
GOOG251017C00250000,6/17/2025 2:44 PM,250,0.60,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251017C00255000,2025-10-06 13:41:00,255,0.76,0.00,0.00,0.00,0.00%,12,0,12.50%
GOOG251017C00260000,6/13/2025 10:45 AM,260,0.48,0.00,0.00,0.00,0.00%,3,0,12.50%
GOOG251017C00265000,6/13/2025 3:03 PM,265,0.43,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG251017P00075000,2025-10-06 10:31:00,75,0.09,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251017P00080000,5/30/2025 10:00 AM,80,0.17,0.00,0.00,0.00,0.00%,3,0,25.00%
GOOG251017P00085000,6/17/2025 11:59 AM,85,0.15,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251017P00090000,2025-09-06 10:11:00,90,0.24,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251017P00095000,2025-05-06 13:38:00,95,0.35,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG251017P00100000,6/13/2025 11:49 AM,100,0.34,0.00,0.00,0.00,0.00%,6,0,25.00%
GOOG251017P00105000,5/21/2025 3:19 PM,105,0.69,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOG251017P00110000,6/16/2025 3:16 PM,110,0.47,0.00,0.00,0.00,0.00%,35,0,12.50%
GOOG251017P00115000,2025-11-06 10:38:00,115,0.60,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG251017P00120000,6/17/2025 10:11 AM,120,0.77,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG251017P00125000,6/16/2025 3:29 PM,125,0.94,0.00,0.00,0.00,0.00%,51,0,12.50%
GOOG251017P00130000,6/16/2025 2:53 PM,130,1.19,0.00,0.00,0.00,0.00%,12,0,12.50%
GOOG251017P00135000,6/17/2025 1:15 PM,135,1.49,0.00,0.00,0.00,0.00%,7,0,12.50%
GOOG251017P00140000,6/17/2025 12:57 PM,140,1.94,0.00,0.00,0.00,0.00%,2,0,6.25%
GOOG251017P00145000,6/17/2025 11:50 AM,145,2.40,0.00,0.00,0.00,0.00%,4,0,6.25%
GOOG251017P00150000,6/17/2025 2:38 PM,150,3.25,0.00,0.00,0.00,0.00%,8,0,6.25%
GOOG251017P00155000,6/17/2025 1:11 PM,155,4.00,0.00,0.00,0.00,0.00%,28,0,6.25%
GOOG251017P00160000,6/17/2025 12:09 PM,160,4.95,0.00,0.00,0.00,0.00%,7,0,3.13%
GOOG251017P00165000,6/17/2025 3:56 PM,165,6.70,0.00,0.00,0.00,0.00%,3,0,3.13%
GOOG251017P00170000,6/17/2025 2:16 PM,170,8.25,0.00,0.00,0.00,0.00%,3,0,1.56%
GOOG251017P00175000,6/17/2025 3:36 PM,175,10.21,0.00,0.00,0.00,0.00%,83,0,0.78%
GOOG251017P00180000,6/17/2025 12:49 PM,180,12.25,0.00,0.00,0.00,0.00%,6,0,0.00%
GOOG251017P00185000,6/17/2025 10:46 AM,185,15.25,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017P00190000,6/17/2025 3:05 PM,190,18.28,0.00,0.00,0.00,0.00%,45,0,0.00%
GOOG251017P00195000,6/17/2025 12:09 PM,195,21.15,0.00,0.00,0.00,0.00%,4,0,0.00%
GOOG251017P00200000,6/16/2025 1:20 PM,200,25.78,0.00,0.00,0.00,0.00%,14,0,0.00%
GOOG251017P00205000,2025-09-06 15:06:00,205,29.47,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG251017P00210000,5/14/2025 1:04 PM,210,43.65,34.95,35.50,0.00,0.00%,17,17,29.40%
GOOG251017P00215000,2025-12-06 14:46:00,215,38.40,0.00,0.00,0.00,0.00%,-,0,0.00%
GOOG251017P00220000,2025-11-06 14:21:00,220,41.97,0.00,0.00,0.00,0.00%,5,0,0.00%
GOOG251017P00225000,2025-06-06 09:53:00,225,51.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG251017P00235000,3/19/2025 3:34 PM,235,67.50,80.70,83.60,0.00,0.00%,-,0,102.75%
GOOG251017P00240000,3/24/2025 3:54 PM,240,70.20,76.60,80.75,0.00,0.00%,-,0,83.83%
GOOG251017P00265000,5/21/2025 10:30 AM,265,93.95,0.00,0.00,0.00,0.00%,-,0,0.00%
