Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG250919C00075000,6/17/2025 9:56 AM,75,102.25,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00080000,2025-03-06 12:20:00,80,89.97,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00085000,2025-03-06 14:53:00,85,84.54,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00090000,6/13/2025 1:50 PM,90,88.80,0.00,0.00,0.00,0.00%,52,0,0.00%
GOOG250919C00095000,5/13/2025 12:02 PM,95,68.20,80.95,83.55,0.00,0.00%,1,6,78.93%
GOOG250919C00100000,6/13/2025 1:51 PM,100,79.50,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00105000,2025-06-06 10:15:00,105,71.50,0.00,0.00,0.00,0.00%,21,0,0.00%
GOOG250919C00110000,2025-03-06 13:21:00,110,61.40,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00115000,2025-06-06 09:47:00,115,59.97,0.00,0.00,0.00,0.00%,10,0,0.00%
GOOG250919C00120000,2025-09-06 10:06:00,120,58.67,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00125000,2025-09-06 10:06:00,125,54.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00130000,6/16/2025 11:56 AM,130,49.05,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919C00135000,6/17/2025 10:21 AM,135,44.35,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919C00140000,6/17/2025 3:44 PM,140,40.60,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919C00145000,6/17/2025 10:14 AM,145,35.70,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919C00150000,6/17/2025 11:45 AM,150,32.65,0.00,0.00,0.00,0.00%,14,0,0.00%
GOOG250919C00155000,6/17/2025 2:18 PM,155,27.65,0.00,0.00,0.00,0.00%,27,0,0.00%
GOOG250919C00160000,6/17/2025 3:51 PM,160,23.64,0.00,0.00,0.00,0.00%,46,0,0.00%
GOOG250919C00165000,6/17/2025 3:54 PM,165,20.05,0.00,0.00,0.00,0.00%,61,0,0.00%
GOOG250919C00170000,6/17/2025 3:59 PM,170,16.50,0.00,0.00,0.00,0.00%,95,0,0.00%
GOOG250919C00175000,6/17/2025 3:58 PM,175,13.50,0.00,0.00,0.00,0.00%,209,0,0.00%
GOOG250919C00180000,6/17/2025 3:57 PM,180,10.90,0.00,0.00,0.00,0.00%,374,0,0.78%
GOOG250919C00185000,6/17/2025 3:39 PM,185,8.85,0.00,0.00,0.00,0.00%,238,0,1.56%
GOOG250919C00190000,6/17/2025 3:44 PM,190,6.85,0.00,0.00,0.00,0.00%,253,0,3.13%
GOOG250919C00195000,6/17/2025 3:50 PM,195,5.25,0.00,0.00,0.00,0.00%,115,0,3.13%
GOOG250919C00200000,6/17/2025 3:32 PM,200,4.10,0.00,0.00,0.00,0.00%,658,0,6.25%
GOOG250919C00205000,6/17/2025 3:08 PM,205,3.10,0.00,0.00,0.00,0.00%,186,0,6.25%
GOOG250919C00210000,6/17/2025 3:52 PM,210,2.30,0.00,0.00,0.00,0.00%,70,0,6.25%
GOOG250919C00215000,6/17/2025 3:43 PM,215,1.81,0.00,0.00,0.00,0.00%,9,0,6.25%
GOOG250919C00220000,6/17/2025 3:44 PM,220,1.41,0.00,0.00,0.00,0.00%,7,0,6.25%
GOOG250919C00225000,6/17/2025 3:44 PM,225,1.12,0.00,0.00,0.00,0.00%,81,0,12.50%
GOOG250919C00230000,6/17/2025 3:26 PM,230,0.90,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG250919C00235000,6/16/2025 1:43 PM,235,0.72,0.00,0.00,0.00,0.00%,51,0,12.50%
GOOG250919C00240000,6/17/2025 11:24 AM,240,0.60,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250919C00245000,6/17/2025 11:40 AM,245,0.52,0.00,0.00,0.00,0.00%,13,0,12.50%
GOOG250919C00250000,6/17/2025 12:45 PM,250,0.43,0.00,0.00,0.00,0.00%,16,0,12.50%
GOOG250919C00255000,6/17/2025 11:38 AM,255,0.37,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG250919C00260000,6/16/2025 11:07 AM,260,0.30,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250919C00265000,6/16/2025 10:19 AM,265,0.27,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250919C00270000,6/13/2025 3:13 PM,270,0.27,0.00,0.00,0.00,0.00%,36,0,12.50%
GOOG250919C00275000,6/13/2025 9:41 AM,275,0.22,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG250919C00280000,6/16/2025 1:34 PM,280,0.19,0.00,0.00,0.00,0.00%,2,0,12.50%
GOOG250919C00285000,2025-10-06 15:53:00,285,0.26,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250919C00290000,5/28/2025 9:49 AM,290,0.27,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250919C00300000,6/17/2025 3:42 PM,300,0.12,0.00,0.00,0.00,0.00%,25,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
GOOG250919P00075000,6/16/2025 1:17 PM,75,0.05,0.00,0.00,0.00,0.00%,5,0,25.00%
GOOG250919P00080000,2025-10-06 14:20:00,80,0.08,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOG250919P00085000,2025-12-06 09:42:00,85,0.11,0.00,0.00,0.00,0.00%,10,0,25.00%
GOOG250919P00090000,2025-11-06 15:37:00,90,0.13,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250919P00095000,2025-11-06 10:38:00,95,0.17,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250919P00100000,2025-11-06 12:00:00,100,0.22,0.00,0.00,0.00,0.00%,1,0,25.00%
GOOG250919P00105000,2025-02-06 13:49:00,105,0.49,0.00,0.00,0.00,0.00%,2,0,25.00%
GOOG250919P00110000,6/16/2025 10:36 AM,110,0.35,0.00,0.00,0.00,0.00%,50,0,25.00%
GOOG250919P00115000,6/17/2025 11:06 AM,115,0.41,0.00,0.00,0.00,0.00%,11,0,12.50%
GOOG250919P00120000,6/17/2025 2:57 PM,120,0.58,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250919P00125000,6/16/2025 12:01 PM,125,0.73,0.00,0.00,0.00,0.00%,5,0,12.50%
GOOG250919P00130000,6/16/2025 9:57 AM,130,0.90,0.00,0.00,0.00,0.00%,1,0,12.50%
GOOG250919P00135000,6/16/2025 3:21 PM,135,1.09,0.00,0.00,0.00,0.00%,9,0,12.50%
GOOG250919P00140000,6/17/2025 3:44 PM,140,1.56,0.00,0.00,0.00,0.00%,6,0,12.50%
GOOG250919P00145000,6/17/2025 3:44 PM,145,2.02,0.00,0.00,0.00,0.00%,23,0,6.25%
GOOG250919P00150000,6/17/2025 3:31 PM,150,2.60,0.00,0.00,0.00,0.00%,58,0,6.25%
GOOG250919P00155000,6/17/2025 3:39 PM,155,3.40,0.00,0.00,0.00,0.00%,163,0,6.25%
GOOG250919P00160000,6/17/2025 3:45 PM,160,4.45,0.00,0.00,0.00,0.00%,74,0,6.25%
GOOG250919P00165000,6/17/2025 3:35 PM,165,5.70,0.00,0.00,0.00,0.00%,63,0,3.13%
GOOG250919P00170000,6/17/2025 3:50 PM,170,7.30,0.00,0.00,0.00,0.00%,74,0,1.56%
GOOG250919P00175000,6/17/2025 3:24 PM,175,9.20,0.00,0.00,0.00,0.00%,117,0,0.78%
GOOG250919P00180000,6/17/2025 3:50 PM,180,11.58,0.00,0.00,0.00,0.00%,28,0,0.00%
GOOG250919P00185000,6/17/2025 12:49 PM,185,13.90,0.00,0.00,0.00,0.00%,106,0,0.00%
GOOG250919P00190000,6/17/2025 12:44 PM,190,16.85,0.00,0.00,0.00,0.00%,32,0,0.00%
GOOG250919P00195000,6/17/2025 12:49 PM,195,20.40,0.00,0.00,0.00,0.00%,7,0,0.00%
GOOG250919P00200000,6/16/2025 2:49 PM,200,24.75,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919P00205000,6/16/2025 9:49 AM,205,29.75,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919P00210000,6/16/2025 2:16 PM,210,33.65,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919P00215000,6/16/2025 9:47 AM,215,38.93,0.00,0.00,0.00,0.00%,1,0,0.00%
GOOG250919P00220000,2025-03-06 14:09:00,220,50.93,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919P00225000,5/23/2025 12:04 PM,225,54.90,0.00,0.00,0.00,0.00%,2,0,0.00%
GOOG250919P00230000,2025-04-02 11:23:00,230,30.73,0.00,0.00,0.00,0.00%,1,21,0.00%
GOOG250919P00235000,2/24/2025 3:50 PM,235,53.35,67.50,68.20,0.00,0.00%,1,0,74.51%
GOOG250919P00240000,2/25/2025 3:53 PM,240,62.08,83.65,84.30,0.00,0.00%,30,0,111.04%
GOOG250919P00245000,2025-04-02 15:44:00,245,41.60,68.70,70.05,0.00,0.00%,2,0,48.72%
GOOG250919P00250000,2025-03-02 10:21:00,250,50.10,0.00,0.00,0.00,0.00%,19,0,0.00%
GOOG250919P00260000,1/27/2025 9:33 AM,260,66.02,87.05,89.15,0.00,0.00%,1,0,69.73%
GOOG250919P00270000,2025-04-02 15:18:00,270,63.01,93.60,95.10,0.00,0.00%,2,0,53.86%
GOOG250919P00275000,2025-04-02 15:49:00,275,67.80,98.65,100.05,0.00,0.00%,-,0,55.58%
GOOG250919P00290000,4/25/2025 9:51 AM,290,125.60,118.40,121.95,0.00,0.00%,2,0,90.48%
GOOG250919P00300000,2025-03-02 15:36:00,300,96.66,0.00,0.00,0.00,0.00%,-,0,0.00%
