Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META250801C00380000,6/17/2025 12:27 PM,380,326.51,0.00,0.00,0.00,0.00%,-,-,0.00%
META250801C00540000,6/17/2025 3:55 PM,540,163.48,0.00,0.00,0.00,0.00%,-,-,0.00%
META250801C00600000,6/17/2025 3:34 PM,600,110.50,0.00,0.00,0.00,0.00%,14,0,0.00%
META250801C00610000,6/16/2025 9:36 AM,610,103.30,0.00,0.00,0.00,0.00%,-,0,0.00%
META250801C00625000,6/17/2025 1:30 PM,625,90.28,0.00,0.00,0.00,0.00%,-,-,0.00%
META250801C00630000,6/16/2025 1:09 PM,630,84.90,0.00,0.00,0.00,0.00%,3,0,0.00%
META250801C00635000,6/16/2025 1:02 PM,635,82.35,0.00,0.00,0.00,0.00%,1,0,0.00%
META250801C00640000,6/16/2025 12:07 PM,640,78.35,0.00,0.00,0.00,0.00%,2,0,0.00%
META250801C00645000,6/17/2025 9:48 AM,645,74.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META250801C00650000,6/17/2025 3:55 PM,650,69.85,0.00,0.00,0.00,0.00%,26,0,0.00%
META250801C00655000,6/13/2025 3:46 PM,655,55.25,0.00,0.00,0.00,0.00%,-,0,0.00%
META250801C00660000,6/13/2025 3:07 PM,660,53.61,0.00,0.00,0.00,0.00%,-,0,0.00%
META250801C00670000,6/17/2025 12:57 PM,670,59.35,0.00,0.00,0.00,0.00%,2,0,0.00%
META250801C00680000,6/17/2025 2:40 PM,680,50.40,0.00,0.00,0.00,0.00%,5,0,0.00%
META250801C00685000,6/16/2025 12:40 PM,685,46.47,0.00,0.00,0.00,0.00%,1,0,0.00%
META250801C00690000,6/17/2025 1:17 PM,690,46.30,0.00,0.00,0.00,0.00%,4,0,0.00%
META250801C00695000,6/17/2025 3:55 PM,695,40.85,0.00,0.00,0.00,0.00%,24,0,0.00%
META250801C00700000,6/17/2025 3:20 PM,700,39.88,0.00,0.00,0.00,0.00%,73,0,0.39%
META250801C00705000,6/17/2025 3:31 PM,705,36.75,0.00,0.00,0.00,0.00%,76,0,0.78%
META250801C00710000,6/17/2025 3:15 PM,710,35.07,0.00,0.00,0.00,0.00%,61,0,1.56%
META250801C00715000,6/17/2025 2:28 PM,715,31.44,0.00,0.00,0.00,0.00%,-,0,1.56%
META250801C00720000,6/17/2025 1:03 PM,720,30.70,0.00,0.00,0.00,0.00%,5,0,1.56%
META250801C00725000,6/17/2025 12:09 PM,725,29.60,0.00,0.00,0.00,0.00%,6,0,3.13%
META250801C00730000,6/17/2025 10:38 AM,730,26.20,0.00,0.00,0.00,0.00%,1,0,3.13%
META250801C00735000,6/17/2025 11:30 AM,735,25.46,0.00,0.00,0.00,0.00%,2,0,3.13%
META250801C00740000,6/17/2025 1:46 PM,740,21.93,0.00,0.00,0.00,0.00%,14,0,3.13%
META250801C00745000,6/17/2025 11:52 AM,745,22.46,0.00,0.00,0.00,0.00%,3,0,3.13%
META250801C00750000,6/17/2025 11:41 AM,750,21.00,0.00,0.00,0.00,0.00%,9,0,3.13%
META250801C00755000,6/17/2025 10:13 AM,755,17.57,0.00,0.00,0.00,0.00%,1,0,6.25%
META250801C00760000,6/17/2025 9:44 AM,760,15.49,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801C00765000,6/17/2025 3:43 PM,765,14.46,0.00,0.00,0.00,0.00%,18,0,6.25%
META250801C00770000,6/17/2025 2:30 PM,770,13.70,0.00,0.00,0.00,0.00%,8,0,6.25%
META250801C00775000,6/17/2025 12:41 PM,775,13.85,0.00,0.00,0.00,0.00%,23,0,6.25%
META250801C00780000,6/17/2025 1:53 PM,780,11.43,0.00,0.00,0.00,0.00%,12,0,6.25%
META250801C00785000,6/17/2025 3:43 PM,785,10.32,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801C00790000,6/17/2025 10:15 AM,790,9.63,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801C00795000,6/17/2025 11:41 AM,795,10.00,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801C00800000,6/17/2025 2:58 PM,800,8.00,0.00,0.00,0.00,0.00%,10,0,6.25%
META250801C00810000,6/17/2025 10:07 AM,810,6.85,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801C00820000,6/17/2025 10:07 AM,820,5.70,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00830000,6/17/2025 3:38 PM,830,4.65,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00840000,6/16/2025 2:43 PM,840,4.11,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00850000,6/16/2025 3:26 PM,850,3.45,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00860000,6/17/2025 1:08 PM,860,2.96,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00870000,6/17/2025 11:41 AM,870,2.70,0.00,0.00,0.00,0.00%,-,-,12.50%
META250801C00880000,6/17/2025 12:35 PM,880,2.30,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00890000,6/16/2025 3:21 PM,890,1.75,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00900000,6/17/2025 1:34 PM,900,1.96,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00910000,6/16/2025 1:01 PM,910,1.23,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00920000,6/17/2025 3:45 PM,920,1.31,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801C00930000,6/17/2025 9:30 AM,930,1.17,0.00,0.00,0.00,0.00%,-,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META250801P00310000,6/17/2025 12:08 PM,310,0.07,-,0.00,0.00,0.00%,-,-,50.00%
META250801P00370000,6/17/2025 1:46 PM,370,0.21,-,0.00,0.00,0.00%,-,-,25.00%
META250801P00450000,6/17/2025 12:35 PM,450,0.61,-,0.00,0.00,0.00%,-,-,25.00%
META250801P00470000,6/17/2025 1:00 PM,470,0.98,-,0.00,0.00,0.00%,-,-,25.00%
META250801P00480000,6/13/2025 2:27 PM,480,1.39,0.00,0.00,0.00,0.00%,-,0,25.00%
META250801P00500000,6/17/2025 10:11 AM,500,1.50,0.00,0.00,0.00,0.00%,2,0,25.00%
META250801P00505000,6/16/2025 1:53 PM,505,1.57,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00510000,6/16/2025 1:17 PM,510,1.85,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00515000,6/17/2025 11:08 AM,515,1.90,0.00,0.00,0.00,0.00%,-,-,12.50%
META250801P00520000,6/16/2025 1:53 PM,520,1.94,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00525000,6/16/2025 11:46 AM,525,2.08,0.00,0.00,0.00,0.00%,1,0,12.50%
META250801P00530000,6/16/2025 10:42 AM,530,2.25,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00535000,6/16/2025 10:20 AM,535,2.39,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00540000,6/16/2025 1:06 PM,540,2.81,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00545000,6/17/2025 2:48 PM,545,3.40,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00550000,6/16/2025 3:46 PM,550,3.22,0.00,0.00,0.00,0.00%,19,0,12.50%
META250801P00555000,6/13/2025 9:49 AM,555,4.15,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00560000,6/16/2025 10:45 AM,560,3.59,0.00,0.00,0.00,0.00%,2,0,12.50%
META250801P00565000,6/16/2025 1:39 PM,565,4.05,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00570000,6/17/2025 10:56 AM,570,4.59,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00575000,6/17/2025 12:15 PM,575,4.75,0.00,0.00,0.00,0.00%,3,0,12.50%
META250801P00580000,6/17/2025 2:05 PM,580,5.97,0.00,0.00,0.00,0.00%,1,0,12.50%
META250801P00585000,6/17/2025 3:55 PM,585,6.50,0.00,0.00,0.00,0.00%,-,0,12.50%
META250801P00590000,6/17/2025 3:42 PM,590,7.05,0.00,0.00,0.00,0.00%,6,0,12.50%
META250801P00595000,6/17/2025 2:07 PM,595,7.64,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801P00600000,6/17/2025 3:38 PM,600,8.20,0.00,0.00,0.00,0.00%,32,0,6.25%
META250801P00605000,6/17/2025 2:07 PM,605,8.84,0.00,0.00,0.00,0.00%,6,0,6.25%
META250801P00610000,6/17/2025 3:42 PM,610,9.60,0.00,0.00,0.00,0.00%,34,0,6.25%
META250801P00615000,6/17/2025 9:30 AM,615,9.16,0.00,0.00,0.00,0.00%,1,0,6.25%
META250801P00620000,6/17/2025 3:56 PM,620,11.29,0.00,0.00,0.00,0.00%,18,0,6.25%
META250801P00625000,6/17/2025 3:00 PM,625,12.09,0.00,0.00,0.00,0.00%,-,0,6.25%
META250801P00630000,6/17/2025 3:32 PM,630,13.13,0.00,0.00,0.00,0.00%,60,0,6.25%
META250801P00635000,6/17/2025 2:00 PM,635,14.50,0.00,0.00,0.00,0.00%,43,0,6.25%
META250801P00640000,6/17/2025 3:56 PM,640,15.60,0.00,0.00,0.00,0.00%,26,0,6.25%
META250801P00645000,6/17/2025 10:25 AM,645,16.00,0.00,0.00,0.00,0.00%,8,0,6.25%
META250801P00650000,6/17/2025 3:38 PM,650,18.00,0.00,0.00,0.00,0.00%,24,0,3.13%
META250801P00655000,6/17/2025 3:55 PM,655,20.00,0.00,0.00,0.00,0.00%,4,0,3.13%
META250801P00660000,6/17/2025 1:30 PM,660,21.24,0.00,0.00,0.00,0.00%,12,0,3.13%
META250801P00665000,6/17/2025 1:30 PM,665,22.79,0.00,0.00,0.00,0.00%,11,0,3.13%
META250801P00670000,6/17/2025 2:22 PM,670,24.40,0.00,0.00,0.00,0.00%,14,0,3.13%
META250801P00675000,6/17/2025 11:37 AM,675,23.82,0.00,0.00,0.00,0.00%,6,0,1.56%
META250801P00680000,6/17/2025 3:52 PM,680,28.01,0.00,0.00,0.00,0.00%,24,0,1.56%
META250801P00685000,6/17/2025 12:55 PM,685,28.63,0.00,0.00,0.00,0.00%,-,0,1.56%
META250801P00690000,6/17/2025 1:58 PM,690,32.15,0.00,0.00,0.00,0.00%,16,0,0.78%
META250801P00695000,6/17/2025 2:53 PM,695,34.24,0.00,0.00,0.00,0.00%,9,0,0.20%
META250801P00700000,6/17/2025 2:53 PM,700,36.55,0.00,0.00,0.00,0.00%,-,0,0.00%
META250801P00705000,6/17/2025 3:00 PM,705,38.60,0.00,0.00,0.00,0.00%,6,0,0.00%
META250801P00710000,6/17/2025 3:38 PM,710,41.70,0.00,0.00,0.00,0.00%,-,0,0.00%
META250801P00715000,6/17/2025 12:55 PM,715,42.20,0.00,0.00,0.00,0.00%,-,-,0.00%
META250801P00720000,6/16/2025 9:39 AM,720,46.95,0.00,0.00,0.00,0.00%,3,0,0.00%
META250801P00725000,6/17/2025 11:58 AM,725,46.38,0.00,0.00,0.00,0.00%,-,-,0.00%
