Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META251219C00005000,6/13/2025 3:58 PM,5,676.50,0.00,0.00,0.00,0.00%,12,0,0.00%
META251219C00010000,5/15/2025 10:01 AM,10,642.50,670.95,675.00,0.00,0.00%,1,111,0.00%
META251219C00015000,12/17/2024 11:34 AM,15,611.21,597.25,600.65,0.00,0.00%,10,10,0.00%
META251219C00020000,2024-08-11 12:20:00,20,565.28,599.35,603.25,0.00,0.00%,2,0,0.00%
META251219C00025000,2025-01-05 09:34:00,25,557.05,618.80,625.25,0.00,0.00%,1,6,0.00%
META251219C00030000,11/29/2023 12:01 PM,30,306.50,324.55,328.40,0.00,0.00%,1,3,0.00%
META251219C00035000,8/20/2024 9:35 AM,35,495.00,518.00,527.00,0.00,0.00%,2,4,0.00%
META251219C00040000,2025-10-03 10:02:00,40,562.25,502.30,506.15,0.00,0.00%,1,1,0.00%
META251219C00050000,2/18/2025 3:43 PM,50,661.00,545.65,549.65,0.00,0.00%,1,26,0.00%
META251219C00055000,2025-09-04 09:43:00,55,461.42,536.40,540.55,0.00,0.00%,1,2,0.00%
META251219C00060000,5/17/2024 2:07 PM,60,413.13,444.75,448.80,0.00,0.00%,2,40,0.00%
META251219C00065000,2/20/2025 3:51 PM,65,633.64,531.15,536.90,0.00,0.00%,1,4,0.00%
META251219C00070000,2024-05-02 10:01:00,70,393.00,426.15,430.50,0.00,0.00%,4,8,0.00%
META251219C00075000,2025-03-02 15:51:00,75,623.89,0.00,0.00,0.00,0.00%,5,10,0.00%
META251219C00080000,1/22/2025 1:38 PM,80,549.50,603.55,607.60,0.00,0.00%,12,26,0.00%
META251219C00085000,2/27/2025 2:08 PM,85,588.46,492.40,496.35,0.00,0.00%,2,2,0.00%
META251219C00090000,2025-09-04 13:18:00,90,423.30,502.40,506.45,0.00,0.00%,1,41,0.00%
META251219C00095000,11/15/2024 12:38 PM,95,466.35,489.00,499.00,0.00,0.00%,1,9,0.00%
META251219C00100000,2025-11-06 15:42:00,100,595.40,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00105000,5/13/2025 11:40 AM,105,556.90,577.70,581.60,0.00,0.00%,7,19,0.00%
META251219C00110000,6/13/2025 3:58 PM,110,573.46,0.00,0.00,0.00,0.00%,675,0,0.00%
META251219C00115000,2025-04-03 11:10:00,115,516.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00120000,6/13/2025 2:07 PM,120,572.25,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00125000,2025-05-06 13:49:00,125,566.99,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00130000,2025-08-04 09:41:00,130,417.00,463.70,467.55,0.00,0.00%,1,127,0.00%
META251219C00135000,3/27/2025 9:38 AM,135,471.60,413.80,417.65,0.00,0.00%,5,35,0.00%
META251219C00140000,2025-10-03 10:57:00,140,452.67,405.80,411.65,0.00,0.00%,1,94,0.00%
META251219C00145000,6/16/2025 11:54 AM,145,559.87,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00150000,2025-12-06 13:25:00,150,543.82,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00155000,5/16/2025 1:35 PM,155,484.05,543.65,547.50,0.00,0.00%,2,33,115.33%
META251219C00160000,2025-02-05 12:03:00,160,444.52,488.25,492.45,0.00,0.00%,1,159,0.00%
META251219C00165000,2025-03-02 15:06:00,165,540.30,0.00,0.00,0.00,0.00%,1,29,0.00%
META251219C00170000,2025-11-06 13:31:00,170,534.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00175000,2025-04-04 15:53:00,175,340.42,427.85,430.95,0.00,0.00%,6,169,0.00%
META251219C00180000,2025-12-06 13:25:00,180,514.67,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00185000,4/25/2025 3:07 PM,185,368.83,444.20,448.20,0.00,0.00%,2,72,0.00%
META251219C00190000,2025-12-06 14:30:00,190,506.57,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00195000,4/24/2025 3:38 PM,195,341.60,435.10,438.35,0.00,0.00%,1,183,0.00%
META251219C00200000,6/17/2025 10:06 AM,200,505.35,0.00,0.00,0.00,0.00%,10,0,0.00%
META251219C00205000,2025-12-06 13:58:00,205,491.15,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00210000,2025-02-05 13:13:00,210,395.51,439.75,443.80,0.00,0.00%,2,168,0.00%
META251219C00215000,5/14/2025 3:35 PM,215,449.60,470.45,473.60,0.00,0.00%,40,207,0.00%
META251219C00220000,2025-11-06 09:30:00,220,491.90,0.00,0.00,0.00,0.00%,12,0,0.00%
META251219C00225000,2025-06-06 14:34:00,225,479.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00230000,2025-04-06 12:06:00,230,456.27,0.00,0.00,0.00,0.00%,4,0,0.00%
META251219C00235000,2025-02-05 11:43:00,235,367.95,415.55,419.75,0.00,0.00%,15,311,0.00%
META251219C00240000,2025-11-06 09:30:00,240,473.21,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00245000,4/24/2025 9:56 AM,245,287.00,386.70,390.25,0.00,0.00%,3,73,0.00%
META251219C00250000,6/17/2025 11:23 AM,250,458.56,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00260000,2025-05-06 12:20:00,260,433.80,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00270000,5/28/2025 2:34 PM,270,384.08,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00280000,2025-05-06 12:21:00,280,415.11,0.00,0.00,0.00,0.00%,3,0,0.00%
META251219C00290000,2025-12-05 11:50:00,290,350.00,409.65,412.95,0.00,0.00%,1,239,72.20%
META251219C00300000,2025-12-06 15:03:00,300,401.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00310000,2025-08-05 12:35:00,310,307.80,394.35,397.55,0.00,0.00%,2,1.757,79.44%
META251219C00320000,5/19/2025 9:30 AM,320,318.85,0.00,0.00,0.00,0.00%,25,0,0.00%
META251219C00330000,6/13/2025 11:51 AM,330,371.53,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00340000,2025-12-06 12:21:00,340,360.15,0.00,0.00,0.00,0.00%,10,0,0.00%
META251219C00350000,2025-03-06 12:06:00,350,327.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00360000,2025-10-06 15:58:00,360,351.90,0.00,0.00,0.00,0.00%,5,0,0.00%
META251219C00370000,6/16/2025 2:07 PM,370,343.75,0.00,0.00,0.00,0.00%,3,0,0.00%
META251219C00380000,2025-06-05 10:05:00,380,228.31,314.10,317.35,0.00,0.00%,1,447,30.96%
META251219C00390000,6/16/2025 9:30 AM,390,322.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00395000,4/22/2025 3:36 PM,395,134.84,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00400000,2025-06-06 09:49:00,400,313.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00405000,4/14/2025 2:39 PM,405,160.30,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00410000,5/20/2025 2:23 PM,410,241.35,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00415000,2025-11-06 12:32:00,415,298.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00420000,4/24/2025 12:15 PM,420,141.76,223.90,226.60,0.00,0.00%,1,437,0.00%
META251219C00425000,2025-05-06 10:18:00,425,276.70,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00430000,5/13/2025 11:38 AM,430,247.00,265.60,268.05,0.00,0.00%,1,1.612,32.25%
META251219C00435000,6/13/2025 9:58 AM,435,271.80,0.00,0.00,0.00,0.00%,110,0,0.00%
META251219C00440000,5/20/2025 2:16 PM,440,215.85,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00445000,6/17/2025 12:37 PM,445,275.12,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00450000,2025-06-06 09:32:00,450,264.75,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00455000,5/21/2025 12:06 PM,455,209.45,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00460000,2025-12-06 11:56:00,460,249.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00465000,2025-11-06 12:21:00,465,249.68,0.00,0.00,0.00,0.00%,31,0,0.00%
META251219C00470000,6/16/2025 3:50 PM,470,248.20,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00475000,2025-05-06 15:59:00,475,228.47,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00480000,2025-12-06 14:02:00,480,230.88,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00485000,6/16/2025 3:50 PM,485,234.85,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00490000,2025-12-06 14:15:00,490,222.04,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00495000,2025-02-06 13:01:00,495,194.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00500000,6/16/2025 3:19 PM,500,221.00,0.00,0.00,0.00,0.00%,6,0,0.00%
META251219C00505000,2025-09-06 10:13:00,505,219.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00510000,6/16/2025 12:26 PM,510,211.70,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00515000,2025-06-06 10:52:00,515,204.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00520000,2025-12-06 11:25:00,520,197.25,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00525000,6/13/2025 3:43 PM,525,184.50,0.00,0.00,0.00,0.00%,7,0,0.00%
META251219C00530000,6/16/2025 9:58 AM,530,191.15,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00535000,6/17/2025 3:24 PM,535,190.80,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00540000,6/16/2025 9:58 AM,540,182.95,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00545000,6/16/2025 3:50 PM,545,183.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00550000,6/16/2025 3:50 PM,550,179.45,0.00,0.00,0.00,0.00%,4,0,0.00%
META251219C00555000,2025-10-06 14:52:00,555,175.55,0.00,0.00,0.00,0.00%,4,0,0.00%
META251219C00560000,6/17/2025 9:56 AM,560,171.38,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00565000,2025-06-06 11:31:00,565,163.15,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00570000,6/17/2025 12:41 PM,570,166.94,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00575000,6/17/2025 3:33 PM,575,158.34,0.00,0.00,0.00,0.00%,10,0,0.00%
META251219C00580000,6/17/2025 3:33 PM,580,154.49,0.00,0.00,0.00,0.00%,10,0,0.00%
META251219C00585000,6/17/2025 12:36 PM,585,155.80,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00590000,6/16/2025 10:44 AM,590,151.98,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00595000,2025-09-06 09:52:00,595,146.18,0.00,0.00,0.00,0.00%,4,0,0.00%
META251219C00600000,6/17/2025 2:22 PM,600,139.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00605000,6/17/2025 11:37 AM,605,140.54,0.00,0.00,0.00,0.00%,4,0,0.00%
META251219C00610000,6/16/2025 10:58 AM,610,136.40,0.00,0.00,0.00,0.00%,11,0,0.00%
META251219C00615000,6/16/2025 11:58 AM,615,130.40,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00620000,6/16/2025 11:58 AM,620,126.90,0.00,0.00,0.00,0.00%,10,0,0.00%
META251219C00630000,6/17/2025 1:36 PM,630,120.32,0.00,0.00,0.00,0.00%,1,0,0.00%
META251219C00640000,6/16/2025 3:28 PM,640,113.50,0.00,0.00,0.00,0.00%,2,0,0.00%
META251219C00650000,6/17/2025 3:57 PM,650,104.97,0.00,0.00,0.00,0.00%,8,0,0.00%
META251219C00660000,6/17/2025 3:45 PM,660,99.20,0.00,0.00,0.00,0.00%,6,0,0.00%
META251219C00670000,6/17/2025 3:55 PM,670,92.80,0.00,0.00,0.00,0.00%,30,0,0.00%
META251219C00680000,6/17/2025 1:47 PM,680,88.29,0.00,0.00,0.00,0.00%,5,0,0.00%
META251219C00690000,6/17/2025 3:15 PM,690,82.96,0.00,0.00,0.00,0.00%,31,0,0.00%
META251219C00700000,6/17/2025 3:38 PM,700,76.85,0.00,0.00,0.00,0.00%,111,0,0.20%
META251219C00705000,6/17/2025 1:54 PM,705,74.50,0.00,0.00,0.00,0.00%,9,0,0.39%
META251219C00710000,6/17/2025 3:00 PM,710,73.00,0.00,0.00,0.00,0.00%,16,0,0.78%
META251219C00715000,6/17/2025 1:29 PM,715,70.97,0.00,0.00,0.00,0.00%,4,0,0.78%
META251219C00720000,6/17/2025 2:04 PM,720,66.85,0.00,0.00,0.00,0.00%,19,0,0.78%
META251219C00725000,6/17/2025 10:04 AM,725,66.15,0.00,0.00,0.00,0.00%,4,0,1.56%
META251219C00730000,6/17/2025 3:49 PM,730,63.20,0.00,0.00,0.00,0.00%,7,0,1.56%
META251219C00735000,6/13/2025 3:45 PM,735,53.12,0.00,0.00,0.00,0.00%,15,0,1.56%
META251219C00740000,6/17/2025 1:49 PM,740,58.41,0.00,0.00,0.00,0.00%,7,0,1.56%
META251219C00745000,6/17/2025 11:49 AM,745,59.20,0.00,0.00,0.00,0.00%,1,0,1.56%
META251219C00750000,6/17/2025 3:53 PM,750,54.00,0.00,0.00,0.00,0.00%,75,0,1.56%
