Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META260116C00005000,6/17/2025 11:12 AM,5,698.75,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00010000,2025-11-06 13:14:00,10,690.62,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00015000,12/17/2024 1:55 PM,15,607.98,597.00,600.30,0.00,0.00%,25,9,0.00%
META260116C00020000,12/17/2024 11:20 AM,20,605.63,592.10,595.35,0.00,0.00%,5,0,0.00%
META260116C00025000,3/28/2025 12:21 PM,25,558.20,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00030000,3/19/2025 2:46 PM,30,556.00,467.70,475.80,0.00,0.00%,1,6,0.00%
META260116C00040000,2023-12-10 13:17:00,40,291.00,291.65,295.55,0.00,0.00%,1,1,0.00%
META260116C00050000,2025-02-05 15:37:00,50,548.30,595.60,599.55,0.00,0.00%,3,88,0.00%
META260116C00060000,2/21/2025 3:22 PM,60,625.85,548.35,557.05,0.00,0.00%,2,5,0.00%
META260116C00070000,5/20/2025 9:35 AM,70,568.25,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00080000,6/13/2025 3:48 PM,80,604.41,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00090000,6/13/2025 3:49 PM,90,595.13,0.00,0.00,0.00,0.00%,5,0,0.00%
META260116C00100000,6/13/2025 3:33 PM,100,584.37,0.00,0.00,0.00,0.00%,14,0,0.00%
META260116C00110000,6/13/2025 12:36 PM,110,585.32,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00120000,6/13/2025 2:45 PM,120,567.30,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00130000,6/13/2025 12:36 PM,130,565.82,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00140000,6/13/2025 10:28 AM,140,550.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00145000,5/15/2025 10:36 AM,145,508.21,539.00,542.40,0.00,0.00%,1,12,0.00%
META260116C00150000,6/13/2025 2:45 PM,150,538.05,0.00,0.00,0.00,0.00%,10,0,0.00%
META260116C00155000,5/30/2025 1:28 PM,155,485.78,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00160000,6/13/2025 10:06 AM,160,535.67,0.00,0.00,0.00,0.00%,10,0,0.00%
META260116C00165000,3/31/2025 2:25 PM,165,416.19,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00170000,6/13/2025 1:22 PM,170,525.61,0.00,0.00,0.00,0.00%,9,0,0.00%
META260116C00175000,2025-01-05 09:40:00,175,406.55,474.35,478.40,0.00,0.00%,3,22,0.00%
META260116C00180000,6/16/2025 10:09 AM,180,524.50,0.00,0.00,0.00,0.00%,21,0,0.00%
META260116C00185000,2025-06-05 11:42:00,185,412.05,501.50,506.75,0.00,0.00%,2,40,0.00%
META260116C00190000,5/28/2025 11:35 AM,190,460.80,0.00,0.00,0.00,0.00%,40,0,0.00%
META260116C00195000,5/22/2025 11:49 AM,195,448.19,0.00,0.00,0.00,0.00%,21,0,0.00%
META260116C00200000,2025-12-06 15:00:00,200,498.58,0.00,0.00,0.00,0.00%,147,0,0.00%
META260116C00210000,6/13/2025 3:51 PM,210,476.70,0.00,0.00,0.00,0.00%,400,0,0.00%
META260116C00220000,2025-05-06 11:08:00,220,474.62,0.00,0.00,0.00,0.00%,10,0,0.00%
META260116C00230000,2025-06-06 14:34:00,230,474.85,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00240000,2025-12-06 15:17:00,240,460.05,0.00,0.00,0.00,0.00%,5,0,0.00%
META260116C00250000,6/16/2025 2:46 PM,250,458.35,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00260000,2025-11-06 09:42:00,260,451.18,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00270000,6/13/2025 3:45 PM,270,418.58,0.00,0.00,0.00,0.00%,12,0,0.00%
META260116C00280000,6/13/2025 9:42 AM,280,420.79,0.00,0.00,0.00,0.00%,12,0,0.00%
META260116C00290000,6/13/2025 9:43 AM,290,410.98,0.00,0.00,0.00,0.00%,12,0,0.00%
META260116C00300000,6/13/2025 3:20 PM,300,391.68,0.00,0.00,0.00,0.00%,13,0,0.00%
META260116C00310000,6/13/2025 9:40 AM,310,391.16,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00320000,6/17/2025 2:00 PM,320,387.21,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00330000,2025-12-06 13:32:00,330,371.64,0.00,0.00,0.00,0.00%,4,0,0.00%
META260116C00340000,2025-12-06 13:34:00,340,362.15,0.00,0.00,0.00,0.00%,6,0,0.00%
META260116C00350000,6/16/2025 10:34 AM,350,366.80,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00360000,6/16/2025 11:43 AM,360,353.70,0.00,0.00,0.00,0.00%,4,0,0.00%
META260116C00370000,2025-12-06 12:19:00,370,333.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00380000,6/17/2025 10:25 AM,380,333.30,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00390000,6/13/2025 9:34 AM,390,313.75,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00395000,2025-02-06 10:22:00,395,274.13,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00400000,6/16/2025 3:39 PM,400,314.55,0.00,0.00,0.00,0.00%,7,0,0.00%
META260116C00405000,2025-04-06 10:43:00,405,294.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00410000,6/16/2025 1:27 PM,410,306.32,0.00,0.00,0.00,0.00%,40,0,0.00%
META260116C00415000,2025-03-06 10:00:00,415,270.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00420000,5/13/2025 12:54 PM,420,259.13,276.70,280.15,0.00,0.00%,1,254,38.95%
META260116C00425000,5/13/2025 11:25 AM,425,253.60,272.20,275.55,0.00,0.00%,1,709,39.17%
META260116C00430000,2025-03-06 09:47:00,430,257.05,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00435000,4/25/2025 2:15 PM,435,146.35,213.15,216.35,0.00,0.00%,3,76,0.00%
META260116C00440000,6/13/2025 10:52 AM,440,267.06,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00445000,2025-09-05 15:42:00,445,178.21,270.05,272.65,0.00,0.00%,1,105,57.36%
META260116C00450000,6/16/2025 9:58 AM,450,263.72,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00460000,6/16/2025 10:04 AM,460,258.95,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00470000,6/16/2025 10:04 AM,470,249.95,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00480000,6/16/2025 9:51 AM,480,237.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00490000,6/16/2025 10:40 AM,490,238.70,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00500000,6/17/2025 11:24 AM,500,226.50,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00510000,6/13/2025 2:10 PM,510,206.10,0.00,0.00,0.00,0.00%,48,0,0.00%
META260116C00520000,6/13/2025 10:48 AM,520,198.00,0.00,0.00,0.00,0.00%,10,0,0.00%
META260116C00530000,6/16/2025 1:40 PM,530,200.22,0.00,0.00,0.00,0.00%,10,0,0.00%
META260116C00540000,6/17/2025 12:47 PM,540,194.31,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00550000,6/17/2025 3:55 PM,550,179.90,0.00,0.00,0.00,0.00%,9,0,0.00%
META260116C00560000,2025-12-06 14:18:00,560,168.42,0.00,0.00,0.00,0.00%,130,0,0.00%
META260116C00570000,6/17/2025 3:32 PM,570,166.48,0.00,0.00,0.00,0.00%,2,0,0.00%
META260116C00580000,6/17/2025 3:31 PM,580,159.00,0.00,0.00,0.00,0.00%,3,0,0.00%
META260116C00590000,6/17/2025 3:58 PM,590,150.50,0.00,0.00,0.00,0.00%,34,0,0.00%
META260116C00600000,6/17/2025 3:23 PM,600,144.80,0.00,0.00,0.00,0.00%,32,0,0.00%
META260116C00610000,6/17/2025 2:28 PM,610,136.46,0.00,0.00,0.00,0.00%,33,0,0.00%
META260116C00620000,6/17/2025 10:05 AM,620,131.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META260116C00630000,6/17/2025 1:15 PM,630,125.65,0.00,0.00,0.00,0.00%,37,0,0.00%
META260116C00640000,6/17/2025 3:56 PM,640,116.30,0.00,0.00,0.00,0.00%,15,0,0.00%
META260116C00650000,6/17/2025 3:50 PM,650,111.00,0.00,0.00,0.00,0.00%,44,0,0.00%
META260116C00660000,6/17/2025 3:40 PM,660,104.85,0.00,0.00,0.00,0.00%,32,0,0.00%
META260116C00670000,6/17/2025 3:08 PM,670,99.40,0.00,0.00,0.00,0.00%,8,0,0.00%
META260116C00680000,6/17/2025 3:55 PM,680,91.70,0.00,0.00,0.00,0.00%,14,0,0.00%
META260116C00690000,6/17/2025 3:54 PM,690,87.40,0.00,0.00,0.00,0.00%,23,0,0.00%
META260116C00700000,6/17/2025 3:53 PM,700,81.95,0.00,0.00,0.00,0.00%,228,0,0.10%
META260116C00705000,6/17/2025 12:16 PM,705,83.27,0.00,0.00,0.00,0.00%,4,0,0.39%
META260116C00710000,6/17/2025 3:51 PM,710,77.45,0.00,0.00,0.00,0.00%,4,0,0.39%
META260116C00715000,6/17/2025 3:39 PM,715,75.00,0.00,0.00,0.00,0.00%,2,0,0.78%
META260116C00720000,6/17/2025 2:25 PM,720,72.35,0.00,0.00,0.00,0.00%,18,0,0.78%
META260116C00725000,6/17/2025 12:39 PM,725,74.02,0.00,0.00,0.00,0.00%,6,0,0.78%
META260116C00730000,6/17/2025 3:37 PM,730,68.20,0.00,0.00,0.00,0.00%,12,0,1.56%
META260116C00735000,6/16/2025 3:56 PM,735,67.09,0.00,0.00,0.00,0.00%,12,0,1.56%
META260116C00740000,6/17/2025 11:41 AM,740,67.20,0.00,0.00,0.00,0.00%,8,0,1.56%
META260116C00745000,6/17/2025 3:18 PM,745,61.95,0.00,0.00,0.00,0.00%,36,0,1.56%
META260116C00750000,6/17/2025 3:59 PM,750,59.07,0.00,0.00,0.00,0.00%,115,0,1.56%
META260116C00755000,6/17/2025 3:55 PM,755,56.87,0.00,0.00,0.00,0.00%,2,0,1.56%
META260116C00760000,6/17/2025 2:19 PM,760,55.45,0.00,0.00,0.00,0.00%,12,0,3.13%
META260116C00765000,6/17/2025 3:55 PM,765,53.05,0.00,0.00,0.00,0.00%,5,0,3.13%
META260116C00770000,6/17/2025 1:55 PM,770,52.05,0.00,0.00,0.00,0.00%,11,0,3.13%
META260116C00775000,6/17/2025 1:55 PM,775,50.10,0.00,0.00,0.00,0.00%,13,0,3.13%
META260116C00780000,6/17/2025 1:55 PM,780,48.35,0.00,0.00,0.00,0.00%,23,0,3.13%
META260116C00785000,6/17/2025 11:29 AM,785,48.65,0.00,0.00,0.00,0.00%,2,0,3.13%
META260116C00790000,6/17/2025 1:55 PM,790,45.00,0.00,0.00,0.00,0.00%,11,0,3.13%
META260116C00795000,6/17/2025 1:40 PM,795,44.15,0.00,0.00,0.00,0.00%,4,0,3.13%
META260116C00800000,6/17/2025 3:59 PM,800,41.20,0.00,0.00,0.00,0.00%,84,0,3.13%
META260116C00805000,6/17/2025 1:59 PM,805,40.20,0.00,0.00,0.00,0.00%,23,0,3.13%
META260116C00810000,6/17/2025 1:41 PM,810,39.75,0.00,0.00,0.00,0.00%,2,0,3.13%
META260116C00815000,6/17/2025 1:41 PM,815,38.20,0.00,0.00,0.00,0.00%,9,0,3.13%
META260116C00820000,6/17/2025 1:41 PM,820,36.85,0.00,0.00,0.00,0.00%,24,0,3.13%
META260116C00825000,6/17/2025 1:41 PM,825,35.40,0.00,0.00,0.00,0.00%,3,0,3.13%
META260116C00830000,6/17/2025 10:58 AM,830,34.20,0.00,0.00,0.00,0.00%,1,0,3.13%
META260116C00835000,6/17/2025 3:59 PM,835,31.80,0.00,0.00,0.00,0.00%,7,0,6.25%
META260116C00840000,6/17/2025 11:18 AM,840,32.25,0.00,0.00,0.00,0.00%,1,0,6.25%
META260116C00845000,6/17/2025 11:28 AM,845,31.40,0.00,0.00,0.00,0.00%,1,0,6.25%
META260116C00850000,6/17/2025 1:52 PM,850,28.55,0.00,0.00,0.00,0.00%,38,0,6.25%
META260116C00860000,6/17/2025 1:42 PM,860,27.10,0.00,0.00,0.00,0.00%,2,0,6.25%
META260116C00870000,6/17/2025 3:03 PM,870,24.71,0.00,0.00,0.00,0.00%,16,0,6.25%
META260116C00880000,6/17/2025 2:44 PM,880,22.50,0.00,0.00,0.00,0.00%,7,0,6.25%
META260116C00890000,6/17/2025 1:41 PM,890,21.55,0.00,0.00,0.00,0.00%,3,0,6.25%
META260116C00900000,6/17/2025 3:44 PM,900,19.24,0.00,0.00,0.00,0.00%,1.563,0,6.25%
META260116C00910000,6/17/2025 12:02 PM,910,19.04,0.00,0.00,0.00,0.00%,3,0,6.25%
META260116C00920000,6/17/2025 1:41 PM,920,17.05,0.00,0.00,0.00,0.00%,4,0,6.25%
META260116C00930000,6/17/2025 11:36 AM,930,16.33,0.00,0.00,0.00,0.00%,3,0,6.25%
META260116C00940000,6/17/2025 12:31 PM,940,14.95,0.00,0.00,0.00,0.00%,6,0,6.25%
META260116C00950000,6/17/2025 11:57 AM,950,14.10,0.00,0.00,0.00,0.00%,6,0,6.25%
META260116C00960000,6/17/2025 11:42 AM,960,13.19,0.00,0.00,0.00,0.00%,2,0,6.25%
META260116C00970000,6/16/2025 12:12 PM,970,11.21,0.00,0.00,0.00,0.00%,1,0,6.25%
