Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META260618C00005000,6/17/2025 3:42 PM,5,693.30,0.00,0.00,0.00,0.00%,47,0,0.00%
META260618C00010000,6/16/2025 3:41 PM,10,691.03,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00015000,6/16/2025 3:41 PM,15,686.03,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00020000,12/17/2024 11:14 AM,20,605.45,591.85,595.70,0.00,0.00%,10,1,0.00%
META260618C00025000,2024-11-12 11:01:00,25,605.70,589.70,593.75,0.00,0.00%,1,7,0.00%
META260618C00030000,3/15/2024 1:23 PM,30,455.05,479.50,484.50,0.00,0.00%,2,2,0.00%
META260618C00040000,4/15/2025 9:54 AM,40,501.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00045000,12/23/2024 10:25 AM,45,544.78,581.60,585.50,0.00,0.00%,-,1,0.00%
META260618C00050000,6/16/2025 1:06 PM,50,651.02,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00060000,4/21/2025 2:54 PM,60,423.81,574.40,576.90,0.00,0.00%,1,5,0.00%
META260618C00070000,4/16/2025 11:20 AM,70,441.11,570.25,574.50,0.00,0.00%,2,24,0.00%
META260618C00080000,5/20/2025 9:34 AM,80,562.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00090000,2025-11-04 10:33:00,90,448.35,570.50,574.25,0.00,0.00%,1,9,0.00%
META260618C00100000,2025-09-06 10:38:00,100,605.61,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00110000,6/13/2025 3:58 PM,110,575.17,0.00,0.00,0.00,0.00%,696,0,0.00%
META260618C00120000,6/13/2025 2:07 PM,120,574.71,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00130000,5/20/2025 9:34 AM,130,513.75,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00140000,5/21/2025 12:11 PM,140,507.75,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00145000,5/21/2025 10:31 AM,145,502.50,0.00,0.00,0.00,0.00%,12,0,0.00%
META260618C00150000,2025-12-06 13:55:00,150,548.15,0.00,0.00,0.00,0.00%,3,0,0.00%
META260618C00155000,5/21/2025 11:07 AM,155,497.30,0.00,0.00,0.00,0.00%,26,0,0.00%
META260618C00160000,5/21/2025 10:27 AM,160,488.15,0.00,0.00,0.00,0.00%,14,0,0.00%
META260618C00165000,5/21/2025 11:07 AM,165,487.25,0.00,0.00,0.00,0.00%,10,0,0.00%
META260618C00170000,2025-10-06 15:39:00,170,537.31,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00175000,2025-10-06 15:40:00,175,534.45,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00180000,2025-12-06 13:55:00,180,519.61,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00185000,5/21/2025 9:46 AM,185,464.20,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00190000,2025-12-06 14:30:00,190,510.40,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00195000,2025-02-06 10:05:00,195,464.45,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00200000,2025-12-06 14:30:00,200,500.93,0.00,0.00,0.00,0.00%,6,0,0.00%
META260618C00210000,2025-12-06 15:30:00,210,492.55,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00220000,2025-04-06 10:27:00,220,473.93,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00230000,2025-12-06 10:30:00,230,475.35,0.00,0.00,0.00,0.00%,8,0,0.00%
META260618C00240000,2025-12-06 10:29:00,240,463.66,0.00,0.00,0.00,0.00%,8,0,0.00%
META260618C00250000,2025-12-06 10:30:00,250,453.71,0.00,0.00,0.00,0.00%,12,0,0.00%
META260618C00260000,2025-12-06 10:23:00,260,443.40,0.00,0.00,0.00,0.00%,16,0,0.00%
META260618C00270000,2025-12-06 10:58:00,270,435.80,0.00,0.00,0.00,0.00%,26,0,0.00%
META260618C00280000,2025-11-06 10:07:00,280,434.91,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00290000,6/16/2025 2:57 PM,290,426.70,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00300000,6/13/2025 3:47 PM,300,397.38,0.00,0.00,0.00,0.00%,14,0,0.00%
META260618C00310000,2025-12-06 13:30:00,310,397.41,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00320000,2025-12-06 13:31:00,320,388.14,0.00,0.00,0.00,0.00%,20,0,0.00%
META260618C00330000,6/16/2025 10:49 AM,330,390.89,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00340000,6/16/2025 10:48 AM,340,380.10,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00350000,6/16/2025 10:33 AM,350,375.34,0.00,0.00,0.00,0.00%,3,0,0.00%
META260618C00360000,6/17/2025 1:22 PM,360,361.90,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00370000,6/16/2025 2:58 PM,370,355.90,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00380000,5/29/2025 10:03 AM,380,293.16,0.00,0.00,0.00,0.00%,19,0,0.00%
META260618C00390000,2025-11-06 15:48:00,390,327.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00395000,2025-10-06 15:40:00,395,330.45,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00400000,6/16/2025 11:46 AM,400,328.50,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00405000,5/13/2025 3:45 PM,405,283.07,302.75,306.40,0.00,0.00%,1,104,46.06%
META260618C00410000,2025-04-06 15:43:00,410,303.71,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00415000,6/17/2025 9:30 AM,415,314.92,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00420000,6/13/2025 10:15 AM,420,297.97,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00425000,6/17/2025 9:30 AM,425,306.17,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00430000,6/17/2025 3:55 PM,430,296.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00435000,6/16/2025 10:19 AM,435,299.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00440000,2025-11-06 10:18:00,440,293.46,0.00,0.00,0.00,0.00%,3,0,0.00%
META260618C00445000,5/16/2025 12:40 PM,445,228.65,283.20,287.20,0.00,0.00%,1,424,53.59%
META260618C00450000,6/16/2025 3:02 PM,450,285.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00460000,6/16/2025 11:00 AM,460,278.72,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00470000,2025-05-06 14:35:00,470,256.88,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00480000,6/17/2025 10:26 AM,480,258.27,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00490000,6/16/2025 3:02 PM,490,252.20,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00500000,6/16/2025 12:34 PM,500,241.13,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00510000,6/16/2025 12:18 PM,510,235.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00520000,6/13/2025 10:22 AM,520,217.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00530000,2025-09-06 12:19:00,530,219.90,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00540000,6/17/2025 11:37 AM,540,216.58,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00550000,6/17/2025 3:30 PM,550,205.05,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00560000,6/17/2025 11:26 AM,560,200.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00570000,6/17/2025 3:58 PM,570,189.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00580000,6/16/2025 1:18 PM,580,184.07,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00590000,6/17/2025 3:16 PM,590,177.47,0.00,0.00,0.00,0.00%,1,0,0.00%
META260618C00600000,6/17/2025 2:33 PM,600,170.33,0.00,0.00,0.00,0.00%,170,0,0.00%
META260618C00610000,6/13/2025 10:36 AM,610,157.10,0.00,0.00,0.00,0.00%,8,0,0.00%
META260618C00620000,6/16/2025 11:39 AM,620,160.73,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00630000,6/17/2025 3:58 PM,630,150.75,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00640000,6/17/2025 3:13 PM,640,146.28,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00650000,6/17/2025 3:50 PM,650,139.83,0.00,0.00,0.00,0.00%,4,0,0.00%
META260618C00660000,6/17/2025 3:51 PM,660,134.00,0.00,0.00,0.00,0.00%,37,0,0.00%
META260618C00670000,6/17/2025 12:54 PM,670,131.14,0.00,0.00,0.00,0.00%,3,0,0.00%
META260618C00680000,6/17/2025 1:31 PM,680,124.40,0.00,0.00,0.00,0.00%,3,0,0.00%
META260618C00690000,6/17/2025 12:06 PM,690,122.15,0.00,0.00,0.00,0.00%,2,0,0.00%
META260618C00700000,6/17/2025 3:57 PM,700,112.55,0.00,0.00,0.00,0.00%,131,0,0.10%
META260618C00710000,6/17/2025 2:40 PM,710,108.30,0.00,0.00,0.00,0.00%,7,0,0.39%
META260618C00720000,6/17/2025 3:49 PM,720,104.00,0.00,0.00,0.00,0.00%,17,0,0.78%
META260618C00730000,6/17/2025 3:38 PM,730,99.20,0.00,0.00,0.00,0.00%,6,0,0.78%
META260618C00740000,6/17/2025 3:37 PM,740,94.92,0.00,0.00,0.00,0.00%,2,0,1.56%
META260618C00750000,6/17/2025 1:46 PM,750,90.98,0.00,0.00,0.00,0.00%,6,0,1.56%
META260618C00760000,6/16/2025 11:41 AM,760,88.50,0.00,0.00,0.00,0.00%,1,0,1.56%
META260618C00770000,6/17/2025 12:44 PM,770,85.29,0.00,0.00,0.00,0.00%,5,0,1.56%
META260618C00780000,6/17/2025 1:46 PM,780,79.00,0.00,0.00,0.00,0.00%,4,0,3.13%
META260618C00790000,6/17/2025 12:11 PM,790,77.87,0.00,0.00,0.00,0.00%,3,0,3.13%
META260618C00800000,6/17/2025 3:54 PM,800,71.05,0.00,0.00,0.00,0.00%,64,0,3.13%
META260618C00810000,6/17/2025 2:32 PM,810,68.50,0.00,0.00,0.00,0.00%,34,0,3.13%
META260618C00820000,6/17/2025 12:11 PM,820,67.57,0.00,0.00,0.00,0.00%,1,0,3.13%
META260618C00830000,2025-10-06 12:13:00,830,62.45,0.00,0.00,0.00,0.00%,1,0,3.13%
META260618C00840000,6/16/2025 11:32 AM,840,60.93,0.00,0.00,0.00,0.00%,1,0,3.13%
META260618C00850000,6/16/2025 3:50 PM,850,56.50,0.00,0.00,0.00,0.00%,33,0,3.13%
META260618C00860000,6/16/2025 11:03 AM,860,55.47,0.00,0.00,0.00,0.00%,2,0,3.13%
META260618C00870000,6/16/2025 11:08 AM,870,52.60,0.00,0.00,0.00,0.00%,1,0,3.13%
META260618C00880000,6/17/2025 12:27 PM,880,49.87,0.00,0.00,0.00,0.00%,3,0,3.13%
META260618C00890000,6/17/2025 12:27 PM,890,47.43,0.00,0.00,0.00,0.00%,3,0,6.25%
META260618C00900000,6/17/2025 2:26 PM,900,43.40,0.00,0.00,0.00,0.00%,5,0,6.25%
META260618C00910000,6/17/2025 12:27 PM,910,42.82,0.00,0.00,0.00,0.00%,3,0,6.25%
META260618C00920000,6/17/2025 1:22 PM,920,39.75,0.00,0.00,0.00,0.00%,7,0,6.25%
META260618C00930000,6/16/2025 10:44 AM,930,39.02,36.60,37.10,0.00,0.00%,1,160,37.06%
META260618C00940000,2025-11-06 13:13:00,940,36.49,0.00,0.00,0.00,0.00%,6,0,6.25%
META260618C00950000,6/17/2025 1:17 PM,950,34.35,0.00,0.00,0.00,0.00%,53,0,6.25%
META260618C00960000,2025-11-06 15:52:00,960,31.10,0.00,0.00,0.00,0.00%,40,0,6.25%
META260618C00970000,6/16/2025 10:47 AM,970,31.48,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C00980000,2025-10-06 12:32:00,980,29.60,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C00990000,2025-10-06 12:21:00,990,28.05,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C01000000,6/17/2025 3:59 PM,1000,25.50,0.00,0.00,0.00,0.00%,57,0,6.25%
META260618C01010000,2025-12-06 13:12:00,1010,23.35,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C01020000,2025-05-06 10:39:00,1020,24.00,0.00,0.00,0.00,0.00%,17,0,6.25%
META260618C01030000,6/16/2025 12:01 PM,1030,22.45,0.00,0.00,0.00,0.00%,5,0,6.25%
META260618C01040000,6/17/2025 1:24 PM,1040,21.30,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C01050000,6/13/2025 1:05 PM,1050,19.20,0.00,0.00,0.00,0.00%,1,0,6.25%
META260618C01060000,2025-12-06 11:54:00,1060,18.08,0.00,0.00,0.00,0.00%,3,0,6.25%
META260618C01070000,2025-06-06 11:11:00,1070,18.73,0.00,0.00,0.00,0.00%,2,0,6.25%
META260618C01080000,2025-12-06 11:50:00,1080,16.45,0.00,0.00,0.00,0.00%,2,0,6.25%
META260618C01090000,6/16/2025 2:02 PM,1090,16.55,0.00,0.00,0.00,0.00%,2,0,6.25%
META260618C01100000,6/17/2025 9:42 AM,1100,15.30,0.00,0.00,0.00,0.00%,20,0,6.25%
META260618C01110000,2025-12-06 11:46:00,1110,14.22,0.00,0.00,0.00,0.00%,2,0,6.25%
