Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META260320C00005000,6/17/2025 11:27 AM,5,700.05,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00010000,6/17/2025 10:05 AM,10,691.00,0.00,0.00,0.00,0.00%,-,0,0.00%
META260320C00090000,5/20/2025 9:35 AM,90,550.20,0.00,0.00,0.00,0.00%,-,0,0.00%
META260320C00250000,2025-06-06 15:03:00,250,456.89,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00270000,2025-02-05 11:26:00,270,338.83,386.00,389.50,0.00,0.00%,1,4,0.00%
META260320C00290000,2025-04-06 09:45:00,290,401.95,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00300000,2025-12-05 09:56:00,300,337.05,411.45,415.35,0.00,0.00%,4,10,79.22%
META260320C00310000,6/13/2025 12:19 PM,310,396.01,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00320000,2025-02-06 11:40:00,320,352.63,0.00,0.00,0.00,0.00%,25,0,0.00%
META260320C00330000,2025-06-06 12:21:00,330,378.20,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00340000,2025-04-06 10:06:00,340,352.51,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00350000,2025-06-05 13:36:00,350,258.30,347.25,351.20,0.00,0.00%,1,20,47.46%
META260320C00360000,4/30/2025 3:59 PM,360,214.15,301.95,305.90,0.00,0.00%,2,21,0.00%
META260320C00370000,4/30/2025 3:38 PM,370,198.50,292.85,297.00,0.00,0.00%,1,14,0.00%
META260320C00380000,2025-05-05 12:00:00,380,243.00,324.15,327.60,0.00,0.00%,1,33,50.71%
META260320C00390000,2025-02-06 12:14:00,390,292.55,0.00,0.00,0.00,0.00%,30,0,0.00%
META260320C00400000,6/16/2025 3:43 PM,400,319.43,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00410000,2025-04-06 10:22:00,410,294.78,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00420000,6/16/2025 1:30 PM,420,302.60,0.00,0.00,0.00,0.00%,3,0,0.00%
META260320C00430000,2025-10-06 10:20:00,430,292.92,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00440000,2025-04-06 10:16:00,440,269.47,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00450000,2025-10-06 14:40:00,450,273.66,0.00,0.00,0.00,0.00%,3,0,0.00%
META260320C00460000,2025-06-06 12:48:00,460,260.45,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00470000,2025-04-06 11:01:00,470,241.70,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00480000,6/17/2025 11:44 AM,480,253.27,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00490000,6/13/2025 10:44 AM,490,231.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00500000,6/16/2025 9:54 AM,500,229.45,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00510000,2025-12-06 13:31:00,510,216.12,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00520000,2025-06-06 10:08:00,520,215.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00530000,6/13/2025 2:54 PM,530,195.30,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00540000,2025-11-06 15:49:00,540,194.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00550000,6/17/2025 12:21 PM,550,196.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00560000,6/16/2025 2:59 PM,560,186.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00570000,6/17/2025 3:24 PM,570,178.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00580000,6/13/2025 9:55 AM,580,163.41,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00590000,6/16/2025 2:03 PM,590,165.29,0.00,0.00,0.00,0.00%,34,0,0.00%
META260320C00600000,6/17/2025 3:33 PM,600,155.99,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00610000,6/17/2025 11:55 AM,610,153.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00620000,6/17/2025 12:13 PM,620,146.95,0.00,0.00,0.00,0.00%,2,0,0.00%
META260320C00630000,6/16/2025 11:06 AM,630,139.91,0.00,0.00,0.00,0.00%,9,0,0.00%
META260320C00640000,6/17/2025 9:48 AM,640,130.22,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00650000,6/17/2025 10:29 AM,650,124.77,0.00,0.00,0.00,0.00%,4,0,0.00%
META260320C00660000,6/17/2025 3:48 PM,660,117.60,0.00,0.00,0.00,0.00%,12,0,0.00%
META260320C00670000,6/16/2025 10:50 AM,670,114.85,0.00,0.00,0.00,0.00%,1,0,0.00%
META260320C00680000,6/17/2025 3:56 PM,680,106.50,0.00,0.00,0.00,0.00%,34,0,0.00%
META260320C00690000,6/17/2025 2:27 PM,690,101.30,0.00,0.00,0.00,0.00%,10,0,0.00%
META260320C00700000,6/17/2025 3:31 PM,700,96.80,0.00,0.00,0.00,0.00%,107,0,0.10%
META260320C00710000,6/17/2025 2:07 PM,710,91.77,0.00,0.00,0.00,0.00%,3,0,0.39%
META260320C00720000,6/17/2025 2:24 PM,720,86.85,0.00,0.00,0.00,0.00%,9,0,0.78%
META260320C00730000,6/17/2025 11:54 AM,730,85.62,0.00,0.00,0.00,0.00%,3,0,1.56%
META260320C00740000,6/17/2025 12:14 PM,740,80.93,0.00,0.00,0.00,0.00%,2,0,1.56%
META260320C00750000,6/17/2025 2:55 PM,750,74.27,0.00,0.00,0.00,0.00%,5,0,1.56%
META260320C00760000,6/17/2025 2:55 PM,760,70.32,0.00,0.00,0.00,0.00%,5,0,1.56%
META260320C00770000,6/17/2025 11:43 AM,770,68.85,0.00,0.00,0.00,0.00%,11,0,3.13%
META260320C00780000,6/17/2025 11:02 AM,780,63.15,0.00,0.00,0.00,0.00%,1,0,3.13%
META260320C00790000,6/17/2025 2:55 PM,790,59.35,0.00,0.00,0.00,0.00%,4,0,3.13%
META260320C00800000,6/17/2025 3:46 PM,800,55.25,0.00,0.00,0.00,0.00%,19,0,3.13%
META260320C00810000,6/17/2025 1:41 PM,810,53.05,0.00,0.00,0.00,0.00%,2,0,3.13%
META260320C00820000,6/17/2025 11:09 AM,820,50.20,0.00,0.00,0.00,0.00%,1,0,3.13%
META260320C00830000,6/17/2025 11:05 AM,830,47.05,0.00,0.00,0.00,0.00%,1,0,3.13%
META260320C00840000,6/17/2025 11:01 AM,840,44.30,0.00,0.00,0.00,0.00%,2,0,3.13%
META260320C00850000,6/17/2025 1:42 PM,850,41.55,0.00,0.00,0.00,0.00%,2,0,3.13%
META260320C00860000,6/17/2025 1:41 PM,860,39.20,0.00,0.00,0.00,0.00%,3,0,6.25%
META260320C00870000,6/17/2025 11:01 AM,870,36.80,0.00,0.00,0.00,0.00%,1,0,6.25%
META260320C00880000,2025-10-06 12:42:00,880,34.41,0.00,0.00,0.00,0.00%,11,0,6.25%
META260320C00890000,6/16/2025 3:43 PM,890,31.75,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C00900000,6/17/2025 3:48 PM,900,29.79,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C00910000,6/17/2025 9:39 AM,910,28.48,0.00,0.00,0.00,0.00%,1,0,6.25%
META260320C00920000,6/16/2025 11:02 AM,920,27.20,0.00,0.00,0.00,0.00%,12,0,6.25%
META260320C00930000,6/17/2025 11:05 AM,930,25.25,0.00,0.00,0.00,0.00%,1,0,6.25%
META260320C00940000,2025-10-06 12:36:00,940,23.71,0.00,0.00,0.00,0.00%,14,0,6.25%
META260320C00950000,6/17/2025 12:17 PM,950,22.94,0.00,0.00,0.00,0.00%,3,0,6.25%
META260320C00960000,2025-12-06 13:48:00,960,19.20,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C00970000,6/17/2025 1:41 PM,970,19.50,0.00,0.00,0.00,0.00%,4,0,6.25%
META260320C00980000,2025-12-06 13:46:00,980,16.79,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C00990000,6/17/2025 11:16 AM,990,17.45,0.00,0.00,0.00,0.00%,1,0,6.25%
META260320C01000000,6/17/2025 3:24 PM,1000,16.00,0.00,0.00,0.00,0.00%,4,0,6.25%
META260320C01010000,6/17/2025 11:08 AM,1010,15.30,0.00,0.00,0.00,0.00%,1,0,6.25%
META260320C01020000,6/17/2025 11:25 AM,1020,14.60,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C01030000,2025-12-06 13:42:00,1030,12.29,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C01040000,2025-12-06 13:41:00,1040,11.53,0.00,0.00,0.00,0.00%,2,0,6.25%
META260320C01050000,6/17/2025 11:40 AM,1050,12.45,0.00,0.00,0.00,0.00%,40,0,6.25%
META260320C01060000,2025-09-06 13:30:00,1060,11.80,0.00,0.00,0.00,0.00%,12,0,6.25%
META260320C01070000,2025-12-06 15:59:00,1070,9.85,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01080000,2025-12-06 13:38:00,1080,9.09,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01090000,2025-12-06 13:37:00,1090,8.63,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01100000,6/17/2025 3:09 PM,1100,8.65,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01110000,2025-12-06 13:34:00,1110,7.58,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01120000,6/16/2025 9:37 AM,1120,7.50,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01130000,6/16/2025 9:45 AM,1130,6.90,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01140000,2025-09-06 11:27:00,1140,7.50,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01150000,6/17/2025 12:17 PM,1150,6.87,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01160000,2025-04-06 10:25:00,1160,5.77,0.00,0.00,0.00,0.00%,6,0,12.50%
META260320C01170000,2025-09-06 11:19:00,1170,6.26,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01180000,2025-12-05 14:51:00,1180,3.35,4.85,5.85,0.00,0.00%,4,0,36.59%
META260320C01190000,5/29/2025 1:21 PM,1190,3.35,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01200000,6/17/2025 12:22 PM,1200,5.20,0.00,0.00,0.00,0.00%,5,0,12.50%
META260320C01210000,2025-12-06 14:49:00,1210,4.40,0.00,0.00,0.00,0.00%,4,0,12.50%
META260320C01220000,5/29/2025 1:34 PM,1220,2.76,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01230000,5/30/2025 11:08 AM,1230,2.62,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01240000,5/30/2025 11:09 AM,1240,2.54,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01250000,6/16/2025 10:34 AM,1250,4.00,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01260000,2025-12-06 14:49:00,1260,3.40,0.00,0.00,0.00,0.00%,4,0,12.50%
META260320C01270000,2025-10-06 10:32:00,1270,3.70,0.00,0.00,0.00,0.00%,17,0,12.50%
META260320C01280000,6/13/2025 3:31 PM,1280,2.86,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01290000,6/13/2025 2:43 PM,1290,2.81,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01300000,6/17/2025 12:14 PM,1300,3.25,0.00,0.00,0.00,0.00%,5,0,12.50%
META260320C01310000,2025-02-06 10:18:00,1310,1.85,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01320000,6/16/2025 9:53 AM,1320,2.59,0.00,0.00,0.00,0.00%,1,0,12.50%
META260320C01330000,6/16/2025 3:03 PM,1330,2.65,0.00,0.00,0.00,0.00%,2,0,12.50%
META260320C01340000,6/17/2025 3:47 PM,1340,2.40,0.00,0.00,0.00,0.00%,3,0,12.50%
META260320C01350000,6/17/2025 2:04 PM,1350,2.33,0.00,0.00,0.00,0.00%,4,0,12.50%
META260320C01360000,6/17/2025 3:50 PM,1360,2.25,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META260320P00005000,4/30/2025 2:24 PM,5,0.01,0.00,0.25,0.00,0.00%,50,79,221.09%
META260320P00010000,2025-02-06 09:32:00,10,0.04,0.00,0.00,0.00,0.00%,5,0,50.00%
META260320P00050000,2025-09-04 11:09:00,50,0.28,0.02,0.09,0.00,0.00%,-,2,100.59%
META260320P00070000,5/30/2025 12:06 PM,70,0.10,0.00,0.00,0.00,0.00%,1,0,50.00%
META260320P00080000,2025-03-06 10:13:00,80,0.10,0.00,0.00,0.00,0.00%,-,0,50.00%
META260320P00090000,5/13/2025 11:32 AM,90,0.15,0.00,0.18,0.00,0.00%,4,9,81.05%
META260320P00250000,6/17/2025 11:29 AM,250,1.11,0.00,0.00,0.00,0.00%,4,0,25.00%
META260320P00260000,5/27/2025 3:42 PM,260,1.99,0.00,0.00,0.00,0.00%,8,0,25.00%
META260320P00270000,2025-10-06 14:26:00,270,1.40,0.00,0.00,0.00,0.00%,1,0,25.00%
META260320P00280000,2025-09-06 15:35:00,280,1.60,0.00,0.00,0.00,0.00%,4,0,25.00%
META260320P00290000,2025-10-06 10:08:00,290,1.74,0.00,0.00,0.00,0.00%,81,0,25.00%
META260320P00300000,6/17/2025 11:48 AM,300,1.96,0.00,0.00,0.00,0.00%,10,0,12.50%
