Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META251121C00160000,2025-04-06 11:03:00,160,524.15,0.00,0.00,0.00,0.00%,-,0,0.00%
META251121C00200000,2025-05-06 15:06:00,200,491.40,0.00,0.00,0.00,0.00%,-,0,0.00%
META251121C00230000,2025-09-06 11:12:00,230,474.60,0.00,0.00,0.00,0.00%,4,0,0.00%
META251121C00260000,2025-07-05 13:59:00,260,342.45,440.90,445.90,0.00,0.00%,-,1,94.90%
META251121C00270000,2025-05-06 14:29:00,270,423.75,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00280000,2025-10-06 14:45:00,280,426.17,0.00,0.00,0.00,0.00%,20,0,0.00%
META251121C00290000,2025-10-06 14:48:00,290,416.41,0.00,0.00,0.00,0.00%,-,0,0.00%
META251121C00300000,2025-12-06 13:42:00,300,398.21,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00310000,2025-11-06 11:53:00,310,396.21,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00320000,2025-10-06 13:24:00,320,385.48,0.00,0.00,0.00,0.00%,-,0,0.00%
META251121C00330000,2025-01-05 15:32:00,330,260.31,324.05,328.95,0.00,0.00%,-,1,0.00%
META251121C00340000,4/28/2025 3:44 PM,340,223.75,311.65,314.20,0.00,0.00%,-,6,0.00%
META251121C00350000,2025-12-05 12:56:00,350,296.60,348.75,354.80,0.00,0.00%,-,0,64.72%
META251121C00370000,4/17/2025 3:58 PM,370,156.50,277.60,284.85,0.00,0.00%,2,1,0.00%
META251121C00380000,2025-12-06 13:42:00,380,321.25,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00390000,4/29/2025 3:59 PM,390,184.46,265.45,268.15,0.00,0.00%,3,3,0.00%
META251121C00400000,6/13/2025 9:43 AM,400,302.69,0.00,0.00,0.00,0.00%,7,0,0.00%
META251121C00410000,4/23/2025 3:22 PM,410,139.40,229.40,234.45,0.00,0.00%,-,1,0.00%
META251121C00420000,2025-06-05 12:57:00,420,189.80,274.45,280.20,0.00,0.00%,5,8,45.54%
META251121C00430000,2025-05-06 12:07:00,430,273.22,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00440000,5/15/2025 10:55 AM,440,226.45,253.40,257.50,0.00,0.00%,15,15,28.76%
META251121C00450000,2025-02-06 15:00:00,450,236.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00460000,5/28/2025 10:12 AM,460,203.45,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00470000,2025-05-05 13:52:00,470,160.53,230.80,235.95,0.00,0.00%,10,21,47.57%
META251121C00480000,2025-12-06 14:09:00,480,228.17,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00490000,2025-12-06 13:20:00,490,218.54,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00500000,6/16/2025 12:40 PM,500,215.67,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00510000,6/16/2025 12:40 PM,510,206.89,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00520000,6/16/2025 1:00 PM,520,200.00,0.00,0.00,0.00,0.00%,4,0,0.00%
META251121C00530000,6/17/2025 9:46 AM,530,190.00,0.00,0.00,0.00,0.00%,6,0,0.00%
META251121C00540000,2025-05-06 15:50:00,540,173.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00550000,6/16/2025 10:33 AM,550,179.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00560000,2025-10-06 12:55:00,560,166.20,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00570000,2025-10-06 10:57:00,570,159.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00580000,2025-11-06 13:46:00,580,150.96,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00590000,2025-12-06 09:58:00,590,133.88,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00600000,6/17/2025 11:58 AM,600,139.40,0.00,0.00,0.00,0.00%,4,0,0.00%
META251121C00610000,6/17/2025 2:46 PM,610,127.70,0.00,0.00,0.00,0.00%,11,0,0.00%
META251121C00620000,6/16/2025 3:50 PM,620,122.25,0.00,0.00,0.00,0.00%,2,0,0.00%
META251121C00630000,6/17/2025 3:29 PM,630,114.49,0.00,0.00,0.00,0.00%,1,0,0.00%
META251121C00640000,6/16/2025 10:49 AM,640,110.25,0.00,0.00,0.00,0.00%,3,0,0.00%
META251121C00650000,6/17/2025 3:44 PM,650,100.46,0.00,0.00,0.00,0.00%,35,0,0.00%
META251121C00660000,6/17/2025 3:40 PM,660,94.46,0.00,0.00,0.00,0.00%,80,0,0.00%
META251121C00670000,6/17/2025 12:15 PM,670,92.42,0.00,0.00,0.00,0.00%,10,0,0.00%
META251121C00680000,6/17/2025 3:07 PM,680,83.15,0.00,0.00,0.00,0.00%,8,0,0.00%
META251121C00690000,6/17/2025 1:30 PM,690,78.00,0.00,0.00,0.00,0.00%,3,0,0.00%
META251121C00700000,6/17/2025 3:06 PM,700,72.40,0.00,0.00,0.00,0.00%,24,0,0.20%
META251121C00710000,6/17/2025 3:19 PM,710,67.65,0.00,0.00,0.00,0.00%,19,0,0.78%
META251121C00720000,6/17/2025 3:52 PM,720,62.02,0.00,0.00,0.00,0.00%,64,0,0.78%
META251121C00730000,6/17/2025 3:26 PM,730,58.40,0.00,0.00,0.00,0.00%,10,0,1.56%
META251121C00740000,6/17/2025 1:41 PM,740,54.65,0.00,0.00,0.00,0.00%,16,0,1.56%
META251121C00750000,6/17/2025 3:47 PM,750,49.30,0.00,0.00,0.00,0.00%,18,0,3.13%
META251121C00760000,6/17/2025 1:41 PM,760,46.50,0.00,0.00,0.00,0.00%,4,0,3.13%
META251121C00770000,6/17/2025 3:46 PM,770,41.80,0.00,0.00,0.00,0.00%,22,0,3.13%
META251121C00780000,6/17/2025 1:46 PM,780,38.55,0.00,0.00,0.00,0.00%,14,0,3.13%
META251121C00790000,6/17/2025 3:49 PM,790,35.56,0.00,0.00,0.00,0.00%,12,0,3.13%
META251121C00800000,6/17/2025 3:53 PM,800,32.15,0.00,0.00,0.00,0.00%,20,0,3.13%
META251121C00810000,6/17/2025 11:46 AM,810,32.10,0.00,0.00,0.00,0.00%,10,0,6.25%
META251121C00820000,6/17/2025 3:21 PM,820,27.70,0.00,0.00,0.00,0.00%,6,0,6.25%
META251121C00830000,6/17/2025 11:46 AM,830,26.95,0.00,0.00,0.00,0.00%,1,0,6.25%
META251121C00840000,6/17/2025 11:21 AM,840,24.05,0.00,0.00,0.00,0.00%,8,0,6.25%
META251121C00850000,6/17/2025 3:07 PM,850,20.95,0.00,0.00,0.00,0.00%,10,0,6.25%
META251121C00860000,6/17/2025 11:52 AM,860,20.65,0.00,0.00,0.00,0.00%,13,0,6.25%
META251121C00870000,6/17/2025 11:16 AM,870,18.20,0.00,0.00,0.00,0.00%,6,0,6.25%
META251121C00880000,6/17/2025 1:17 PM,880,16.45,0.00,0.00,0.00,0.00%,5,0,6.25%
META251121C00890000,6/17/2025 12:42 PM,890,15.60,0.00,0.00,0.00,0.00%,4,0,6.25%
META251121C00900000,6/17/2025 10:07 AM,900,13.40,0.00,0.00,0.00,0.00%,2,0,6.25%
META251121C00910000,6/17/2025 10:32 AM,910,12.40,0.00,0.00,0.00,0.00%,2,0,6.25%
META251121C00920000,6/17/2025 11:09 AM,920,11.60,0.00,0.00,0.00,0.00%,10,0,6.25%
META251121C00930000,6/16/2025 12:51 PM,930,9.80,0.00,0.00,0.00,0.00%,2,0,6.25%
META251121C00940000,6/17/2025 9:30 AM,940,9.80,0.00,0.00,0.00,0.00%,1,0,6.25%
META251121C00950000,2025-09-06 10:24:00,950,8.75,0.00,0.00,0.00,0.00%,4,0,6.25%
META251121C00960000,6/13/2025 2:32 PM,960,6.70,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121C00970000,6/17/2025 11:16 AM,970,7.50,0.00,0.00,0.00,0.00%,3,0,12.50%
META251121C00980000,6/16/2025 11:21 AM,980,6.65,0.00,0.00,0.00,0.00%,8,0,12.50%
META251121C00990000,6/16/2025 11:21 AM,990,6.10,0.00,0.00,0.00,0.00%,4,0,12.50%
META251121C01000000,6/17/2025 3:40 PM,1000,5.35,0.00,0.00,0.00,0.00%,4,0,12.50%
META251121C01020000,6/16/2025 11:21 AM,1020,4.70,0.00,0.00,0.00,0.00%,8,0,12.50%
META251121C01040000,6/17/2025 3:48 PM,1040,3.85,0.00,0.00,0.00,0.00%,37,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META251121P00100000,5/30/2025 10:15 AM,100,0.04,0.00,0.00,0.00,0.00%,10,0,50.00%
META251121P00120000,5/23/2025 2:59 PM,120,0.08,0.00,0.00,0.00,0.00%,1,0,50.00%
META251121P00130000,2025-09-05 14:32:00,130,0.12,0.02,0.10,0.00,0.00%,-,5,85.16%
META251121P00140000,2025-08-05 09:45:00,140,0.15,0.03,0.12,0.00,0.00%,-,23,83.01%
META251121P00150000,2025-12-05 15:12:00,150,0.16,0.00,0.29,0.00,0.00%,10,0,84.57%
META251121P00160000,5/27/2025 10:43 AM,160,0.19,0.00,0.00,0.00,0.00%,1,0,50.00%
META251121P00170000,5/30/2025 3:36 PM,170,0.23,0.00,0.00,0.00,0.00%,15,0,50.00%
META251121P00180000,5/27/2025 11:50 AM,180,0.26,0.00,0.00,0.00,0.00%,1,0,50.00%
META251121P00190000,5/27/2025 11:50 AM,190,0.32,0.00,0.00,0.00,0.00%,3,0,50.00%
META251121P00200000,5/30/2025 12:57 PM,200,0.42,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00210000,2025-10-06 10:10:00,210,0.25,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00220000,6/16/2025 11:46 AM,220,0.26,0.00,0.00,0.00,0.00%,4,0,25.00%
META251121P00230000,2025-01-05 12:42:00,230,0.98,0.25,0.60,0.00,0.00%,-,1,69.24%
META251121P00250000,2025-06-06 12:54:00,250,0.53,0.00,0.00,0.00,0.00%,2,0,25.00%
META251121P00260000,2025-05-06 12:22:00,260,0.58,0.00,0.00,0.00,0.00%,9,0,25.00%
META251121P00270000,2025-12-05 13:47:00,270,1.04,0.30,0.81,0.00,0.00%,5,0,61.72%
META251121P00280000,2025-04-06 15:29:00,280,0.84,0.00,0.00,0.00,0.00%,10,0,25.00%
META251121P00290000,5/30/2025 1:16 PM,290,1.36,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00300000,6/17/2025 11:58 AM,300,0.80,0.00,0.00,0.00,0.00%,20,0,25.00%
META251121P00310000,6/16/2025 11:46 AM,310,0.91,0.00,0.00,0.00,0.00%,8,0,25.00%
META251121P00320000,6/17/2025 2:46 PM,320,1.06,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00330000,2025-12-06 12:26:00,330,1.28,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00340000,2025-04-06 14:46:00,340,1.64,0.00,0.00,0.00,0.00%,2,0,25.00%
META251121P00350000,6/17/2025 9:49 AM,350,1.43,0.00,0.00,0.00,0.00%,1,0,25.00%
META251121P00360000,6/16/2025 11:40 AM,360,1.65,0.00,0.00,0.00,0.00%,2,0,25.00%
META251121P00370000,2025-04-06 13:44:00,370,2.34,0.00,0.00,0.00,0.00%,1,0,12.50%
META251121P00380000,6/16/2025 9:45 AM,380,2.16,0.00,0.00,0.00,0.00%,1,0,12.50%
META251121P00390000,5/29/2025 10:21 AM,390,4.17,0.00,0.00,0.00,0.00%,1,0,12.50%
META251121P00400000,6/17/2025 1:29 PM,400,2.72,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121P00410000,6/16/2025 11:46 AM,410,2.93,0.00,0.00,0.00,0.00%,4,0,12.50%
META251121P00420000,6/17/2025 3:50 PM,420,3.50,0.00,0.00,0.00,0.00%,30,0,12.50%
META251121P00430000,2025-11-06 10:18:00,430,3.63,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121P00440000,6/17/2025 3:45 PM,440,4.45,0.00,0.00,0.00,0.00%,1,0,12.50%
META251121P00450000,6/17/2025 3:10 PM,450,5.06,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121P00460000,2025-11-06 10:29:00,460,5.15,0.00,0.00,0.00,0.00%,1,0,12.50%
META251121P00470000,6/17/2025 3:09 PM,470,6.39,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121P00480000,6/17/2025 3:08 PM,480,7.14,0.00,0.00,0.00,0.00%,2,0,12.50%
META251121P00490000,6/17/2025 3:08 PM,490,8.00,0.00,0.00,0.00,0.00%,22,0,12.50%
META251121P00500000,6/17/2025 3:07 PM,500,8.99,0.00,0.00,0.00,0.00%,4,0,12.50%
META251121P00510000,6/17/2025 3:07 PM,510,10.00,0.00,0.00,0.00,0.00%,7,0,12.50%
META251121P00520000,6/17/2025 3:06 PM,520,11.19,0.00,0.00,0.00,0.00%,2,0,6.25%
META251121P00530000,6/17/2025 3:06 PM,530,12.49,0.00,0.00,0.00,0.00%,2,0,6.25%
META251121P00540000,6/17/2025 3:45 PM,540,13.85,0.00,0.00,0.00,0.00%,14,0,6.25%
META251121P00550000,6/17/2025 3:45 PM,550,15.40,0.00,0.00,0.00,0.00%,3,0,6.25%
META251121P00560000,6/17/2025 1:28 PM,560,16.70,0.00,0.00,0.00,0.00%,12,0,6.25%
META251121P00570000,6/17/2025 3:02 PM,570,18.89,0.00,0.00,0.00,0.00%,14,0,6.25%
