Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META251017C00130000,2025-12-05 15:56:00,130,511.38,563.60,566.95,0.00,0.00%,-,5,0.00%
META251017C00140000,5/16/2025 11:57 AM,140,496.58,557.55,560.70,0.00,0.00%,9,9,137.62%
META251017C00150000,5/16/2025 12:13 PM,150,485.43,547.70,551.10,0.00,0.00%,2,2,134.69%
META251017C00160000,5/16/2025 12:13 PM,160,475.22,537.85,541.00,0.00,0.00%,6,6,129.39%
META251017C00190000,5/29/2025 1:53 PM,190,457.29,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00200000,5/19/2025 10:00 AM,200,441.15,0.00,0.00,0.00,0.00%,-,0,0.00%
META251017C00220000,2025-06-05 11:42:00,220,375.60,464.35,469.20,0.00,0.00%,-,1,0.00%
META251017C00230000,2025-09-06 11:12:00,230,473.28,0.00,0.00,0.00,0.00%,4,0,0.00%
META251017C00250000,5/30/2025 3:37 PM,250,399.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00260000,6/17/2025 9:46 AM,260,443.18,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00280000,5/13/2025 1:27 PM,280,381.98,404.85,408.10,0.00,0.00%,-,1,0.00%
META251017C00290000,4/22/2025 2:40 PM,290,217.85,0.00,0.00,0.00,0.00%,-,0,0.00%
META251017C00300000,2025-07-04 12:29:00,300,223.74,297.35,302.25,0.00,0.00%,1,1,0.00%
META251017C00310000,2025-02-05 10:11:00,310,290.00,340.15,345.50,0.00,0.00%,1,2,0.00%
META251017C00320000,4/30/2025 1:49 PM,320,228.95,330.00,335.85,0.00,0.00%,-,0,0.00%
META251017C00330000,2025-02-06 10:13:00,330,325.80,0.00,0.00,0.00,0.00%,-,0,0.00%
META251017C00340000,6/13/2025 1:17 PM,340,355.90,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00360000,4/28/2025 3:42 PM,360,202.75,290.10,292.50,0.00,0.00%,1,2,0.00%
META251017C00370000,5/22/2025 3:38 PM,370,277.10,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00380000,2025-04-06 09:32:00,380,300.10,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00390000,4/24/2025 12:38 PM,390,159.30,244.50,248.80,0.00,0.00%,10,27,0.00%
META251017C00400000,6/13/2025 9:43 AM,400,300.69,0.00,0.00,0.00,0.00%,7,0,0.00%
META251017C00410000,2025-09-05 13:49:00,410,199.17,293.95,297.60,0.00,0.00%,1,3,68.13%
META251017C00420000,2025-03-06 14:29:00,420,257.05,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00430000,2025-12-06 11:39:00,430,271.92,0.00,0.00,0.00,0.00%,4,0,0.00%
META251017C00440000,2025-02-06 10:38:00,440,226.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00450000,6/13/2025 12:12 PM,450,253.02,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00460000,5/30/2025 9:59 AM,460,196.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00470000,2025-12-06 15:37:00,470,234.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00480000,2025-10-06 12:12:00,480,227.75,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00490000,2025-12-06 14:59:00,490,215.82,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00500000,6/16/2025 3:53 PM,500,212.96,0.00,0.00,0.00,0.00%,9,0,0.00%
META251017C00510000,6/16/2025 2:17 PM,510,205.40,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00520000,6/16/2025 1:40 PM,520,195.84,0.00,0.00,0.00,0.00%,9,0,0.00%
META251017C00530000,6/16/2025 12:28 PM,530,183.45,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00535000,2025-03-06 14:03:00,535,153.36,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00540000,6/13/2025 9:36 AM,540,168.05,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00545000,6/17/2025 1:30 PM,545,171.93,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00550000,6/16/2025 2:41 PM,550,169.22,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00555000,6/13/2025 9:36 AM,555,155.15,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00560000,6/17/2025 2:26 PM,560,157.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00565000,2025-02-06 15:31:00,565,132.41,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00570000,2025-12-06 14:59:00,570,145.21,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00575000,6/16/2025 3:21 PM,575,147.70,0.00,0.00,0.00,0.00%,31,0,0.00%
META251017C00580000,6/17/2025 2:47 PM,580,141.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00585000,6/17/2025 2:00 PM,585,136.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00590000,6/16/2025 3:51 PM,590,134.59,0.00,0.00,0.00,0.00%,6,0,0.00%
META251017C00595000,6/17/2025 12:09 PM,595,133.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00600000,6/17/2025 2:21 PM,600,125.10,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00605000,6/17/2025 2:00 PM,605,120.30,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00610000,6/17/2025 1:15 PM,610,119.91,0.00,0.00,0.00,0.00%,26,0,0.00%
META251017C00615000,2025-12-06 12:12:00,615,108.30,0.00,0.00,0.00,0.00%,14,0,0.00%
META251017C00620000,6/17/2025 11:55 AM,620,114.52,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00625000,2025-12-06 14:42:00,625,101.83,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00630000,6/17/2025 12:14 PM,630,107.15,0.00,0.00,0.00,0.00%,6,0,0.00%
META251017C00635000,6/16/2025 9:35 AM,635,100.40,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00640000,6/17/2025 2:04 PM,640,95.35,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00645000,6/17/2025 1:30 PM,645,93.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00650000,6/17/2025 11:43 AM,650,93.50,0.00,0.00,0.00,0.00%,4,0,0.00%
META251017C00655000,6/13/2025 10:10 AM,655,81.60,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00660000,6/16/2025 9:30 AM,660,84.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META251017C00665000,6/16/2025 3:55 PM,665,81.15,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00670000,6/17/2025 1:42 PM,670,77.54,0.00,0.00,0.00,0.00%,1,0,0.00%
META251017C00675000,6/17/2025 12:26 PM,675,76.45,0.00,0.00,0.00,0.00%,16,0,0.00%
META251017C00680000,6/17/2025 3:52 PM,680,70.05,0.00,0.00,0.00,0.00%,6,0,0.00%
META251017C00685000,6/17/2025 2:02 PM,685,66.55,0.00,0.00,0.00,0.00%,3,0,0.00%
META251017C00690000,6/17/2025 1:48 PM,690,64.65,0.00,0.00,0.00,0.00%,6,0,0.00%
META251017C00695000,6/17/2025 3:49 PM,695,62.20,0.00,0.00,0.00,0.00%,35,0,0.00%
META251017C00700000,6/17/2025 3:56 PM,700,58.85,0.00,0.00,0.00,0.00%,86,0,0.20%
META251017C00705000,6/17/2025 3:30 PM,705,57.30,0.00,0.00,0.00,0.00%,94,0,0.39%
META251017C00710000,6/17/2025 2:18 PM,710,53.98,0.00,0.00,0.00,0.00%,9,0,0.78%
META251017C00715000,6/17/2025 3:46 PM,715,51.60,0.00,0.00,0.00,0.00%,2,0,0.78%
META251017C00720000,6/17/2025 3:52 PM,720,49.00,0.00,0.00,0.00,0.00%,33,0,1.56%
META251017C00725000,6/17/2025 10:13 AM,725,47.59,0.00,0.00,0.00,0.00%,5,0,1.56%
META251017C00730000,6/17/2025 12:17 PM,730,47.81,0.00,0.00,0.00,0.00%,1,0,1.56%
META251017C00740000,6/17/2025 3:57 PM,740,40.25,0.00,0.00,0.00,0.00%,22,0,1.56%
META251017C00750000,6/17/2025 3:48 PM,750,36.87,0.00,0.00,0.00,0.00%,14,0,3.13%
META251017C00760000,6/17/2025 10:41 AM,760,33.75,0.00,0.00,0.00,0.00%,2,0,3.13%
META251017C00770000,6/17/2025 3:48 PM,770,29.90,0.00,0.00,0.00,0.00%,19,0,3.13%
META251017C00780000,6/17/2025 2:26 PM,780,26.80,0.00,0.00,0.00,0.00%,7,0,3.13%
META251017C00790000,6/17/2025 1:08 PM,790,24.95,0.00,0.00,0.00,0.00%,4,0,3.13%
META251017C00800000,6/17/2025 2:44 PM,800,21.40,0.00,0.00,0.00,0.00%,22,0,6.25%
META251017C00810000,6/17/2025 11:46 AM,810,21.10,0.00,0.00,0.00,0.00%,8,0,6.25%
META251017C00820000,6/17/2025 3:07 PM,820,17.30,0.00,0.00,0.00,0.00%,29,0,6.25%
META251017C00830000,6/17/2025 3:56 PM,830,15.17,0.00,0.00,0.00,0.00%,16,0,6.25%
META251017C00840000,6/16/2025 3:03 PM,840,13.70,0.00,0.00,0.00,0.00%,5,0,6.25%
META251017C00850000,6/16/2025 2:41 PM,850,12.41,0.00,0.00,0.00,0.00%,16,0,6.25%
META251017C00860000,6/17/2025 12:49 PM,860,11.45,0.00,0.00,0.00,0.00%,2,0,6.25%
META251017C00870000,6/17/2025 11:45 AM,870,10.75,0.00,0.00,0.00,0.00%,3,0,6.25%
META251017C00880000,6/17/2025 11:27 AM,880,9.50,0.00,0.00,0.00,0.00%,1,0,6.25%
META251017C00890000,2025-11-06 14:21:00,890,7.77,0.00,0.00,0.00,0.00%,1,0,6.25%
META251017C00900000,6/17/2025 3:00 PM,900,6.96,0.00,0.00,0.00,0.00%,5,0,6.25%
META251017C00910000,2025-12-06 11:10:00,910,5.81,0.00,0.00,0.00,0.00%,2,0,6.25%
META251017C00920000,6/16/2025 2:56 PM,920,5.55,0.00,0.00,0.00,0.00%,10,0,12.50%
META251017C00930000,6/16/2025 11:21 AM,930,5.05,0.00,0.00,0.00,0.00%,9,0,12.50%
META251017C00940000,6/16/2025 11:21 AM,940,4.50,0.00,0.00,0.00,0.00%,12,0,12.50%
META251017C00950000,6/16/2025 3:38 PM,950,3.90,0.00,0.00,0.00,0.00%,18,0,12.50%
META251017C00960000,6/16/2025 11:21 AM,960,3.65,0.00,0.00,0.00,0.00%,6,0,12.50%
META251017C00970000,6/17/2025 11:47 AM,970,3.60,0.00,0.00,0.00,0.00%,19,0,12.50%
META251017C00980000,6/16/2025 11:51 AM,980,3.00,0.00,0.00,0.00,0.00%,15,0,12.50%
META251017C00990000,2025-12-06 09:31:00,990,2.55,0.00,0.00,0.00,0.00%,2,0,12.50%
META251017C01000000,6/17/2025 3:38 PM,1000,2.36,0.00,0.00,0.00,0.00%,20,0,12.50%
META251017C01020000,6/17/2025 9:36 AM,1020,2.09,0.00,0.00,0.00,0.00%,10,0,12.50%
META251017C01040000,6/17/2025 3:54 PM,1040,1.60,0.00,0.00,0.00,0.00%,3,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META251017P00100000,6/17/2025 11:57 AM,100,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%
META251017P00110000,2025-01-05 09:30:00,110,0.05,0.00,0.07,0.00,0.00%,-,1,101.56%
META251017P00120000,4/25/2025 2:58 PM,120,0.12,0.00,0.11,0.00,0.00%,1,1,100.39%
META251017P00130000,2025-06-05 13:20:00,130,0.11,0.00,0.12,0.00,0.00%,-,1,96.48%
META251017P00140000,2025-09-06 09:30:00,140,0.07,0.00,0.00,0.00,0.00%,5,0,50.00%
META251017P00150000,2025-09-06 15:20:00,150,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%
META251017P00170000,2025-04-04 13:29:00,170,0.81,0.20,0.26,0.00,0.00%,2,0,92.48%
META251017P00180000,6/17/2025 11:57 AM,180,0.10,0.00,0.00,0.00,0.00%,1,0,50.00%
META251017P00190000,4/16/2025 3:41 PM,190,1.10,0.00,0.51,0.00,0.00%,4,13,86.33%
META251017P00200000,5/30/2025 3:38 PM,200,0.22,0.00,0.00,0.00,0.00%,11,0,50.00%
META251017P00210000,2025-09-05 09:37:00,210,0.40,0.12,0.19,0.00,0.00%,4,66,75.88%
META251017P00220000,2025-09-05 09:37:00,220,0.43,0.14,0.22,0.00,0.00%,4,18,74.12%
META251017P00230000,6/17/2025 2:11 PM,230,0.20,0.00,0.00,0.00,0.00%,1,0,25.00%
META251017P00240000,4/17/2025 10:44 AM,240,2.11,0.17,0.42,0.00,0.00%,2,7,72.56%
META251017P00250000,6/16/2025 11:28 AM,250,0.22,0.00,0.00,0.00,0.00%,11,0,25.00%
META251017P00260000,6/16/2025 11:27 AM,260,0.26,0.00,0.00,0.00,0.00%,1,0,25.00%
META251017P00270000,6/13/2025 3:57 PM,270,0.37,0.00,0.00,0.00,0.00%,1,0,25.00%
META251017P00280000,6/16/2025 11:28 AM,280,0.34,0.00,0.00,0.00,0.00%,5,0,25.00%
META251017P00290000,2025-05-06 12:23:00,290,0.50,0.00,0.00,0.00,0.00%,30,0,25.00%
META251017P00300000,6/16/2025 11:54 AM,300,0.41,0.00,0.00,0.00,0.00%,30,0,25.00%
META251017P00310000,6/16/2025 11:27 AM,310,0.49,0.00,0.00,0.00,0.00%,2,0,25.00%
