Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
META250919C00005000,6/13/2025 3:56 PM,5,677.00,0.00,0.00,0.00,0.00%,10,0,0.00%
META250919C00010000,2025-03-06 13:02:00,10,660.18,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00020000,2025-04-06 13:04:00,20,663.50,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00025000,2025-11-06 10:11:00,25,676.36,0.00,0.00,0.00,0.00%,-,0,0.00%
META250919C00040000,12/27/2024 9:35 AM,40,558.31,653.75,657.20,0.00,0.00%,4,4,0.00%
META250919C00050000,1/17/2025 9:33 AM,50,568.62,665.45,668.65,0.00,0.00%,1,1,475.95%
META250919C00055000,2025-07-02 10:53:00,55,659.00,542.35,545.80,0.00,0.00%,1,1,0.00%
META250919C00065000,2025-04-02 10:03:00,65,630.50,0.00,0.00,0.00,0.00%,-,4,0.00%
META250919C00070000,2025-05-06 10:00:00,70,617.48,0.00,0.00,0.00,0.00%,-,0,0.00%
META250919C00075000,7/17/2024 1:37 PM,75,391.47,453.25,457.40,0.00,0.00%,-,1,0.00%
META250919C00080000,10/25/2024 1:21 PM,80,498.10,489.95,493.70,0.00,0.00%,1,1,0.00%
META250919C00090000,7/16/2024 2:56 PM,90,403.11,447.30,456.00,0.00,0.00%,1,1,0.00%
META250919C00100000,2025-06-05 09:46:00,100,496.00,583.20,586.90,0.00,0.00%,2,30,0.00%
META250919C00110000,2024-04-11 09:47:00,110,457.17,516.35,519.20,0.00,0.00%,1,3,0.00%
META250919C00120000,2025-10-04 12:20:00,120,423.17,473.05,476.10,0.00,0.00%,1,1,0.00%
META250919C00125000,6/13/2025 1:04 PM,125,569.02,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00130000,9/13/2024 11:16 AM,130,402.45,462.75,466.65,0.00,0.00%,1,2,0.00%
META250919C00135000,2025-12-06 14:09:00,135,558.07,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00140000,3/28/2025 11:38 AM,140,449.97,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00145000,6/16/2025 11:54 AM,145,558.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00150000,2/19/2025 9:52 AM,150,554.10,448.10,451.55,0.00,0.00%,1,7,0.00%
META250919C00155000,2025-04-04 11:52:00,155,360.70,445.65,447.95,0.00,0.00%,10,17,0.00%
META250919C00160000,2025-11-06 15:53:00,160,534.77,0.00,0.00,0.00,0.00%,4,0,0.00%
META250919C00165000,11/14/2024 10:27 AM,165,417.50,459.10,464.05,0.00,0.00%,2,8,0.00%
META250919C00170000,2025-07-04 14:15:00,170,352.60,423.90,426.70,0.00,0.00%,2,6,0.00%
META250919C00175000,2025-12-06 13:55:00,175,518.60,0.00,0.00,0.00,0.00%,15,0,0.00%
META250919C00180000,2025-12-06 14:20:00,180,513.72,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00185000,2025-11-03 11:14:00,185,424.10,359.25,364.55,0.00,0.00%,1,35,0.00%
META250919C00190000,2025-12-06 14:09:00,190,503.78,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00195000,2025-12-06 14:20:00,195,498.84,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00200000,2025-12-06 15:00:00,200,496.28,0.00,0.00,0.00,0.00%,142,0,0.00%
META250919C00205000,2025-03-04 10:25:00,205,339.92,393.50,398.30,0.00,0.00%,11,16,0.00%
META250919C00210000,6/13/2025 3:51 PM,210,474.10,0.00,0.00,0.00,0.00%,410,0,0.00%
META250919C00215000,3/18/2025 10:28 AM,215,369.55,292.75,296.25,0.00,0.00%,15,18,0.00%
META250919C00220000,2025-04-04 10:18:00,220,295.50,381.70,384.20,0.00,0.00%,2,34,0.00%
META250919C00225000,2025-03-04 09:32:00,225,328.38,373.95,380.80,0.00,0.00%,1,24,0.00%
META250919C00230000,2025-12-06 15:41:00,230,466.39,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00235000,2025-01-05 10:09:00,235,343.80,413.00,417.00,0.00,0.00%,1,7,0.00%
META250919C00240000,6/13/2025 2:54 PM,240,446.94,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00245000,2025-04-06 10:28:00,245,442.01,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00250000,6/17/2025 9:46 AM,250,452.35,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00255000,2025-12-06 13:16:00,255,438.99,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00260000,6/13/2025 12:13 PM,260,436.68,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00265000,2025-07-04 14:16:00,265,266.00,330.75,334.00,0.00,0.00%,1,15,0.00%
META250919C00270000,2025-11-06 15:56:00,270,426.65,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00275000,6/16/2025 10:25 AM,275,432.63,0.00,0.00,0.00,0.00%,5,0,0.00%
META250919C00280000,5/14/2025 3:35 PM,280,382.05,404.00,407.35,0.00,0.00%,1,121,0.00%
META250919C00285000,3/19/2025 3:08 PM,285,314.30,221.35,228.75,0.00,0.00%,4,41,0.00%
META250919C00290000,2025-02-06 11:14:00,290,373.50,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00295000,6/16/2025 10:25 AM,295,412.88,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00300000,2025-11-06 10:59:00,300,407.70,0.00,0.00,0.00,0.00%,100,0,0.00%
META250919C00305000,4/25/2025 11:32 AM,305,244.94,325.60,328.60,0.00,0.00%,15,73,0.00%
META250919C00310000,4/21/2025 12:45 PM,310,185.86,328.65,332.35,0.00,0.00%,1,886,0.00%
META250919C00315000,6/17/2025 2:00 PM,315,386.66,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00320000,4/21/2025 9:44 AM,320,181.54,323.65,326.00,0.00,0.00%,5,43,0.00%
META250919C00325000,2025-07-04 10:12:00,325,203.53,272.65,275.70,0.00,0.00%,5,1.613,0.00%
META250919C00330000,6/13/2025 11:51 AM,330,367.22,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00335000,2025-08-04 11:29:00,335,206.85,263.05,266.25,0.00,0.00%,1,13,0.00%
META250919C00340000,6/13/2025 1:17 PM,340,354.75,0.00,0.00,0.00,0.00%,61,0,0.00%
META250919C00345000,5/15/2025 11:00 AM,345,310.22,340.05,343.55,0.00,0.00%,2,87,0.00%
META250919C00350000,6/17/2025 11:28 AM,350,358.92,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00355000,5/30/2025 12:59 PM,355,285.48,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00360000,5/16/2025 11:34 AM,360,280.27,341.20,343.20,0.00,0.00%,4,130,82.21%
META250919C00365000,5/19/2025 3:38 PM,365,281.07,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00370000,2025-02-05 10:43:00,370,232.85,282.20,284.95,0.00,0.00%,2,56,0.00%
META250919C00375000,2025-02-05 13:28:00,375,234.45,277.40,279.95,0.00,0.00%,2,31,0.00%
META250919C00380000,2025-04-06 12:47:00,380,307.39,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00385000,2025-05-06 13:04:00,385,306.80,0.00,0.00,0.00,0.00%,10,0,0.00%
META250919C00390000,2025-01-05 11:08:00,390,202.35,262.55,265.60,0.00,0.00%,1,74,0.00%
META250919C00395000,2025-09-05 09:35:00,395,220.00,307.30,310.00,0.00,0.00%,1,127,76.54%
META250919C00400000,2025-12-06 11:47:00,400,297.67,0.00,0.00,0.00,0.00%,85,0,0.00%
META250919C00405000,4/30/2025 3:22 PM,405,152.00,248.10,251.15,0.00,0.00%,17,37,0.00%
META250919C00410000,2025-11-06 12:32:00,410,296.85,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00415000,2025-02-06 09:34:00,415,244.88,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00420000,2025-12-06 14:35:00,420,279.00,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00425000,6/13/2025 2:03 PM,425,272.47,0.00,0.00,0.00,0.00%,6,0,0.00%
META250919C00430000,2025-05-06 15:50:00,430,263.00,0.00,0.00,0.00,0.00%,17,0,0.00%
META250919C00435000,2025-12-06 14:01:00,435,262.82,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00440000,2025-12-06 14:01:00,440,258.09,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00445000,6/13/2025 1:34 PM,445,252.27,0.00,0.00,0.00,0.00%,14,0,0.00%
META250919C00450000,2025-09-06 12:17:00,450,256.16,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00455000,2025-12-06 13:53:00,455,244.69,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00460000,2025-12-06 13:53:00,460,239.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00465000,2025-09-06 09:52:00,465,244.01,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00470000,2025-09-06 15:50:00,470,234.45,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00475000,5/13/2025 1:11 PM,475,195.78,214.65,218.05,0.00,0.00%,11,135,0.00%
META250919C00480000,2025-04-06 15:23:00,480,214.84,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00485000,5/29/2025 10:43 AM,485,172.30,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00490000,6/16/2025 3:51 PM,490,219.45,0.00,0.00,0.00,0.00%,6,0,0.00%
META250919C00495000,2025-12-06 13:45:00,495,206.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00500000,6/17/2025 1:41 PM,500,210.51,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00505000,2025-03-06 11:01:00,505,174.35,0.00,0.00,0.00,0.00%,73,0,0.00%
META250919C00510000,6/16/2025 3:21 PM,510,201.15,0.00,0.00,0.00,0.00%,8,0,0.00%
META250919C00515000,2025-11-06 15:49:00,515,188.28,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00520000,6/13/2025 3:35 PM,520,174.25,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00525000,6/16/2025 10:56 AM,525,190.00,0.00,0.00,0.00,0.00%,7,0,0.00%
META250919C00530000,2025-06-06 12:08:00,530,177.37,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00535000,6/16/2025 2:29 PM,535,179.54,0.00,0.00,0.00,0.00%,20,0,0.00%
META250919C00540000,6/17/2025 1:30 PM,540,172.28,0.00,0.00,0.00,0.00%,6,0,0.00%
META250919C00545000,6/17/2025 12:09 PM,545,171.60,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00550000,6/17/2025 12:09 PM,550,167.10,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00555000,6/16/2025 3:50 PM,555,160.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00560000,6/17/2025 1:25 PM,560,155.01,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00565000,2025-11-06 14:42:00,565,147.99,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00570000,6/16/2025 10:23 AM,570,148.78,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00575000,6/17/2025 10:31 AM,575,142.18,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00580000,6/16/2025 3:53 PM,580,138.05,0.00,0.00,0.00,0.00%,10,0,0.00%
META250919C00585000,6/17/2025 10:31 AM,585,133.72,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00590000,6/16/2025 10:28 AM,590,133.10,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00595000,6/16/2025 2:55 PM,595,126.19,0.00,0.00,0.00,0.00%,4,0,0.00%
META250919C00600000,6/17/2025 2:30 PM,600,120.00,0.00,0.00,0.00,0.00%,5,0,0.00%
META250919C00605000,6/16/2025 3:58 PM,605,117.70,0.00,0.00,0.00,0.00%,4,0,0.00%
META250919C00610000,6/16/2025 10:37 AM,610,117.20,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00615000,2025-12-06 12:03:00,615,102.10,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00620000,6/16/2025 10:38 AM,620,108.80,0.00,0.00,0.00,0.00%,4,0,0.00%
META250919C00625000,6/16/2025 11:49 AM,625,104.00,0.00,0.00,0.00,0.00%,2,0,0.00%
META250919C00630000,6/17/2025 2:03 PM,630,96.20,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00635000,6/16/2025 2:32 PM,635,95.44,0.00,0.00,0.00,0.00%,6,0,0.00%
META250919C00640000,6/17/2025 1:25 PM,640,90.79,0.00,0.00,0.00,0.00%,1,0,0.00%
META250919C00645000,6/17/2025 2:48 PM,645,86.05,0.00,0.00,0.00,0.00%,4,0,0.00%
META250919C00650000,6/17/2025 2:15 PM,650,82.45,0.00,0.00,0.00,0.00%,17,0,0.00%
META250919C00655000,6/16/2025 3:09 PM,655,80.70,0.00,0.00,0.00,0.00%,10,0,0.00%
META250919C00660000,6/17/2025 3:45 PM,660,75.55,0.00,0.00,0.00,0.00%,18,0,0.00%
META250919C00665000,6/16/2025 2:21 PM,665,74.70,0.00,0.00,0.00,0.00%,3,0,0.00%
META250919C00670000,6/17/2025 3:55 PM,670,68.00,0.00,0.00,0.00,0.00%,209,0,0.00%
META250919C00675000,6/17/2025 3:45 PM,675,66.15,0.00,0.00,0.00,0.00%,8,0,0.00%
META250919C00680000,6/17/2025 3:14 PM,680,63.90,0.00,0.00,0.00,0.00%,45,0,0.00%
