Calls,"June 17th, 2025 7:33PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250801C00365000,6/13/2025 12:04 PM,365,115.08,112.90,116.85,0.00,0.00%,-,3,55.15%
MSFT250801C00400000,6/16/2025 12:39 PM,400,83.45,79.90,83.05,0.00,0.00%,2,4,49.51%
MSFT250801C00410000,6/17/2025 11:48 AM,410,71.81,69.90,73.60,-0.38,-0.53%,1,4,46.04%
MSFT250801C00415000,6/13/2025 2:57 PM,415,63.96,65.15,68.90,0.00,0.00%,-,13,44.29%
MSFT250801C00420000,6/13/2025 12:03 PM,420,63.80,60.65,63.10,0.00,0.00%,-,10,39.96%
MSFT250801C00425000,2025-12-06 10:10:00,425,58.25,55.80,59.50,0.00,0.00%,-,7,40.63%
MSFT250801C00430000,6/17/2025 11:39 AM,430,53.34,52.25,53.65,-1.72,-3.12%,4,5,36.29%
MSFT250801C00435000,6/13/2025 2:40 PM,435,48.00,47.70,48.90,2.67,5.89%,3,9,34.31%
MSFT250801C00440000,6/17/2025 10:25 AM,440,44.75,44.15,44.55,-0.55,-1.21%,4,4,33.05%
MSFT250801C00445000,6/17/2025 11:22 AM,445,39.76,39.80,40.60,-3.14,-7.32%,6,2,32.39%
MSFT250801C00450000,6/17/2025 10:30 AM,450,35.25,35.90,36.90,-3.15,-8.20%,8,29,31.94%
MSFT250801C00455000,6/16/2025 9:58 AM,455,33.54,32.00,32.50,0.00,0.00%,-,2,30.08%
MSFT250801C00460000,6/17/2025 11:25 AM,460,28.01,28.25,28.80,-2.92,-9.44%,3,25,29.19%
MSFT250801C00465000,6/17/2025 10:22 AM,465,23.83,24.70,25.40,-3.57,-13.03%,3,7,28.53%
MSFT250801C00470000,6/17/2025 12:03 PM,470,21.72,21.45,21.80,-0.18,-0.82%,2,11,27.29%
MSFT250801C00475000,6/17/2025 12:48 PM,475,19.10,18.25,18.85,-0.08,-0.42%,13,54,26.75%
MSFT250801C00480000,6/17/2025 12:49 PM,480,16.17,15.85,16.10,0.29,1.83%,11,137,26.18%
MSFT250801C00485000,6/17/2025 10:12 AM,485,12.03,13.30,13.55,-1.25,-9.41%,14,27,25.58%
MSFT250801C00490000,6/17/2025 12:43 PM,490,11.42,10.95,11.35,0.24,2.15%,28,358,25.15%
MSFT250801C00495000,6/17/2025 12:50 PM,495,8.95,8.95,9.30,-0.49,-5.19%,9,51,24.60%
MSFT250801C00500000,6/17/2025 12:38 PM,500,7.52,7.00,7.55,0.44,6.21%,23,391,24.15%
MSFT250801C00505000,6/17/2025 12:35 PM,505,5.76,5.65,5.95,-0.32,-5.26%,41,20,23.56%
MSFT250801C00510000,6/17/2025 10:16 AM,510,3.80,4.25,4.75,-0.70,-15.56%,13,59,23.30%
MSFT250801C00515000,6/17/2025 10:29 AM,515,3.48,3.20,3.70,0.22,6.75%,10,14,22.97%
MSFT250801C00520000,6/17/2025 11:21 AM,520,2.57,2.41,2.82,0.07,2.80%,1,13,22.60%
MSFT250801C00525000,6/17/2025 11:11 AM,525,1.88,1.90,2.10,-0.04,-2.08%,7,44,22.22%
MSFT250801C00530000,6/16/2025 3:56 PM,530,1.43,1.43,1.61,0.01,0.70%,5,8,22.13%
MSFT250801C00540000,6/17/2025 10:42 AM,540,0.75,0.82,0.93,-0.19,-20.21%,7,4,22.02%
MSFT250801C00545000,2025-12-06 14:12:00,545,1.30,0.11,1.10,0.00,0.00%,-,1,24.12%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250801P00365000,6/13/2025 9:30 AM,365,0.91,0.15,1.07,0.00,0.00%,-,1,43.29%
MSFT250801P00400000,6/17/2025 10:37 AM,400,1.44,0.91,1.56,0.01,0.69%,4,366,33.25%
MSFT250801P00410000,6/17/2025 12:42 PM,410,1.82,1.85,2.12,0.52,40.00%,12,22,31.84%
MSFT250801P00415000,6/13/2025 11:46 AM,415,1.66,1.92,2.64,0.00,0.00%,-,5,31.72%
MSFT250801P00420000,6/17/2025 9:30 AM,420,2.48,2.14,2.75,0.17,7.36%,13,33,30.04%
MSFT250801P00425000,6/16/2025 10:20 AM,425,2.20,2.31,3.15,0.00,0.00%,2,6,29.18%
MSFT250801P00430000,6/16/2025 2:26 PM,430,3.40,2.73,3.65,0.61,21.86%,3,19,28.41%
MSFT250801P00435000,6/17/2025 10:59 AM,435,3.95,3.90,4.20,0.30,8.22%,14,9,27.57%
MSFT250801P00440000,6/17/2025 12:42 PM,440,4.40,4.45,4.80,0.09,2.09%,56,78,26.65%
MSFT250801P00445000,6/17/2025 11:49 AM,445,5.29,5.40,5.60,0.98,22.74%,4,6,25.94%
MSFT250801P00450000,6/17/2025 12:37 PM,450,5.95,6.30,6.55,0.11,1.88%,29,43,25.28%
MSFT250801P00455000,6/17/2025 12:42 PM,455,7.07,7.45,7.65,0.22,3.21%,50,68,24.61%
MSFT250801P00460000,6/17/2025 1:01 PM,460,8.72,8.65,8.90,0.73,9.14%,624,18,23.91%
MSFT250801P00465000,6/17/2025 12:26 PM,465,9.76,9.95,10.30,0.53,5.74%,29,81,23.14%
MSFT250801P00470000,6/17/2025 12:51 PM,470,11.60,11.55,12.05,0.89,8.31%,71,8,22.59%
MSFT250801P00475000,6/17/2025 1:00 PM,475,13.65,13.45,13.90,1.33,10.80%,609,51,21.83%
MSFT250801P00480000,6/17/2025 12:17 PM,480,15.47,16.00,16.20,0.57,3.83%,10,14,21.35%
MSFT250801P00485000,6/16/2025 10:07 AM,485,15.60,18.30,18.75,0.00,0.00%,2,3,20.83%
MSFT250801P00500000,6/13/2025 2:15 PM,500,27.40,27.45,27.80,-1.84,-6.29%,16,2,18.65%
MSFT250801P00520000,2025-12-06 15:52:00,520,41.85,43.35,44.65,0.00,0.00%,-,5,18.09%
