Calls,"June 17th, 2025 7:26PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250711C00350000,2025-10-06 10:17:00,350,121.65,128.15,130.20,0.00,0.00%,1,2.873,73.67%
MSFT250711C00355000,6/13/2025 12:16 PM,355,124.27,122.85,126.15,0.00,0.00%,3,3,73.49%
MSFT250711C00365000,2025-12-06 10:19:00,365,113.11,112.55,116.20,0.00,0.00%,3,7,66.92%
MSFT250711C00380000,6/16/2025 12:55 PM,380,101.73,98.05,101.05,0.00,0.00%,1,1,59.89%
MSFT250711C00385000,2025-04-06 15:35:00,385,81.74,93.10,96.40,0.00,0.00%,-,2,58.39%
MSFT250711C00390000,5/30/2025 2:49 PM,390,71.68,88.15,91.45,0.00,0.00%,1,1,55.92%
MSFT250711C00395000,2025-12-06 15:50:00,395,85.83,83.60,86.35,0.00,0.00%,2,3,54.14%
MSFT250711C00400000,6/13/2025 1:44 PM,400,77.55,78.20,81.60,0.00,0.00%,2,20,50.98%
MSFT250711C00405000,6/17/2025 9:35 AM,405,72.78,73.35,76.40,-3.89,-5.07%,1,32,55.10%
MSFT250711C00410000,6/16/2025 2:39 PM,410,67.26,68.45,71.60,-2.94,-4.19%,1,4,52.92%
MSFT250711C00415000,6/16/2025 11:13 AM,415,66.39,63.50,66.60,0.00,0.00%,2,7,49.91%
MSFT250711C00420000,6/13/2025 10:27 AM,420,58.15,58.40,61.05,0.00,0.00%,3,34,44.82%
MSFT250711C00425000,6/16/2025 9:42 AM,425,55.34,53.85,57.00,0.00,0.00%,1,10,45.29%
MSFT250711C00430000,2025-12-06 11:50:00,430,49.80,48.85,51.90,0.00,0.00%,50,37,41.87%
MSFT250711C00435000,6/16/2025 1:59 PM,435,46.55,44.40,46.25,0.00,0.00%,2,104,36.66%
MSFT250711C00440000,6/13/2025 12:57 PM,440,39.98,39.20,42.05,0.00,0.00%,1,45,36.13%
MSFT250711C00445000,6/17/2025 12:09 PM,445,35.30,35.15,35.90,7.10,25.18%,1,25,29.50%
MSFT250711C00450000,6/16/2025 1:06 PM,450,32.50,30.35,31.25,0.00,0.00%,5,50,27.48%
MSFT250711C00455000,6/17/2025 10:35 AM,455,24.50,25.70,26.75,-4.19,-14.60%,6,49,25.67%
MSFT250711C00460000,6/17/2025 12:48 PM,460,22.22,22.10,22.30,-1.53,-6.44%,14,89,23.68%
MSFT250711C00465000,6/17/2025 12:48 PM,465,18.12,18.00,18.20,-0.63,-3.36%,52,312,22.16%
MSFT250711C00470000,6/17/2025 12:32 PM,470,14.45,14.30,14.50,-0.32,-2.17%,28,842,21.01%
MSFT250711C00475000,6/17/2025 12:16 PM,475,10.75,10.90,11.05,-0.40,-3.59%,139,363,19.73%
MSFT250711C00480000,6/17/2025 12:32 PM,480,8.00,8.00,8.10,0.37,4.85%,57,405,18.70%
MSFT250711C00485000,6/17/2025 11:57 AM,485,5.25,5.50,5.60,-0.55,-9.48%,67,362,17.70%
MSFT250711C00490000,6/17/2025 11:32 AM,490,3.50,3.65,3.75,-0.20,-5.41%,142,550,17.08%
MSFT250711C00495000,6/17/2025 11:32 AM,495,2.21,2.29,2.35,-0.23,-9.43%,32,650,16.49%
MSFT250711C00500000,6/17/2025 12:05 PM,500,1.30,1.39,1.43,-0.17,-11.56%,19,522,16.14%
MSFT250711C00505000,6/17/2025 12:31 PM,505,0.78,0.79,0.84,-0.11,-12.36%,16,384,15.93%
MSFT250711C00510000,6/17/2025 12:18 PM,510,0.44,0.45,0.49,-0.16,-26.67%,6,878,15.89%
MSFT250711C00515000,6/17/2025 9:39 AM,515,0.27,0.26,0.29,-0.04,-12.90%,4,43,16.02%
MSFT250711C00520000,6/17/2025 10:23 AM,520,0.17,0.15,0.19,-0.03,-15.00%,3,105,16.46%
MSFT250711C00525000,6/17/2025 11:07 AM,525,0.12,0.09,0.12,-0.02,-14.29%,23,13,16.80%
MSFT250711C00530000,6/17/2025 9:43 AM,530,0.09,0.06,0.09,-0.07,-43.75%,1,17,17.53%
MSFT250711C00535000,6/13/2025 9:30 AM,535,0.12,0.04,0.07,0.00,0.00%,1,4,18.26%
MSFT250711C00540000,6/16/2025 11:59 AM,540,0.04,0.02,0.05,0.00,0.00%,7,8,18.85%
MSFT250711C00550000,6/16/2025 10:31 AM,550,0.01,0.01,0.04,0.00,0.00%,1,2,20.80%
MSFT250711C00555000,2025-04-06 14:11:00,555,0.04,0.00,0.03,0.00,0.00%,-,1,21.29%
MSFT250711C00560000,2025-11-06 12:11:00,560,0.04,0.00,0.03,0.00,0.00%,-,1,22.46%
MSFT250711C00580000,2025-09-06 13:42:00,580,0.03,0.00,0.02,0.00,0.00%,1,1,25.78%
MSFT250711C00600000,2025-09-06 13:26:00,600,0.01,0.00,0.02,0.00,0.00%,1,1,29.69%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250711P00305000,2025-10-06 14:00:00,305,0.05,0.01,0.04,0.00,0.00%,-,1,57.81%
MSFT250711P00310000,2025-10-06 14:57:00,310,0.05,0.02,0.04,0.00,0.00%,-,2,56.64%
MSFT250711P00340000,2025-11-06 10:14:00,340,0.10,0.06,0.09,0.00,0.00%,1,32,50.78%
MSFT250711P00345000,2025-11-06 11:41:00,345,0.11,0.07,0.10,0.00,0.00%,5,5,49.32%
MSFT250711P00350000,6/17/2025 12:35 PM,350,0.08,0.09,0.11,-0.05,-38.46%,20,2.873,47.85%
MSFT250711P00360000,6/13/2025 12:18 PM,360,0.17,0.11,0.14,0.00,0.00%,1,13,45.22%
MSFT250711P00365000,6/16/2025 9:56 AM,365,0.15,0.13,0.15,0.00,0.00%,1,12,43.65%
MSFT250711P00370000,2025-11-06 10:37:00,370,0.21,0.15,0.17,0.00,0.00%,4,25,42.33%
MSFT250711P00375000,2025-12-06 09:48:00,375,0.23,0.17,0.20,0.00,0.00%,5,42,41.21%
MSFT250711P00380000,6/16/2025 11:45 AM,380,0.21,0.20,0.23,0.00,0.00%,8,67,39.99%
MSFT250711P00385000,6/16/2025 11:30 AM,385,0.24,0.23,0.26,0.00,0.00%,16,27,38.62%
MSFT250711P00390000,6/13/2025 3:58 PM,390,0.47,0.26,0.29,0.00,0.00%,11,66,37.21%
MSFT250711P00395000,6/13/2025 11:40 AM,395,0.43,0.31,0.34,0.00,0.00%,1,39,36.04%
MSFT250711P00400000,6/17/2025 12:28 PM,400,0.35,0.36,0.39,-0.03,-7.89%,21,792,34.74%
MSFT250711P00405000,6/17/2025 10:54 AM,405,0.44,0.41,0.44,-0.16,-26.67%,19,99,33.33%
MSFT250711P00410000,6/17/2025 11:36 AM,410,0.48,0.46,0.50,-0.30,-38.46%,2,60,31.93%
MSFT250711P00415000,6/17/2025 11:36 AM,415,0.55,0.54,0.58,-0.32,-36.78%,1,173,30.62%
MSFT250711P00420000,6/17/2025 10:49 AM,420,0.67,0.62,0.65,0.06,9.84%,6,79,29.09%
MSFT250711P00425000,6/17/2025 9:52 AM,425,0.85,0.72,0.75,0.12,16.44%,10,334,27.69%
MSFT250711P00430000,6/17/2025 11:35 AM,430,0.87,0.84,0.88,0.01,1.16%,7,629,26.33%
MSFT250711P00435000,6/17/2025 10:24 AM,435,1.06,1.00,1.04,0.05,4.95%,209,95,24.99%
MSFT250711P00440000,6/17/2025 11:35 AM,440,1.22,1.20,1.25,0.09,7.96%,213,224,23.68%
MSFT250711P00445000,6/17/2025 12:48 PM,445,1.48,1.47,1.52,0.08,5.71%,12,249,22.40%
MSFT250711P00450000,6/17/2025 12:47 PM,450,1.82,1.80,1.85,0.10,5.81%,51,573,21.06%
MSFT250711P00455000,6/17/2025 12:36 PM,455,2.16,2.30,2.36,-0.03,-1.37%,39,404,19.97%
MSFT250711P00460000,6/17/2025 12:44 PM,460,2.84,2.94,3.05,0.05,1.79%,47,489,18.93%
MSFT250711P00465000,6/17/2025 11:14 AM,465,3.99,3.85,3.95,0.52,14.99%,25,466,17.87%
MSFT250711P00470000,6/17/2025 12:44 PM,470,4.90,5.05,5.15,0.20,4.26%,17,313,16.84%
MSFT250711P00475000,6/17/2025 12:40 PM,475,6.33,6.60,6.80,0.03,0.48%,12,259,15.97%
MSFT250711P00480000,6/17/2025 12:44 PM,480,8.44,8.65,8.80,0.44,5.50%,94,67,14.86%
MSFT250711P00485000,6/17/2025 12:34 PM,485,10.95,11.20,11.40,0.15,1.39%,63,81,13.82%
MSFT250711P00490000,6/17/2025 11:16 AM,490,15.50,14.55,14.80,-0.63,-3.91%,1,17,13.25%
MSFT250711P00495000,6/13/2025 12:13 PM,495,18.75,18.20,18.50,0.00,0.00%,6,12,11.81%
MSFT250711P00500000,6/17/2025 9:42 AM,500,25.00,22.35,23.40,4.10,19.62%,1,3,13.61%
MSFT250711P00505000,6/16/2025 1:57 PM,505,26.29,25.20,28.45,0.00,0.00%,5,11,15.94%
MSFT250711P00510000,6/17/2025 9:42 AM,510,35.00,30.80,32.95,5.20,17.45%,115,115,14.80%
