Calls,"June 17th, 2025 7:41PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT270617C00175000,2025-10-06 10:16:00,175,305.69,310.00,314.50,0.00,0.00%,1,2,55.91%
MSFT270617C00190000,2025-07-04 15:35:00,190,183.25,259.00,264.00,0.00,0.00%,-,1,0.00%
MSFT270617C00195000,3/17/2025 12:08 PM,195,210.00,189.00,194.00,0.00,0.00%,-,0,0.00%
MSFT270617C00200000,2025-02-05 10:04:00,200,252.20,270.50,275.50,0.00,0.00%,10,15,0.00%
MSFT270617C00210000,2025-06-05 09:30:00,210,240.05,269.50,274.50,0.00,0.00%,2,10,43.23%
MSFT270617C00220000,6/16/2025 3:01 PM,220,273.60,270.00,275.00,0.00,0.00%,1,4,50.54%
MSFT270617C00230000,4/21/2025 11:42 AM,230,154.85,243.00,247.50,0.00,0.00%,2,2,24.93%
MSFT270617C00240000,2025-03-04 12:04:00,240,158.95,213.00,217.50,0.00,0.00%,-,2,0.00%
MSFT270617C00250000,5/13/2025 11:04 AM,250,218.45,242.00,247.00,0.00,0.00%,1,5,47.67%
MSFT270617C00260000,5/30/2025 3:48 PM,260,222.70,235.50,240.40,0.00,0.00%,2,5,48.17%
MSFT270617C00270000,5/15/2025 11:17 AM,270,209.38,225.00,230.00,0.00,0.00%,2,25,45.59%
MSFT270617C00280000,2025-02-06 11:47:00,280,206.30,219.00,223.85,0.00,0.00%,2,195,46.21%
MSFT270617C00290000,5/13/2025 2:40 PM,290,186.40,208.50,213.50,0.00,0.00%,2,49,43.78%
MSFT270617C00300000,2025-12-06 11:13:00,300,205.00,202.00,207.00,0.00,0.00%,1,12,43.97%
MSFT270617C00310000,5/28/2025 9:30 AM,310,183.95,194.00,199.00,0.00,0.00%,1,8,43.09%
MSFT270617C00320000,6/16/2025 10:48 AM,320,190.73,186.30,190.90,0.00,0.00%,12,20,42.12%
MSFT270617C00330000,2025-02-06 14:43:00,330,167.07,178.75,182.50,0.00,0.00%,1,43,40.96%
MSFT270617C00340000,6/16/2025 3:10 PM,340,173.50,171.95,174.30,0.00,0.00%,1,36,39.89%
MSFT270617C00350000,6/13/2025 10:12 AM,350,165.05,163.65,166.65,0.00,0.00%,2,85,39.10%
MSFT270617C00360000,5/27/2025 3:51 PM,360,144.01,155.80,159.65,0.00,0.00%,2,31,38.60%
MSFT270617C00370000,2025-11-06 11:56:00,370,148.11,148.80,152.40,0.00,0.00%,1,48,37.92%
MSFT270617C00380000,6/16/2025 1:17 PM,380,145.07,142.55,144.55,0.00,0.00%,4,128,36.91%
MSFT270617C00390000,2025-10-06 15:14:00,390,131.00,135.60,137.80,0.00,0.00%,2,948,36.37%
MSFT270617C00400000,6/16/2025 11:19 AM,400,132.04,128.65,130.60,0.00,0.00%,3,244,35.59%
MSFT270617C00410000,2025-12-06 14:09:00,410,124.80,122.10,123.70,0.00,0.00%,3,143,34.89%
MSFT270617C00420000,2025-12-06 13:15:00,420,115.40,115.70,117.35,-2.48,-2.10%,1,137,34.37%
MSFT270617C00430000,6/16/2025 10:28 AM,430,112.23,109.15,111.20,0.00,0.00%,9,183,33.89%
MSFT270617C00440000,6/17/2025 12:34 PM,440,104.70,103.35,104.90,0.00,0.00%,1,1.329,33.29%
MSFT270617C00450000,2025-11-06 11:28:00,450,96.06,97.45,99.30,0.00,0.00%,22,363,32.91%
MSFT270617C00460000,6/16/2025 10:25 AM,460,90.95,91.40,93.40,-3.67,-3.88%,9,269,32.35%
MSFT270617C00470000,6/16/2025 1:37 PM,470,88.77,86.05,87.75,0.00,0.00%,3,110,31.83%
MSFT270617C00480000,6/16/2025 2:46 PM,480,82.07,81.15,82.60,0.00,0.00%,23,121,31.45%
MSFT270617C00490000,6/16/2025 11:33 AM,490,78.33,76.25,77.75,0.00,0.00%,37,107,31.12%
MSFT270617C00500000,6/16/2025 2:20 PM,500,72.68,71.10,72.55,0.00,0.00%,16,258,30.59%
MSFT270617C00510000,2025-12-06 12:45:00,510,67.61,66.30,68.50,0.00,0.00%,11,56,30.44%
MSFT270617C00520000,6/16/2025 3:27 PM,520,63.30,62.25,63.45,0.00,0.00%,3,117,29.85%
MSFT270617C00530000,6/17/2025 12:06 PM,530,58.65,58.05,59.10,3.49,6.33%,1,31,29.46%
MSFT270617C00540000,6/17/2025 12:59 PM,540,54.30,54.00,55.75,-0.64,-1.16%,10,158,29.38%
MSFT270617C00550000,6/17/2025 12:39 PM,550,51.25,50.35,51.60,-0.05,-0.10%,1,29,28.94%
MSFT270617C00560000,6/16/2025 12:39 PM,560,47.70,47.00,48.30,-0.62,-1.28%,1,54,28.76%
MSFT270617C00570000,5/28/2025 2:52 PM,570,37.65,43.25,45.35,0.00,0.00%,1,66,28.66%
MSFT270617C00580000,6/16/2025 10:10 AM,580,41.52,40.10,41.10,0.00,0.00%,1,30,27.99%
MSFT270617C00590000,2025-10-06 13:52:00,590,34.95,36.75,39.10,0.00,0.00%,2,81,28.14%
MSFT270617C00600000,6/16/2025 3:17 PM,600,35.02,34.35,36.30,0.00,0.00%,37,488,27.92%
MSFT270617C00610000,6/13/2025 1:31 PM,610,31.48,31.40,33.60,0.00,0.00%,3,99,27.68%
MSFT270617C00620000,2025-12-06 10:40:00,620,29.40,28.90,31.20,0.00,0.00%,1,55,27.51%
MSFT270617C00630000,2025-06-06 10:06:00,630,26.00,26.85,28.45,0.00,0.00%,1,31,27.13%
MSFT270617C00640000,2025-11-06 09:58:00,640,23.75,24.60,26.60,0.00,0.00%,2,303,27.08%
MSFT270617C00660000,2025-11-06 10:01:00,660,20.30,21.30,22.25,0.00,0.00%,1,649,26.53%
MSFT270617C00680000,6/16/2025 1:13 PM,680,18.93,18.10,19.00,0.00,0.00%,1,37,26.28%
MSFT270617C00700000,6/16/2025 1:13 PM,700,15.40,15.30,16.25,-0.75,-4.64%,3,8,26.08%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT270617P00175000,5/29/2025 3:43 PM,175,1.88,1.33,2.13,0.00,0.00%,16,67,39.02%
MSFT270617P00180000,6/13/2025 11:03 AM,180,1.89,1.49,2.13,0.00,0.00%,30,39,38.01%
MSFT270617P00185000,2025-10-06 11:42:00,185,1.97,1.66,2.30,0.00,0.00%,1,71,37.56%
MSFT270617P00190000,5/29/2025 3:36 PM,190,2.34,1.83,2.49,0.00,0.00%,14,14,37.14%
MSFT270617P00195000,2025-03-06 11:27:00,195,2.50,2.02,2.69,0.00,0.00%,1,21,36.73%
MSFT270617P00200000,2025-11-06 13:29:00,200,2.42,2.22,3.10,0.00,0.00%,1,14,36.80%
MSFT270617P00210000,2025-11-06 13:29:00,210,2.80,2.80,3.35,0.00,0.00%,1,308,35.51%
MSFT270617P00220000,6/13/2025 9:35 AM,220,3.57,3.10,3.85,0.00,0.00%,8,37,34.73%
MSFT270617P00230000,2025-06-06 12:04:00,230,3.85,3.55,4.35,0.00,0.00%,1,15,33.88%
MSFT270617P00240000,2025-11-06 11:16:00,240,4.45,4.20,4.90,0.00,0.00%,2,24,33.06%
MSFT270617P00250000,2025-05-06 09:49:00,250,6.00,4.80,5.65,0.00,0.00%,2,128,32.47%
MSFT270617P00260000,6/13/2025 2:36 PM,260,6.26,5.65,6.55,0.00,0.00%,1,101,31.99%
MSFT270617P00270000,2025-11-06 11:15:00,270,6.55,6.20,7.35,0.00,0.00%,2,21,31.28%
MSFT270617P00280000,2025-11-06 11:16:00,280,7.35,7.50,7.95,0.00,0.00%,4,20,30.30%
MSFT270617P00290000,6/17/2025 12:09 PM,290,8.55,8.45,9.10,0.24,2.89%,3,27,29.85%
MSFT270617P00300000,6/16/2025 9:45 AM,300,9.40,9.50,10.20,0.00,0.00%,5,436,29.25%
MSFT270617P00310000,2025-11-06 11:22:00,310,10.60,10.25,11.55,0.00,0.00%,7,24,28.79%
MSFT270617P00320000,2025-12-06 13:10:00,320,11.77,11.60,12.90,0.00,0.00%,4,56,28.24%
MSFT270617P00330000,2025-11-06 12:42:00,330,13.38,13.00,14.30,0.00,0.00%,34,413,27.65%
MSFT270617P00340000,6/16/2025 12:56 PM,340,14.73,14.85,15.65,0.00,0.00%,2,403,26.96%
MSFT270617P00350000,6/13/2025 10:58 AM,350,16.80,16.25,17.35,0.00,0.00%,1,114,26.43%
MSFT270617P00360000,2025-12-06 12:17:00,360,18.20,17.85,19.40,0.00,0.00%,10,504,26.03%
MSFT270617P00370000,2025-10-06 14:12:00,370,21.45,19.85,21.40,0.00,0.00%,2,325,25.52%
MSFT270617P00380000,2025-11-06 14:01:00,380,22.80,21.95,23.60,0.00,0.00%,110,1.023,25.03%
MSFT270617P00390000,2025-03-06 10:06:00,390,28.17,24.90,25.90,0.00,0.00%,1,346,24.51%
MSFT270617P00400000,6/17/2025 12:59 PM,400,27.62,27.40,28.45,0.58,2.14%,3,280,24.04%
MSFT270617P00410000,5/29/2025 3:39 PM,410,35.60,30.05,31.00,0.00,0.00%,50,89,23.49%
MSFT270617P00420000,6/16/2025 11:37 AM,420,32.50,33.05,33.80,0.00,0.00%,1,20,22.96%
MSFT270617P00430000,2025-12-06 13:30:00,430,35.48,36.15,37.20,0.00,0.00%,6,40,22.61%
MSFT270617P00440000,5/29/2025 11:57 AM,440,46.20,39.55,40.30,0.00,0.00%,1,29,22.05%
MSFT270617P00450000,2025-12-06 10:40:00,450,43.40,43.20,43.90,0.00,0.00%,1,149,21.60%
MSFT270617P00460000,2025-12-06 13:10:00,460,46.15,46.50,47.75,0.00,0.00%,4,91,21.15%
MSFT270617P00470000,2025-12-06 12:25:00,470,50.65,50.90,52.10,0.00,0.00%,19,21,20.81%
MSFT270617P00480000,2025-12-06 13:39:00,480,54.10,54.50,56.50,0.00,0.00%,13,118,20.38%
MSFT270617P00490000,2025-05-05 14:40:00,490,80.68,64.25,66.05,0.00,0.00%,2,123,21.78%
MSFT270617P00500000,5/21/2025 12:09 PM,500,74.42,64.65,66.00,0.00,0.00%,50,53,19.50%
MSFT270617P00510000,6/17/2025 10:10 AM,510,70.82,69.70,70.85,-25.63,-26.57%,3,0,18.93%
MSFT270617P00520000,6/16/2025 10:11 AM,520,73.55,74.65,76.20,0.00,0.00%,1,3,18.45%
MSFT270617P00530000,2025-02-05 15:45:00,530,107.85,89.75,93.10,0.00,0.00%,4,10,22.26%
MSFT270617P00540000,2025-10-06 09:48:00,540,90.80,86.55,87.85,0.00,0.00%,2,102,17.49%
MSFT270617P00550000,2025-12-06 09:59:00,550,94.17,92.35,93.90,0.00,0.00%,1,35,16.90%
MSFT270617P00560000,2025-12-05 11:56:00,560,123.82,99.70,103.10,0.00,0.00%,2,17,17.52%
MSFT270617P00580000,5/22/2025 12:13 PM,580,129.75,112.65,114.85,0.00,0.00%,2,44,15.47%
MSFT270617P00590000,5/15/2025 3:09 PM,590,139.56,122.00,124.55,0.00,0.00%,4,33,16.09%
MSFT270617P00600000,5/30/2025 12:00 PM,600,143.10,127.95,130.65,0.00,0.00%,2,1,14.63%
MSFT270617P00620000,5/13/2025 10:38 AM,620,172.57,146.80,149.25,0.00,0.00%,2,0,15.03%
MSFT270617P00630000,5/15/2025 3:06 PM,630,177.38,153.50,158.35,0.00,0.00%,-,0,14.99%
MSFT270617P00640000,2025-02-06 15:58:00,640,178.43,160.55,165.50,0.00,0.00%,4,0,12.90%
MSFT270617P00660000,2025-04-02 12:52:00,660,248.65,0.00,0.00,0.00,0.00%,2,0,0.00%
