Calls,"June 17th, 2025 7:35PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT251017C00200000,2025-07-04 11:14:00,200,161.85,239.80,243.40,0.00,0.00%,-,1,0.00%
MSFT251017C00210000,2025-07-04 11:05:00,210,155.35,230.05,233.65,0.00,0.00%,-,38,0.00%
MSFT251017C00230000,5/14/2025 9:54 AM,230,224.99,245.90,249.75,0.00,0.00%,2,3,61.50%
MSFT251017C00240000,2025-07-03 11:40:00,240,153.87,0.00,0.00,0.00,0.00%,2,0,0.00%
MSFT251017C00250000,4/30/2025 1:10 PM,250,144.22,212.20,216.00,0.00,0.00%,-,1,0.00%
MSFT251017C00260000,4/22/2025 10:11 AM,260,110.62,0.00,0.00,0.00,0.00%,1,0,0.00%
MSFT251017C00270000,2025-06-06 14:02:00,270,205.00,209.55,212.80,0.00,0.00%,1,3,66.43%
MSFT251017C00280000,2025-07-03 12:58:00,280,118.25,0.00,0.00,0.00,0.00%,2,2,0.00%
MSFT251017C00290000,2025-07-04 15:35:00,290,82.61,152.95,156.35,0.00,0.00%,10,10,0.00%
MSFT251017C00300000,2025-08-05 13:40:00,300,149.75,174.45,177.45,0.00,0.00%,31,30,37.68%
MSFT251017C00305000,2025-09-06 09:32:00,305,170.65,175.85,178.75,0.00,0.00%,6,38,57.72%
MSFT251017C00310000,4/29/2025 2:08 PM,310,93.45,152.90,156.75,0.00,0.00%,13,61,0.00%
MSFT251017C00315000,2025-10-06 11:31:00,315,158.98,165.95,169.15,0.00,0.00%,1,19,55.03%
MSFT251017C00320000,5/22/2025 3:37 PM,320,143.26,161.10,164.20,0.00,0.00%,2,8,53.63%
MSFT251017C00325000,6/13/2025 10:08 AM,325,158.53,156.35,159.40,0.00,0.00%,1,19,52.54%
MSFT251017C00330000,2025-06-06 12:05:00,330,147.23,151.45,154.55,0.00,0.00%,2,38,51.20%
MSFT251017C00335000,6/16/2025 2:52 PM,335,148.75,146.70,149.75,0.00,0.00%,1,57,50.09%
MSFT251017C00340000,6/13/2025 2:26 PM,340,141.15,141.95,145.00,0.00,0.00%,1,36,52.24%
MSFT251017C00345000,2025-05-06 09:48:00,345,126.80,137.35,140.30,0.00,0.00%,1,36,51.14%
MSFT251017C00350000,2025-12-06 15:58:00,350,135.06,132.30,135.05,0.00,0.00%,3,73,48.98%
MSFT251017C00355000,2025-11-06 10:55:00,355,126.83,127.35,130.70,0.00,0.00%,1,90,48.54%
MSFT251017C00360000,6/13/2025 3:34 PM,360,121.25,122.80,125.90,0.00,0.00%,15,257,47.23%
MSFT251017C00365000,6/13/2025 11:08 AM,365,118.57,118.15,120.25,0.00,0.00%,1,78,44.43%
MSFT251017C00370000,6/17/2025 12:17 PM,370,115.30,113.85,116.00,-1.09,-0.94%,3,149,44.10%
MSFT251017C00375000,6/13/2025 2:28 PM,375,107.55,108.90,111.20,0.00,0.00%,18,124,42.79%
MSFT251017C00380000,6/13/2025 2:27 PM,380,103.13,104.15,106.65,0.00,0.00%,1,446,41.88%
MSFT251017C00385000,2025-10-06 12:57:00,385,93.50,99.80,102.20,0.00,0.00%,1,172,41.08%
MSFT251017C00390000,6/17/2025 11:07 AM,390,95.25,95.20,97.15,1.33,1.42%,1,313,39.35%
MSFT251017C00395000,6/17/2025 11:55 AM,395,92.48,90.80,93.50,-2.00,-2.12%,2,453,39.63%
MSFT251017C00400000,6/16/2025 2:08 PM,400,88.72,87.00,87.60,0.00,0.00%,6,617,36.70%
MSFT251017C00405000,6/17/2025 9:43 AM,405,80.80,81.95,82.80,-3.41,-4.05%,3,255,35.33%
MSFT251017C00410000,6/17/2025 12:22 PM,410,78.84,78.10,79.35,-1.38,-1.72%,9,387,35.69%
MSFT251017C00415000,6/17/2025 9:50 AM,415,71.66,73.80,74.65,-4.91,-6.41%,2,273,34.37%
MSFT251017C00420000,6/17/2025 12:13 PM,420,69.95,69.55,70.15,-1.88,-2.62%,3,798,33.26%
MSFT251017C00425000,6/16/2025 2:02 PM,425,67.10,64.70,65.85,0.00,0.00%,2,439,32.35%
MSFT251017C00430000,6/17/2025 11:43 AM,430,61.71,61.00,61.45,-1.91,-3.00%,8,1.097,31.27%
MSFT251017C00435000,6/16/2025 11:50 AM,435,59.95,57.15,57.90,0.00,0.00%,2,341,31.07%
MSFT251017C00440000,6/16/2025 3:54 PM,440,51.86,53.05,53.75,-1.94,-3.61%,1,1.476,30.13%
MSFT251017C00445000,6/17/2025 10:07 AM,445,49.62,49.40,49.90,-0.74,-1.47%,6,590,29.43%
MSFT251017C00450000,6/17/2025 10:52 AM,450,44.59,45.50,46.40,-2.24,-4.78%,7,1.457,29.00%
MSFT251017C00455000,6/17/2025 11:54 AM,455,42.22,41.90,42.35,-0.72,-1.68%,12,724,27.94%
MSFT251017C00460000,6/17/2025 11:45 AM,460,39.15,38.55,38.90,-0.29,-0.74%,14,15.332,27.37%
MSFT251017C00465000,6/17/2025 12:25 PM,465,35.50,35.25,35.75,-1.45,-3.92%,8,905,26.97%
MSFT251017C00470000,6/17/2025 11:40 AM,470,32.20,31.90,32.70,-0.25,-0.77%,7,3.417,26.56%
MSFT251017C00475000,6/17/2025 12:59 PM,475,29.10,28.90,29.10,-0.80,-2.68%,56,2.722,25.53%
MSFT251017C00480000,6/17/2025 12:02 PM,480,26.27,26.00,26.20,-0.42,-1.57%,137,1.166,25.02%
MSFT251017C00485000,6/17/2025 11:16 AM,485,22.75,23.45,23.65,-1.15,-4.81%,104,1.237,24.70%
MSFT251017C00490000,6/17/2025 12:22 PM,490,21.17,20.80,21.05,-0.31,-1.44%,6,1.882,24.20%
MSFT251017C00495000,6/17/2025 11:16 AM,495,17.90,18.40,18.60,-0.85,-4.53%,4,1.567,23.71%
MSFT251017C00500000,6/17/2025 12:35 PM,500,16.75,16.30,16.45,0.08,0.48%,85,1.805,23.35%
MSFT251017C00505000,6/17/2025 10:42 AM,505,13.55,14.25,14.40,-0.80,-5.57%,16,701,22.94%
MSFT251017C00510000,6/17/2025 12:43 PM,510,12.82,12.50,12.65,0.15,1.18%,20,4.461,22.68%
MSFT251017C00520000,6/17/2025 12:37 PM,520,9.61,9.30,9.45,-0.09,-0.93%,123,3.861,22.01%
MSFT251017C00540000,6/17/2025 12:53 PM,540,5.00,4.90,5.00,-0.15,-2.91%,64,1.514,21.04%
MSFT251017C00560000,6/17/2025 11:14 AM,560,2.43,2.57,2.64,-0.15,-5.81%,94,589,20.75%
MSFT251017C00580000,6/16/2025 11:32 AM,580,1.35,1.35,1.41,-0.14,-9.40%,60,1.838,20.81%
MSFT251017C00600000,6/17/2025 10:39 AM,600,0.69,0.74,0.78,-0.16,-18.82%,5,1.322,21.13%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT251017P00180000,6/16/2025 1:22 PM,180,0.03,0.00,0.06,0.00,0.00%,20,65,55.08%
MSFT251017P00185000,6/16/2025 1:22 PM,185,0.04,0.01,0.06,0.00,0.00%,10,30,54.30%
MSFT251017P00190000,2025-12-06 13:59:00,190,0.05,0.02,0.07,0.00,0.00%,20,498,54.10%
MSFT251017P00195000,2025-12-06 13:59:00,195,0.05,0.03,0.08,0.00,0.00%,65,44,53.52%
MSFT251017P00200000,6/16/2025 3:35 PM,200,0.05,0.04,0.08,0.00,0.00%,50,142,52.54%
MSFT251017P00210000,2025-12-06 13:56:00,210,0.10,0.05,0.10,0.00,0.00%,15,51,50.78%
MSFT251017P00220000,6/16/2025 9:40 AM,220,0.10,0.07,0.12,-0.02,-16.67%,2,52,50.44%
MSFT251017P00230000,2025-11-06 13:10:00,230,0.16,0.10,0.15,0.00,0.00%,10,79,48.88%
MSFT251017P00240000,2025-12-06 09:32:00,240,0.20,0.13,0.19,0.00,0.00%,2,168,47.46%
MSFT251017P00250000,6/16/2025 3:42 PM,250,0.18,0.18,0.23,0.00,0.00%,25,192,45.90%
MSFT251017P00260000,2025-12-06 13:55:00,260,0.26,0.23,0.28,0.00,0.00%,27,254,44.39%
MSFT251017P00270000,6/16/2025 12:12 PM,270,0.30,0.30,0.35,0.00,0.00%,3,950,43.07%
MSFT251017P00280000,6/13/2025 1:20 PM,280,0.43,0.38,0.42,0.00,0.00%,1,675,41.58%
MSFT251017P00290000,6/16/2025 3:49 PM,290,0.45,0.47,0.52,0.00,0.00%,11,129,40.31%
MSFT251017P00300000,6/16/2025 3:57 PM,300,0.58,0.59,0.63,0.00,0.00%,36,1.568,38.94%
MSFT251017P00305000,6/16/2025 10:02 AM,305,0.64,0.66,0.70,0.00,0.00%,23,438,38.33%
MSFT251017P00310000,6/13/2025 10:54 AM,310,0.85,0.73,0.78,0.00,0.00%,1,855,37.76%
MSFT251017P00315000,6/13/2025 1:52 PM,315,0.92,0.81,0.86,0.00,0.00%,4,1.19,37.11%
MSFT251017P00320000,6/16/2025 10:06 AM,320,0.87,0.90,0.95,0.00,0.00%,14,1.09,36.50%
MSFT251017P00325000,6/13/2025 1:27 PM,325,1.11,1.00,1.05,0.00,0.00%,1,843,35.89%
MSFT251017P00330000,6/17/2025 9:48 AM,330,1.17,1.10,1.15,0.09,8.33%,2,2.35,35.23%
MSFT251017P00335000,6/17/2025 9:35 AM,335,1.30,1.22,1.27,-0.09,-6.47%,2,1.262,34.62%
MSFT251017P00340000,6/16/2025 10:01 AM,340,1.29,1.35,1.41,0.00,0.00%,6,1.989,34.06%
MSFT251017P00345000,6/17/2025 11:46 AM,345,1.47,1.49,1.54,0.03,2.08%,8,1.085,33.40%
MSFT251017P00350000,6/16/2025 11:41 AM,350,1.55,1.62,1.70,0.00,0.00%,98,638,32.81%
MSFT251017P00355000,6/16/2025 10:01 AM,355,1.69,1.81,1.87,0.00,0.00%,1,504,32.20%
MSFT251017P00360000,6/16/2025 1:28 PM,360,1.90,1.99,2.07,0.00,0.00%,3,1.265,31.65%
MSFT251017P00365000,6/16/2025 12:05 PM,365,2.11,2.22,2.29,0.00,0.00%,3,1.138,31.09%
MSFT251017P00370000,6/17/2025 10:17 AM,370,2.47,2.44,2.52,0.12,5.11%,65,732,30.49%
MSFT251017P00375000,6/17/2025 10:17 AM,375,2.73,2.71,2.79,0.14,5.41%,1,408,29.95%
MSFT251017P00380000,6/17/2025 9:30 AM,380,3.10,2.99,3.10,0.24,8.39%,1,2.724,29.44%
MSFT251017P00385000,6/16/2025 12:18 PM,385,3.08,3.30,3.40,0.00,0.00%,3,879,28.83%
MSFT251017P00390000,6/16/2025 2:58 PM,390,3.52,3.65,3.80,0.00,0.00%,4,1.048,28.37%
MSFT251017P00395000,6/17/2025 12:49 PM,395,4.10,4.05,4.20,0.30,7.89%,2,2.028,27.83%
MSFT251017P00400000,6/17/2025 10:58 AM,400,4.61,4.50,4.65,0.26,5.98%,25,1.291,27.31%
MSFT251017P00405000,6/17/2025 10:10 AM,405,5.10,5.00,5.10,0.45,9.68%,7,552,26.71%
MSFT251017P00410000,6/17/2025 10:02 AM,410,5.75,5.50,5.65,0.40,7.48%,3,1.711,26.20%
MSFT251017P00415000,6/17/2025 12:49 PM,415,6.15,6.15,6.25,0.33,5.67%,5,664,25.68%
MSFT251017P00420000,6/16/2025 2:49 PM,420,7.05,6.75,6.90,0.50,7.63%,2,1.63,25.14%
MSFT251017P00425000,6/17/2025 10:08 AM,425,7.80,7.55,7.70,0.55,7.59%,11,1.38,24.71%
MSFT251017P00430000,6/17/2025 10:46 AM,430,8.45,8.35,8.50,0.50,6.29%,5,826,24.19%
MSFT251017P00435000,6/17/2025 12:26 PM,435,9.15,9.25,9.40,0.34,3.86%,11,518,23.68%
MSFT251017P00440000,6/17/2025 10:46 AM,440,10.38,10.25,10.40,0.58,5.92%,15,2.725,23.18%
MSFT251017P00445000,6/17/2025 12:54 PM,445,11.32,11.40,11.55,0.39,3.57%,4,483,22.74%
MSFT251017P00450000,6/17/2025 11:42 AM,450,12.36,12.55,12.70,0.31,2.57%,7,789,22.18%
MSFT251017P00455000,6/17/2025 12:58 PM,455,14.05,13.95,14.15,0.77,5.80%,6,462,21.81%
MSFT251017P00460000,6/17/2025 9:55 AM,460,15.72,15.45,15.60,0.99,6.72%,12,985,21.30%
MSFT251017P00465000,6/16/2025 9:36 AM,465,16.75,17.05,17.25,0.00,0.00%,1,190,20.85%
MSFT251017P00470000,6/17/2025 11:11 AM,470,18.85,18.75,19.00,0.77,4.26%,5,325,20.35%
MSFT251017P00475000,6/17/2025 1:02 PM,475,20.90,20.75,20.90,0.85,4.24%,40,260,19.84%
MSFT251017P00480000,6/17/2025 12:49 PM,480,22.95,23.00,23.15,1.15,5.28%,93,96,19.50%
MSFT251017P00485000,6/16/2025 2:10 PM,485,25.66,25.20,25.45,1.42,5.86%,1,63,19.03%
MSFT251017P00490000,2025-12-06 12:45:00,490,26.95,27.60,27.90,0.00,0.00%,1,77,18.52%
MSFT251017P00495000,2025-12-06 10:51:00,495,30.60,30.40,30.70,0.00,0.00%,2,114,18.15%
MSFT251017P00500000,6/17/2025 11:29 AM,500,33.30,33.25,33.50,1.40,4.39%,5,115,17.59%
MSFT251017P00505000,6/13/2025 1:41 PM,505,37.75,36.35,37.30,0.00,0.00%,5,86,17.83%
MSFT251017P00510000,2025-12-06 15:21:00,510,37.67,39.45,40.00,0.00,0.00%,10,91,16.72%
MSFT251017P00520000,6/13/2025 1:23 PM,520,47.80,46.55,47.75,0.00,0.00%,8,193,16.41%
MSFT251017P00560000,6/16/2025 3:58 PM,560,81.56,80.90,84.50,0.00,0.00%,3,15,18.00%
