Calls,"June 17th, 2025 7:34PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250919C00180000,2025-08-05 11:29:00,180,261.65,290.90,293.80,0.00,0.00%,1,4,0.00%
MSFT250919C00185000,4/23/2025 1:00 PM,185,193.40,266.10,269.25,0.00,0.00%,2,3,0.00%
MSFT250919C00195000,4/23/2025 1:00 PM,195,183.70,256.30,259.35,0.00,0.00%,-,2,0.00%
MSFT250919C00200000,2025-08-05 14:49:00,200,245.07,271.20,274.00,0.00,0.00%,2,68,0.00%
MSFT250919C00210000,5/15/2025 10:11 AM,210,245.74,264.75,268.60,0.00,0.00%,1,17,87.06%
MSFT250919C00220000,5/30/2025 1:07 PM,220,239.66,258.30,260.85,0.00,0.00%,33,51,89.72%
MSFT250919C00230000,2025-07-04 09:30:00,230,128.50,209.55,213.30,0.00,0.00%,1,39,0.00%
MSFT250919C00240000,5/22/2025 2:59 PM,240,219.65,238.25,241.30,0.00,0.00%,2,62,81.93%
MSFT250919C00250000,2025-06-06 12:09:00,250,223.46,228.20,230.65,0.00,0.00%,1,144,75.70%
MSFT250919C00260000,2025-09-06 11:30:00,260,213.20,218.95,221.60,0.00,0.00%,20,80,76.10%
MSFT250919C00270000,2025-06-06 15:20:00,270,204.00,209.30,211.00,0.00,0.00%,1,944,71.46%
MSFT250919C00280000,5/19/2025 12:43 PM,280,182.19,199.20,202.00,0.00,0.00%,2,32,69.53%
MSFT250919C00290000,5/19/2025 12:43 PM,290,172.51,189.40,192.20,0.00,0.00%,2,91,66.48%
MSFT250919C00300000,6/16/2025 1:30 PM,300,183.38,179.15,181.40,0.00,0.00%,10,313,60.67%
MSFT250919C00310000,2025-09-06 12:29:00,310,164.62,169.95,171.75,0.00,0.00%,1,145,59.23%
MSFT250919C00320000,2025-11-06 12:03:00,320,157.81,160.05,162.35,0.00,0.00%,1,116,56.83%
MSFT250919C00330000,2025-12-06 12:57:00,330,152.83,150.25,152.05,0.00,0.00%,1,319,53.14%
MSFT250919C00340000,2025-06-06 15:19:00,340,133.86,140.30,142.30,0.00,0.00%,1,316,50.14%
MSFT250919C00350000,6/16/2025 3:21 PM,350,133.14,130.80,133.05,0.00,0.00%,1,592,51.31%
MSFT250919C00360000,6/16/2025 3:55 PM,360,123.70,121.15,123.00,0.00,0.00%,1,583,47.65%
MSFT250919C00370000,6/13/2025 1:59 PM,370,111.35,111.55,113.80,0.00,0.00%,19,877,45.91%
MSFT250919C00380000,6/16/2025 3:45 PM,380,104.55,101.85,104.05,0.00,0.00%,3,1.216,42.90%
MSFT250919C00390000,6/17/2025 12:47 PM,390,94.39,92.35,94.75,-2.06,-2.14%,1,1.465,40.70%
MSFT250919C00400000,6/17/2025 12:50 PM,400,84.80,84.30,85.85,-2.51,-2.87%,7,2.802,39.04%
MSFT250919C00410000,6/17/2025 12:39 PM,410,76.74,75.25,76.25,0.71,0.93%,1,1.797,36.06%
MSFT250919C00420000,6/17/2025 11:54 AM,420,67.00,66.40,67.10,-0.65,-0.96%,35,3.523,33.66%
MSFT250919C00430000,6/17/2025 12:04 PM,430,58.46,57.90,58.80,-0.64,-1.08%,6,4.055,32.22%
MSFT250919C00440000,6/17/2025 9:30 AM,440,50.85,49.65,50.10,-0.10,-0.20%,11,2.792,29.93%
MSFT250919C00450000,6/17/2025 12:58 PM,450,42.31,42.10,42.40,-0.68,-1.58%,12,5.187,28.51%
MSFT250919C00460000,6/17/2025 12:43 PM,460,35.75,34.80,35.15,0.13,0.36%,33,1.911,27.14%
MSFT250919C00465000,6/17/2025 12:50 PM,465,31.75,31.30,31.60,-0.05,-0.16%,194,3.502,26.34%
MSFT250919C00470000,6/17/2025 12:49 PM,470,28.51,28.15,28.45,-0.20,-0.70%,96,4.089,25.83%
MSFT250919C00475000,6/17/2025 12:55 PM,475,25.37,25.25,25.45,-0.53,-2.05%,22,2.322,25.32%
MSFT250919C00480000,6/17/2025 12:46 PM,480,22.82,22.25,22.40,0.14,0.62%,469,3.765,24.60%
MSFT250919C00485000,6/17/2025 12:42 PM,485,20.20,19.65,19.85,0.05,0.25%,44,1.561,24.23%
MSFT250919C00490000,6/17/2025 12:51 PM,490,17.40,17.20,17.40,-0.14,-0.80%,45,1.317,23.78%
MSFT250919C00495000,6/17/2025 12:11 PM,495,14.95,14.95,15.10,-1.13,-7.03%,5,1.237,23.32%
MSFT250919C00500000,6/17/2025 1:00 PM,500,12.80,12.85,13.05,-0.60,-4.48%,143,6.354,22.93%
MSFT250919C00505000,6/17/2025 12:36 PM,505,11.15,11.00,11.15,-0.10,-0.89%,14,1.124,22.51%
MSFT250919C00510000,6/17/2025 12:28 PM,510,9.40,9.30,9.45,-0.30,-3.09%,104,4.117,22.12%
MSFT250919C00515000,6/17/2025 11:33 AM,515,7.70,7.80,7.90,-0.30,-3.75%,7,2.985,21.70%
MSFT250919C00520000,6/17/2025 12:49 PM,520,6.65,6.50,6.65,-0.10,-1.48%,8,3.779,21.46%
MSFT250919C00525000,6/17/2025 12:46 PM,525,5.60,5.45,5.55,-0.10,-1.75%,158,752,21.22%
MSFT250919C00530000,6/17/2025 12:25 PM,530,4.55,4.50,4.65,0.00,0.00%,7,2.339,21.08%
MSFT250919C00535000,6/16/2025 3:21 PM,535,3.85,3.75,3.85,0.00,0.00%,7,242,20.91%
MSFT250919C00540000,6/17/2025 1:00 PM,540,3.10,3.05,3.20,0.05,1.64%,12,879,20.81%
MSFT250919C00545000,6/17/2025 12:05 PM,545,2.55,2.55,2.64,-0.25,-8.93%,2,801,20.70%
MSFT250919C00550000,6/16/2025 3:55 PM,550,2.05,2.11,2.17,-0.17,-7.66%,1,2.096,20.62%
MSFT250919C00555000,6/16/2025 1:30 PM,555,1.95,1.75,1.80,0.00,0.00%,3,292,20.61%
MSFT250919C00560000,6/16/2025 3:05 PM,560,1.50,1.47,1.53,0.04,2.74%,2,936,20.73%
MSFT250919C00565000,6/16/2025 3:52 PM,565,1.24,1.21,1.26,0.00,0.00%,21,1.011,20.72%
MSFT250919C00570000,6/16/2025 3:50 PM,570,1.00,1.01,1.06,-0.04,-3.85%,20,3.424,20.81%
MSFT250919C00575000,6/17/2025 12:14 PM,575,0.85,0.85,0.89,-0.04,-4.49%,21,2.531,20.90%
MSFT250919C00580000,6/13/2025 12:41 PM,580,0.71,0.71,0.75,0.00,0.00%,2,303,21.01%
MSFT250919C00585000,6/16/2025 12:52 PM,585,0.67,0.59,0.64,0.00,0.00%,778,795,21.16%
MSFT250919C00590000,2025-09-06 15:59:00,590,0.46,0.49,0.55,0.00,0.00%,1,211,21.34%
MSFT250919C00595000,2025-09-06 13:35:00,595,0.40,0.41,0.46,0.00,0.00%,5,88,21.41%
MSFT250919C00600000,6/17/2025 12:34 PM,600,0.37,0.34,0.39,-0.01,-2.63%,3,2.042,21.53%
MSFT250919C00605000,2025-12-06 12:44:00,605,0.35,0.29,0.33,0.00,0.00%,1,95,21.66%
MSFT250919C00610000,6/16/2025 11:53 AM,610,0.29,0.24,0.29,0.00,0.00%,1,85,21.90%
MSFT250919C00615000,6/16/2025 9:57 AM,615,0.21,0.20,0.25,0.00,0.00%,100,177,22.07%
MSFT250919C00620000,2025-10-06 15:33:00,620,0.16,0.17,0.22,0.00,0.00%,4,588,22.29%
MSFT250919C00625000,5/21/2025 1:34 PM,625,0.19,0.14,0.19,0.00,0.00%,2,344,22.44%
MSFT250919C00630000,2025-10-06 14:02:00,630,0.10,0.12,0.16,0.00,0.00%,2,223,22.53%
MSFT250919C00635000,5/14/2025 3:29 PM,635,0.15,0.10,0.36,0.00,0.00%,1,39,25.62%
MSFT250919C00640000,5/20/2025 3:24 PM,640,0.15,0.08,0.13,0.00,0.00%,8,447,23.07%
MSFT250919C00645000,2025-05-06 15:59:00,645,0.08,0.07,0.11,0.00,0.00%,1,58,23.15%
MSFT250919C00650000,6/16/2025 2:05 PM,650,0.08,0.05,0.10,0.00,0.00%,1,393,23.44%
MSFT250919C00655000,2025-06-06 11:33:00,655,0.09,0.04,0.09,0.00,0.00%,1,61,23.68%
MSFT250919C00660000,6/16/2025 12:00 PM,660,0.05,0.03,0.08,0.00,0.00%,3,833,23.88%
MSFT250919C00680000,6/16/2025 1:00 PM,680,0.01,0.01,0.05,0.00,0.00%,2,760,24.61%
MSFT250919C00685000,5/30/2025 2:30 PM,685,0.04,0.01,0.05,0.00,0.00%,990,406,25.10%
MSFT250919C00690000,5/28/2025 9:37 AM,690,0.04,0.00,0.05,0.00,0.00%,30,321,25.49%
MSFT250919C00695000,6/16/2025 2:40 PM,695,0.03,0.01,0.04,0.00,0.00%,2,559,25.39%
MSFT250919C00700000,2025-06-06 12:08:00,700,0.02,0.00,0.04,0.00,0.00%,1,1.071,25.88%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250919P00180000,6/16/2025 1:22 PM,180,0.02,0.00,0.04,0.00,0.00%,10,157,60.55%
MSFT250919P00185000,5/15/2025 11:00 AM,185,0.03,0.00,0.06,0.00,0.00%,25,36,60.94%
MSFT250919P00190000,5/27/2025 10:35 AM,190,0.04,0.00,0.05,0.00,0.00%,8,45,58.59%
MSFT250919P00195000,5/15/2025 10:59 AM,195,0.05,0.01,0.28,0.00,0.00%,20,33,67.09%
MSFT250919P00200000,6/16/2025 1:21 PM,200,0.03,0.01,0.06,0.00,0.00%,25,453,57.03%
MSFT250919P00210000,6/16/2025 2:03 PM,210,0.04,0.04,0.06,0.00,0.00%,20,959,55.66%
MSFT250919P00220000,6/17/2025 12:38 PM,220,0.05,0.04,0.08,-0.02,-28.57%,20,476,53.52%
MSFT250919P00230000,6/17/2025 12:39 PM,230,0.06,0.06,0.08,-0.04,-40.00%,20,436,51.37%
MSFT250919P00240000,6/17/2025 12:39 PM,240,0.10,0.08,0.12,0.02,25.00%,20,274,50.39%
MSFT250919P00250000,6/16/2025 3:41 PM,250,0.11,0.10,0.15,0.00,0.00%,15,493,49.71%
MSFT250919P00260000,2025-10-06 15:05:00,260,0.25,0.14,0.18,0.00,0.00%,1,739,47.85%
MSFT250919P00270000,6/16/2025 1:01 PM,270,0.18,0.18,0.23,0.00,0.00%,10,998,46.44%
MSFT250919P00280000,2025-11-06 10:20:00,280,0.27,0.24,0.28,-0.06,-18.18%,2,545,44.82%
MSFT250919P00290000,6/16/2025 2:30 PM,290,0.32,0.31,0.35,0.00,0.00%,19,1.736,43.38%
MSFT250919P00300000,6/17/2025 11:02 AM,300,0.42,0.39,0.43,0.03,7.69%,1,2.75,41.90%
MSFT250919P00310000,6/16/2025 12:58 PM,310,0.48,0.48,0.53,0.00,0.00%,1,1.907,40.45%
MSFT250919P00320000,6/17/2025 11:32 AM,320,0.62,0.61,0.65,0.03,5.08%,1,4.791,39.01%
MSFT250919P00330000,6/17/2025 11:50 AM,330,0.74,0.74,0.79,0.02,2.78%,20,2.415,37.54%
MSFT250919P00340000,6/16/2025 12:58 PM,340,0.93,0.92,0.96,0.06,6.90%,6,4.165,36.08%
MSFT250919P00350000,6/17/2025 9:35 AM,350,1.22,1.12,1.17,0.11,9.91%,7,3.442,34.67%
MSFT250919P00360000,6/17/2025 12:27 PM,360,1.36,1.39,1.43,0.06,4.62%,4,5.845,33.29%
MSFT250919P00370000,6/17/2025 12:43 PM,370,1.66,1.70,1.75,0.03,1.84%,2,6.249,31.92%
MSFT250919P00380000,6/17/2025 12:54 PM,380,2.11,2.11,2.17,0.12,6.03%,13,3.319,30.65%
MSFT250919P00390000,6/17/2025 10:03 AM,390,2.72,2.61,2.69,0.25,10.12%,32,3.454,29.39%
MSFT250919P00400000,6/17/2025 9:42 AM,400,3.40,3.25,3.35,0.30,9.68%,3,4.825,28.16%
MSFT250919P00410000,6/17/2025 10:18 AM,410,4.15,4.10,4.20,0.20,5.06%,2,2.821,27.00%
MSFT250919P00420000,6/17/2025 12:32 PM,420,5.04,5.15,5.30,0.14,2.86%,18,3.049,25.90%
MSFT250919P00430000,6/17/2025 12:26 PM,430,6.55,6.45,6.70,0.27,4.30%,11,3.096,24.85%
MSFT250919P00440000,6/17/2025 11:11 AM,440,8.20,8.35,8.45,0.40,5.13%,21,3.609,23.79%
MSFT250919P00450000,6/17/2025 12:56 PM,450,10.47,10.50,10.65,0.47,4.70%,59,3.643,22.77%
MSFT250919P00460000,6/17/2025 12:56 PM,460,13.20,13.15,13.30,0.58,4.60%,35,2.195,21.67%
MSFT250919P00465000,6/17/2025 12:56 PM,465,14.80,14.70,14.95,0.50,3.50%,36,930,21.22%
MSFT250919P00470000,6/17/2025 12:52 PM,470,16.45,16.65,16.75,0.70,4.44%,60,655,20.76%
MSFT250919P00475000,6/17/2025 12:55 PM,475,18.51,18.50,18.65,0.90,5.11%,181,528,20.21%
MSFT250919P00480000,6/17/2025 12:59 PM,480,20.80,20.65,20.90,0.85,4.26%,34,286,19.82%
MSFT250919P00485000,6/17/2025 12:17 PM,485,23.05,22.90,23.10,0.95,4.30%,11,50,19.16%
MSFT250919P00490000,6/17/2025 12:32 PM,490,24.94,25.60,25.85,1.24,5.23%,15,936,18.85%
MSFT250919P00495000,6/17/2025 11:29 AM,495,28.25,28.25,28.50,1.25,4.63%,2,12,18.20%
MSFT250919P00500000,6/17/2025 12:58 PM,500,31.05,31.25,31.70,0.98,3.26%,1,262,17.90%
MSFT250919P00505000,2025-09-06 11:14:00,505,39.17,34.35,35.20,0.00,0.00%,2,29,17.70%
MSFT250919P00510000,6/13/2025 12:22 PM,510,37.72,37.25,38.25,0.00,0.00%,12,47,16.65%
