Calls,"Jun 17, 2025 8:18pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA250815C00005000,2025-12-06 13:19:00,5,139.32,139.30,140.60,0.00,0.00%,10,2.346,471.48%
NVDA250815C00010000,2025-10-06 11:28:00,10,132.85,133.45,136.55,0.00,0.00%,1,49,362.89%
NVDA250815C00015000,6/16/2025 9:30 AM,15,128.42,128.50,131.60,0.00,0.00%,10,45,306.64%
NVDA250815C00020000,5/15/2025 10:36 AM,20,113.29,120.45,123.45,0.00,0.00%,1,10,0.00%
NVDA250815C00025000,2025-04-06 10:44:00,25,116.16,118.20,121.25,0.00,0.00%,2,52,210.55%
NVDA250815C00030000,2025-09-06 15:09:00,30,113.18,113.45,116.40,0.00,0.00%,10,30,203.13%
NVDA250815C00035000,2025-11-06 09:42:00,35,109.27,108.50,111.70,0.00,0.00%,3,29,192.77%
NVDA250815C00040000,6/16/2025 11:07 AM,40,106.00,103.80,105.45,0.00,0.00%,10,108,147.46%
NVDA250815C00045000,2025-11-06 15:37:00,45,97.92,98.70,101.70,0.00,0.00%,3,93,163.97%
NVDA250815C00050000,6/16/2025 11:43 AM,50,94.82,94.35,95.40,-1.24,-1.29%,11,350,137.21%
NVDA250815C00055000,2025-04-06 09:53:00,55,86.58,88.95,91.35,0.00,0.00%,1,445,136.08%
NVDA250815C00060000,6/16/2025 11:07 AM,60,86.25,84.75,86.00,0.00,0.00%,1,560,131.35%
NVDA250815C00065000,2025-09-06 14:48:00,65,78.63,79.70,80.80,0.00,0.00%,12,440,117.43%
NVDA250815C00070000,6/16/2025 3:53 PM,70,75.00,74.65,75.60,0.00,0.00%,71,3.933,104.49%
NVDA250815C00075000,6/16/2025 3:54 PM,75,70.00,70.00,71.00,0.00,0.00%,3,672,104.10%
NVDA250815C00080000,6/16/2025 12:56 PM,80,65.80,64.55,65.60,-0.75,-1.13%,10,2.215,86.23%
NVDA250815C00085000,6/16/2025 3:58 PM,85,60.28,59.75,61.05,0.00,0.00%,23,1.397,85.16%
NVDA250815C00090000,6/17/2025 10:11 AM,90,55.78,55.00,55.95,-0.52,-0.92%,6,1.927,78.64%
NVDA250815C00095000,6/17/2025 12:48 PM,95,50.78,49.85,51.10,0.31,0.61%,11,4.176,71.17%
NVDA250815C00100000,6/17/2025 1:44 PM,100,46.02,45.35,46.20,0.13,0.28%,27,9.34,67.99%
NVDA250815C00105000,6/17/2025 11:49 AM,105,41.09,40.30,41.45,-0.23,-0.56%,12,5.46,61.95%
NVDA250815C00110000,6/17/2025 1:38 PM,110,36.20,35.75,36.50,-0.15,-0.41%,31,15.347,57.42%
NVDA250815C00115000,6/17/2025 12:09 PM,115,31.95,31.40,31.80,0.44,1.40%,22,25.736,54.42%
NVDA250815C00120000,6/17/2025 1:39 PM,120,27.40,27.25,27.40,0.20,0.74%,110,18.867,52.37%
NVDA250815C00125000,6/17/2025 1:14 PM,125,23.20,22.90,23.00,0.18,0.78%,605,23.166,48.89%
NVDA250815C00130000,6/17/2025 1:33 PM,130,19.20,18.85,19.00,0.41,2.18%,260,25.446,46.29%
NVDA250815C00135000,6/17/2025 1:39 PM,135,15.45,15.20,15.30,0.44,2.93%,277,19.82,43.96%
NVDA250815C00140000,6/17/2025 1:32 PM,140,12.12,12.00,12.05,0.23,1.93%,1.33,40.157,42.25%
NVDA250815C00145000,6/17/2025 1:44 PM,145,9.15,9.20,9.25,0.15,1.67%,1.914,26.719,40.89%
NVDA250815C00150000,6/17/2025 1:47 PM,150,6.75,6.70,6.75,0.05,0.75%,2.24,48.752,39.08%
NVDA250815C00155000,6/17/2025 1:40 PM,155,4.95,4.85,4.90,0.15,3.12%,496,36.964,38.29%
NVDA250815C00160000,6/17/2025 1:42 PM,160,3.48,3.40,3.50,0.13,3.88%,650,53.889,37.84%
NVDA250815C00165000,6/17/2025 1:43 PM,165,2.40,2.38,2.40,0.05,2.13%,624,22.166,37.22%
NVDA250815C00170000,6/17/2025 1:45 PM,170,1.66,1.65,1.67,0.02,1.22%,815,31.893,37.18%
NVDA250815C00175000,6/17/2025 1:30 PM,175,1.17,1.15,1.17,0.03,2.63%,292,11.934,37.40%
NVDA250815C00180000,6/17/2025 1:28 PM,180,0.83,0.81,0.82,0.02,2.47%,112,22.481,37.70%
NVDA250815C00185000,6/17/2025 12:50 PM,185,0.58,0.58,0.60,0.00,0.00%,27,4.86,38.38%
NVDA250815C00190000,6/17/2025 1:23 PM,190,0.43,0.43,0.45,-0.01,-2.27%,6,11.354,39.21%
NVDA250815C00195000,6/17/2025 12:29 PM,195,0.34,0.33,0.34,-0.02,-5.56%,62,5.478,40.04%
NVDA250815C00200000,6/17/2025 1:24 PM,200,0.27,0.26,0.27,0.01,3.85%,126,18.943,41.11%
NVDA250815C00210000,6/16/2025 1:50 PM,210,0.17,0.17,0.18,-0.01,-5.56%,2,2.578,43.36%
NVDA250815C00220000,6/16/2025 3:59 PM,220,0.12,0.11,0.12,0.01,9.09%,1,2.787,45.22%
NVDA250815C00230000,6/16/2025 12:45 PM,230,0.08,0.08,0.09,0.00,0.00%,3,1.423,47.46%
NVDA250815C00240000,6/16/2025 12:13 PM,240,0.07,0.06,0.07,0.00,0.00%,1,1.702,49.71%
NVDA250815C00250000,6/17/2025 12:47 PM,250,0.05,0.04,0.06,0.01,25.00%,1,3.303,51.17%
NVDA250815C00260000,6/17/2025 12:37 PM,260,0.04,0.03,0.05,-0.01,-20.00%,13,1.629,53.13%
NVDA250815C00270000,6/17/2025 9:30 AM,270,0.04,0.03,0.04,0.00,0.00%,5,7.507,55.47%
NVDA250815C00280000,6/17/2025 10:15 AM,280,0.03,0.02,0.03,0.00,0.00%,22,3.029,56.25%
NVDA250815C00290000,6/17/2025 1:21 PM,290,0.02,0.02,0.03,0.00,0.00%,155,8.411,58.98%
NVDA250815C00300000,6/17/2025 9:43 AM,300,0.02,0.01,0.02,0.00,0.00%,106,39.462,58.59%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA250815P00005000,5/22/2025 9:33 AM,5,0.01,0.00,0.01,0.00,0.00%,1,169,262.50%
NVDA250815P00010000,2025-06-06 09:30:00,10,0.01,0.00,0.01,0.00,0.00%,3,785,206.25%
NVDA250815P00015000,2025-09-05 09:41:00,15,0.01,0.00,0.01,0.00,0.00%,1,3.568,175.00%
NVDA250815P00020000,2025-09-06 13:03:00,20,0.01,0.00,0.01,0.00,0.00%,11,4.309,150.00%
NVDA250815P00025000,5/29/2025 11:32 AM,25,0.02,0.00,0.01,0.00,0.00%,40,3.378,131.25%
NVDA250815P00030000,2025-10-06 12:11:00,30,0.02,0.00,0.01,0.00,0.00%,1,1.835,118.75%
NVDA250815P00035000,6/16/2025 1:14 PM,35,0.01,0.01,0.02,0.00,0.00%,2.166,4.32,118.75%
NVDA250815P00040000,6/17/2025 10:12 AM,40,0.01,0.01,0.02,-0.02,-66.67%,1,848,107.81%
NVDA250815P00045000,6/13/2025 9:57 AM,45,0.03,0.02,0.03,0.00,0.00%,1,1.033,102.34%
NVDA250815P00050000,6/17/2025 10:28 AM,50,0.03,0.03,0.04,0.00,0.00%,65,66.666,96.88%
NVDA250815P00055000,6/17/2025 11:30 AM,55,0.04,0.03,0.04,0.00,0.00%,151,2.843,88.67%
NVDA250815P00060000,6/17/2025 12:30 PM,60,0.05,0.04,0.05,0.00,0.00%,5,5.89,83.20%
NVDA250815P00065000,6/17/2025 9:30 AM,65,0.06,0.06,0.07,0.00,0.00%,8,3.999,79.30%
NVDA250815P00070000,6/17/2025 10:22 AM,70,0.09,0.08,0.09,0.00,0.00%,101,9.737,74.80%
NVDA250815P00075000,6/17/2025 10:15 AM,75,0.11,0.10,0.11,-0.01,-8.33%,509,9.208,70.02%
NVDA250815P00080000,6/17/2025 12:16 PM,80,0.14,0.13,0.14,0.00,0.00%,68,49.039,65.82%
NVDA250815P00085000,6/17/2025 10:30 AM,85,0.19,0.18,0.19,0.01,5.56%,6,25.251,62.50%
NVDA250815P00090000,6/17/2025 1:32 PM,90,0.24,0.23,0.24,-0.01,-4.00%,107,26.771,58.59%
NVDA250815P00095000,6/17/2025 1:30 PM,95,0.32,0.31,0.32,0.00,0.00%,41,27.051,55.32%
NVDA250815P00100000,6/17/2025 1:35 PM,100,0.44,0.43,0.45,0.01,2.33%,159,35.982,52.54%
NVDA250815P00105000,6/17/2025 1:24 PM,105,0.59,0.60,0.61,-0.01,-1.67%,106,35.676,49.85%
NVDA250815P00110000,6/17/2025 1:10 PM,110,0.84,0.85,0.87,0.02,2.44%,671,39.936,47.58%
NVDA250815P00115000,6/17/2025 1:40 PM,115,1.17,1.18,1.21,-0.01,-0.85%,232,36.229,45.17%
NVDA250815P00120000,6/17/2025 1:39 PM,120,1.65,1.70,1.72,-0.01,-0.60%,692,37.597,43.19%
NVDA250815P00125000,6/17/2025 1:45 PM,125,2.41,2.41,2.44,0.05,2.12%,2.37,27.171,41.42%
NVDA250815P00130000,6/17/2025 1:31 PM,130,3.31,3.30,3.40,-0.05,-1.49%,1.416,37.838,39.64%
NVDA250815P00135000,6/17/2025 1:44 PM,135,4.65,4.65,4.70,0.04,0.87%,304,24.867,38.05%
NVDA250815P00140000,6/17/2025 1:41 PM,140,6.26,6.35,6.40,0.01,0.16%,960,29.267,36.60%
NVDA250815P00145000,6/17/2025 1:47 PM,145,8.50,8.50,8.55,0.00,0.00%,499,14.482,35.22%
NVDA250815P00150000,6/17/2025 1:42 PM,150,10.98,11.05,11.15,-0.13,-1.17%,149,11.919,33.75%
NVDA250815P00155000,6/17/2025 12:39 PM,155,13.95,14.25,14.35,-0.29,-2.04%,496,2.793,32.80%
NVDA250815P00160000,6/17/2025 1:42 PM,160,17.67,17.70,17.90,-0.13,-0.73%,109,1.003,31.30%
NVDA250815P00165000,6/17/2025 12:47 PM,165,21.65,21.70,21.90,-0.15,-0.69%,73,570,29.88%
NVDA250815P00170000,6/17/2025 1:46 PM,170,26.25,26.05,26.40,0.85,3.35%,39,299,29.88%
NVDA250815P00175000,6/17/2025 1:02 PM,175,31.01,30.55,30.90,1.44,4.87%,17,82,27.03%
NVDA250815P00180000,6/17/2025 1:28 PM,180,35.20,35.25,35.80,0.62,1.79%,7,114,27.93%
NVDA250815P00185000,6/16/2025 12:29 PM,185,39.08,40.05,40.70,0.00,0.00%,2,74,27.25%
NVDA250815P00190000,6/16/2025 12:29 PM,190,44.01,45.10,45.70,0.00,0.00%,2,2,29.69%
NVDA250815P00195000,5/30/2025 9:31 AM,195,55.63,50.05,50.70,0.00,0.00%,10,0,32.13%
NVDA250815P00200000,6/16/2025 3:54 PM,200,55.61,55.05,55.70,0.11,0.20%,1,2,34.38%
NVDA250815P00210000,2025-12-06 10:29:00,210,65.90,65.20,65.75,0.00,0.00%,10,0,41.31%
NVDA250815P00220000,1/27/2025 3:33 PM,220,102.15,94.05,95.75,0.00,0.00%,6,0,168.10%
NVDA250815P00230000,1/23/2025 9:59 AM,230,85.15,95.10,96.40,0.00,0.00%,2,1,132.03%
NVDA250815P00240000,4/16/2025 3:41 PM,240,137.55,104.35,105.15,0.00,0.00%,23,0,133.09%
NVDA250815P00250000,1/23/2025 9:35 AM,250,105.55,114.90,116.65,0.00,0.00%,10,0,144.45%
NVDA250815P00260000,1/23/2025 9:35 AM,260,115.50,124.95,126.65,0.00,0.00%,10,0,150.17%
NVDA250815P00270000,2024-03-12 13:50:00,270,130.85,124.90,126.15,0.00,0.00%,-,0,77.42%
NVDA250815P00280000,2025-08-05 15:36:00,280,161.81,138.00,138.65,0.00,0.00%,-,0,110.33%
NVDA250815P00290000,2025-08-05 15:36:00,290,171.83,148.05,148.65,0.00,0.00%,1,0,114.64%
NVDA250815P00300000,6/13/2025 9:50 AM,300,156.75,155.05,155.65,0.00,0.00%,-,0,62.50%
