Calls,"Jun 17, 2025 8:27pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA271217C00005000,6/17/2025 11:59 AM,5,140.75,139.75,140.90,0.45,0.32%,68,411,139.80%
NVDA271217C00010000,6/13/2025 3:43 PM,10,133.50,134.65,138.00,0.00,0.00%,5,150,122.90%
NVDA271217C00015000,2025-11-06 12:50:00,15,130.35,130.25,133.65,0.00,0.00%,39,100,108.30%
NVDA271217C00020000,6/16/2025 3:28 PM,20,128.10,126.20,128.50,0.00,0.00%,9,349,96.48%
NVDA271217C00025000,6/16/2025 11:39 AM,25,124.64,121.65,124.50,0.00,0.00%,16,325,90.17%
NVDA271217C00030000,6/17/2025 9:40 AM,30,119.40,117.80,120.10,-1.01,-0.84%,3,511,85.77%
NVDA271217C00035000,6/17/2025 9:38 AM,35,115.25,113.60,115.70,0.25,0.22%,2,1.006,80.90%
NVDA271217C00040000,6/13/2025 12:25 PM,40,109.42,109.70,112.15,0.00,0.00%,1,283,79.08%
NVDA271217C00045000,2025-12-06 12:02:00,45,106.46,105.40,107.40,0.00,0.00%,1,354,74.06%
NVDA271217C00050000,6/16/2025 3:51 PM,50,102.47,101.60,103.50,0.00,0.00%,2,912,71.90%
NVDA271217C00055000,6/16/2025 3:32 PM,55,99.00,97.80,99.75,0.00,0.00%,3,1.426,69.95%
NVDA271217C00060000,6/17/2025 12:42 PM,60,95.40,94.35,95.95,-0.55,-0.57%,7,1.414,68.37%
NVDA271217C00065000,6/16/2025 9:50 AM,65,91.63,90.50,91.95,0.83,0.91%,10,527,65.95%
NVDA271217C00070000,6/17/2025 1:51 PM,70,87.50,86.90,88.30,-0.20,-0.23%,31,6.205,64.30%
NVDA271217C00075000,6/16/2025 1:35 PM,75,85.09,83.25,84.85,0.00,0.00%,12,2.31,62.77%
NVDA271217C00080000,6/17/2025 1:38 PM,80,81.95,79.90,81.45,0.95,1.17%,28,2.409,61.54%
NVDA271217C00085000,6/17/2025 1:38 PM,85,78.64,77.30,77.65,1.09,1.41%,22,988,60.55%
NVDA271217C00090000,6/17/2025 9:44 AM,90,74.10,74.10,74.40,-0.40,-0.54%,1,2.377,59.43%
NVDA271217C00095000,6/17/2025 1:18 PM,95,71.60,71.10,71.40,0.15,0.21%,1,7.263,58.60%
NVDA271217C00100000,6/17/2025 1:38 PM,100,68.94,68.15,68.55,0.79,1.16%,102,14.16,57.83%
NVDA271217C00105000,6/17/2025 1:38 PM,105,66.00,65.30,65.60,0.35,0.53%,30,4.092,56.97%
NVDA271217C00110000,6/17/2025 1:24 PM,110,63.03,62.45,62.80,-0.27,-0.43%,6,10.872,56.14%
NVDA271217C00115000,6/17/2025 12:43 PM,115,60.50,59.85,60.20,0.33,0.55%,12,4.004,55.54%
NVDA271217C00120000,6/17/2025 1:24 PM,120,57.85,57.30,57.60,0.15,0.26%,92,8.881,54.89%
NVDA271217C00125000,6/17/2025 1:56 PM,125,55.08,55.00,55.15,-0.06,-0.11%,55,6.063,54.42%
NVDA271217C00130000,6/17/2025 1:15 PM,130,52.76,52.50,52.95,-0.29,-0.55%,70,7.485,53.89%
NVDA271217C00135000,6/17/2025 12:52 PM,135,50.55,50.30,50.70,0.12,0.24%,12,5.481,53.43%
NVDA271217C00140000,6/17/2025 12:06 PM,140,48.40,48.10,48.45,0.25,0.52%,38,6.962,52.90%
NVDA271217C00145000,6/17/2025 1:47 PM,145,46.24,46.05,46.35,0.18,0.39%,50,4.584,52.47%
NVDA271217C00150000,6/17/2025 1:52 PM,150,44.20,44.10,44.40,0.10,0.23%,88,10.89,52.11%
NVDA271217C00155000,6/17/2025 1:55 PM,155,42.32,42.25,42.40,0.04,0.09%,67,17.501,51.71%
NVDA271217C00160000,6/17/2025 1:38 PM,160,40.90,40.40,40.75,0.35,0.86%,30,3.435,51.44%
NVDA271217C00165000,6/17/2025 11:07 AM,165,39.00,38.70,39.05,-0.64,-1.61%,2,2.686,51.16%
NVDA271217C00170000,6/17/2025 1:53 PM,170,37.20,37.10,37.35,-0.10,-0.27%,7,3.2,50.87%
NVDA271217C00175000,6/16/2025 11:32 AM,175,36.22,35.50,35.80,0.00,0.00%,3,1.52,50.59%
NVDA271217C00180000,6/17/2025 1:15 PM,180,34.40,34.05,34.30,-0.08,-0.23%,9,2.819,50.37%
NVDA271217C00185000,6/16/2025 3:10 PM,185,33.09,32.65,32.90,0.08,0.24%,20,979,50.17%
NVDA271217C00190000,6/17/2025 11:51 AM,190,31.75,31.40,31.60,0.25,0.79%,44,3.897,50.06%
NVDA271217C00195000,6/17/2025 10:44 AM,195,30.53,30.05,30.25,0.43,1.43%,146,4.155,49.91%
NVDA271217C00200000,6/17/2025 1:53 PM,200,29.06,28.90,29.10,-0.04,-0.14%,78,19.412,49.82%
NVDA271217C00210000,6/17/2025 11:14 AM,210,26.83,26.65,26.90,-0.14,-0.52%,31,6.327,49.61%
NVDA271217C00220000,6/17/2025 1:32 PM,220,24.90,24.65,24.90,0.23,0.93%,17,5.828,49.43%
NVDA271217C00230000,6/17/2025 1:01 PM,230,22.90,22.80,23.10,-0.27,-1.17%,16,23.599,49.30%
NVDA271217C00240000,6/16/2025 3:25 PM,240,21.45,21.15,21.35,0.00,0.00%,78,3.54,49.08%
NVDA271217C00250000,6/17/2025 11:48 AM,250,19.80,19.70,19.90,0.08,0.41%,41,1.137,49.05%
NVDA271217C00260000,6/17/2025 11:33 AM,260,18.31,18.30,18.60,-0.39,-2.09%,3,730,49.06%
NVDA271217C00270000,6/17/2025 1:32 PM,270,17.25,17.05,17.20,0.11,0.64%,61,5.466,48.83%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA271217P00005000,6/17/2025 10:00 AM,5,0.05,0.05,0.09,0.00,0.00%,10,541,86.72%
NVDA271217P00010000,6/16/2025 11:28 AM,10,0.14,0.10,0.16,0.00,0.00%,500,628,72.56%
NVDA271217P00015000,2025-11-06 12:46:00,15,0.27,0.24,0.30,0.00,0.00%,1,457,67.43%
NVDA271217P00020000,6/13/2025 10:55 AM,20,0.47,0.42,0.49,0.00,0.00%,13,725,63.53%
NVDA271217P00025000,6/16/2025 1:42 PM,25,0.65,0.64,0.72,0.00,0.00%,5,414,60.25%
NVDA271217P00030000,6/17/2025 1:18 PM,30,0.97,0.92,1.01,-0.04,-3.96%,100,381,57.69%
NVDA271217P00035000,6/13/2025 3:24 PM,35,1.35,1.24,1.33,0.00,0.00%,3,2.089,55.27%
NVDA271217P00040000,6/16/2025 3:15 PM,40,1.66,1.64,1.72,0.00,0.00%,21,499,53.32%
NVDA271217P00045000,6/16/2025 2:17 PM,45,2.10,2.10,2.18,0.00,0.00%,3,3.574,51.59%
NVDA271217P00050000,6/17/2025 11:31 AM,50,2.65,2.64,2.75,0.00,0.00%,31,7.443,50.16%
NVDA271217P00055000,6/16/2025 11:33 AM,55,3.25,3.25,3.40,0.00,0.00%,1,5.314,49.16%
NVDA271217P00060000,6/17/2025 1:38 PM,60,4.03,4.05,4.15,0.08,2.03%,22,17.442,48.04%
NVDA271217P00065000,6/17/2025 10:32 AM,65,4.83,4.85,5.00,-0.07,-1.43%,1,1.015,47.03%
NVDA271217P00070000,6/17/2025 1:44 PM,70,5.82,5.80,5.90,0.07,1.22%,560,9.02,45.96%
NVDA271217P00075000,6/17/2025 1:53 PM,75,6.92,6.85,6.95,0.12,1.76%,570,17.21,45.10%
NVDA271217P00080000,6/17/2025 11:48 AM,80,8.05,8.05,8.25,0.05,0.63%,34,18.981,44.62%
NVDA271217P00085000,6/17/2025 12:41 PM,85,9.33,9.35,9.50,0.03,0.32%,13,8.939,43.81%
NVDA271217P00090000,6/17/2025 12:32 PM,90,10.75,10.75,10.95,0.07,0.66%,1.056,29.314,43.21%
NVDA271217P00095000,6/17/2025 11:56 AM,95,12.25,12.25,12.35,0.13,1.07%,114,3.777,42.35%
NVDA271217P00100000,6/17/2025 1:51 PM,100,14.00,13.90,14.10,0.12,0.86%,14,28.137,41.94%
NVDA271217P00105000,6/17/2025 1:19 PM,105,15.61,15.65,15.80,0.06,0.39%,7,2.365,41.27%
NVDA271217P00110000,6/17/2025 1:19 PM,110,17.41,17.50,17.65,-0.05,-0.29%,22,9.429,40.69%
NVDA271217P00115000,6/17/2025 1:52 PM,115,19.60,19.45,19.60,0.22,1.14%,208,6.248,40.11%
NVDA271217P00120000,6/17/2025 12:55 PM,120,21.60,21.55,21.70,0.12,0.56%,10,3.581,39.60%
NVDA271217P00125000,6/17/2025 12:09 PM,125,23.65,23.75,23.95,0.00,0.00%,1,3.056,39.15%
NVDA271217P00130000,6/16/2025 3:53 PM,130,25.97,26.05,26.35,-0.01,-0.04%,1,3.81,38.76%
NVDA271217P00135000,6/17/2025 10:22 AM,135,28.65,28.45,28.80,0.17,0.60%,12,1.993,38.30%
NVDA271217P00140000,6/17/2025 10:57 AM,140,31.09,30.95,31.35,0.14,0.45%,7,13.298,37.85%
NVDA271217P00145000,6/17/2025 1:02 PM,145,33.65,33.60,33.90,0.39,1.17%,24,1.32,37.27%
NVDA271217P00150000,6/17/2025 11:07 AM,150,36.25,36.40,36.75,0.12,0.33%,3,1.728,36.94%
NVDA271217P00155000,6/16/2025 11:22 AM,155,39.20,39.20,39.65,0.44,1.14%,1,229,36.55%
NVDA271217P00160000,6/17/2025 11:26 AM,160,41.90,42.15,42.60,-0.15,-0.36%,1,761,36.10%
NVDA271217P00165000,6/16/2025 11:43 AM,165,45.25,45.20,45.65,0.61,1.37%,1,84,35.67%
NVDA271217P00170000,6/17/2025 11:57 AM,170,48.32,48.30,48.80,0.00,0.00%,52,142,35.24%
NVDA271217P00175000,6/17/2025 11:57 AM,175,51.54,51.60,52.10,0.09,0.17%,50,332,34.89%
NVDA271217P00180000,6/13/2025 2:53 PM,180,54.80,54.90,55.30,-2.17,-3.81%,1,1.124,34.32%
NVDA271217P00185000,6/16/2025 10:41 AM,185,58.46,58.30,59.00,0.00,0.00%,1,31,34.21%
NVDA271217P00190000,6/16/2025 1:59 PM,190,61.50,61.85,62.35,0.00,0.00%,524,534,33.62%
NVDA271217P00195000,2025-10-06 14:31:00,195,66.81,65.40,66.10,0.00,0.00%,16,21,33.39%
NVDA271217P00200000,6/16/2025 2:34 PM,200,68.76,69.15,69.70,0.00,0.00%,1,2.853,32.90%
NVDA271217P00210000,6/13/2025 1:31 PM,210,78.21,76.65,77.30,0.00,0.00%,15,25,32.10%
NVDA271217P00220000,6/16/2025 1:59 PM,220,84.10,84.60,85.20,0.00,0.00%,1,539,31.31%
NVDA271217P00230000,6/13/2025 2:53 PM,230,95.37,92.65,93.35,0.00,0.00%,38,660,30.48%
NVDA271217P00240000,6/16/2025 12:44 PM,240,100.40,100.90,101.70,0.00,0.00%,1,2,29.56%
NVDA271217P00250000,6/16/2025 11:33 AM,250,108.97,109.25,111.60,0.00,0.00%,2,28,30.83%
NVDA271217P00260000,6/17/2025 10:51 AM,260,118.56,117.40,119.60,-1.69,-1.41%,1,24,28.61%
NVDA271217P00270000,6/17/2025 10:51 AM,270,127.53,127.05,128.50,0.98,0.77%,3,254,27.46%
