Calls,"Jun 17, 2025 8:16pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA250718C00005000,2025-09-06 13:21:00,5,138.19,139.10,140.70,0.00,0.00%,2,98,619.53%
NVDA250718C00010000,2025-09-06 14:49:00,10,133.00,134.25,135.80,0.00,0.00%,29,40,492.19%
NVDA250718C00015000,2025-12-06 10:52:00,15,129.75,129.40,130.25,0.00,0.00%,19,383,382.42%
NVDA250718C00020000,6/16/2025 12:23 PM,20,126.09,124.35,125.20,0.00,0.00%,10,1.664,324.80%
NVDA250718C00025000,2025-11-06 13:37:00,25,118.79,119.55,120.20,0.00,0.00%,1.314,1.605,299.61%
NVDA250718C00030000,6/16/2025 1:49 PM,30,115.68,114.20,115.80,0.00,0.00%,1,209,279.88%
NVDA250718C00035000,2025-12-06 13:14:00,35,109.50,109.30,110.85,0.00,0.00%,17,108,258.59%
NVDA250718C00040000,2025-10-06 15:59:00,40,104.00,104.30,105.85,0.00,0.00%,5,143,235.16%
NVDA250718C00045000,5/21/2025 1:26 PM,45,89.18,99.65,100.55,0.00,0.00%,20,40,216.11%
NVDA250718C00050000,6/16/2025 1:38 PM,50,95.67,94.40,95.20,0.00,0.00%,9,398,178.91%
NVDA250718C00055000,6/16/2025 10:28 AM,55,89.70,89.75,90.60,0.00,0.00%,1,414,185.06%
NVDA250718C00060000,6/17/2025 11:43 AM,60,84.85,84.70,85.15,-0.40,-0.47%,12,423,157.72%
NVDA250718C00065000,2025-09-06 14:59:00,65,78.31,79.60,80.35,0.00,0.00%,9,708,147.07%
NVDA250718C00070000,6/17/2025 10:58 AM,70,74.75,74.75,75.30,-0.25,-0.33%,2,931,137.01%
NVDA250718C00075000,6/16/2025 11:49 AM,75,70.99,69.55,70.35,0.00,0.00%,4,1.248,122.36%
NVDA250718C00080000,6/16/2025 3:39 PM,80,64.97,64.75,65.35,0.00,0.00%,18,1.486,115.43%
NVDA250718C00085000,6/17/2025 11:35 AM,85,59.65,59.75,60.40,-1.30,-2.13%,20,1.727,105.91%
NVDA250718C00090000,6/17/2025 9:59 AM,90,54.80,54.75,55.50,-1.61,-2.85%,2,11.424,97.56%
NVDA250718C00095000,6/17/2025 12:48 PM,95,50.26,49.90,50.60,-0.99,-1.93%,4,4.174,91.21%
NVDA250718C00100000,6/17/2025 1:44 PM,100,45.15,45.15,45.45,0.05,0.11%,110,10.54,83.01%
NVDA250718C00105000,6/17/2025 11:29 AM,105,40.20,40.05,40.85,0.04,0.10%,12,31.433,76.83%
NVDA250718C00110000,6/17/2025 12:43 PM,110,35.66,35.10,35.70,-0.29,-0.81%,12,32.184,66.99%
NVDA250718C00115000,6/17/2025 1:38 PM,115,30.70,30.30,30.75,0.34,1.12%,31,21.499,60.23%
NVDA250718C00120000,6/17/2025 1:30 PM,120,25.85,25.70,25.85,0.18,0.70%,5.06,85.885,54.79%
NVDA250718C00125000,6/17/2025 1:24 PM,125,21.51,21.05,21.20,0.59,2.82%,133,41.02,50.38%
NVDA250718C00130000,6/17/2025 1:38 PM,130,16.90,16.70,16.80,0.40,2.42%,1.166,104.499,46.17%
NVDA250718C00135000,6/17/2025 1:45 PM,135,12.70,12.65,12.75,0.29,2.32%,882,45.23,42.79%
NVDA250718C00140000,6/17/2025 1:42 PM,140,9.16,9.10,9.15,0.16,1.78%,1.998,43.509,39.93%
NVDA250718C00145000,6/17/2025 1:44 PM,145,6.09,6.05,6.10,0.21,3.57%,9.558,58.96,37.34%
NVDA250718C00150000,6/17/2025 1:45 PM,150,3.80,3.80,3.85,0.07,1.88%,7.729,90.374,35.93%
NVDA250718C00155000,6/17/2025 1:44 PM,155,2.16,2.18,2.20,0.02,0.93%,7.706,45.083,34.40%
NVDA250718C00160000,6/17/2025 1:44 PM,160,1.18,1.18,1.19,-0.02,-1.65%,6.019,54.304,33.59%
NVDA250718C00165000,6/17/2025 1:44 PM,165,0.64,0.64,0.65,0.00,0.00%,2.377,20.19,33.69%
NVDA250718C00170000,6/17/2025 1:39 PM,170,0.37,0.35,0.36,0.00,0.00%,385,18.182,34.18%
NVDA250718C00175000,6/17/2025 1:31 PM,175,0.23,0.22,0.23,0.00,0.00%,382,13.964,35.69%
NVDA250718C00180000,6/17/2025 1:09 PM,180,0.16,0.15,0.16,0.02,14.29%,225,10.151,37.50%
NVDA250718C00185000,6/17/2025 1:09 PM,185,0.11,0.11,0.12,0.00,0.00%,329,5.992,39.60%
NVDA250718C00190000,6/17/2025 12:51 PM,190,0.09,0.08,0.09,0.01,12.50%,30,4.183,41.41%
NVDA250718C00195000,6/17/2025 1:05 PM,195,0.06,0.06,0.07,-0.01,-14.29%,6,2.58,43.36%
NVDA250718C00200000,6/17/2025 11:46 AM,200,0.05,0.05,0.06,-0.01,-16.67%,67,27.537,45.51%
NVDA250718C00210000,6/17/2025 10:18 AM,210,0.03,0.03,0.04,0.00,0.00%,12,1.649,49.22%
NVDA250718C00220000,6/16/2025 2:20 PM,220,0.03,0.02,0.03,0.00,0.00%,111,1.993,51.95%
NVDA250718C00230000,6/17/2025 1:39 PM,230,0.01,0.01,0.03,-0.01,-50.00%,9,900,55.47%
NVDA250718C00240000,6/16/2025 2:07 PM,240,0.01,0.01,0.02,0.00,0.00%,12,877,58.59%
NVDA250718C00250000,6/17/2025 12:10 PM,250,0.01,0.01,0.02,-0.01,-50.00%,7,15.367,62.50%
NVDA250718C00260000,6/16/2025 3:55 PM,260,0.01,0.00,0.01,0.00,0.00%,309,3.57,60.94%
NVDA250718C00270000,6/16/2025 2:58 PM,270,0.01,0.00,0.01,0.00,0.00%,5,20.544,64.06%
NVDA250718C00280000,6/16/2025 9:35 AM,280,0.01,0.00,0.01,0.00,0.00%,19,15.104,67.19%
NVDA250718C00290000,6/13/2025 10:12 AM,290,0.01,0.00,0.01,0.00,0.00%,25,10.286,70.31%
NVDA250718C00300000,6/17/2025 10:35 AM,300,0.01,0.00,0.01,0.00,0.00%,1,75.945,73.44%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA250718P00005000,2025-10-06 13:23:00,5,0.01,0.00,0.01,0.00,0.00%,3,131,356.25%
NVDA250718P00010000,4/30/2025 2:44 PM,10,0.01,0.00,0.07,0.00,0.00%,3,263,332.81%
NVDA250718P00015000,5/30/2025 1:53 PM,15,0.01,0.00,0.01,0.00,0.00%,3,268,237.50%
NVDA250718P00020000,2025-12-06 12:55:00,20,0.01,0.00,0.01,0.00,0.00%,1,7.115,206.25%
NVDA250718P00025000,2025-03-06 11:48:00,25,0.01,0.00,0.01,0.00,0.00%,1,3.033,181.25%
NVDA250718P00030000,6/16/2025 9:30 AM,30,0.01,0.00,0.01,0.00,0.00%,10,3.712,162.50%
NVDA250718P00035000,6/16/2025 10:03 AM,35,0.01,0.00,0.01,0.00,0.00%,10,4.181,150.00%
NVDA250718P00040000,6/16/2025 2:30 PM,40,0.01,0.00,0.01,0.00,0.00%,621,2.859,134.38%
NVDA250718P00045000,6/16/2025 1:12 PM,45,0.01,0.00,0.02,0.00,0.00%,1,3.322,129.69%
NVDA250718P00050000,6/17/2025 10:32 AM,50,0.01,0.01,0.02,0.00,0.00%,50,2.491,121.88%
NVDA250718P00055000,6/16/2025 9:30 AM,55,0.03,0.01,0.02,0.00,0.00%,10,2.978,112.50%
NVDA250718P00060000,6/17/2025 10:09 AM,60,0.02,0.02,0.03,0.00,0.00%,33,4.491,107.03%
NVDA250718P00065000,6/17/2025 9:30 AM,65,0.02,0.02,0.04,-0.02,-50.00%,6,8.445,99.61%
NVDA250718P00070000,6/17/2025 1:29 PM,70,0.04,0.03,0.04,-0.01,-20.00%,11,10.049,92.58%
NVDA250718P00075000,6/17/2025 1:19 PM,75,0.04,0.04,0.05,-0.01,-20.00%,216,11.29,86.72%
NVDA250718P00080000,6/17/2025 11:41 AM,80,0.07,0.06,0.07,0.00,0.00%,12,33.006,82.03%
NVDA250718P00085000,6/17/2025 1:01 PM,85,0.08,0.07,0.08,0.00,0.00%,110,27.895,75.78%
NVDA250718P00090000,6/17/2025 1:38 PM,90,0.10,0.09,0.10,0.01,11.11%,39,34.459,70.51%
NVDA250718P00095000,6/17/2025 12:57 PM,95,0.13,0.12,0.13,0.01,8.33%,4,30.929,65.63%
NVDA250718P00100000,6/17/2025 12:59 PM,100,0.16,0.15,0.16,0.00,0.00%,1.315,48.147,60.35%
NVDA250718P00105000,6/17/2025 12:57 PM,105,0.21,0.20,0.21,0.00,0.00%,1.803,35.936,55.66%
NVDA250718P00110000,6/17/2025 1:42 PM,110,0.28,0.28,0.29,-0.01,-3.45%,1.703,39.254,51.56%
NVDA250718P00115000,6/17/2025 1:42 PM,115,0.41,0.39,0.41,0.00,0.00%,1.127,31.029,47.71%
NVDA250718P00120000,6/17/2025 1:41 PM,120,0.60,0.61,0.62,0.00,0.00%,15.295,44.368,44.39%
NVDA250718P00125000,6/17/2025 1:42 PM,125,0.94,0.95,0.96,0.00,0.00%,1.802,37.054,41.36%
NVDA250718P00130000,6/17/2025 1:43 PM,130,1.54,1.54,1.56,0.05,3.36%,27.817,69.995,39.06%
NVDA250718P00135000,6/17/2025 1:44 PM,135,2.46,2.45,2.47,0.05,2.07%,3.526,27.65,36.71%
NVDA250718P00140000,6/17/2025 1:43 PM,140,3.83,3.85,3.90,0.04,1.06%,3.433,36.485,34.84%
NVDA250718P00145000,6/17/2025 1:39 PM,145,5.77,5.80,5.85,-0.08,-1.37%,8.954,20.059,32.54%
NVDA250718P00150000,6/17/2025 1:36 PM,150,8.35,8.45,8.50,-0.25,-2.91%,956,4.096,30.23%
NVDA250718P00155000,6/17/2025 1:03 PM,155,12.01,11.90,12.05,-0.18,-1.48%,281,3.826,28.98%
NVDA250718P00160000,6/17/2025 11:31 AM,160,16.37,15.95,16.10,0.27,1.68%,17,1.914,26.42%
NVDA250718P00165000,6/17/2025 1:08 PM,165,20.50,20.40,20.70,-0.14,-0.68%,211,4.806,24.02%
NVDA250718P00170000,6/17/2025 10:58 AM,170,25.66,25.20,25.55,0.87,3.51%,3,871,0.00%
NVDA250718P00175000,6/17/2025 9:44 AM,175,30.85,30.05,30.55,1.80,6.20%,3,12,0.00%
NVDA250718P00180000,6/17/2025 1:28 PM,180,35.08,35.00,35.50,0.02,0.06%,6,14,0.00%
NVDA250718P00185000,5/29/2025 9:43 AM,185,42.20,40.05,40.55,0.00,0.00%,2,0,0.00%
NVDA250718P00190000,5/29/2025 10:33 AM,190,49.30,44.95,45.45,0.00,0.00%,21,0,0.00%
NVDA250718P00195000,2025-05-06 15:22:00,195,56.00,50.10,50.55,0.00,0.00%,1,0,0.00%
NVDA250718P00200000,2025-03-06 10:53:00,200,58.30,54.95,55.45,0.00,0.00%,10,0,0.00%
NVDA250718P00210000,2025-08-04 09:40:00,210,106.97,93.00,93.75,0.00,0.00%,20,0,270.03%
NVDA250718P00220000,2025-09-05 10:14:00,220,102.35,78.00,78.65,0.00,0.00%,1,0,111.04%
NVDA250718P00230000,5/13/2025 9:30 AM,230,104.57,87.80,88.35,0.00,0.00%,1,0,115.99%
NVDA250718P00240000,12/27/2024 11:42 AM,240,103.60,115.75,116.80,0.00,0.00%,2,0,258.00%
NVDA250718P00250000,2025-12-05 11:49:00,250,128.25,106.90,107.40,0.00,0.00%,-,0,117.16%
NVDA250718P00260000,2025-07-04 15:21:00,260,162.75,143.00,143.70,0.00,0.00%,1,0,317.58%
NVDA250718P00270000,5/21/2025 2:25 PM,270,137.43,124.95,125.45,0.00,0.00%,2,0,0.00%
NVDA250718P00290000,2025-03-01 12:27:00,290,146.09,169.00,170.90,0.00,0.00%,2,0,319.58%
NVDA250718P00300000,5/21/2025 10:34 AM,300,166.15,154.95,155.45,0.00,0.00%,2,0,0.00%
