Calls,"Jun 17, 2025 8:26pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA270617C00005000,6/13/2025 10:14 AM,5,138.01,140.00,140.65,0.00,0.00%,4,600,152.44%
NVDA270617C00010000,2025-09-06 12:54:00,10,134.00,134.90,137.15,0.00,0.00%,10,179,129.54%
NVDA270617C00015000,2025-10-06 14:55:00,15,130.10,130.20,132.95,0.00,0.00%,9,135,114.70%
NVDA270617C00020000,5/30/2025 10:17 AM,20,119.53,125.70,128.50,0.00,0.00%,10,34,104.27%
NVDA270617C00025000,6/17/2025 12:46 PM,25,122.86,121.40,123.35,39.51,47.40%,1,40,94.14%
NVDA270617C00030000,6/16/2025 11:28 AM,30,119.17,116.90,119.55,0.00,0.00%,1,120,90.31%
NVDA270617C00035000,2025-03-06 10:53:00,35,111.20,112.70,114.50,0.00,0.00%,2,722,83.76%
NVDA270617C00040000,2025-05-06 11:22:00,40,107.96,108.20,111.00,0.00,0.00%,1,59,81.42%
NVDA270617C00045000,6/13/2025 1:22 PM,45,103.50,103.95,106.55,0.00,0.00%,1,41,77.37%
NVDA270617C00050000,6/16/2025 2:07 PM,50,101.30,99.75,102.35,0.00,0.00%,1,81,74.23%
NVDA270617C00055000,6/16/2025 9:44 AM,55,96.41,95.65,98.35,0.00,0.00%,1,66,71.75%
NVDA270617C00060000,2025-09-06 09:40:00,60,91.89,91.45,93.75,0.00,0.00%,1,182,68.16%
NVDA270617C00065000,2025-10-06 14:49:00,65,87.66,87.85,89.55,0.00,0.00%,4,248,66.27%
NVDA270617C00070000,2025-12-06 15:17:00,70,85.50,84.40,85.80,0.00,0.00%,4,234,65.12%
NVDA270617C00075000,6/16/2025 10:59 AM,75,81.30,80.50,81.85,0.00,0.00%,10,335,63.01%
NVDA270617C00080000,6/17/2025 10:31 AM,80,77.40,77.10,78.45,1.38,1.82%,11,110,62.10%
NVDA270617C00085000,2025-12-06 11:16:00,85,74.75,74.05,74.50,0.00,0.00%,1,256,60.81%
NVDA270617C00090000,6/16/2025 2:27 PM,90,71.47,70.65,71.00,0.00,0.00%,2,224,59.52%
NVDA270617C00095000,6/16/2025 9:45 AM,95,67.00,67.45,67.75,0.00,0.00%,22,275,58.56%
NVDA270617C00100000,6/17/2025 1:37 PM,100,64.88,64.15,64.50,-0.57,-0.87%,8,774,57.40%
NVDA270617C00105000,6/17/2025 9:42 AM,105,61.45,61.20,61.50,0.60,0.99%,1,14.345,56.65%
NVDA270617C00110000,6/17/2025 10:09 AM,110,58.70,58.25,58.55,0.52,0.89%,1,7.53,55.82%
NVDA270617C00115000,6/17/2025 12:00 PM,115,55.82,55.45,55.80,2.05,3.81%,15,478,55.15%
NVDA270617C00120000,6/17/2025 12:06 PM,120,53.20,52.65,53.00,-0.25,-0.47%,5,1.131,54.32%
NVDA270617C00125000,6/17/2025 11:49 AM,125,50.20,50.10,50.35,0.20,0.40%,16,883,53.69%
NVDA270617C00130000,6/17/2025 1:48 PM,130,47.80,47.65,47.95,-0.55,-1.14%,3,782,53.19%
NVDA270617C00135000,6/17/2025 12:34 PM,135,45.75,45.25,45.50,0.32,0.70%,8,9.111,52.59%
NVDA270617C00140000,6/17/2025 1:37 PM,140,43.47,42.95,43.20,0.41,0.95%,9,3.337,52.05%
NVDA270617C00145000,6/17/2025 1:41 PM,145,41.25,40.80,41.10,0.35,0.86%,31,768,51.65%
NVDA270617C00150000,6/17/2025 1:11 PM,150,39.10,38.75,38.95,0.22,0.57%,27,4.765,51.17%
NVDA270617C00155000,6/16/2025 12:28 PM,155,37.05,36.70,37.00,-0.63,-1.67%,10,2.794,50.73%
NVDA270617C00160000,6/17/2025 11:10 AM,160,35.15,34.85,35.15,0.16,0.46%,9,683,50.39%
NVDA270617C00165000,6/13/2025 10:17 AM,165,32.27,33.15,33.40,0.00,0.00%,2,272,50.12%
NVDA270617C00170000,6/17/2025 9:40 AM,170,31.60,31.50,31.80,-0.30,-0.94%,40,1.736,50.06%
NVDA270617C00175000,6/17/2025 1:20 PM,175,30.25,29.90,30.10,0.33,1.10%,126,2.953,49.65%
NVDA270617C00180000,6/17/2025 1:32 PM,180,28.76,28.50,28.65,0.41,1.45%,42,14.455,49.46%
NVDA270617C00185000,6/16/2025 1:23 PM,185,27.55,27.10,27.25,0.00,0.00%,36,275,49.25%
NVDA270617C00190000,6/17/2025 11:50 AM,190,25.88,25.75,25.95,-0.32,-1.22%,26,617,49.10%
NVDA270617C00195000,6/17/2025 10:52 AM,195,24.63,24.55,24.70,0.17,0.70%,10,306,48.93%
NVDA270617C00200000,6/17/2025 1:39 PM,200,23.60,23.35,23.55,0.08,0.34%,71,3.815,48.82%
NVDA270617C00210000,6/17/2025 1:32 PM,210,21.40,21.20,21.40,0.85,4.14%,1,1.506,48.60%
NVDA270617C00220000,6/16/2025 3:21 PM,220,19.40,19.25,19.45,0.00,0.00%,2,717,48.38%
NVDA270617C00230000,6/17/2025 11:32 AM,230,17.55,17.50,17.75,0.14,0.80%,1,68,48.26%
NVDA270617C00240000,6/16/2025 1:15 PM,240,16.19,15.90,16.25,0.00,0.00%,4,41,48.21%
NVDA270617C00250000,6/17/2025 12:15 PM,250,14.80,14.55,14.80,0.22,1.51%,64,538,48.04%
NVDA270617C00260000,6/17/2025 9:30 AM,260,13.50,13.35,13.55,0.20,1.50%,71,496,47.96%
NVDA270617C00270000,6/16/2025 3:56 PM,270,12.34,12.25,12.45,0.09,0.73%,1,1.22,47.94%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA270617P00005000,2025-03-06 15:50:00,5,0.06,0.03,0.08,0.00,0.00%,337,751,94.14%
NVDA270617P00010000,2025-12-06 10:09:00,10,0.12,0.09,0.17,0.00,0.00%,5,15,81.15%
NVDA270617P00015000,6/16/2025 10:01 AM,15,0.20,0.17,0.27,0.00,0.00%,15,48,73.19%
NVDA270617P00020000,2025-03-06 12:55:00,20,0.39,0.30,0.40,0.00,0.00%,1,169,68.12%
NVDA270617P00025000,6/13/2025 9:54 AM,25,0.54,0.46,0.57,0.00,0.00%,2,56,64.21%
NVDA270617P00030000,6/16/2025 9:54 AM,30,0.67,0.66,0.77,0.00,0.00%,34,62,60.96%
NVDA270617P00035000,6/13/2025 10:24 AM,35,0.98,0.90,1.01,0.00,0.00%,1,151,58.20%
NVDA270617P00040000,6/13/2025 3:18 PM,40,1.32,1.20,1.30,0.00,0.00%,2,243,55.91%
NVDA270617P00045000,6/13/2025 2:49 PM,45,1.69,1.55,1.65,0.00,0.00%,4,234,53.88%
NVDA270617P00050000,6/17/2025 1:14 PM,50,2.00,1.97,2.07,0.00,0.00%,2,136,52.16%
NVDA270617P00055000,6/17/2025 11:16 AM,55,2.48,2.48,2.57,-0.03,-1.20%,2,172,50.70%
NVDA270617P00060000,6/17/2025 10:32 AM,60,3.06,3.05,3.15,-0.08,-2.55%,1,1.597,49.55%
NVDA270617P00065000,6/16/2025 12:29 PM,65,3.60,3.75,3.85,0.00,0.00%,21,397,48.43%
NVDA270617P00070000,6/16/2025 1:17 PM,70,4.46,4.55,4.70,0.00,0.00%,46,522,47.58%
NVDA270617P00075000,6/16/2025 2:50 PM,75,5.36,5.45,5.60,0.00,0.00%,10,4.304,46.61%
NVDA270617P00080000,6/17/2025 1:17 PM,80,6.50,6.45,6.60,-0.45,-6.47%,2,11.059,45.70%
NVDA270617P00085000,6/16/2025 3:15 PM,85,7.54,7.60,7.75,0.00,0.00%,3,7.259,44.94%
NVDA270617P00090000,6/17/2025 1:17 PM,90,8.82,8.85,9.00,0.22,2.56%,10,1.882,44.20%
NVDA270617P00095000,6/16/2025 3:14 PM,95,10.05,10.20,10.40,0.00,0.00%,2,3.07,43.55%
NVDA270617P00100000,6/17/2025 10:23 AM,100,11.66,11.70,11.85,0.09,0.78%,130,6.211,42.80%
NVDA270617P00105000,6/16/2025 3:35 PM,105,13.27,13.30,13.55,0.00,0.00%,54,1.333,42.31%
NVDA270617P00110000,6/17/2025 11:18 AM,110,15.00,15.05,15.20,0.14,0.94%,7,4.218,41.55%
NVDA270617P00115000,6/17/2025 12:55 PM,115,16.95,16.90,17.15,0.43,2.60%,1,3.465,41.10%
NVDA270617P00120000,6/17/2025 11:59 AM,120,18.80,18.90,19.05,0.12,0.64%,1,555,40.40%
NVDA270617P00125000,6/17/2025 11:10 AM,125,20.90,21.00,21.25,0.15,0.72%,4,1.198,39.98%
NVDA270617P00130000,6/17/2025 11:10 AM,130,23.10,23.25,23.45,0.18,0.79%,1,745,39.40%
NVDA270617P00135000,6/16/2025 12:42 PM,135,25.05,25.55,25.80,0.00,0.00%,145,926,38.87%
NVDA270617P00140000,6/16/2025 11:35 AM,140,28.04,28.05,28.35,0.58,2.11%,1,804,38.46%
NVDA270617P00145000,6/17/2025 12:35 PM,145,30.45,30.65,30.95,0.28,0.93%,62,733,37.97%
NVDA270617P00150000,6/16/2025 12:42 PM,150,33.25,33.25,33.65,0.45,1.37%,2,1.47,37.46%
NVDA270617P00155000,6/13/2025 12:41 PM,155,37.00,36.15,36.55,0.00,0.00%,1,42,37.07%
NVDA270617P00160000,6/17/2025 11:06 AM,160,39.03,39.10,39.50,-0.57,-1.44%,4,26,36.60%
NVDA270617P00165000,4/16/2025 9:37 AM,165,65.26,0.00,0.00,0.00,0.00%,50,50,0.00%
NVDA270617P00170000,2025-10-06 14:19:00,170,46.65,45.30,45.75,0.00,0.00%,6,10,35.72%
NVDA270617P00175000,6/13/2025 3:06 PM,175,50.45,48.60,49.10,0.00,0.00%,4,25,35.36%
NVDA270617P00180000,6/16/2025 10:10 AM,180,52.00,52.00,52.40,0.00,0.00%,500,583,34.83%
NVDA270617P00185000,2025-11-06 10:23:00,185,55.81,55.40,55.95,0.00,0.00%,1,49,34.48%
NVDA270617P00190000,2025-12-06 15:40:00,190,59.34,59.00,59.50,0.00,0.00%,5,89,34.01%
NVDA270617P00195000,2025-10-06 09:46:00,195,64.60,62.75,63.20,0.00,0.00%,1,4,33.62%
NVDA270617P00200000,2025-11-06 15:31:00,200,68.00,66.50,67.10,0.00,0.00%,4,23,33.39%
NVDA270617P00210000,2025-11-06 11:09:00,210,75.05,74.15,74.65,0.00,0.00%,1,10,32.22%
NVDA270617P00220000,6/17/2025 10:19 AM,220,82.15,82.25,82.90,-2.02,-2.40%,2,29,31.60%
NVDA270617P00230000,5/27/2025 11:18 AM,230,98.81,90.25,91.75,0.00,0.00%,-,1,31.56%
NVDA270617P00240000,6/17/2025 11:06 AM,240,99.09,98.75,100.40,-8.57,-7.96%,2,0,30.79%
NVDA270617P00250000,6/17/2025 11:06 AM,250,107.91,107.60,109.10,-1.54,-1.41%,2,4,29.63%
NVDA270617P00260000,2025-10-06 14:51:00,260,118.49,116.80,118.80,0.00,0.00%,2,4,30.34%
NVDA270617P00270000,6/16/2025 11:33 AM,270,126.22,125.95,127.30,0.78,0.62%,2,12,27.43%
