Calls,"Jun 17, 2025 8:22pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA260320C00005000,6/16/2025 1:33 PM,5,140.53,138.55,141.05,0.00,0.00%,1,2.692,192.38%
NVDA260320C00010000,2025-03-06 14:05:00,10,131.08,133.20,136.95,0.00,0.00%,3,63,165.43%
NVDA260320C00015000,2025-04-04 12:12:00,15,81.03,98.95,101.00,0.00,0.00%,1,4,0.00%
NVDA260320C00020000,2025-11-06 14:08:00,20,123.50,123.60,127.00,0.00,0.00%,2,31,127.10%
NVDA260320C00025000,2025-10-06 13:50:00,25,118.99,118.75,122.50,0.00,0.00%,1,55,120.31%
NVDA260320C00030000,6/13/2025 11:19 AM,30,113.70,114.05,117.75,0.00,0.00%,1,27,112.92%
NVDA260320C00035000,6/16/2025 12:51 PM,35,112.62,109.20,113.05,0.00,0.00%,3,52,105.49%
NVDA260320C00040000,2025-12-06 10:46:00,40,106.55,104.80,106.75,0.00,0.00%,10,109,90.97%
NVDA260320C00045000,2025-06-06 15:57:00,45,98.95,99.70,103.20,0.00,0.00%,1,45,91.50%
NVDA260320C00050000,6/16/2025 12:05 PM,50,97.97,95.80,97.15,0.00,0.00%,3,442,84.13%
NVDA260320C00055000,6/16/2025 2:17 PM,55,93.02,90.80,92.75,0.00,0.00%,2,258,80.05%
NVDA260320C00060000,2025-12-06 14:16:00,60,87.70,86.05,88.20,0.00,0.00%,5,864,76.47%
NVDA260320C00065000,6/13/2025 10:23 AM,65,79.96,82.05,83.45,0.00,0.00%,2,477,74.74%
NVDA260320C00070000,6/17/2025 10:07 AM,70,78.30,77.30,78.55,0.17,0.22%,4,1.03,69.96%
NVDA260320C00075000,6/16/2025 12:59 PM,75,74.67,72.45,74.40,0.00,0.00%,45,1.016,67.20%
NVDA260320C00080000,6/17/2025 11:36 AM,80,68.93,68.20,70.10,-0.97,-1.39%,17,1.697,65.43%
NVDA260320C00085000,6/17/2025 11:26 AM,85,64.65,63.75,65.10,-0.27,-0.42%,2,2.327,61.42%
NVDA260320C00090000,6/16/2025 3:57 PM,90,60.58,59.95,60.80,0.00,0.00%,50,10.917,60.22%
NVDA260320C00095000,6/17/2025 9:56 AM,95,56.49,56.15,56.45,-0.41,-0.72%,16,3.698,58.58%
NVDA260320C00100000,6/17/2025 1:49 PM,100,52.25,52.20,52.45,-0.70,-1.32%,3,11.121,57.00%
NVDA260320C00105000,6/17/2025 1:46 PM,105,48.65,48.40,48.65,-0.50,-1.02%,27,6.56,55.68%
NVDA260320C00110000,6/17/2025 1:22 PM,110,45.30,44.75,44.90,-0.15,-0.33%,107,15.969,54.35%
NVDA260320C00115000,6/17/2025 12:59 PM,115,41.31,41.20,41.35,0.06,0.15%,14,26.639,53.12%
NVDA260320C00120000,6/17/2025 1:25 PM,120,38.38,37.80,38.00,0.53,1.40%,28,33.061,52.03%
NVDA260320C00125000,6/17/2025 1:26 PM,125,35.23,34.70,34.85,0.48,1.38%,9,20.946,51.22%
NVDA260320C00130000,6/17/2025 1:19 PM,130,32.15,31.60,31.75,0.15,0.47%,468,20.506,50.14%
NVDA260320C00135000,6/17/2025 1:28 PM,135,29.27,28.80,28.95,0.02,0.07%,56,28.638,49.58%
NVDA260320C00140000,6/17/2025 1:49 PM,140,26.28,26.15,26.35,0.13,0.50%,80,33.332,48.96%
NVDA260320C00145000,6/17/2025 1:48 PM,145,23.85,23.70,23.90,0.10,0.42%,287,17.507,48.33%
NVDA260320C00150000,6/17/2025 1:38 PM,150,21.84,21.40,21.55,0.44,2.06%,619,37.889,47.61%
NVDA260320C00155000,6/17/2025 12:51 PM,155,19.55,19.35,19.45,-0.04,-0.20%,114,9.918,47.09%
NVDA260320C00160000,6/17/2025 1:09 PM,160,17.62,17.40,17.55,0.07,0.40%,87,15.783,46.69%
NVDA260320C00165000,6/17/2025 1:04 PM,165,15.75,15.65,15.75,0.19,1.22%,25,24.892,46.20%
NVDA260320C00170000,6/17/2025 1:49 PM,170,14.15,14.05,14.15,0.16,1.14%,1.097,16.345,45.85%
NVDA260320C00175000,6/17/2025 1:43 PM,175,12.80,12.65,12.75,-0.10,-0.78%,30,2.742,45.64%
NVDA260320C00180000,6/17/2025 12:42 PM,180,11.50,11.35,11.40,0.10,0.88%,20,6.018,45.29%
NVDA260320C00185000,6/17/2025 1:44 PM,185,10.30,10.15,10.25,-0.12,-1.15%,81,1.545,45.13%
NVDA260320C00190000,6/17/2025 12:44 PM,190,9.20,9.10,9.25,0.15,1.67%,19,3.824,45.08%
NVDA260320C00195000,6/17/2025 1:47 PM,195,8.25,8.15,8.30,0.05,0.61%,14,1.558,44.93%
NVDA260320C00200000,6/17/2025 1:47 PM,200,7.40,7.35,7.40,0.15,2.07%,94,5.796,44.69%
NVDA260320C00210000,6/17/2025 12:33 PM,210,5.95,5.90,6.00,-0.10,-1.65%,6,1.696,44.62%
NVDA260320C00220000,6/17/2025 12:33 PM,220,4.85,4.75,4.85,-0.10,-2.02%,8,1.366,44.54%
NVDA260320C00230000,6/17/2025 12:52 PM,230,3.95,3.85,3.95,-0.20,-4.82%,7,754,44.57%
NVDA260320C00240000,6/17/2025 9:30 AM,240,3.20,3.15,3.25,-0.04,-1.23%,1,1.101,44.73%
NVDA260320C00250000,6/17/2025 9:30 AM,250,2.61,2.61,2.67,-0.07,-2.61%,1,4.194,44.84%
NVDA260320C00260000,6/17/2025 11:20 AM,260,2.19,2.16,2.22,-0.12,-5.19%,21,761,45.06%
NVDA260320C00270000,6/17/2025 11:51 AM,270,1.86,1.82,1.86,-0.06,-3.12%,12,4.665,45.33%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA260320P00005000,6/16/2025 1:00 PM,5,0.01,0.00,0.01,0.00,0.00%,699,548,121.88%
NVDA260320P00010000,5/30/2025 12:10 PM,10,0.04,0.01,0.04,0.00,0.00%,5,666,109.38%
NVDA260320P00015000,6/17/2025 9:30 AM,15,0.03,0.02,0.05,-0.01,-25.00%,120,476,95.31%
NVDA260320P00020000,2025-05-06 09:30:00,20,0.07,0.04,0.07,0.00,0.00%,1,536,87.11%
NVDA260320P00025000,6/13/2025 3:24 PM,25,0.08,0.06,0.09,0.00,0.00%,1,689,79.88%
NVDA260320P00030000,6/16/2025 2:50 PM,30,0.12,0.10,0.12,0.00,0.00%,5,2.563,75.00%
NVDA260320P00035000,2025-11-06 10:35:00,35,0.16,0.14,0.17,0.00,0.00%,10,1.312,70.80%
NVDA260320P00040000,6/13/2025 3:35 PM,40,0.25,0.21,0.23,0.00,0.00%,88,653,67.48%
NVDA260320P00045000,6/17/2025 9:50 AM,45,0.31,0.29,0.32,-0.03,-8.82%,10,787,64.55%
NVDA260320P00050000,6/17/2025 1:05 PM,50,0.40,0.41,0.42,-0.01,-2.44%,6,6.452,61.96%
NVDA260320P00055000,6/16/2025 10:24 AM,55,0.52,0.51,0.54,0.00,0.00%,1,2.795,59.08%
NVDA260320P00060000,6/16/2025 3:10 PM,60,0.67,0.67,0.71,0.00,0.00%,34,2.694,56.93%
NVDA260320P00065000,6/13/2025 2:59 PM,65,0.99,0.87,0.91,0.00,0.00%,3,1.985,54.88%
NVDA260320P00070000,6/17/2025 11:59 AM,70,1.10,1.11,1.14,0.01,0.92%,2,7.857,52.91%
NVDA260320P00075000,6/17/2025 1:08 PM,75,1.45,1.44,1.48,0.07,5.07%,1,24.04,51.47%
NVDA260320P00080000,6/16/2025 3:47 PM,80,1.81,1.84,1.89,0.00,0.00%,53,29.894,50.09%
NVDA260320P00085000,6/16/2025 12:10 PM,85,2.30,2.34,2.38,0.09,4.07%,2,25.746,48.95%
NVDA260320P00090000,6/17/2025 1:34 PM,90,2.90,2.93,2.98,0.05,1.75%,57,29.514,47.79%
NVDA260320P00095000,6/17/2025 11:55 AM,95,3.65,3.65,3.75,0.12,3.40%,15,27.015,46.95%
NVDA260320P00100000,6/17/2025 11:55 AM,100,4.40,4.50,4.60,-0.02,-0.45%,266,30.209,45.95%
NVDA260320P00105000,6/17/2025 1:17 PM,105,5.45,5.50,5.55,0.03,0.55%,267,16.934,44.87%
NVDA260320P00110000,6/17/2025 12:23 PM,110,6.58,6.70,6.80,0.08,1.23%,43,35.854,44.32%
NVDA260320P00115000,6/17/2025 11:48 AM,115,7.90,7.95,8.05,0.00,0.00%,5,19.621,43.31%
NVDA260320P00120000,6/17/2025 12:07 PM,120,9.37,9.40,9.50,0.06,0.64%,219,11.87,42.44%
NVDA260320P00125000,6/17/2025 12:05 PM,125,11.00,11.15,11.25,-0.03,-0.27%,137,7.39,41.89%
NVDA260320P00130000,6/17/2025 12:56 PM,130,12.95,13.10,13.20,0.13,1.01%,25,8.637,41.38%
NVDA260320P00135000,6/17/2025 1:50 PM,135,15.20,15.10,15.20,0.24,1.64%,167,12.912,40.57%
NVDA260320P00140000,6/17/2025 12:56 PM,140,17.25,17.45,17.50,0.07,0.41%,40,5.742,40.01%
NVDA260320P00145000,6/17/2025 12:47 PM,145,19.60,19.80,19.90,0.05,0.26%,272,4.725,39.28%
NVDA260320P00150000,6/17/2025 1:46 PM,150,22.40,22.50,22.55,0.30,1.36%,26,1.626,38.67%
NVDA260320P00155000,6/17/2025 1:49 PM,155,25.35,25.35,25.45,0.25,1.00%,37,1.138,38.18%
NVDA260320P00160000,6/16/2025 1:19 PM,160,27.60,28.30,28.50,0.00,0.00%,81,1.253,37.64%
NVDA260320P00165000,6/16/2025 12:44 PM,165,30.76,31.55,31.70,0.00,0.00%,13,93,37.03%
NVDA260320P00170000,6/17/2025 12:09 PM,170,34.42,34.95,35.15,0.45,1.32%,25,272,36.59%
NVDA260320P00175000,6/17/2025 12:09 PM,175,37.97,38.40,38.65,0.48,1.28%,25,41,35.91%
NVDA260320P00180000,6/17/2025 11:14 AM,180,41.79,41.90,42.50,0.67,1.63%,1,195,35.65%
NVDA260320P00185000,2025-04-06 11:25:00,185,48.80,45.50,46.35,0.00,0.00%,1,40,35.07%
NVDA260320P00190000,6/16/2025 9:53 AM,190,49.85,49.85,50.35,0.00,0.00%,5,356,34.51%
NVDA260320P00195000,6/16/2025 10:50 AM,195,54.20,53.65,54.50,0.00,0.00%,5,78,34.01%
NVDA260320P00200000,6/16/2025 3:39 PM,200,58.10,57.95,58.75,0.00,0.00%,7,12,33.46%
NVDA260320P00210000,5/29/2025 11:31 AM,210,70.85,66.75,67.35,0.00,0.00%,1,1,31.45%
NVDA260320P00220000,2025-12-06 10:40:00,220,76.00,75.90,76.60,0.00,0.00%,25,34,30.43%
NVDA260320P00230000,2/28/2025 9:33 AM,230,112.09,118.85,120.50,0.00,0.00%,1,0,111.61%
NVDA260320P00240000,2025-04-06 12:25:00,240,99.20,94.80,96.00,0.00,0.00%,4,1,30.52%
NVDA260320P00250000,5/14/2025 2:02 PM,250,114.30,107.50,108.70,0.00,0.00%,5,0,47.07%
NVDA260320P00260000,3/17/2025 9:56 AM,260,138.87,158.00,158.80,0.00,0.00%,2,0,138.13%
NVDA260320P00270000,5/29/2025 10:19 AM,270,130.46,124.80,126.40,0.00,0.00%,1,0,39.61%
