Calls,"Jun 17, 2025 8:19pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA251121C00005000,5/28/2025 12:19 PM,5,131.10,138.10,141.50,0.00,0.00%,1,42,274.22%
NVDA251121C00015000,2025-01-05 11:17:00,15,100.00,118.65,122.20,0.00,0.00%,2,2,0.00%
NVDA251121C00020000,2025-10-04 11:28:00,20,89.25,96.70,98.90,0.00,0.00%,-,21,0.00%
NVDA251121C00025000,2025-11-06 15:56:00,25,118.37,119.20,121.60,0.00,0.00%,25,45,156.88%
NVDA251121C00030000,2025-06-06 10:05:00,30,112.99,114.25,116.65,0.00,0.00%,20,20,141.89%
NVDA251121C00035000,2025-06-06 13:48:00,35,107.70,109.00,112.00,0.00,0.00%,10,11,129.44%
NVDA251121C00040000,2025-04-06 10:12:00,40,101.89,104.15,107.10,0.00,0.00%,5,5,120.31%
NVDA251121C00045000,6/16/2025 12:15 PM,45,100.40,99.35,102.20,0.00,0.00%,1,2,112.57%
NVDA251121C00050000,5/29/2025 10:02 AM,50,93.00,95.30,96.40,0.00,0.00%,11,168,104.35%
NVDA251121C00055000,6/17/2025 11:10 AM,55,91.18,90.25,91.80,2.53,2.85%,1,29,98.27%
NVDA251121C00060000,6/16/2025 3:06 PM,60,86.50,84.90,86.70,0.00,0.00%,5,3.767,87.35%
NVDA251121C00065000,5/29/2025 9:41 AM,65,79.74,79.80,82.60,0.00,0.00%,10,162,85.08%
NVDA251121C00070000,2025-05-06 13:38:00,70,73.90,75.85,77.15,0.00,0.00%,1,641,81.27%
NVDA251121C00075000,2025-05-06 11:41:00,75,70.65,70.65,72.05,0.00,0.00%,15,296,73.30%
NVDA251121C00080000,6/16/2025 2:35 PM,80,67.59,66.65,67.65,0.00,0.00%,15,4.832,73.79%
NVDA251121C00085000,6/16/2025 11:15 AM,85,63.43,61.90,62.90,0.00,0.00%,1,1.275,69.41%
NVDA251121C00090000,6/16/2025 11:04 AM,90,58.50,57.35,58.60,0.00,0.00%,2,1.197,67.10%
NVDA251121C00095000,6/17/2025 9:47 AM,95,52.60,52.85,54.10,-1.78,-3.27%,1,2.134,64.01%
NVDA251121C00100000,6/17/2025 12:47 PM,100,49.00,48.45,49.15,-0.55,-1.11%,1,4.076,59.88%
NVDA251121C00105000,6/16/2025 3:09 PM,105,44.99,44.40,44.75,-0.05,-0.11%,2,7.1,57.76%
NVDA251121C00110000,6/17/2025 1:49 PM,110,40.59,40.40,40.70,-0.23,-0.56%,61,4.057,56.08%
NVDA251121C00115000,6/17/2025 12:06 PM,115,37.05,36.55,36.70,0.57,1.56%,18,3.72,54.31%
NVDA251121C00120000,6/17/2025 12:53 PM,120,32.95,32.75,32.90,0.10,0.30%,62,4.748,52.53%
NVDA251121C00125000,6/16/2025 3:53 PM,125,29.19,29.30,29.45,0.00,0.00%,409,4.49,51.42%
NVDA251121C00130000,6/17/2025 1:43 PM,130,26.23,26.00,26.20,0.23,0.88%,78,7.465,50.28%
NVDA251121C00135000,6/17/2025 1:09 PM,135,23.15,23.00,23.10,0.01,0.04%,28,5.422,49.40%
NVDA251121C00140000,6/17/2025 1:42 PM,140,20.33,20.05,20.15,0.28,1.40%,340,10.742,48.11%
NVDA251121C00145000,6/17/2025 1:46 PM,145,17.60,17.55,17.60,0.10,0.57%,67,11.258,47.35%
NVDA251121C00150000,6/17/2025 1:32 PM,150,15.36,15.15,15.25,0.27,1.79%,2.294,18.627,46.58%
NVDA251121C00155000,6/17/2025 1:40 PM,155,13.20,13.10,13.15,0.15,1.15%,99,7.836,45.92%
NVDA251121C00160000,6/17/2025 1:24 PM,160,11.50,11.25,11.30,0.40,3.60%,114,6.825,45.39%
NVDA251121C00165000,6/17/2025 1:19 PM,165,9.75,9.65,9.70,-0.05,-0.51%,91,2.711,45.01%
NVDA251121C00170000,6/17/2025 1:39 PM,170,8.31,8.25,8.30,0.15,1.84%,165,5.56,44.70%
NVDA251121C00175000,6/17/2025 12:28 PM,175,7.09,6.95,7.05,-0.03,-0.42%,84,4.399,44.34%
NVDA251121C00180000,6/17/2025 11:36 AM,180,5.95,5.95,6.05,-0.05,-0.83%,26,5.108,44.28%
NVDA251121C00185000,6/17/2025 12:03 PM,185,5.10,5.05,5.15,-0.15,-2.86%,4,6.943,44.14%
NVDA251121C00190000,6/17/2025 1:27 PM,190,4.42,4.30,4.35,0.02,0.45%,11,2.14,43.92%
NVDA251121C00195000,6/17/2025 10:08 AM,195,3.70,3.65,3.75,-0.20,-5.13%,10,3.816,44.06%
NVDA251121C00200000,6/17/2025 1:15 PM,200,3.20,3.10,3.20,0.10,3.23%,14,6.438,44.07%
NVDA251121C00210000,6/17/2025 1:02 PM,210,2.30,2.32,2.34,0.02,0.88%,9,7.31,44.17%
NVDA251121C00220000,6/17/2025 11:52 AM,220,1.72,1.72,1.75,-0.06,-3.37%,2,5.411,44.54%
NVDA251121C00230000,6/13/2025 2:41 PM,230,1.19,1.31,1.33,0.00,0.00%,5,944,45.03%
NVDA251121C00240000,6/16/2025 1:36 PM,240,1.03,1.00,1.03,0.00,0.00%,8,1.19,45.62%
NVDA251121C00250000,6/16/2025 3:25 PM,250,0.76,0.78,0.80,-0.04,-5.00%,1,4.906,46.16%
NVDA251121C00260000,6/17/2025 9:30 AM,260,0.61,0.61,0.63,-0.01,-1.61%,2,5.869,46.73%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA251121P00005000,5/27/2025 11:05 AM,5,0.01,0.00,0.01,0.00,0.00%,1,273,162.50%
NVDA251121P00010000,4/17/2025 3:18 PM,10,0.03,0.00,0.07,0.00,0.00%,1,491,150.00%
NVDA251121P00015000,2025-03-06 13:32:00,15,0.01,0.00,0.02,0.00,0.00%,92,246,112.50%
NVDA251121P00020000,6/16/2025 2:19 PM,20,0.01,0.01,0.02,0.00,0.00%,20,367,101.56%
NVDA251121P00025000,6/17/2025 11:31 AM,25,0.02,0.02,0.03,-0.01,-33.33%,2,80,94.53%
NVDA251121P00030000,2025-11-06 12:54:00,30,0.05,0.03,0.04,0.00,0.00%,20,962,87.50%
NVDA251121P00035000,6/13/2025 3:54 PM,35,0.07,0.04,0.06,0.00,0.00%,2,70,82.03%
NVDA251121P00040000,6/16/2025 9:59 AM,40,0.07,0.06,0.08,0.00,0.00%,3,1.107,77.34%
NVDA251121P00045000,6/16/2025 3:32 PM,45,0.11,0.10,0.11,0.00,0.00%,1,141,73.93%
NVDA251121P00050000,6/16/2025 2:41 PM,50,0.14,0.14,0.16,0.00,0.00%,2,936,70.70%
NVDA251121P00055000,6/17/2025 12:38 PM,55,0.21,0.20,0.22,-0.01,-4.55%,1,1.102,67.77%
NVDA251121P00060000,6/16/2025 1:58 PM,60,0.29,0.28,0.29,0.00,0.00%,25,7.572,64.94%
NVDA251121P00065000,6/17/2025 10:47 AM,65,0.38,0.37,0.39,-0.10,-20.83%,20,7.917,62.26%
NVDA251121P00070000,6/16/2025 3:32 PM,70,0.50,0.49,0.51,-0.01,-1.96%,1,6.608,59.74%
NVDA251121P00075000,6/16/2025 3:14 PM,75,0.66,0.65,0.67,0.00,0.00%,99,2.899,57.52%
NVDA251121P00080000,6/17/2025 12:29 PM,80,0.84,0.85,0.88,-0.02,-2.33%,11,12.66,55.49%
NVDA251121P00085000,6/17/2025 1:46 PM,85,1.12,1.11,1.12,0.02,1.82%,13,6.803,53.47%
NVDA251121P00090000,6/17/2025 12:50 PM,90,1.42,1.43,1.46,0.02,1.43%,42,14.24,51.73%
NVDA251121P00095000,6/17/2025 1:36 PM,95,1.84,1.87,1.90,0.06,3.37%,25,11.888,50.32%
NVDA251121P00100000,6/17/2025 1:01 PM,100,2.40,2.39,2.41,0.04,1.69%,25,12.958,48.83%
NVDA251121P00105000,6/17/2025 12:57 PM,105,3.04,3.00,3.10,-0.01,-0.33%,8,18.543,47.67%
NVDA251121P00110000,6/16/2025 3:50 PM,110,3.81,3.85,3.95,0.00,0.00%,26,14.018,46.62%
NVDA251121P00115000,6/17/2025 1:21 PM,115,4.80,4.85,4.90,0.11,2.35%,184,15.426,45.34%
NVDA251121P00120000,6/17/2025 12:57 PM,120,5.98,5.95,6.05,0.03,0.50%,673,20.806,44.19%
NVDA251121P00125000,6/17/2025 1:07 PM,125,7.35,7.35,7.45,0.10,1.38%,62,11.976,43.26%
NVDA251121P00130000,6/17/2025 12:56 PM,130,8.95,8.95,9.05,0.05,0.56%,29,5.658,42.29%
NVDA251121P00135000,6/17/2025 1:29 PM,135,10.80,10.80,10.90,0.15,1.41%,904,4.304,41.41%
NVDA251121P00140000,6/17/2025 1:42 PM,140,12.86,12.95,13.05,0.01,0.08%,16,6.391,40.69%
NVDA251121P00145000,6/17/2025 1:05 PM,145,15.20,15.35,15.45,0.10,0.66%,20,1.738,39.97%
NVDA251121P00150000,6/17/2025 12:13 PM,150,17.65,17.95,18.05,-0.05,-0.28%,18,8.851,39.12%
NVDA251121P00155000,6/17/2025 12:01 PM,155,20.60,20.70,20.85,0.50,2.49%,42,986,38.15%
NVDA251121P00160000,6/13/2025 9:30 AM,160,25.15,23.95,24.10,0.00,0.00%,50,1.041,37.71%
NVDA251121P00165000,6/16/2025 2:01 PM,165,26.80,27.25,27.40,0.00,0.00%,2,338,36.77%
NVDA251121P00170000,6/17/2025 9:54 AM,170,30.77,30.85,31.05,0.11,0.36%,3,272,36.17%
NVDA251121P00175000,6/16/2025 9:47 AM,175,35.26,34.70,35.20,0.00,0.00%,1,151,36.55%
NVDA251121P00180000,2025-11-06 15:10:00,180,40.50,38.50,39.20,0.00,0.00%,16,237,35.90%
NVDA251121P00185000,6/13/2025 3:57 PM,185,45.30,42.80,43.35,0.00,0.00%,44,178,35.15%
NVDA251121P00190000,6/17/2025 11:46 AM,190,47.10,47.00,47.50,-0.20,-0.42%,8,2,33.62%
NVDA251121P00195000,6/16/2025 12:41 PM,195,50.75,51.25,51.85,0.00,0.00%,54,35,32.09%
NVDA251121P00200000,6/16/2025 3:41 PM,200,56.00,55.85,56.50,0.00,0.00%,61,61,31.57%
NVDA251121P00210000,5/29/2025 11:50 AM,210,69.09,65.30,66.10,0.00,0.00%,5,5,31.23%
NVDA251121P00240000,2/14/2025 10:06 AM,240,104.45,121.00,122.05,0.00,0.00%,-,0,130.24%
