Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250815C00245000,2025-10-06 10:06:00,245,356.16,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00250000,4/30/2025 4:00 PM,250,306.79,339.34,341.36,0.00,0.00%,-,10,0.00%
SPY250815C00260000,2025-06-02 12:40:00,260,349.72,317.11,320.27,0.00,0.00%,1,4,0.00%
SPY250815C00265000,4/24/2025 4:01 PM,265,287.00,313.97,316.08,0.00,0.00%,10,12,0.00%
SPY250815C00270000,2025-07-04 09:36:00,270,221.25,294.67,297.97,0.00,0.00%,1,10,0.00%
SPY250815C00275000,12/13/2024 1:54 PM,275,334.60,322.80,324.93,0.00,0.00%,4,4,96.68%
SPY250815C00280000,2025-08-04 13:35:00,280,228.43,284.83,288.13,0.00,0.00%,-,149,0.00%
SPY250815C00290000,5/28/2025 9:37 AM,290,303.55,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00295000,3/25/2025 12:58 PM,295,284.00,254.30,258.01,0.00,0.00%,2,2,0.00%
SPY250815C00300000,2025-12-06 10:55:00,300,303.80,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00305000,2025-01-05 11:54:00,305,259.87,284.97,286.98,0.00,0.00%,1,31,0.00%
SPY250815C00310000,2025-01-05 11:54:00,310,254.97,280.02,282.04,0.00,0.00%,1,26,0.00%
SPY250815C00315000,4/14/2025 11:21 AM,315,230.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00320000,3/14/2025 10:46 AM,320,243.15,222.93,223.66,0.00,0.00%,1,1,0.00%
SPY250815C00325000,11/22/2024 10:42 AM,325,278.79,278.19,280.82,0.00,0.00%,1,1,108.42%
SPY250815C00330000,3/31/2025 3:40 PM,330,233.90,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00335000,5/30/2025 2:00 PM,335,253.11,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00340000,5/30/2025 2:00 PM,340,248.37,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY250815C00345000,4/14/2025 11:23 AM,345,202.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00350000,2025-04-06 10:56:00,350,248.79,0.00,0.00,0.00,0.00%,11,0,0.00%
SPY250815C00355000,3/28/2025 11:48 AM,355,209.77,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00360000,2025-11-06 09:30:00,360,245.19,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00365000,2025-07-04 13:06:00,365,142.14,201.38,204.68,0.00,0.00%,2,5,0.00%
SPY250815C00370000,4/23/2025 2:59 PM,370,172.18,210.59,212.71,0.00,0.00%,2,32,0.00%
SPY250815C00375000,4/23/2025 2:59 PM,375,167.63,205.71,207.81,0.00,0.00%,2,2,0.00%
SPY250815C00380000,2025-01-04 13:41:00,380,186.54,190.64,193.80,0.00,0.00%,2,2,0.00%
SPY250815C00385000,6/17/2025 9:33 AM,385,217.02,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00390000,2025-11-04 13:44:00,390,155.77,200.55,203.38,0.00,0.00%,10,10,0.00%
SPY250815C00395000,2025-05-06 15:47:00,395,201.41,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00400000,6/16/2025 1:25 PM,400,204.58,0.00,0.00,0.00,0.00%,15,0,0.00%
SPY250815C00405000,6/13/2025 10:23 AM,405,194.61,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00410000,6/17/2025 9:43 AM,410,191.86,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00415000,6/13/2025 11:09 AM,415,186.48,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00420000,6/17/2025 9:47 AM,420,182.14,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00425000,2025-02-06 15:40:00,425,170.09,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250815C00427000,3/28/2025 10:17 AM,427,142.54,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00428000,2025-01-04 09:53:00,428,138.63,144.22,147.37,0.00,0.00%,2,4,0.00%
SPY250815C00429000,2025-01-04 12:28:00,429,140.21,143.39,146.40,0.00,0.00%,4,3,0.00%
SPY250815C00430000,6/13/2025 2:04 PM,430,171.54,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00431000,3/28/2025 10:17 AM,431,138.79,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00432000,2025-01-04 14:53:00,432,132.99,140.44,143.53,0.00,0.00%,2,1,0.00%
SPY250815C00433000,2025-02-04 10:17:00,433,135.50,139.43,142.58,0.00,0.00%,2,3,0.00%
SPY250815C00434000,2025-01-04 14:53:00,434,131.31,138.48,141.63,0.00,0.00%,2,1,0.00%
SPY250815C00435000,6/16/2025 3:42 PM,435,169.44,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250815C00436000,5/30/2025 1:56 PM,436,154.02,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00437000,5/13/2025 3:57 PM,437,155.07,162.09,164.00,0.00,0.00%,1,64,53.17%
SPY250815C00438000,2025-08-04 13:43:00,438,88.08,130.41,133.52,0.00,0.00%,148,24,0.00%
SPY250815C00439000,2025-08-04 13:49:00,439,85.62,129.47,132.56,0.00,0.00%,2,3,0.00%
SPY250815C00440000,2025-12-06 10:39:00,440,165.14,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY250815C00441000,2025-01-04 14:53:00,441,124.86,132.95,133.91,0.00,0.00%,2,4,0.00%
SPY250815C00442000,2025-08-04 13:51:00,442,83.45,126.66,129.70,0.00,0.00%,330,148,0.00%
SPY250815C00443000,2025-08-04 13:50:00,443,81.72,125.72,128.74,0.00,0.00%,106,56,0.00%
SPY250815C00444000,2025-10-04 10:54:00,444,99.76,124.77,127.79,0.00,0.00%,2,64,0.00%
SPY250815C00445000,6/17/2025 12:39 PM,445,158.86,0.00,0.00,0.00,0.00%,12,0,0.00%
SPY250815C00446000,2025-08-04 13:44:00,446,81.40,122.88,125.89,0.00,0.00%,266,164,0.00%
SPY250815C00447000,2025-08-04 15:08:00,447,74.70,121.93,124.94,0.00,0.00%,96,51,0.00%
SPY250815C00448000,2025-08-04 13:46:00,448,78.47,120.98,123.99,0.00,0.00%,34,23,0.00%
SPY250815C00449000,2025-09-04 12:03:00,449,72.50,120.04,123.04,0.00,0.00%,10,22,0.00%
SPY250815C00450000,6/17/2025 10:41 AM,450,153.40,0.00,0.00,0.00,0.00%,17,0,0.00%
SPY250815C00451000,5/27/2025 9:32 AM,451,138.95,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00452000,2025-08-04 13:45:00,452,76.54,117.22,120.21,0.00,0.00%,2,5,0.00%
SPY250815C00453000,2025-05-05 11:45:00,453,118.87,145.36,147.48,0.00,0.00%,2,44,46.42%
SPY250815C00454000,5/21/2025 10:13 AM,454,141.02,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00455000,2025-12-06 10:41:00,455,150.66,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00456000,5/30/2025 2:00 PM,456,134.66,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00457000,2025-01-04 13:02:00,457,114.01,117.96,118.91,0.00,0.00%,2,5,0.00%
SPY250815C00458000,5/22/2025 1:51 PM,458,132.21,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00459000,2025-05-05 14:09:00,459,114.69,139.50,141.62,0.00,0.00%,2,0,45.13%
SPY250815C00460000,6/17/2025 11:43 AM,460,143.68,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00461000,2025-07-05 15:43:00,461,109.90,140.33,142.20,0.00,0.00%,2,4,52.07%
SPY250815C00462000,2025-03-06 15:36:00,462,137.87,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00463000,2025-01-04 10:04:00,463,104.12,112.34,113.30,0.00,0.00%,2,3,0.00%
SPY250815C00464000,5/30/2025 10:31 AM,464,129.74,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00465000,2025-12-06 15:12:00,465,141.40,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250815C00466000,2025-01-04 12:32:00,466,105.53,109.55,110.45,0.00,0.00%,2,3,0.00%
SPY250815C00467000,5/29/2025 9:54 AM,467,129.07,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00468000,5/28/2025 2:52 PM,468,124.88,0.00,0.00,0.00,0.00%,7,0,0.00%
SPY250815C00469000,2025-09-05 11:18:00,469,103.49,132.32,134.51,0.00,0.00%,7,9,50.20%
SPY250815C00470000,2025-12-06 11:03:00,470,136.47,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY250815C00471000,5/20/2025 3:58 PM,471,127.09,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00472000,2025-02-05 10:37:00,472,102.19,120.95,123.02,0.00,0.00%,2,8,0.00%
SPY250815C00473000,2025-08-05 10:38:00,473,99.39,128.77,130.42,0.00,0.00%,2,11,48.66%
SPY250815C00474000,4/16/2025 1:23 PM,474,74.41,124.00,127.17,0.00,0.00%,2,4,42.40%
SPY250815C00475000,6/16/2025 10:24 AM,475,131.92,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00476000,2025-01-04 10:23:00,476,91.45,100.47,101.43,0.00,0.00%,4,2,0.00%
SPY250815C00477000,2025-09-05 10:58:00,477,95.62,124.68,126.74,0.00,0.00%,2,7,48.10%
SPY250815C00478000,2025-03-06 15:53:00,478,121.78,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00479000,2025-09-04 09:42:00,479,52.78,92.46,94.77,0.00,0.00%,1,5,0.00%
SPY250815C00480000,6/16/2025 10:25 AM,480,127.03,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00481000,2025-10-06 13:57:00,481,123.71,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY250815C00482000,2025-01-04 09:38:00,482,87.36,95.03,95.90,0.00,0.00%,2,2,0.00%
SPY250815C00483000,5/30/2025 10:43 AM,483,111.62,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00484000,2025-01-04 14:54:00,484,85.68,93.27,94.05,0.00,0.00%,2,1,0.00%
SPY250815C00485000,6/17/2025 11:59 AM,485,119.15,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00486000,4/14/2025 3:16 PM,486,73.56,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00487000,2025-06-06 11:59:00,487,115.59,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY250815C00488000,2025-07-04 11:02:00,488,50.00,84.44,86.61,0.00,0.00%,2,15,0.00%
SPY250815C00489000,5/23/2025 1:20 PM,489,98.55,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00490000,6/17/2025 12:01 PM,490,114.29,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00491000,6/17/2025 12:36 PM,491,113.42,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00492000,2025-09-04 13:26:00,492,60.01,80.90,83.02,0.00,0.00%,5,11,0.00%
SPY250815C00493000,2025-02-06 11:29:00,493,100.78,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00494000,2025-10-04 09:53:00,494,60.70,79.14,81.21,0.00,0.00%,1,14,0.00%
SPY250815C00495000,6/16/2025 10:31 AM,495,112.42,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00496000,2025-07-05 15:43:00,496,78.67,106.43,108.32,0.00,0.00%,1,13,43.09%
SPY250815C00497000,2025-12-06 09:30:00,497,106.88,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00498000,2025-11-06 10:19:00,498,110.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00499000,2025-03-06 13:21:00,499,101.70,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00500000,6/17/2025 11:09 AM,500,105.06,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00501000,5/16/2025 11:19 AM,501,96.85,99.94,101.33,0.00,0.00%,1,15,37.20%
SPY250815C00502000,2025-08-05 14:36:00,502,77.78,100.62,102.52,0.00,0.00%,1,440,41.50%
SPY250815C00503000,6/13/2025 12:37 PM,503,102.15,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00504000,5/15/2025 9:35 AM,504,90.01,97.54,98.81,0.00,0.00%,2,73,37.34%
SPY250815C00505000,2025-12-06 14:02:00,505,102.36,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00506000,5/21/2025 4:04 PM,506,85.17,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00507000,5/27/2025 3:50 PM,507,90.10,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250815C00508000,2025-12-06 11:29:00,508,98.56,0.00,0.00,0.00,0.00%,37,0,0.00%
SPY250815C00509000,2025-06-05 10:11:00,509,64.17,89.39,90.38,0.00,0.00%,2,358,26.99%
SPY250815C00510000,6/17/2025 2:52 PM,510,92.12,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00511000,2025-05-06 10:35:00,511,89.81,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY250815C00512000,2025-10-06 10:28:00,512,93.39,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00513000,2025-10-06 10:28:00,513,92.44,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250815C00514000,5/23/2025 10:05 AM,514,73.57,0.00,0.00,0.00,0.00%,1,0,0.00%
