Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY271217C00200000,6/17/2025 2:29 PM,200,405.56,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY271217C00205000,2025-03-06 10:04:00,205,399.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00210000,2025-09-06 15:43:00,210,400.27,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00215000,6/17/2025 2:35 PM,215,392.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00220000,5/15/2025 1:00 PM,220,381.09,385.50,389.80,0.00,0.00%,1,35,48.78%
SPY271217C00225000,4/14/2025 1:53 PM,225,327.00,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY271217C00230000,2025-10-04 10:47:00,230,314.00,344.00,348.94,0.00,0.00%,2,3,0.00%
SPY271217C00235000,2025-03-02 09:55:00,235,373.97,0.00,0.00,0.00,0.00%,-,1,0.00%
SPY271217C00240000,2025-07-04 09:53:00,240,267.91,335.50,340.23,0.00,0.00%,2,3,0.00%
SPY271217C00250000,5/30/2025 12:27 PM,250,352.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00255000,2025-06-06 13:56:00,255,359.27,0.00,0.00,0.00,0.00%,16,0,0.00%
SPY271217C00260000,6/13/2025 2:01 PM,260,355.25,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY271217C00265000,5/20/2025 9:54 AM,265,348.50,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY271217C00270000,2025-09-06 10:52:00,270,346.91,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00275000,4/14/2025 11:44 AM,275,283.21,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00280000,5/15/2025 2:06 PM,280,329.14,333.00,337.23,0.00,0.00%,1,10,44.35%
SPY271217C00285000,2025-08-05 13:34:00,285,303.66,331.50,336.31,0.00,0.00%,3,6,46.37%
SPY271217C00290000,2025-12-05 10:48:00,290,309.64,331.00,335.95,0.00,0.00%,31,38,48.53%
SPY271217C00295000,5/29/2025 12:59 PM,295,316.30,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00300000,6/17/2025 12:59 PM,300,319.90,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00305000,1/22/2025 1:37 PM,305,331.00,319.00,323.31,0.00,0.00%,1,0,47.26%
SPY271217C00310000,4/21/2025 9:47 AM,310,235.00,301.05,306.00,0.00,0.00%,4,20,38.62%
SPY271217C00315000,2025-05-06 13:39:00,315,304.79,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY271217C00320000,2025-04-06 12:14:00,320,300.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00325000,2025-12-06 10:03:00,325,299.19,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00330000,2025-11-06 15:34:00,330,294.11,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00335000,6/17/2025 1:29 PM,335,289.26,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00340000,5/16/2025 2:51 PM,340,281.36,281.02,286.00,0.00,0.00%,1,7,40.10%
SPY271217C00345000,4/25/2025 4:03 PM,345,235.71,260.50,265.44,0.00,0.00%,2,10,29.94%
SPY271217C00350000,6/17/2025 11:05 AM,350,278.28,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00355000,2025-06-05 09:46:00,355,235.00,265.41,270.00,0.00,0.00%,1,12,37.29%
SPY271217C00360000,2025-02-06 09:55:00,360,259.03,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00365000,2025-12-05 09:30:00,365,247.50,266.18,271.00,0.00,0.00%,2,0,41.26%
SPY271217C00370000,2025-10-06 14:44:00,370,265.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00375000,5/15/2025 1:38 PM,375,247.92,252.00,256.28,0.00,0.00%,1,2,37.47%
SPY271217C00380000,4/24/2025 2:02 PM,380,202.30,231.65,236.50,0.00,0.00%,4,34,29.30%
SPY271217C00385000,6/16/2025 10:57 AM,385,251.76,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00390000,4/24/2025 11:52 AM,390,192.00,223.57,228.50,0.00,0.00%,1,15,29.11%
SPY271217C00395000,2025-12-06 10:27:00,395,241.55,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00400000,6/16/2025 12:26 PM,400,237.95,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00405000,2025-05-06 09:38:00,405,228.99,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY271217C00410000,2025-11-06 11:24:00,410,232.78,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00415000,5/29/2025 10:08 AM,415,215.07,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00420000,6/17/2025 10:17 AM,420,220.35,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00425000,2025-03-06 11:39:00,425,212.96,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00430000,2025-12-06 11:44:00,430,212.49,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00435000,5/23/2025 3:59 PM,435,191.43,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00440000,6/13/2025 4:02 PM,440,201.11,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY271217C00445000,2025-06-06 16:09:00,445,201.00,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY271217C00450000,6/17/2025 3:00 PM,450,194.60,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00455000,5/19/2025 1:52 PM,455,190.14,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00460000,6/17/2025 10:43 AM,460,189.45,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY271217C00465000,6/13/2025 10:10 AM,465,182.44,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY271217C00470000,6/13/2025 3:51 PM,470,177.81,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00475000,2025-10-06 10:52:00,475,178.86,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00480000,6/17/2025 10:24 AM,480,174.30,0.00,0.00,0.00,0.00%,15,0,0.00%
SPY271217C00485000,5/21/2025 11:52 AM,485,164.94,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00490000,6/13/2025 12:34 PM,490,166.83,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY271217C00495000,2025-04-06 12:16:00,495,160.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00500000,6/17/2025 3:45 PM,500,158.50,0.00,0.00,0.00,0.00%,109,0,0.00%
SPY271217C00505000,6/17/2025 11:18 AM,505,157.60,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00510000,6/17/2025 2:20 PM,510,150.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00515000,6/17/2025 3:06 PM,515,145.54,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00520000,6/17/2025 2:31 PM,520,141.69,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY271217C00525000,6/16/2025 3:20 PM,525,139.58,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY271217C00530000,6/17/2025 1:52 PM,530,137.05,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00535000,6/13/2025 4:00 PM,535,131.18,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00540000,6/17/2025 3:22 PM,540,130.15,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY271217C00545000,6/17/2025 11:04 AM,545,127.48,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00550000,6/17/2025 12:49 PM,550,124.47,0.00,0.00,0.00,0.00%,119,0,0.00%
SPY271217C00555000,6/13/2025 9:33 AM,555,119.50,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00560000,6/17/2025 4:01 PM,560,115.58,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY271217C00565000,6/17/2025 10:36 AM,565,113.77,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00570000,6/16/2025 11:17 AM,570,112.68,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00575000,6/17/2025 3:35 PM,575,105.59,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY271217C00580000,6/17/2025 3:39 PM,580,103.12,0.00,0.00,0.00,0.00%,353,0,0.00%
SPY271217C00585000,6/16/2025 1:00 PM,585,104.04,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY271217C00590000,6/17/2025 9:35 AM,590,96.79,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY271217C00595000,6/17/2025 3:40 PM,595,93.86,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY271217C00600000,6/17/2025 3:39 PM,600,90.57,0.00,0.00,0.00,0.00%,144,0,0.05%
SPY271217C00605000,6/17/2025 3:26 PM,605,87.71,0.00,0.00,0.00,0.00%,18,0,0.20%
SPY271217C00610000,6/17/2025 12:59 PM,610,84.82,0.00,0.00,0.00,0.00%,5,0,0.39%
SPY271217C00615000,6/17/2025 2:00 PM,615,81.20,0.00,0.00,0.00,0.00%,1,0,0.39%
SPY271217C00620000,6/17/2025 12:30 PM,620,79.88,0.00,0.00,0.00,0.00%,350,0,0.39%
SPY271217C00625000,6/16/2025 4:03 PM,625,79.07,0.00,0.00,0.00,0.00%,1,0,0.78%
SPY271217C00630000,6/17/2025 12:38 PM,630,74.56,0.00,0.00,0.00,0.00%,2,0,0.78%
SPY271217C00635000,6/13/2025 1:17 PM,635,71.25,0.00,0.00,0.00,0.00%,2,0,0.78%
SPY271217C00640000,6/16/2025 11:32 AM,640,70.57,0.00,0.00,0.00,0.00%,1,0,0.78%
SPY271217C00645000,6/17/2025 11:46 AM,645,66.31,0.00,0.00,0.00,0.00%,1,0,0.78%
SPY271217C00650000,6/17/2025 1:08 PM,650,62.85,0.00,0.00,0.00,0.00%,3,0,0.78%
SPY271217C00655000,6/17/2025 11:05 AM,655,62.00,0.00,0.00,0.00,0.00%,2,0,1.56%
SPY271217C00660000,6/17/2025 12:55 PM,660,57.90,0.00,0.00,0.00,0.00%,3,0,1.56%
SPY271217C00665000,6/16/2025 11:43 AM,665,57.45,0.00,0.00,0.00,0.00%,5,0,1.56%
SPY271217C00670000,6/17/2025 2:12 PM,670,52.21,0.00,0.00,0.00,0.00%,12,0,1.56%
SPY271217C00675000,6/17/2025 2:13 PM,675,49.80,0.00,0.00,0.00,0.00%,2,0,1.56%
SPY271217C00680000,6/13/2025 11:12 AM,680,48.36,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY271217C00685000,2025-11-06 13:23:00,685,48.50,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY271217C00690000,6/16/2025 9:30 AM,690,44.30,0.00,0.00,0.00,0.00%,6,0,1.56%
SPY271217C00695000,6/16/2025 9:30 AM,695,42.00,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY271217C00700000,6/17/2025 1:40 PM,700,39.30,0.00,0.00,0.00,0.00%,3,0,1.56%
SPY271217C00705000,6/16/2025 9:30 AM,705,37.84,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY271217C00710000,6/17/2025 2:27 PM,710,34.50,0.00,0.00,0.00,0.00%,5,0,1.56%
SPY271217C00715000,6/17/2025 10:31 AM,715,34.15,0.00,0.00,0.00,0.00%,12,0,1.56%
SPY271217C00720000,6/17/2025 2:16 PM,720,30.84,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY271217C00725000,6/17/2025 3:40 PM,725,29.30,0.00,0.00,0.00,0.00%,3,0,3.13%
SPY271217C00730000,6/17/2025 3:22 PM,730,27.55,0.00,0.00,0.00,0.00%,8,0,3.13%
SPY271217C00735000,6/17/2025 4:01 PM,735,25.87,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY271217C00740000,2025-12-06 16:02:00,740,26.24,0.00,0.00,0.00,0.00%,8,0,3.13%
SPY271217C00745000,2025-09-06 09:35:00,745,24.28,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY271217C00750000,6/17/2025 2:33 PM,750,21.20,0.00,0.00,0.00,0.00%,24,0,3.13%
SPY271217C00755000,6/16/2025 3:17 PM,755,21.46,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY271217C00760000,6/16/2025 3:17 PM,760,20.09,0.00,0.00,0.00,0.00%,66,0,3.13%
SPY271217C00765000,6/17/2025 12:49 PM,765,18.26,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY271217C00770000,6/17/2025 2:21 PM,770,16.45,0.00,0.00,0.00,0.00%,5,0,3.13%
SPY271217C00775000,6/17/2025 2:43 PM,775,15.18,0.00,0.00,0.00,0.00%,6,0,3.13%
SPY271217C00780000,6/16/2025 3:30 PM,780,15.22,0.00,0.00,0.00,0.00%,4,0,3.13%
SPY271217C00785000,2025-03-06 13:17:00,785,14.00,0.00,0.00,0.00,0.00%,11,0,3.13%
SPY271217C00790000,6/17/2025 10:42 AM,790,12.87,0.00,0.00,0.00,0.00%,9,0,3.13%
SPY271217C00795000,6/17/2025 2:08 PM,795,11.43,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY271217C00800000,6/17/2025 3:59 PM,800,10.76,0.00,0.00,0.00,0.00%,20,0,3.13%
SPY271217C00805000,6/16/2025 3:37 PM,805,10.77,0.00,0.00,0.00,0.00%,5,0,3.13%
SPY271217C00810000,6/16/2025 3:37 PM,810,10.01,0.00,0.00,0.00,0.00%,6,0,3.13%
