Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY260116C00210000,6/16/2025 10:41 AM,210,397.00,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00215000,2025-02-06 14:18:00,215,378.12,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00220000,2025-12-05 12:11:00,220,362.52,381.93,385.25,0.00,0.00%,14,18,84.92%
SPY260116C00225000,4/14/2025 9:52 AM,225,320.35,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY260116C00230000,4/14/2025 9:30 AM,230,319.50,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00235000,4/23/2025 3:57 PM,235,306.22,345.86,349.31,0.00,0.00%,1,9,0.00%
SPY260116C00240000,2/27/2025 2:45 PM,240,354.78,318.66,322.40,0.00,0.00%,2,9,0.00%
SPY260116C00245000,2024-06-12 14:47:00,245,370.35,342.67,345.41,0.00,0.00%,1,3,0.00%
SPY260116C00250000,2025-04-04 10:50:00,250,267.00,317.91,321.32,0.00,0.00%,21,101,0.00%
SPY260116C00255000,3/25/2025 12:47 PM,255,325.96,296.44,300.21,0.00,0.00%,2,29,0.00%
SPY260116C00260000,2025-09-04 15:51:00,260,291.00,307.36,310.69,0.00,0.00%,1,2,0.00%
SPY260116C00265000,2025-08-04 13:44:00,265,251.24,302.55,306.18,0.00,0.00%,2,2,0.00%
SPY260116C00270000,2025-11-06 11:05:00,270,338.74,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00275000,2025-06-01 11:42:00,275,334.00,331.96,335.73,0.00,0.00%,3,11,79.35%
SPY260116C00280000,2025-09-06 15:33:00,280,324.53,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00285000,1/21/2025 1:07 PM,285,326.48,320.93,324.76,0.00,0.00%,1,2,74.35%
SPY260116C00290000,5/29/2025 11:00 AM,290,306.18,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00295000,2025-03-06 14:02:00,295,305.56,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00300000,6/16/2025 10:23 AM,300,308.00,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00305000,2025-10-06 09:47:00,305,300.56,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00310000,5/14/2025 1:39 PM,310,283.01,290.76,294.06,0.00,0.00%,10,8,55.88%
SPY260116C00315000,6/16/2025 1:06 PM,315,292.64,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00320000,2025-09-05 09:52:00,320,253.81,283.09,286.51,0.00,0.00%,2,54,58.85%
SPY260116C00325000,6/13/2025 3:55 PM,325,276.58,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY260116C00330000,2025-04-06 14:04:00,330,273.91,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00335000,2025-07-04 09:38:00,335,165.66,235.70,239.05,0.00,0.00%,20,52,0.00%
SPY260116C00340000,2025-04-06 14:04:00,340,264.30,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00345000,5/23/2025 10:28 AM,345,241.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00350000,6/13/2025 12:43 PM,350,256.60,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260116C00355000,6/13/2025 3:29 PM,355,248.57,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY260116C00360000,6/13/2025 11:47 AM,360,249.34,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00365000,6/16/2025 11:23 AM,365,245.69,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00370000,6/16/2025 10:30 AM,370,240.36,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00375000,6/13/2025 3:55 PM,375,228.65,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00380000,2025-12-06 09:51:00,380,228.23,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00385000,2025-10-06 10:05:00,385,223.73,0.00,0.00,0.00,0.00%,23,0,0.00%
SPY260116C00390000,6/13/2025 3:00 PM,390,215.33,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00395000,2025-12-06 15:29:00,395,216.46,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00400000,6/13/2025 1:52 PM,400,208.71,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00405000,2025-10-06 12:33:00,405,205.69,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00410000,6/17/2025 10:10 AM,410,199.80,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00415000,2025-10-06 12:52:00,415,195.87,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00420000,6/17/2025 9:38 AM,420,188.47,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00425000,2025-12-06 15:26:00,425,187.99,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260116C00430000,6/17/2025 11:13 AM,430,181.44,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00435000,2025-10-06 14:16:00,435,176.54,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00440000,2025-12-06 15:28:00,440,173.97,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00445000,6/17/2025 11:48 AM,445,167.02,0.00,0.00,0.00,0.00%,7,0,0.00%
SPY260116C00450000,6/17/2025 3:01 PM,450,159.73,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00455000,2025-10-06 10:05:00,455,157.87,0.00,0.00,0.00,0.00%,23,0,0.00%
SPY260116C00460000,6/16/2025 11:03 AM,460,155.64,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260116C00465000,6/13/2025 3:10 PM,465,145.50,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00470000,2025-12-06 15:40:00,470,146.03,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260116C00475000,6/17/2025 3:26 PM,475,137.30,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00480000,6/16/2025 9:51 AM,480,135.90,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260116C00485000,6/16/2025 4:10 PM,485,131.88,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00490000,6/16/2025 10:40 AM,490,128.47,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00495000,6/16/2025 12:49 PM,495,122.78,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260116C00500000,6/17/2025 3:41 PM,500,114.57,0.00,0.00,0.00,0.00%,601,0,0.00%
SPY260116C00505000,6/17/2025 1:04 PM,505,112.25,0.00,0.00,0.00,0.00%,752,0,0.00%
SPY260116C00510000,6/13/2025 2:34 PM,510,104.48,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260116C00515000,6/13/2025 12:04 PM,515,104.59,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY260116C00520000,6/17/2025 11:13 AM,520,100.09,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY260116C00525000,6/17/2025 12:41 PM,525,95.73,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260116C00530000,6/17/2025 3:22 PM,530,89.51,0.00,0.00,0.00,0.00%,13,0,0.00%
SPY260116C00535000,6/16/2025 9:42 AM,535,87.45,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260116C00540000,6/17/2025 3:58 PM,540,80.66,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260116C00545000,6/17/2025 2:12 PM,545,76.99,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY260116C00550000,6/17/2025 3:46 PM,550,73.16,0.00,0.00,0.00,0.00%,21,0,0.00%
SPY260116C00555000,6/17/2025 3:13 PM,555,69.17,0.00,0.00,0.00,0.00%,34,0,0.00%
SPY260116C00560000,6/16/2025 11:21 AM,560,69.11,0.00,0.00,0.00,0.00%,67,0,0.00%
SPY260116C00565000,6/17/2025 3:54 PM,565,61.50,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260116C00570000,6/17/2025 3:38 PM,570,57.73,0.00,0.00,0.00,0.00%,32,0,0.00%
SPY260116C00575000,6/17/2025 2:44 PM,575,53.20,0.00,0.00,0.00,0.00%,7,0,0.00%
SPY260116C00580000,6/17/2025 3:23 PM,580,50.31,0.00,0.00,0.00,0.00%,47,0,0.00%
SPY260116C00585000,6/17/2025 3:08 PM,585,46.42,0.00,0.00,0.00,0.00%,155,0,0.00%
SPY260116C00590000,6/17/2025 4:00 PM,590,43.04,0.00,0.00,0.00,0.00%,1.224,0,0.00%
SPY260116C00595000,6/17/2025 3:39 PM,595,39.75,0.00,0.00,0.00,0.00%,754,0,0.00%
SPY260116C00600000,6/17/2025 4:01 PM,600,36.43,0.00,0.00,0.00,0.00%,219,0,0.20%
SPY260116C00605000,6/17/2025 2:06 PM,605,33.01,0.00,0.00,0.00,0.00%,218,0,0.39%
SPY260116C00610000,6/17/2025 3:57 PM,610,29.94,0.00,0.00,0.00,0.00%,56,0,0.78%
SPY260116C00615000,6/17/2025 2:44 PM,615,26.73,0.00,0.00,0.00,0.00%,23,0,0.78%
SPY260116C00620000,6/17/2025 3:20 PM,620,24.20,0.00,0.00,0.00,0.00%,8,0,0.78%
SPY260116C00625000,6/17/2025 3:39 PM,625,21.74,0.00,0.00,0.00,0.00%,40,0,1.56%
SPY260116C00630000,6/17/2025 3:41 PM,630,19.00,0.00,0.00,0.00,0.00%,16,0,1.56%
SPY260116C00635000,6/17/2025 3:44 PM,635,16.68,0.00,0.00,0.00,0.00%,47,0,1.56%
SPY260116C00640000,6/17/2025 3:59 PM,640,14.40,0.00,0.00,0.00,0.00%,24,0,1.56%
SPY260116C00645000,6/17/2025 3:59 PM,645,12.53,0.00,0.00,0.00,0.00%,17,0,1.56%
SPY260116C00650000,6/17/2025 4:11 PM,650,10.80,0.00,0.00,0.00,0.00%,154,0,3.13%
SPY260116C00655000,6/17/2025 3:14 PM,655,9.23,0.00,0.00,0.00,0.00%,23,0,3.13%
SPY260116C00660000,6/17/2025 4:14 PM,660,7.75,0.00,0.00,0.00,0.00%,310,0,3.13%
SPY260116C00665000,6/17/2025 3:57 PM,665,6.55,0.00,0.00,0.00,0.00%,27,0,3.13%
SPY260116C00670000,6/17/2025 4:08 PM,670,5.50,0.00,0.00,0.00,0.00%,85,0,3.13%
SPY260116C00675000,6/17/2025 3:54 PM,675,4.51,0.00,0.00,0.00,0.00%,48,0,3.13%
SPY260116C00680000,6/17/2025 3:50 PM,680,3.80,0.00,0.00,0.00,0.00%,204,0,3.13%
SPY260116C00685000,6/17/2025 3:19 PM,685,3.11,0.00,0.00,0.00,0.00%,8,0,3.13%
SPY260116C00690000,6/17/2025 3:55 PM,690,2.50,0.00,0.00,0.00,0.00%,12,0,3.13%
SPY260116C00695000,6/16/2025 3:18 PM,695,2.38,0.00,0.00,0.00,0.00%,258,0,3.13%
SPY260116C00700000,6/17/2025 3:59 PM,700,1.70,0.00,0.00,0.00,0.00%,276,0,3.13%
SPY260116C00705000,6/17/2025 4:11 PM,705,1.41,0.00,0.00,0.00,0.00%,12,0,3.13%
SPY260116C00710000,6/17/2025 1:54 PM,710,1.12,0.00,0.00,0.00,0.00%,9,0,3.13%
SPY260116C00715000,6/17/2025 12:57 PM,715,0.96,0.00,0.00,0.00,0.00%,5,0,6.25%
SPY260116C00720000,6/17/2025 2:53 PM,720,0.76,0.00,0.00,0.00,0.00%,39,0,6.25%
SPY260116C00725000,6/17/2025 3:51 PM,725,0.62,0.00,0.00,0.00,0.00%,16,0,6.25%
SPY260116C00730000,6/17/2025 10:13 AM,730,0.54,0.00,0.00,0.00,0.00%,4,0,6.25%
SPY260116C00735000,6/17/2025 1:29 PM,735,0.43,0.00,0.00,0.00,0.00%,10,0,6.25%
SPY260116C00740000,6/17/2025 11:27 AM,740,0.36,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00745000,6/17/2025 3:40 PM,745,0.27,0.00,0.00,0.00,0.00%,110,0,6.25%
SPY260116C00750000,6/17/2025 11:31 AM,750,0.26,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00755000,6/17/2025 3:51 PM,755,0.18,0.00,0.00,0.00,0.00%,12,0,6.25%
SPY260116C00760000,6/16/2025 1:20 PM,760,0.19,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00765000,6/17/2025 11:57 AM,765,0.14,0.00,0.00,0.00,0.00%,3,0,6.25%
SPY260116C00770000,6/17/2025 2:48 PM,770,0.11,0.00,0.00,0.00,0.00%,11,0,6.25%
SPY260116C00775000,6/17/2025 3:55 PM,775,0.10,0.00,0.00,0.00,0.00%,158,0,6.25%
SPY260116C00780000,6/17/2025 3:16 PM,780,0.08,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00785000,6/17/2025 3:10 PM,785,0.07,0.00,0.00,0.00,0.00%,7,0,6.25%
SPY260116C00790000,6/16/2025 10:02 AM,790,0.07,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00795000,2025-12-06 13:46:00,795,0.07,0.00,0.00,0.00,0.00%,12,0,6.25%
SPY260116C00800000,6/17/2025 10:00 AM,800,0.06,0.00,0.00,0.00,0.00%,5,0,6.25%
SPY260116C00805000,6/17/2025 10:48 AM,805,0.05,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY260116C00810000,6/17/2025 11:57 AM,810,0.04,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY260116C00815000,6/17/2025 1:30 PM,815,0.05,0.00,0.00,0.00,0.00%,4,0,6.25%
