Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250701C00530000,6/17/2025 10:45 AM,530,70.80,0.00,0.00,0.00,0.00%,2,-,0.00%
SPY250701C00540000,6/17/2025 2:28 PM,540,57.55,0.00,0.00,0.00,0.00%,6,-,0.00%
SPY250701C00545000,6/17/2025 2:31 PM,545,53.03,0.00,0.00,0.00,0.00%,18,-,0.00%
SPY250701C00555000,6/17/2025 10:49 AM,555,46.18,0.00,0.00,0.00,0.00%,4,-,0.00%
SPY250701C00560000,6/17/2025 10:53 AM,560,41.18,0.00,0.00,0.00,0.00%,6,-,0.00%
SPY250701C00570000,6/17/2025 9:30 AM,570,31.84,0.00,0.00,0.00,0.00%,1,-,0.00%
SPY250701C00575000,6/17/2025 3:59 PM,575,24.00,0.00,0.00,0.00,0.00%,6,-,0.00%
SPY250701C00580000,6/17/2025 2:54 PM,580,20.41,0.00,0.00,0.00,0.00%,9,-,0.00%
SPY250701C00585000,6/17/2025 2:34 PM,585,16.37,0.00,0.00,0.00,0.00%,31,-,0.00%
SPY250701C00590000,6/17/2025 3:53 PM,590,12.60,0.00,0.00,0.00,0.00%,138,-,0.00%
SPY250701C00595000,6/17/2025 4:14 PM,595,8.92,0.00,0.00,0.00,0.00%,702,-,0.00%
SPY250701C00600000,6/17/2025 4:12 PM,600,6.00,0.00,0.00,0.00,0.00%,1.112,-,0.39%
SPY250701C00605000,6/17/2025 4:12 PM,605,3.72,0.00,0.00,0.00,0.00%,531,-,1.56%
SPY250701C00610000,6/17/2025 4:10 PM,610,2.06,0.00,0.00,0.00,0.00%,1.922,-,3.13%
SPY250701C00615000,6/17/2025 3:59 PM,615,0.99,0.00,0.00,0.00,0.00%,110,-,3.13%
SPY250701C00620000,6/17/2025 3:57 PM,620,0.42,0.00,0.00,0.00,0.00%,131,-,3.13%
SPY250701C00625000,6/17/2025 3:13 PM,625,0.16,0.00,0.00,0.00,0.00%,192,-,6.25%
SPY250701C00630000,6/17/2025 2:01 PM,630,0.10,0.00,0.00,0.00,0.00%,81,-,6.25%
SPY250701C00640000,6/17/2025 3:44 PM,640,0.03,0.00,0.00,0.00,0.00%,3,-,6.25%
SPY250701C00655000,6/17/2025 9:48 AM,655,0.02,0.00,0.00,0.00,0.00%,1,-,12.50%
SPY250701C00660000,6/17/2025 9:52 AM,660,0.02,0.00,0.00,0.00,0.00%,21,-,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250701P00530000,6/17/2025 3:57 PM,530,0.61,0.00,0.00,0.00,0.00%,473,-,12.50%
SPY250701P00535000,6/17/2025 3:47 PM,535,0.64,0.00,0.00,0.00,0.00%,5,-,12.50%
SPY250701P00540000,6/17/2025 3:41 PM,540,0.75,0.00,0.00,0.00,0.00%,23,-,12.50%
SPY250701P00545000,6/17/2025 3:41 PM,545,0.87,0.00,0.00,0.00,0.00%,5,-,12.50%
SPY250701P00550000,6/17/2025 3:59 PM,550,1.01,0.00,0.00,0.00,0.00%,87,-,6.25%
SPY250701P00555000,6/17/2025 3:47 PM,555,1.14,0.00,0.00,0.00,0.00%,127,-,6.25%
SPY250701P00560000,6/17/2025 3:13 PM,560,1.43,0.00,0.00,0.00,0.00%,114,-,6.25%
SPY250701P00565000,6/17/2025 4:13 PM,565,1.80,0.00,0.00,0.00,0.00%,96,-,6.25%
SPY250701P00570000,6/17/2025 3:49 PM,570,2.03,0.00,0.00,0.00,0.00%,96,-,6.25%
SPY250701P00575000,6/17/2025 4:11 PM,575,2.75,0.00,0.00,0.00,0.00%,1.917,-,3.13%
SPY250701P00580000,6/17/2025 4:07 PM,580,3.44,0.00,0.00,0.00,0.00%,201,-,3.13%
SPY250701P00585000,6/17/2025 4:12 PM,585,4.45,0.00,0.00,0.00,0.00%,484,-,3.13%
SPY250701P00590000,6/17/2025 4:14 PM,590,5.68,0.00,0.00,0.00,0.00%,451,-,1.56%
SPY250701P00595000,6/17/2025 4:14 PM,595,7.27,0.00,0.00,0.00,0.00%,334,-,0.78%
SPY250701P00600000,6/17/2025 4:12 PM,600,9.40,0.00,0.00,0.00,0.00%,1.129,-,0.00%
SPY250701P00605000,6/17/2025 3:56 PM,605,11.80,0.00,0.00,0.00,0.00%,109,-,0.00%
SPY250701P00610000,6/17/2025 4:12 PM,610,15.53,0.00,0.00,0.00,0.00%,3,-,0.00%
SPY250701P00615000,6/17/2025 3:58 PM,615,18.28,0.00,0.00,0.00,0.00%,28,-,0.00%
