Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250624C00545000,6/13/2025 11:11 AM,545,54.65,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY250624C00555000,6/17/2025 11:44 AM,555,46.30,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00560000,6/16/2025 9:36 AM,560,40.96,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00565000,6/13/2025 9:52 AM,565,34.92,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY250624C00570000,6/17/2025 4:00 PM,570,27.58,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY250624C00575000,6/17/2025 2:31 PM,575,23.30,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY250624C00576000,6/16/2025 9:30 AM,576,26.85,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00577000,6/17/2025 1:50 PM,577,21.77,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00578000,6/17/2025 11:56 AM,578,23.09,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00580000,6/17/2025 1:30 PM,580,19.79,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250624C00581000,6/17/2025 10:06 AM,581,20.23,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250624C00582000,6/17/2025 12:57 PM,582,18.83,0.00,0.00,0.00,0.00%,12,0,0.00%
SPY250624C00583000,6/16/2025 10:13 AM,583,21.14,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250624C00584000,6/13/2025 2:39 PM,584,15.05,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY250624C00585000,6/17/2025 2:55 PM,585,14.33,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY250624C00587000,6/17/2025 2:15 PM,587,12.59,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY250624C00588000,6/17/2025 2:01 PM,588,11.84,0.00,0.00,0.00,0.00%,35,0,0.00%
SPY250624C00589000,6/17/2025 10:21 AM,589,13.32,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250624C00590000,6/17/2025 3:47 PM,590,10.47,0.00,0.00,0.00,0.00%,126,0,0.00%
SPY250624C00591000,6/17/2025 3:13 PM,591,9.61,0.00,0.00,0.00,0.00%,161,0,0.00%
SPY250624C00592000,6/17/2025 4:09 PM,592,8.71,0.00,0.00,0.00,0.00%,80,0,0.00%
SPY250624C00593000,6/17/2025 3:40 PM,593,8.14,0.00,0.00,0.00,0.00%,167,0,0.00%
SPY250624C00594000,6/17/2025 3:56 PM,594,7.48,0.00,0.00,0.00,0.00%,147,0,0.00%
SPY250624C00595000,6/17/2025 4:07 PM,595,6.74,0.00,0.00,0.00,0.00%,377,0,0.00%
SPY250624C00596000,6/17/2025 4:07 PM,596,6.11,0.00,0.00,0.00,0.00%,332,0,0.00%
SPY250624C00597000,6/17/2025 4:14 PM,597,5.44,0.00,0.00,0.00,0.00%,863,0,0.00%
SPY250624C00598000,6/17/2025 4:13 PM,598,4.81,0.00,0.00,0.00,0.00%,1.916,0,0.20%
SPY250624C00599000,6/17/2025 4:06 PM,599,4.46,0.00,0.00,0.00,0.00%,1.964,0,0.39%
SPY250624C00600000,6/17/2025 4:14 PM,600,3.82,0.00,0.00,0.00,0.00%,2.704,0,0.78%
SPY250624C00601000,6/17/2025 4:12 PM,601,3.41,0.00,0.00,0.00,0.00%,3.576,0,0.78%
SPY250624C00602000,6/17/2025 4:14 PM,602,2.97,0.00,0.00,0.00,0.00%,4.031,0,1.56%
SPY250624C00603000,6/17/2025 4:13 PM,603,2.54,0.00,0.00,0.00,0.00%,2.678,0,1.56%
SPY250624C00604000,6/17/2025 3:58 PM,604,2.22,0.00,0.00,0.00,0.00%,1.946,0,1.56%
SPY250624C00605000,6/17/2025 4:14 PM,605,1.86,0.00,0.00,0.00,0.00%,1.745,0,1.56%
SPY250624C00606000,6/17/2025 4:14 PM,606,1.55,0.00,0.00,0.00,0.00%,1.741,0,3.13%
SPY250624C00607000,6/17/2025 4:14 PM,607,1.29,0.00,0.00,0.00,0.00%,772,0,3.13%
SPY250624C00608000,6/17/2025 4:01 PM,608,1.13,0.00,0.00,0.00,0.00%,525,0,3.13%
SPY250624C00609000,6/17/2025 4:00 PM,609,0.91,0.00,0.00,0.00,0.00%,519,0,3.13%
SPY250624C00610000,6/17/2025 4:13 PM,610,0.68,0.00,0.00,0.00,0.00%,1.414,0,3.13%
SPY250624C00611000,6/17/2025 4:03 PM,611,0.56,0.00,0.00,0.00,0.00%,341,0,3.13%
SPY250624C00612000,6/17/2025 4:12 PM,612,0.43,0.00,0.00,0.00,0.00%,436,0,3.13%
SPY250624C00613000,6/17/2025 4:07 PM,613,0.33,0.00,0.00,0.00,0.00%,332,0,3.13%
SPY250624C00614000,6/17/2025 4:14 PM,614,0.24,0.00,0.00,0.00,0.00%,305,0,3.13%
SPY250624C00615000,6/17/2025 4:06 PM,615,0.18,0.00,0.00,0.00,0.00%,216,0,6.25%
SPY250624C00616000,6/17/2025 4:00 PM,616,0.14,0.00,0.00,0.00,0.00%,44,0,6.25%
SPY250624C00617000,6/17/2025 3:50 PM,617,0.11,0.00,0.00,0.00,0.00%,123,0,6.25%
SPY250624C00618000,6/17/2025 4:12 PM,618,0.06,0.00,0.00,0.00,0.00%,100,0,6.25%
SPY250624C00619000,6/17/2025 3:46 PM,619,0.06,0.00,0.00,0.00,0.00%,35,0,6.25%
SPY250624C00620000,6/17/2025 4:04 PM,620,0.04,0.00,0.00,0.00,0.00%,393,0,6.25%
SPY250624C00621000,6/17/2025 4:14 PM,621,0.02,0.00,0.00,0.00,0.00%,135,0,6.25%
SPY250624C00622000,6/17/2025 1:41 PM,622,0.05,0.00,0.00,0.00,0.00%,6,0,6.25%
SPY250624C00623000,6/17/2025 1:54 PM,623,0.04,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY250624C00624000,6/17/2025 3:16 PM,624,0.02,0.00,0.00,0.00,0.00%,68,0,6.25%
SPY250624C00625000,6/17/2025 4:09 PM,625,0.01,0.00,0.00,0.00,0.00%,136,0,6.25%
SPY250624C00630000,6/17/2025 4:09 PM,630,0.01,0.00,0.00,0.00,0.00%,111,0,6.25%
SPY250624C00635000,6/17/2025 3:48 PM,635,0.01,0.00,0.00,0.00,0.00%,320,0,12.50%
SPY250624C00640000,6/17/2025 3:46 PM,640,0.01,0.00,0.00,0.00,0.00%,325,0,12.50%
SPY250624C00645000,6/17/2025 1:22 PM,645,0.01,0.00,0.00,0.00,0.00%,164,0,12.50%
SPY250624C00660000,2025-10-06 09:44:00,660,0.03,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY250624C00675000,2025-11-06 10:26:00,675,0.01,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY250624C00680000,2025-11-06 10:32:00,680,0.01,0.00,0.00,0.00,0.00%,-,0,25.00%
SPY250624C00700000,6/17/2025 10:36 AM,700,0.01,0.00,0.00,0.00,0.00%,1,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250624P00450000,6/17/2025 1:35 PM,450,0.03,0.00,0.00,0.00,0.00%,73,0,50.00%
SPY250624P00455000,6/16/2025 3:37 PM,455,0.03,0.00,0.00,0.00,0.00%,1,0,50.00%
SPY250624P00460000,6/17/2025 10:16 AM,460,0.03,0.00,0.00,0.00,0.00%,50,0,50.00%
SPY250624P00465000,6/17/2025 3:32 PM,465,0.04,0.00,0.00,0.00,0.00%,218,0,25.00%
SPY250624P00470000,2025-12-06 10:53:00,470,0.05,0.00,0.00,0.00,0.00%,-,0,25.00%
SPY250624P00475000,6/17/2025 11:15 AM,475,0.04,0.00,0.00,0.00,0.00%,5,0,25.00%
SPY250624P00480000,6/16/2025 10:33 AM,480,0.04,0.00,0.00,0.00,0.00%,66,0,25.00%
SPY250624P00485000,6/17/2025 10:58 AM,485,0.05,0.00,0.00,0.00,0.00%,16,0,25.00%
SPY250624P00490000,6/16/2025 9:31 AM,490,0.05,0.00,0.00,0.00,0.00%,2,0,25.00%
SPY250624P00495000,6/17/2025 2:45 PM,495,0.11,0.00,0.00,0.00,0.00%,150,0,25.00%
SPY250624P00500000,6/17/2025 4:14 PM,500,0.11,0.00,0.00,0.00,0.00%,266,0,25.00%
SPY250624P00505000,6/17/2025 2:59 PM,505,0.11,0.00,0.00,0.00,0.00%,112,0,25.00%
SPY250624P00510000,6/17/2025 12:25 PM,510,0.10,0.00,0.00,0.00,0.00%,1,0,25.00%
SPY250624P00515000,6/17/2025 2:47 PM,515,0.17,0.00,0.00,0.00,0.00%,13,0,25.00%
SPY250624P00520000,6/17/2025 3:53 PM,520,0.14,0.00,0.00,0.00,0.00%,46,0,25.00%
SPY250624P00525000,6/17/2025 2:42 PM,525,0.22,0.00,0.00,0.00,0.00%,8,0,25.00%
SPY250624P00530000,6/17/2025 4:11 PM,530,0.21,0.00,0.00,0.00,0.00%,13,0,12.50%
SPY250624P00535000,6/17/2025 4:03 PM,535,0.21,0.00,0.00,0.00,0.00%,8,0,12.50%
SPY250624P00540000,6/17/2025 3:52 PM,540,0.25,0.00,0.00,0.00,0.00%,132,0,12.50%
SPY250624P00545000,6/17/2025 3:42 PM,545,0.30,0.00,0.00,0.00,0.00%,35,0,12.50%
SPY250624P00550000,6/17/2025 4:10 PM,550,0.37,0.00,0.00,0.00,0.00%,137,0,12.50%
SPY250624P00555000,6/17/2025 3:58 PM,555,0.40,0.00,0.00,0.00,0.00%,92,0,12.50%
SPY250624P00560000,6/17/2025 4:12 PM,560,0.56,0.00,0.00,0.00,0.00%,391,0,12.50%
SPY250624P00565000,6/17/2025 4:11 PM,565,0.71,0.00,0.00,0.00,0.00%,1.133,0,6.25%
SPY250624P00570000,6/17/2025 4:12 PM,570,0.96,0.00,0.00,0.00,0.00%,3.344,0,6.25%
SPY250624P00575000,6/17/2025 4:14 PM,575,1.34,0.00,0.00,0.00,0.00%,2.889,0,6.25%
SPY250624P00576000,6/17/2025 4:08 PM,576,1.40,0.00,0.00,0.00,0.00%,415,0,6.25%
SPY250624P00577000,6/17/2025 4:03 PM,577,1.46,0.00,0.00,0.00,0.00%,96,0,6.25%
SPY250624P00578000,6/17/2025 4:03 PM,578,1.54,0.00,0.00,0.00,0.00%,395,0,6.25%
SPY250624P00579000,6/17/2025 4:05 PM,579,1.71,0.00,0.00,0.00,0.00%,132,0,6.25%
SPY250624P00580000,6/17/2025 4:13 PM,580,1.91,0.00,0.00,0.00,0.00%,941,0,6.25%
SPY250624P00581000,6/17/2025 4:14 PM,581,2.05,0.00,0.00,0.00,0.00%,323,0,6.25%
SPY250624P00582000,6/17/2025 4:10 PM,582,2.15,0.00,0.00,0.00,0.00%,93,0,3.13%
SPY250624P00583000,6/17/2025 4:08 PM,583,2.28,0.00,0.00,0.00,0.00%,105,0,3.13%
SPY250624P00584000,6/17/2025 4:10 PM,584,2.46,0.00,0.00,0.00,0.00%,255,0,3.13%
SPY250624P00585000,6/17/2025 4:00 PM,585,2.55,0.00,0.00,0.00,0.00%,1.634,0,3.13%
SPY250624P00586000,6/17/2025 4:07 PM,586,2.82,0.00,0.00,0.00,0.00%,303,0,3.13%
SPY250624P00587000,6/17/2025 4:14 PM,587,3.13,0.00,0.00,0.00,0.00%,195,0,3.13%
SPY250624P00588000,6/17/2025 4:07 PM,588,3.26,0.00,0.00,0.00,0.00%,309,0,3.13%
SPY250624P00589000,6/17/2025 4:10 PM,589,3.53,0.00,0.00,0.00,0.00%,283,0,3.13%
SPY250624P00590000,6/17/2025 4:14 PM,590,3.87,0.00,0.00,0.00,0.00%,1.571,0,1.56%
SPY250624P00591000,6/17/2025 4:10 PM,591,4.05,0.00,0.00,0.00,0.00%,286,0,1.56%
SPY250624P00592000,6/17/2025 4:13 PM,592,4.48,0.00,0.00,0.00,0.00%,255,0,1.56%
SPY250624P00593000,6/17/2025 4:07 PM,593,4.64,0.00,0.00,0.00,0.00%,749,0,1.56%
SPY250624P00594000,6/17/2025 4:00 PM,594,4.89,0.00,0.00,0.00,0.00%,2.718,0,0.78%
SPY250624P00595000,6/17/2025 4:14 PM,595,5.52,0.00,0.00,0.00,0.00%,3.083,0,0.78%
SPY250624P00596000,6/17/2025 4:14 PM,596,5.88,0.00,0.00,0.00,0.00%,494,0,0.39%
SPY250624P00597000,6/17/2025 4:14 PM,597,6.31,0.00,0.00,0.00,0.00%,1.313,0,0.20%
SPY250624P00598000,6/17/2025 4:14 PM,598,6.78,0.00,0.00,0.00,0.00%,2.544,0,0.00%
SPY250624P00599000,6/17/2025 4:00 PM,599,6.96,0.00,0.00,0.00,0.00%,1.396,0,0.00%
SPY250624P00600000,6/17/2025 4:06 PM,600,7.51,0.00,0.00,0.00,0.00%,3.999,0,0.00%
SPY250624P00601000,6/17/2025 3:57 PM,601,7.91,0.00,0.00,0.00,0.00%,1.921,0,0.00%
SPY250624P00602000,6/17/2025 3:59 PM,602,8.85,0.00,0.00,0.00,0.00%,401,0,0.00%
SPY250624P00603000,6/17/2025 3:53 PM,603,8.96,0.00,0.00,0.00,0.00%,314,0,0.00%
SPY250624P00604000,6/17/2025 2:40 PM,604,10.46,0.00,0.00,0.00,0.00%,42,0,0.00%
SPY250624P00605000,6/17/2025 4:10 PM,605,10.68,0.00,0.00,0.00,0.00%,36,0,0.00%
SPY250624P00606000,6/17/2025 3:59 PM,606,11.45,0.00,0.00,0.00,0.00%,22,0,0.00%
