Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY260331C00345000,2025-11-06 14:06:00,345,265.38,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00350000,2025-11-06 12:52:00,350,262.63,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00355000,5/16/2025 1:28 PM,355,249.50,250.54,253.93,0.00,0.00%,1,1,49.37%
SPY260331C00360000,4/25/2025 9:31 AM,360,200.06,228.59,232.48,0.00,0.00%,1,1,0.00%
SPY260331C00365000,2025-05-06 09:33:00,365,241.90,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00370000,2025-03-06 15:25:00,370,237.13,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00380000,5/21/2025 2:46 PM,380,218.93,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00385000,2025-11-06 12:14:00,385,229.01,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY260331C00390000,5/19/2025 9:43 AM,390,212.11,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00395000,5/23/2025 11:31 AM,395,198.09,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00400000,2025-10-06 10:52:00,400,213.88,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00410000,4/24/2025 9:58 AM,410,149.06,182.56,186.45,0.00,0.00%,1,2,0.00%
SPY260331C00415000,2025-05-06 11:15:00,415,196.49,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00420000,2025-10-04 13:24:00,420,125.02,159.68,164.50,0.00,0.00%,1,4,0.00%
SPY260331C00425000,2025-03-06 15:43:00,425,186.08,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00430000,6/16/2025 4:06 PM,430,187.03,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00435000,2025-03-06 15:25:00,435,176.91,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00440000,4/29/2025 1:58 PM,440,136.92,165.04,168.93,0.00,0.00%,1,4,33.00%
SPY260331C00445000,2025-06-06 10:08:00,445,171.28,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00450000,2025-04-06 15:50:00,450,161.26,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00455000,6/16/2025 4:10 PM,455,164.24,0.00,0.00,0.00,0.00%,29,0,0.00%
SPY260331C00460000,6/17/2025 11:10 AM,460,158.18,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00465000,2025-12-06 14:32:00,465,155.09,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00470000,2025-06-06 10:33:00,470,148.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00475000,2025-12-06 14:28:00,475,146.50,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00480000,5/30/2025 2:35 PM,480,130.32,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00485000,2025-10-06 09:45:00,485,135.61,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00490000,2025-03-06 11:17:00,490,126.90,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY260331C00495000,5/21/2025 2:59 PM,495,115.37,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00500000,6/17/2025 12:55 PM,500,122.37,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00504000,2025-12-06 14:27:00,504,121.21,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00505000,6/17/2025 9:55 AM,505,118.34,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00506000,5/15/2025 1:05 PM,506,111.15,113.45,116.98,0.00,0.00%,1,2,31.16%
SPY260331C00507000,4/30/2025 9:54 AM,507,74.97,106.67,110.47,0.00,0.00%,2,0,27.47%
SPY260331C00508000,6/13/2025 10:08 AM,508,115.19,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00509000,2025-06-06 09:30:00,509,113.64,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00510000,6/17/2025 10:47 AM,510,114.51,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00512000,2025-07-04 10:14:00,512,52.40,84.55,88.07,0.00,0.00%,10,0,12.80%
SPY260331C00513000,5/19/2025 9:38 AM,513,104.38,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00514000,2025-05-06 12:49:00,514,106.19,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00515000,5/28/2025 2:26 PM,515,102.85,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY260331C00516000,2025-05-05 09:50:00,516,82.70,0.00,0.00,0.00,0.00%,1,10,0.00%
SPY260331C00517000,2025-06-05 12:28:00,517,80.59,102.13,103.75,0.00,0.00%,-,1,27.61%
SPY260331C00518000,5/19/2025 9:36 AM,518,100.96,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00519000,4/14/2025 11:07 AM,519,68.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00520000,2025-06-06 09:48:00,520,106.20,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00521000,2025-12-05 09:38:00,521,90.10,106.42,108.07,0.00,0.00%,1,0,31.73%
SPY260331C00522000,4/29/2025 11:01 AM,522,71.09,95.21,98.09,0.00,0.00%,12,5,26.24%
SPY260331C00523000,4/23/2025 9:35 AM,523,63.40,87.21,90.22,0.00,0.00%,1,4,21.78%
SPY260331C00524000,6/17/2025 2:34 PM,524,100.25,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00525000,5/30/2025 3:28 PM,525,95.00,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00526000,5/20/2025 10:41 AM,526,97.73,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00527000,2025-12-05 13:46:00,527,86.80,98.80,102.30,0.00,0.00%,2,3,30.60%
SPY260331C00528000,5/20/2025 10:12 AM,528,95.16,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00529000,2025-10-06 10:46:00,529,99.31,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00530000,5/14/2025 2:54 PM,530,89.40,93.66,96.76,0.00,0.00%,2,45,28.53%
SPY260331C00531000,2025-06-06 10:26:00,531,96.53,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00532000,2025-12-05 09:37:00,532,81.59,97.36,98.94,0.00,0.00%,1,3,30.46%
SPY260331C00533000,2025-02-06 10:56:00,533,87.07,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY260331C00534000,4/28/2025 11:15 AM,534,60.98,86.95,88.15,0.00,0.00%,1,13,25.10%
SPY260331C00535000,6/16/2025 10:59 AM,535,95.87,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00536000,4/29/2025 12:41 PM,536,61.22,84.31,86.91,0.00,0.00%,1,4,25.13%
SPY260331C00537000,5/28/2025 3:50 PM,537,84.40,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00538000,6/17/2025 2:21 PM,538,88.92,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00539000,6/13/2025 2:31 PM,539,88.48,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00540000,2025-11-06 11:35:00,540,92.14,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00541000,2025-04-06 11:34:00,541,86.13,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00542000,2025-04-06 10:06:00,542,84.78,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00543000,5/22/2025 10:23 AM,543,76.51,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00544000,6/13/2025 11:54 AM,544,86.66,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00545000,6/16/2025 10:22 AM,545,87.58,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00546000,2025-12-05 15:39:00,546,73.19,84.69,85.92,0.00,0.00%,1,3,27.99%
SPY260331C00547000,5/19/2025 9:40 AM,547,78.54,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00548000,2025-02-06 09:40:00,548,75.85,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00549000,2025-02-06 15:43:00,549,77.25,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00550000,6/17/2025 3:56 PM,550,79.61,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00551000,5/14/2025 9:41 AM,551,73.52,77.07,80.23,0.00,0.00%,2,7,26.54%
SPY260331C00552000,6/16/2025 12:08 PM,552,81.83,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00553000,5/23/2025 9:38 AM,553,65.51,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00554000,6/17/2025 12:21 PM,554,78.83,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00555000,6/16/2025 10:45 AM,555,80.62,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY260331C00556000,2025-03-06 10:47:00,556,72.53,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00557000,6/17/2025 12:21 PM,557,76.50,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00558000,2025-10-06 10:00:00,558,75.44,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00559000,2025-10-06 15:13:00,559,76.39,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY260331C00560000,6/17/2025 4:02 PM,560,72.30,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00561000,2025-11-06 15:37:00,561,73.23,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00562000,2025-12-05 09:30:00,562,61.07,73.80,74.95,0.00,0.00%,1,26,27.06%
SPY260331C00563000,2025-12-05 11:47:00,563,58.50,71.52,72.61,0.00,0.00%,1,1,26.16%
SPY260331C00564000,5/20/2025 2:01 PM,564,67.64,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY260331C00565000,2025-12-06 15:54:00,565,71.55,0.00,0.00,0.00,0.00%,48,0,0.00%
SPY260331C00566000,6/17/2025 9:39 AM,566,69.60,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00567000,2025-05-06 11:21:00,567,67.71,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00568000,5/28/2025 9:57 AM,568,62.99,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00569000,2025-12-06 15:44:00,569,68.70,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00570000,6/13/2025 2:36 PM,570,63.61,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00572000,2025-12-06 15:48:00,572,66.35,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00573000,2025-07-04 10:15:00,573,23.00,43.75,45.72,0.00,0.00%,1,1,15.44%
SPY260331C00574000,6/16/2025 10:28 AM,574,65.64,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00575000,2025-12-06 13:50:00,575,64.38,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00576000,5/16/2025 9:33 AM,576,57.10,59.30,60.57,0.00,0.00%,1,1,23.67%
SPY260331C00577000,2025-09-06 15:49:00,577,61.15,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00578000,2025-12-06 12:55:00,578,61.84,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00579000,5/13/2025 4:00 PM,579,52.60,56.30,59.63,0.00,0.00%,7,9,23.97%
SPY260331C00580000,6/17/2025 4:00 PM,580,57.30,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY260331C00581000,6/17/2025 4:00 PM,581,56.50,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY260331C00582000,6/16/2025 10:29 AM,582,59.73,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00583000,5/30/2025 9:52 AM,583,49.57,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00584000,2025-10-06 15:32:00,584,57.39,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00585000,6/17/2025 3:55 PM,585,53.50,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00586000,6/16/2025 10:36 AM,586,56.80,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00590000,6/17/2025 1:47 PM,590,50.64,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY260331C00595000,6/17/2025 10:37 AM,595,48.74,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY260331C00600000,6/17/2025 3:21 PM,600,43.86,0.00,0.00,0.00,0.00%,5,0,0.10%
SPY260331C00605000,6/17/2025 1:00 PM,605,41.28,0.00,0.00,0.00,0.00%,3,0,0.39%
SPY260331C00610000,6/17/2025 1:27 PM,610,38.19,0.00,0.00,0.00,0.00%,2,0,0.39%
SPY260331C00615000,6/17/2025 10:37 AM,615,35.51,0.00,0.00,0.00,0.00%,2,0,0.78%
SPY260331C00620000,6/17/2025 3:45 PM,620,31.06,0.00,0.00,0.00,0.00%,5,0,0.78%
SPY260331C00625000,6/16/2025 3:40 PM,625,30.25,0.00,0.00,0.00,0.00%,42,0,0.78%
SPY260331C00630000,6/13/2025 1:34 PM,630,27.04,0.00,0.00,0.00,0.00%,2,0,1.56%
SPY260331C00635000,6/16/2025 9:45 AM,635,24.90,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY260331C00640000,6/17/2025 2:05 PM,640,20.85,0.00,0.00,0.00,0.00%,1,0,1.56%
SPY260331C00645000,6/17/2025 3:32 PM,645,18.85,0.00,0.00,0.00,0.00%,1,0,1.56%
