Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY251128C00410000,2025-04-06 15:53:00,410,194.58,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00450000,2025-02-06 12:41:00,450,150.18,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00470000,2025-09-06 11:25:00,470,140.09,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00475000,6/17/2025 10:05 AM,475,136.27,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00480000,6/16/2025 3:43 PM,480,133.03,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00490000,6/16/2025 10:06 AM,490,124.81,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251128C00500000,2025-10-06 09:46:00,500,113.47,0.00,0.00,0.00,0.00%,15,0,0.00%
SPY251128C00510000,6/17/2025 12:32 PM,510,105.40,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00520000,2025-09-06 09:53:00,520,94.86,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00524000,2025-09-06 09:33:00,524,91.29,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00525000,6/13/2025 9:50 AM,525,90.68,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251128C00531000,6/16/2025 2:33 PM,531,87.70,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY251128C00536000,2025-09-06 10:51:00,536,81.31,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00540000,6/13/2025 9:45 AM,540,78.21,0.00,0.00,0.00,0.00%,13,0,0.00%
SPY251128C00542000,2025-02-06 13:56:00,542,69.79,0.00,0.00,0.00,0.00%,37,0,0.00%
SPY251128C00544000,2025-02-06 11:18:00,544,67.65,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00549000,6/13/2025 2:42 PM,549,68.62,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00550000,2025-10-06 10:35:00,550,70.86,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00554000,2025-05-06 10:00:00,554,63.58,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00555000,6/13/2025 10:27 AM,555,64.38,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00558000,2025-06-06 14:13:00,558,63.99,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00560000,2025-09-06 09:57:00,560,61.49,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY251128C00561000,6/13/2025 9:58 AM,561,60.23,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00563000,2025-02-06 13:33:00,563,53.54,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00564000,5/30/2025 3:46 PM,564,53.00,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY251128C00565000,2025-09-06 10:12:00,565,57.86,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00567000,2025-09-06 11:45:00,567,56.21,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY251128C00570000,6/17/2025 2:32 PM,570,52.67,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00571000,2025-06-06 10:36:00,571,53.46,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251128C00572000,6/17/2025 1:13 PM,572,52.55,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00575000,6/13/2025 12:09 PM,575,51.13,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251128C00576000,2025-03-06 13:11:00,576,48.40,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00577000,6/13/2025 10:15 AM,577,47.69,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00579000,2025-06-06 09:39:00,579,47.44,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00580000,6/16/2025 11:45 AM,580,48.69,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY251128C00581000,2025-09-06 12:36:00,581,45.93,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY251128C00584000,6/17/2025 2:03 PM,584,42.28,0.00,0.00,0.00,0.00%,50,0,0.00%
SPY251128C00585000,6/17/2025 2:03 PM,585,41.54,0.00,0.00,0.00,0.00%,50,0,0.00%
SPY251128C00586000,2025-03-06 12:40:00,586,41.05,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00587000,2025-02-06 14:43:00,587,37.31,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00588000,2025-05-06 12:52:00,588,38.15,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00589000,2025-11-06 13:23:00,589,42.19,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00590000,6/17/2025 10:08 AM,590,39.48,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00591000,6/16/2025 9:49 AM,591,39.90,0.00,0.00,0.00,0.00%,9,0,0.00%
SPY251128C00592000,2025-02-06 15:42:00,592,34.32,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00593000,2025-06-06 09:33:00,593,37.10,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00594000,6/16/2025 9:54 AM,594,38.42,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251128C00595000,6/16/2025 3:13 PM,595,36.82,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY251128C00596000,6/17/2025 10:35 AM,596,35.50,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251128C00597000,2025-04-06 13:35:00,597,34.04,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251128C00598000,6/17/2025 2:53 PM,598,32.38,0.00,0.00,0.00,0.00%,46,0,0.05%
SPY251128C00599000,6/17/2025 3:53 PM,599,32.00,0.00,0.00,0.00,0.00%,6,0,0.10%
SPY251128C00600000,6/17/2025 3:40 PM,600,31.44,0.00,0.00,0.00,0.00%,47,0,0.20%
SPY251128C00601000,6/17/2025 3:42 PM,601,30.68,0.00,0.00,0.00,0.00%,6,0,0.20%
SPY251128C00602000,6/17/2025 3:40 PM,602,30.16,0.00,0.00,0.00,0.00%,20,0,0.20%
SPY251128C00603000,6/17/2025 3:41 PM,603,29.35,0.00,0.00,0.00,0.00%,27,0,0.39%
SPY251128C00604000,6/17/2025 3:39 PM,604,28.92,0.00,0.00,0.00,0.00%,20,0,0.39%
SPY251128C00605000,6/17/2025 3:50 PM,605,28.31,0.00,0.00,0.00,0.00%,39,0,0.39%
SPY251128C00606000,6/17/2025 3:40 PM,606,27.64,0.00,0.00,0.00,0.00%,19,0,0.39%
SPY251128C00610000,6/17/2025 3:38 PM,610,25.33,0.00,0.00,0.00,0.00%,22,0,0.78%
SPY251128C00615000,6/17/2025 3:34 PM,615,22.35,0.00,0.00,0.00,0.00%,81,0,0.78%
SPY251128C00620000,6/17/2025 3:34 PM,620,19.58,0.00,0.00,0.00,0.00%,89,0,1.56%
SPY251128C00625000,6/17/2025 3:34 PM,625,17.02,0.00,0.00,0.00,0.00%,80,0,1.56%
SPY251128C00630000,6/17/2025 3:34 PM,630,14.67,0.00,0.00,0.00,0.00%,54,0,1.56%
SPY251128C00635000,6/17/2025 3:21 PM,635,12.46,0.00,0.00,0.00,0.00%,58,0,1.56%
SPY251128C00640000,6/17/2025 1:59 PM,640,10.52,0.00,0.00,0.00,0.00%,5,0,1.56%
SPY251128C00645000,6/17/2025 1:59 PM,645,8.83,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128C00650000,6/17/2025 2:33 PM,650,7.22,0.00,0.00,0.00,0.00%,10,0,3.13%
SPY251128C00655000,6/17/2025 2:00 PM,655,5.92,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY251128C00660000,6/17/2025 2:35 PM,660,4.88,0.00,0.00,0.00,0.00%,79,0,3.13%
SPY251128C00665000,6/16/2025 3:25 PM,665,4.52,0.00,0.00,0.00,0.00%,25,0,3.13%
SPY251128C00670000,6/17/2025 10:01 AM,670,3.46,0.00,0.00,0.00,0.00%,10,0,3.13%
SPY251128C00675000,2025-10-06 14:28:00,675,2.93,0.00,0.00,0.00,0.00%,-,0,3.13%
SPY251128C00680000,6/16/2025 12:43 PM,680,2.42,0.00,0.00,0.00,0.00%,3,0,3.13%
SPY251128C00685000,6/16/2025 11:15 AM,685,1.99,0.00,0.00,0.00,0.00%,3,0,3.13%
SPY251128C00690000,6/17/2025 11:29 AM,690,1.39,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128C00695000,6/16/2025 10:51 AM,695,1.23,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128C00700000,6/17/2025 10:37 AM,700,0.87,0.00,0.00,0.00,0.00%,2,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY251128P00390000,6/16/2025 3:56 PM,390,1.80,0.00,0.00,0.00,0.00%,4,0,12.50%
SPY251128P00395000,2025-12-06 14:36:00,395,1.84,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY251128P00400000,6/13/2025 11:56 AM,400,2.06,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY251128P00405000,2025-12-06 15:38:00,405,2.02,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY251128P00410000,6/16/2025 11:51 AM,410,2.09,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251128P00415000,2025-11-06 13:43:00,415,2.04,0.00,0.00,0.00,0.00%,-,0,12.50%
SPY251128P00420000,6/16/2025 11:25 AM,420,2.30,0.00,0.00,0.00,0.00%,8,0,12.50%
SPY251128P00425000,6/17/2025 11:22 AM,425,2.69,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251128P00430000,6/16/2025 11:22 AM,430,2.56,0.00,0.00,0.00,0.00%,4,0,12.50%
SPY251128P00435000,6/17/2025 3:08 PM,435,3.30,0.00,0.00,0.00,0.00%,9,0,12.50%
SPY251128P00440000,6/17/2025 11:12 AM,440,3.11,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251128P00445000,6/16/2025 9:30 AM,445,3.22,0.00,0.00,0.00,0.00%,14,0,6.25%
SPY251128P00450000,6/17/2025 2:04 PM,450,3.90,0.00,0.00,0.00,0.00%,7,0,6.25%
SPY251128P00455000,6/16/2025 10:00 AM,455,3.39,0.00,0.00,0.00,0.00%,19,0,6.25%
SPY251128P00460000,2025-12-06 15:46:00,460,3.66,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251128P00465000,6/16/2025 10:44 AM,465,3.74,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251128P00470000,6/17/2025 2:24 PM,470,4.86,0.00,0.00,0.00,0.00%,6,0,6.25%
SPY251128P00475000,6/17/2025 1:32 PM,475,4.95,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251128P00480000,6/17/2025 12:46 PM,480,5.00,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251128P00490000,6/13/2025 3:31 PM,490,6.49,0.00,0.00,0.00,0.00%,157,0,6.25%
SPY251128P00495000,6/16/2025 11:48 AM,495,5.49,0.00,0.00,0.00,0.00%,10,0,6.25%
SPY251128P00500000,6/17/2025 3:31 PM,500,7.00,0.00,0.00,0.00,0.00%,68,0,6.25%
SPY251128P00505000,6/13/2025 4:13 PM,505,7.65,0.00,0.00,0.00,0.00%,-,0,6.25%
SPY251128P00510000,6/16/2025 11:24 AM,510,6.62,0.00,0.00,0.00,0.00%,3,0,6.25%
SPY251128P00515000,6/17/2025 2:10 PM,515,8.52,0.00,0.00,0.00,0.00%,31,0,3.13%
SPY251128P00520000,6/16/2025 10:00 AM,520,7.70,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128P00522000,6/17/2025 3:12 PM,522,9.33,0.00,0.00,0.00,0.00%,20,0,3.13%
SPY251128P00523000,2025-09-06 09:31:00,523,8.50,0.00,0.00,0.00,0.00%,5,0,3.13%
SPY251128P00525000,6/17/2025 12:28 PM,525,8.84,0.00,0.00,0.00,0.00%,4,0,3.13%
SPY251128P00528000,2025-06-06 14:34:00,528,8.92,0.00,0.00,0.00,0.00%,4,0,3.13%
SPY251128P00529000,2025-02-06 15:04:00,529,10.90,0.00,0.00,0.00,0.00%,-,0,3.13%
SPY251128P00530000,2025-11-06 13:29:00,530,8.22,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128P00531000,6/16/2025 12:40 PM,531,9.10,0.00,0.00,0.00,0.00%,194,0,3.13%
SPY251128P00532000,2025-12-06 16:10:00,532,8.99,0.00,0.00,0.00,0.00%,-,0,3.13%
SPY251128P00533000,2025-12-06 15:13:00,533,9.21,0.00,0.00,0.00,0.00%,2,0,3.13%
SPY251128P00534000,2025-09-06 11:22:00,534,9.79,0.00,0.00,0.00,0.00%,5,0,3.13%
SPY251128P00535000,6/17/2025 9:49 AM,535,10.33,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128P00536000,6/17/2025 10:25 AM,536,10.18,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128P00537000,2025-09-06 11:26:00,537,10.21,0.00,0.00,0.00,0.00%,1,0,3.13%
SPY251128P00538000,5/30/2025 2:18 PM,538,13.64,0.00,0.00,0.00,0.00%,11,0,3.13%
SPY251128P00539000,6/17/2025 2:30 PM,539,11.71,0.00,0.00,0.00,0.00%,9,0,3.13%
SPY251128P00540000,6/17/2025 10:20 AM,540,10.68,0.00,0.00,0.00,0.00%,10,0,3.13%
SPY251128P00542000,2025-02-06 16:13:00,542,12.86,0.00,0.00,0.00,0.00%,1,0,3.13%
