Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY251017C00330000,6/13/2025 11:02 AM,330,272.08,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00350000,2025-04-06 14:42:00,350,251.28,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00355000,5/20/2025 10:31 AM,355,242.99,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251017C00400000,6/17/2025 12:13 PM,400,205.87,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00405000,5/23/2025 3:45 PM,405,182.51,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00445000,2025-11-06 14:14:00,445,161.18,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00455000,5/30/2025 9:51 AM,455,138.61,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00460000,2025-11-06 13:30:00,460,150.18,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00465000,2025-11-06 13:30:00,465,145.91,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251017C00470000,5/27/2025 3:00 PM,470,129.98,0.00,0.00,0.00,0.00%,-,0,0.00%
SPY251017C00475000,6/17/2025 3:52 PM,475,130.56,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00480000,2025-06-06 13:21:00,480,126.09,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251017C00485000,2025-12-06 14:22:00,485,125.76,0.00,0.00,0.00,0.00%,46,0,0.00%
SPY251017C00490000,6/13/2025 3:46 PM,490,114.59,0.00,0.00,0.00,0.00%,26,0,0.00%
SPY251017C00495000,2025-04-06 15:48:00,495,111.45,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00500000,6/16/2025 3:58 PM,500,110.52,0.00,0.00,0.00,0.00%,11,0,0.00%
SPY251017C00505000,2025-11-06 11:55:00,505,107.13,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY251017C00510000,6/17/2025 2:11 PM,510,98.03,0.00,0.00,0.00,0.00%,515,0,0.00%
SPY251017C00515000,6/13/2025 10:12 AM,515,93.55,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00520000,6/16/2025 12:13 PM,520,93.51,0.00,0.00,0.00,0.00%,20,0,0.00%
SPY251017C00525000,6/13/2025 10:35 AM,525,84.50,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY251017C00530000,6/16/2025 12:13 PM,530,84.56,0.00,0.00,0.00,0.00%,21,0,0.00%
SPY251017C00535000,6/13/2025 1:35 PM,535,77.58,0.00,0.00,0.00,0.00%,419,0,0.00%
SPY251017C00540000,6/16/2025 11:56 AM,540,75.78,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00545000,6/16/2025 11:49 AM,545,71.82,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00550000,6/17/2025 1:58 PM,550,63.74,0.00,0.00,0.00,0.00%,11,0,0.00%
SPY251017C00555000,6/16/2025 3:39 PM,555,62.05,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00560000,6/17/2025 2:27 PM,560,54.73,0.00,0.00,0.00,0.00%,27,0,0.00%
SPY251017C00565000,6/17/2025 10:44 AM,565,52.94,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY251017C00570000,6/13/2025 4:08 PM,570,46.80,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017C00575000,6/17/2025 12:59 PM,575,44.45,0.00,0.00,0.00,0.00%,21,0,0.00%
SPY251017C00580000,6/17/2025 10:51 AM,580,41.50,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY251017C00585000,6/16/2025 12:10 PM,585,38.90,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY251017C00590000,6/17/2025 3:58 PM,590,32.44,0.00,0.00,0.00,0.00%,11,0,0.00%
SPY251017C00595000,6/17/2025 3:06 PM,595,28.88,0.00,0.00,0.00,0.00%,13,0,0.00%
SPY251017C00600000,6/17/2025 3:59 PM,600,25.43,0.00,0.00,0.00,0.00%,84,0,0.20%
SPY251017C00605000,6/17/2025 4:00 PM,605,22.40,0.00,0.00,0.00,0.00%,42,0,0.39%
SPY251017C00610000,6/17/2025 3:31 PM,610,19.60,0.00,0.00,0.00,0.00%,387,0,0.78%
SPY251017C00615000,6/17/2025 3:46 PM,615,16.75,0.00,0.00,0.00,0.00%,95,0,0.78%
SPY251017C00620000,6/17/2025 4:02 PM,620,14.29,0.00,0.00,0.00,0.00%,133,0,1.56%
SPY251017C00625000,6/17/2025 3:45 PM,625,11.88,0.00,0.00,0.00,0.00%,21,0,1.56%
SPY251017C00630000,6/17/2025 3:17 PM,630,9.85,0.00,0.00,0.00,0.00%,340,0,1.56%
SPY251017C00635000,6/17/2025 4:14 PM,635,8.03,0.00,0.00,0.00,0.00%,79,0,1.56%
SPY251017C00640000,6/17/2025 4:14 PM,640,6.53,0.00,0.00,0.00,0.00%,126,0,3.13%
SPY251017C00645000,6/17/2025 3:37 PM,645,5.30,0.00,0.00,0.00,0.00%,479,0,3.13%
SPY251017C00650000,6/17/2025 2:42 PM,650,4.08,0.00,0.00,0.00,0.00%,89,0,3.13%
SPY251017C00655000,6/17/2025 12:59 PM,655,3.43,0.00,0.00,0.00,0.00%,31,0,3.13%
SPY251017C00660000,6/17/2025 2:45 PM,660,2.54,0.00,0.00,0.00,0.00%,26,0,3.13%
SPY251017C00665000,6/17/2025 2:42 PM,665,1.94,0.00,0.00,0.00,0.00%,307,0,3.13%
SPY251017C00670000,6/17/2025 11:47 AM,670,1.67,0.00,0.00,0.00,0.00%,3,0,3.13%
SPY251017C00675000,6/17/2025 2:29 PM,675,1.14,0.00,0.00,0.00,0.00%,55,0,3.13%
SPY251017C00680000,6/17/2025 9:58 AM,680,0.96,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251017C00685000,6/17/2025 3:46 PM,685,0.66,0.00,0.00,0.00,0.00%,60,0,6.25%
SPY251017C00690000,6/16/2025 4:01 PM,690,0.59,0.00,0.00,0.00,0.00%,3,0,6.25%
SPY251017C00695000,2025-11-06 10:56:00,695,0.55,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251017C00700000,6/17/2025 2:54 PM,700,0.29,0.00,0.00,0.00,0.00%,19,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY251017P00325000,6/17/2025 3:09 PM,325,0.82,0.00,0.00,0.00,0.00%,261,0,25.00%
SPY251017P00330000,6/17/2025 10:31 AM,330,0.77,0.00,0.00,0.00,0.00%,1,0,25.00%
SPY251017P00335000,6/16/2025 11:04 AM,335,0.74,0.00,0.00,0.00,0.00%,20,0,25.00%
SPY251017P00340000,6/13/2025 3:14 PM,340,0.97,0.00,0.00,0.00,0.00%,3,0,25.00%
SPY251017P00345000,6/13/2025 3:42 PM,345,1.01,0.00,0.00,0.00,0.00%,16,0,12.50%
SPY251017P00350000,6/17/2025 2:56 PM,350,1.05,0.00,0.00,0.00,0.00%,3,0,12.50%
SPY251017P00355000,6/17/2025 3:59 PM,355,1.08,0.00,0.00,0.00,0.00%,5,0,12.50%
SPY251017P00360000,6/17/2025 12:55 PM,360,1.03,0.00,0.00,0.00,0.00%,10,0,12.50%
SPY251017P00365000,6/16/2025 9:38 AM,365,1.01,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00370000,6/17/2025 10:01 AM,370,1.12,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00375000,2025-11-06 09:31:00,375,0.92,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00380000,2025-11-06 15:51:00,380,1.10,0.00,0.00,0.00,0.00%,5,0,12.50%
SPY251017P00385000,6/17/2025 11:42 AM,385,1.27,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00390000,6/16/2025 11:59 AM,390,1.22,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00395000,6/13/2025 11:09 AM,395,1.45,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00400000,6/17/2025 3:58 PM,400,1.64,0.00,0.00,0.00,0.00%,50,0,12.50%
SPY251017P00405000,6/16/2025 3:46 PM,405,1.46,0.00,0.00,0.00,0.00%,3,0,12.50%
SPY251017P00410000,6/17/2025 1:30 PM,410,1.74,0.00,0.00,0.00,0.00%,27,0,12.50%
SPY251017P00415000,6/16/2025 9:31 AM,415,1.62,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00420000,6/17/2025 1:22 PM,420,1.86,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00425000,6/13/2025 1:44 PM,425,1.97,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00430000,6/16/2025 1:55 PM,430,1.86,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00435000,6/17/2025 10:55 AM,435,2.08,0.00,0.00,0.00,0.00%,3,0,12.50%
SPY251017P00440000,6/17/2025 3:03 PM,440,2.46,0.00,0.00,0.00,0.00%,8,0,12.50%
SPY251017P00445000,6/17/2025 12:54 PM,445,2.36,0.00,0.00,0.00,0.00%,1,0,12.50%
SPY251017P00450000,6/17/2025 3:12 PM,450,2.74,0.00,0.00,0.00,0.00%,71,0,12.50%
SPY251017P00455000,6/17/2025 1:49 PM,455,2.90,0.00,0.00,0.00,0.00%,2,0,12.50%
SPY251017P00460000,6/17/2025 4:13 PM,460,3.12,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251017P00465000,6/17/2025 2:24 PM,465,3.28,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251017P00470000,6/17/2025 3:23 PM,470,3.49,0.00,0.00,0.00,0.00%,7,0,6.25%
SPY251017P00475000,6/17/2025 12:41 PM,475,3.32,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251017P00480000,6/17/2025 3:51 PM,480,3.88,0.00,0.00,0.00,0.00%,47,0,6.25%
SPY251017P00485000,6/16/2025 12:09 PM,485,3.50,0.00,0.00,0.00,0.00%,214,0,6.25%
SPY251017P00490000,6/17/2025 10:18 AM,490,4.01,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY251017P00495000,6/16/2025 9:44 AM,495,4.21,0.00,0.00,0.00,0.00%,4,0,6.25%
SPY251017P00500000,6/17/2025 3:56 PM,500,5.15,0.00,0.00,0.00,0.00%,626,0,6.25%
SPY251017P00505000,6/17/2025 2:24 PM,505,5.64,0.00,0.00,0.00,0.00%,1,0,6.25%
SPY251017P00510000,6/17/2025 3:50 PM,510,5.86,0.00,0.00,0.00,0.00%,109,0,6.25%
SPY251017P00515000,6/17/2025 4:13 PM,515,6.56,0.00,0.00,0.00,0.00%,183,0,6.25%
SPY251017P00520000,6/17/2025 3:03 PM,520,7.00,0.00,0.00,0.00,0.00%,7,0,6.25%
SPY251017P00525000,6/17/2025 3:34 PM,525,7.44,0.00,0.00,0.00,0.00%,13,0,6.25%
SPY251017P00530000,6/17/2025 3:30 PM,530,7.98,0.00,0.00,0.00,0.00%,11,0,3.13%
SPY251017P00535000,6/17/2025 4:11 PM,535,8.71,0.00,0.00,0.00,0.00%,33,0,3.13%
SPY251017P00540000,6/17/2025 4:13 PM,540,9.44,0.00,0.00,0.00,0.00%,4.263,0,3.13%
SPY251017P00545000,6/17/2025 3:48 PM,545,9.83,0.00,0.00,0.00,0.00%,25,0,3.13%
SPY251017P00550000,6/17/2025 4:00 PM,550,10.77,0.00,0.00,0.00,0.00%,59,0,3.13%
SPY251017P00555000,6/17/2025 3:01 PM,555,11.65,0.00,0.00,0.00,0.00%,11,0,3.13%
SPY251017P00560000,6/17/2025 4:05 PM,560,12.57,0.00,0.00,0.00,0.00%,157,0,3.13%
SPY251017P00565000,6/17/2025 2:42 PM,565,13.75,0.00,0.00,0.00,0.00%,14,0,1.56%
SPY251017P00570000,6/17/2025 3:55 PM,570,14.41,0.00,0.00,0.00,0.00%,22,0,1.56%
SPY251017P00575000,6/17/2025 3:49 PM,575,15.31,0.00,0.00,0.00,0.00%,434,0,1.56%
SPY251017P00580000,6/17/2025 3:17 PM,580,16.77,0.00,0.00,0.00,0.00%,381,0,1.56%
SPY251017P00585000,6/17/2025 3:55 PM,585,18.01,0.00,0.00,0.00,0.00%,25,0,0.78%
SPY251017P00590000,6/17/2025 4:09 PM,590,19.61,0.00,0.00,0.00,0.00%,323,0,0.39%
SPY251017P00595000,6/17/2025 3:50 PM,595,20.80,0.00,0.00,0.00,0.00%,630,0,0.20%
SPY251017P00600000,6/17/2025 4:13 PM,600,23.12,0.00,0.00,0.00,0.00%,1.437,0,0.00%
SPY251017P00605000,6/17/2025 3:49 PM,605,24.36,0.00,0.00,0.00,0.00%,180,0,0.00%
SPY251017P00610000,6/17/2025 3:59 PM,610,26.82,0.00,0.00,0.00,0.00%,179,0,0.00%
SPY251017P00615000,6/17/2025 3:24 PM,615,28.79,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017P00620000,6/17/2025 1:46 PM,620,31.37,0.00,0.00,0.00,0.00%,18,0,0.00%
SPY251017P00625000,6/17/2025 3:51 PM,625,34.10,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY251017P00630000,6/17/2025 1:48 PM,630,37.40,0.00,0.00,0.00,0.00%,11,0,0.00%
SPY251017P00635000,6/16/2025 3:11 PM,635,37.95,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY251017P00640000,6/17/2025 11:23 AM,640,42.48,0.00,0.00,0.00,0.00%,16,0,0.00%
