Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY250919C00150000,6/17/2025 11:14 AM,150,451.74,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00155000,4/25/2025 10:34 AM,155,391.53,423.15,426.33,0.00,0.00%,79,83,0.00%
SPY250919C00160000,4/30/2025 4:00 PM,160,396.11,428.60,431.29,0.00,0.00%,10,11,0.00%
SPY250919C00165000,4/30/2025 4:00 PM,165,391.21,423.68,426.36,0.00,0.00%,168,237,0.00%
SPY250919C00170000,6/16/2025 10:34 AM,170,434.54,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00175000,2025-10-04 09:31:00,175,359.41,389.15,392.49,0.00,0.00%,-,1,0.00%
SPY250919C00180000,5/30/2025 10:49 AM,180,410.32,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00190000,2025-11-04 09:30:00,190,336.60,374.42,377.76,0.00,0.00%,-,1,0.00%
SPY250919C00195000,2025-11-04 09:30:00,195,331.76,369.52,372.86,0.00,0.00%,-,1,0.00%
SPY250919C00200000,2025-11-04 09:30:00,200,326.91,364.61,367.95,0.00,0.00%,1,9,0.00%
SPY250919C00205000,2025-11-04 09:30:00,205,322.07,359.71,363.05,0.00,0.00%,-,1,0.00%
SPY250919C00210000,6/17/2025 3:43 PM,210,388.74,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00215000,2025-09-04 09:30:00,215,283.05,349.90,353.24,0.00,0.00%,-,1,0.00%
SPY250919C00220000,2025-07-03 12:35:00,220,351.87,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00225000,2025-01-05 09:51:00,225,338.21,364.66,367.25,0.00,0.00%,79,79,0.00%
SPY250919C00230000,2024-06-12 11:13:00,230,383.48,356.70,359.16,0.00,0.00%,1,1,0.00%
SPY250919C00235000,2025-01-05 09:40:00,235,327.75,354.72,357.38,0.00,0.00%,79,79,0.00%
SPY250919C00240000,2025-09-04 09:30:00,240,259.02,325.40,328.74,0.00,0.00%,1,1,0.00%
SPY250919C00245000,6/13/2025 12:13 PM,245,357.85,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00250000,6/17/2025 11:41 AM,250,352.26,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY250919C00255000,2025-09-04 09:30:00,255,244.66,310.70,314.05,0.00,0.00%,-,1,0.00%
SPY250919C00260000,4/30/2025 12:43 PM,260,292.71,330.12,332.80,0.00,0.00%,-,79,0.00%
SPY250919C00265000,2025-09-04 15:47:00,265,281.00,300.92,304.26,0.00,0.00%,44,24,0.00%
SPY250919C00270000,2025-01-05 09:30:00,270,293.97,320.38,322.97,0.00,0.00%,79,79,0.00%
SPY250919C00275000,2025-04-04 10:19:00,275,249.40,291.87,295.23,0.00,0.00%,1,1,0.00%
SPY250919C00280000,4/14/2025 3:22 PM,280,267.54,0.00,0.00,0.00,0.00%,23,0,0.00%
SPY250919C00285000,4/23/2025 9:40 AM,285,261.68,295.35,298.61,0.00,0.00%,4,2,0.00%
SPY250919C00290000,2025-02-05 13:23:00,290,280.15,300.72,303.31,0.00,0.00%,2,2,0.00%
SPY250919C00295000,6/13/2025 12:16 PM,295,308.63,0.00,0.00,0.00,0.00%,99,0,0.00%
SPY250919C00300000,6/17/2025 2:30 PM,300,299.52,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00305000,2025-07-05 11:40:00,305,258.53,295.69,298.29,0.00,0.00%,3,21,84.28%
SPY250919C00310000,2025-05-05 09:32:00,310,257.06,0.00,0.00,0.00,0.00%,2,10,0.00%
SPY250919C00315000,4/22/2025 3:21 PM,315,216.08,0.00,0.00,0.00,0.00%,17,0,0.00%
SPY250919C00320000,5/14/2025 11:42 AM,320,272.02,278.50,281.63,0.00,0.00%,1,24,70.50%
SPY250919C00325000,4/15/2025 1:18 PM,325,220.38,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY250919C00330000,4/23/2025 9:47 AM,330,219.81,251.25,254.57,0.00,0.00%,15,41,0.00%
SPY250919C00335000,2025-07-04 13:10:00,335,172.04,232.57,235.88,0.00,0.00%,7,22,0.00%
SPY250919C00340000,5/28/2025 2:15 PM,340,254.09,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00345000,4/21/2025 11:54 AM,345,174.37,249.78,252.61,0.00,0.00%,2,31,38.87%
SPY250919C00350000,6/16/2025 10:23 AM,350,256.57,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00355000,5/28/2025 11:20 AM,355,238.90,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00360000,6/17/2025 11:35 AM,360,243.69,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00365000,6/13/2025 12:21 PM,365,239.04,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250919C00370000,2025-03-06 13:06:00,370,230.47,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00375000,2025-10-06 12:43:00,375,230.35,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY250919C00380000,2025-11-06 11:24:00,380,227.95,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00385000,5/23/2025 9:35 AM,385,197.81,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00390000,2025-08-04 10:33:00,390,145.15,179.15,182.47,0.00,0.00%,113,112,0.00%
SPY250919C00395000,4/22/2025 3:28 PM,395,140.11,188.32,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00400000,6/17/2025 1:35 PM,400,203.17,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00405000,2025-12-05 09:48:00,405,180.01,201.04,203.64,0.00,0.00%,5,129,65.78%
SPY250919C00410000,6/17/2025 1:35 PM,410,193.37,0.00,0.00,0.00,0.00%,6,0,0.00%
SPY250919C00415000,2025-02-05 09:36:00,415,157.74,178.29,180.97,0.00,0.00%,42,142,0.00%
SPY250919C00420000,6/13/2025 2:55 PM,420,181.82,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00425000,5/16/2025 1:18 PM,425,174.62,175.42,178.95,0.00,0.00%,3,32,52.62%
SPY250919C00430000,6/17/2025 2:02 PM,430,172.30,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00435000,2025-11-06 15:03:00,435,170.38,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00440000,5/30/2025 9:57 AM,440,153.94,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00445000,2025-09-06 13:50:00,445,161.10,0.00,0.00,0.00,0.00%,76,0,0.00%
SPY250919C00450000,6/17/2025 11:39 AM,450,155.88,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY250919C00455000,6/13/2025 11:18 AM,455,150.03,0.00,0.00,0.00,0.00%,2,0,0.00%
SPY250919C00460000,6/17/2025 3:12 PM,460,143.54,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00465000,6/13/2025 9:54 AM,465,139.56,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250919C00470000,6/13/2025 10:17 AM,470,134.02,0.00,0.00,0.00,0.00%,3,0,0.00%
SPY250919C00475000,2025-11-06 16:07:00,475,132.38,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY250919C00480000,6/16/2025 10:24 AM,480,129.86,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00485000,6/17/2025 3:58 PM,485,119.30,0.00,0.00,0.00,0.00%,33,0,0.00%
SPY250919C00490000,6/17/2025 1:32 PM,490,116.09,0.00,0.00,0.00,0.00%,15,0,0.00%
SPY250919C00495000,6/17/2025 2:09 PM,495,109.99,0.00,0.00,0.00,0.00%,23,0,0.00%
SPY250919C00500000,6/17/2025 3:01 PM,500,105.80,0.00,0.00,0.00,0.00%,64,0,0.00%
SPY250919C00505000,6/17/2025 11:31 AM,505,102.90,0.00,0.00,0.00,0.00%,23,0,0.00%
SPY250919C00510000,6/17/2025 2:11 PM,510,96.41,0.00,0.00,0.00,0.00%,16,0,0.00%
SPY250919C00515000,6/17/2025 2:09 PM,515,91.49,90.07,92.84,-3.72,-3.91%,25,2.947,34.02%
SPY250919C00520000,6/17/2025 12:09 PM,520,89.51,0.00,0.00,0.00,0.00%,1,0,0.00%
SPY250919C00525000,6/16/2025 3:39 PM,525,85.77,0.00,0.00,0.00,0.00%,39,0,0.00%
SPY250919C00530000,6/13/2025 4:04 PM,530,77.50,0.00,0.00,0.00,0.00%,5,0,0.00%
SPY250919C00535000,6/16/2025 1:04 PM,535,77.49,0.00,0.00,0.00,0.00%,4,0,0.00%
SPY250919C00540000,6/16/2025 1:55 PM,540,72.97,0.00,0.00,0.00,0.00%,20,0,0.00%
SPY250919C00545000,6/17/2025 4:08 PM,545,64.80,0.00,0.00,0.00,0.00%,8,0,0.00%
SPY250919C00550000,6/17/2025 3:45 PM,550,60.73,0.00,0.00,0.00,0.00%,18,0,0.00%
SPY250919C00555000,6/17/2025 3:50 PM,555,57.37,0.00,0.00,0.00,0.00%,12,0,0.00%
SPY250919C00560000,6/17/2025 2:51 PM,560,51.95,0.00,0.00,0.00,0.00%,10,0,0.00%
SPY250919C00565000,6/17/2025 4:13 PM,565,47.80,0.00,0.00,0.00,0.00%,20,0,0.00%
SPY250919C00570000,6/17/2025 3:41 PM,570,43.89,0.00,0.00,0.00,0.00%,360,0,0.00%
SPY250919C00575000,6/17/2025 3:54 PM,575,39.96,0.00,0.00,0.00,0.00%,140,0,0.00%
SPY250919C00580000,6/17/2025 3:57 PM,580,35.99,0.00,0.00,0.00,0.00%,61,0,0.00%
SPY250919C00585000,6/17/2025 3:57 PM,585,32.27,0.00,0.00,0.00,0.00%,255,0,0.00%
SPY250919C00590000,6/17/2025 4:00 PM,590,28.83,0.00,0.00,0.00,0.00%,506,0,0.00%
SPY250919C00595000,6/17/2025 3:54 PM,595,25.18,0.00,0.00,0.00,0.00%,119,0,0.00%
SPY250919C00600000,6/17/2025 4:02 PM,600,22.07,0.00,0.00,0.00,0.00%,1.188,0,0.20%
SPY250919C00605000,6/17/2025 4:14 PM,605,18.77,0.00,0.00,0.00,0.00%,1.814,0,0.78%
SPY250919C00610000,6/17/2025 4:12 PM,610,15.92,0.00,0.00,0.00,0.00%,1.983,0,0.78%
SPY250919C00615000,6/17/2025 4:08 PM,615,13.33,0.00,0.00,0.00,0.00%,543,0,1.56%
SPY250919C00620000,6/17/2025 4:07 PM,620,10.93,0.00,0.00,0.00,0.00%,1.789,0,1.56%
SPY250919C00625000,6/17/2025 4:10 PM,625,8.88,0.00,0.00,0.00,0.00%,376,0,1.56%
SPY250919C00630000,6/17/2025 4:02 PM,630,7.14,0.00,0.00,0.00,0.00%,283,0,1.56%
SPY250919C00635000,6/17/2025 3:59 PM,635,5.51,0.00,0.00,0.00,0.00%,270,0,3.13%
SPY250919C00640000,6/17/2025 4:14 PM,640,4.34,0.00,0.00,0.00,0.00%,1.126,0,3.13%
SPY250919C00645000,6/17/2025 4:14 PM,645,3.32,0.00,0.00,0.00,0.00%,406,0,3.13%
SPY250919C00650000,6/17/2025 4:00 PM,650,2.55,0.00,0.00,0.00,0.00%,986,0,3.13%
SPY250919C00655000,6/17/2025 3:57 PM,655,1.86,0.00,0.00,0.00,0.00%,168,0,3.13%
SPY250919C00660000,6/17/2025 3:59 PM,660,1.41,0.00,0.00,0.00,0.00%,128,0,3.13%
SPY250919C00665000,6/17/2025 4:04 PM,665,1.03,0.00,0.00,0.00,0.00%,38,0,3.13%
SPY250919C00670000,6/17/2025 4:14 PM,670,0.75,0.00,0.00,0.00,0.00%,106,0,6.25%
SPY250919C00675000,6/17/2025 4:00 PM,675,0.56,0.00,0.00,0.00,0.00%,10,0,6.25%
SPY250919C00680000,6/17/2025 2:00 PM,680,0.40,0.00,0.00,0.00,0.00%,119,0,6.25%
SPY250919C00685000,6/17/2025 2:00 PM,685,0.29,0.00,0.00,0.00,0.00%,97,0,6.25%
SPY250919C00690000,6/17/2025 2:30 PM,690,0.21,0.00,0.00,0.00,0.00%,59,0,6.25%
SPY250919C00695000,6/17/2025 3:58 PM,695,0.15,0.00,0.00,0.00,0.00%,4,0,6.25%
SPY250919C00700000,6/17/2025 3:59 PM,700,0.13,0.00,0.00,0.00,0.00%,116,0,6.25%
SPY250919C00705000,6/17/2025 10:22 AM,705,0.09,0.00,0.00,0.00,0.00%,48,0,6.25%
SPY250919C00710000,6/16/2025 3:31 PM,710,0.08,0.00,0.00,0.00,0.00%,51,0,6.25%
SPY250919C00715000,6/16/2025 3:56 PM,715,0.07,0.00,0.00,0.00,0.00%,2,0,6.25%
SPY250919C00720000,6/16/2025 12:44 PM,720,0.06,0.00,0.00,0.00,0.00%,257,0,6.25%
SPY250919C00725000,6/16/2025 3:15 PM,725,0.05,0.00,0.00,0.00,0.00%,26,0,6.25%
SPY250919C00730000,6/13/2025 4:04 PM,730,0.04,0.00,0.00,0.00,0.00%,104,0,6.25%
SPY250919C00735000,6/13/2025 2:47 PM,735,0.04,0.00,0.00,0.00,0.00%,4,0,6.25%
SPY250919C00740000,6/17/2025 10:57 AM,740,0.03,0.00,0.00,0.00,0.00%,78,0,6.25%
SPY250919C00745000,6/17/2025 10:14 AM,745,0.03,0.00,0.00,0.00,0.00%,3,0,6.25%
SPY250919C00750000,6/17/2025 12:22 PM,750,0.03,0.00,0.00,0.00,0.00%,3,0,6.25%
SPY250919C00755000,2025-06-06 13:55:00,755,0.03,0.00,0.00,0.00,0.00%,51,0,6.25%
SPY250919C00760000,6/17/2025 3:52 PM,760,0.01,0.00,0.00,0.00,0.00%,1,0,12.50%
