Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA250801C00180000,6/16/2025 10:48 AM,180,152.44,0.00,0.00,0.00,0.00%,2.677,0,0.00%
TSLA250801C00220000,6/17/2025 10:56 AM,220,107.22,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA250801C00250000,6/17/2025 1:50 PM,250,74.52,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA250801C00260000,6/13/2025 11:20 AM,260,68.75,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801C00265000,6/17/2025 2:56 PM,265,62.65,0.00,0.00,0.00,0.00%,20,0,0.00%
TSLA250801C00270000,6/17/2025 2:48 PM,270,58.25,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA250801C00275000,6/17/2025 3:59 PM,275,55.00,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA250801C00280000,6/17/2025 2:59 PM,280,52.20,0.00,0.00,0.00,0.00%,17,0,0.00%
TSLA250801C00285000,6/13/2025 3:11 PM,285,57.95,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801C00290000,6/17/2025 11:32 AM,290,47.70,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA250801C00295000,6/17/2025 3:24 PM,295,42.30,0.00,0.00,0.00,0.00%,8,0,0.00%
TSLA250801C00300000,6/17/2025 1:51 PM,300,39.30,0.00,0.00,0.00,0.00%,29,0,0.00%
TSLA250801C00305000,6/17/2025 2:43 PM,305,36.30,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA250801C00310000,6/17/2025 3:35 PM,310,34.35,0.00,0.00,0.00,0.00%,23,0,0.00%
TSLA250801C00315000,6/17/2025 3:46 PM,315,32.30,0.00,0.00,0.00,0.00%,106,0,0.00%
TSLA250801C00320000,6/17/2025 3:51 PM,320,29.75,0.00,0.00,0.00,0.00%,383,0,0.78%
TSLA250801C00325000,6/17/2025 3:57 PM,325,27.04,0.00,0.00,0.00,0.00%,670,0,1.56%
TSLA250801C00330000,6/17/2025 3:54 PM,330,24.94,0.00,0.00,0.00,0.00%,152,0,3.13%
TSLA250801C00335000,6/17/2025 3:29 PM,335,23.15,0.00,0.00,0.00,0.00%,41,0,3.13%
TSLA250801C00340000,6/17/2025 3:59 PM,340,21.05,0.00,0.00,0.00,0.00%,60,0,6.25%
TSLA250801C00345000,6/17/2025 3:59 PM,345,19.47,0.00,0.00,0.00,0.00%,27,0,6.25%
TSLA250801C00350000,6/17/2025 3:59 PM,350,17.98,0.00,0.00,0.00,0.00%,117,0,6.25%
TSLA250801C00355000,6/17/2025 12:44 PM,355,17.71,0.00,0.00,0.00,0.00%,10,0,6.25%
TSLA250801C00360000,6/17/2025 3:59 PM,360,15.32,0.00,0.00,0.00,0.00%,116,0,6.25%
TSLA250801C00365000,6/17/2025 3:58 PM,365,14.20,0.00,0.00,0.00,0.00%,170,0,6.25%
TSLA250801C00370000,6/17/2025 3:38 PM,370,13.60,0.00,0.00,0.00,0.00%,22,0,12.50%
TSLA250801C00375000,6/17/2025 3:59 PM,375,12.05,0.00,0.00,0.00,0.00%,58,0,12.50%
TSLA250801C00380000,6/17/2025 11:40 AM,380,11.82,0.00,0.00,0.00,0.00%,170,0,12.50%
TSLA250801C00385000,6/17/2025 3:48 PM,385,10.74,0.00,0.00,0.00,0.00%,24,0,12.50%
TSLA250801C00390000,6/17/2025 3:57 PM,390,9.68,0.00,0.00,0.00,0.00%,28,0,12.50%
TSLA250801C00395000,6/17/2025 2:30 PM,395,8.93,0.00,0.00,0.00,0.00%,75,0,12.50%
TSLA250801C00400000,6/17/2025 3:59 PM,400,8.15,0.00,0.00,0.00,0.00%,216,0,12.50%
TSLA250801C00405000,6/17/2025 3:33 PM,405,7.85,0.00,0.00,0.00,0.00%,7,0,12.50%
TSLA250801C00410000,6/17/2025 3:40 PM,410,7.30,0.00,0.00,0.00,0.00%,9,0,12.50%
TSLA250801C00415000,6/17/2025 3:59 PM,415,6.45,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA250801C00420000,6/17/2025 3:29 PM,420,6.30,0.00,0.00,0.00,0.00%,32,0,12.50%
TSLA250801C00425000,6/17/2025 3:33 PM,425,5.90,0.00,0.00,0.00,0.00%,10,0,12.50%
TSLA250801C00430000,6/17/2025 2:12 PM,430,5.25,0.00,0.00,0.00,0.00%,23,0,12.50%
TSLA250801C00435000,6/17/2025 9:50 AM,435,5.89,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA250801C00440000,6/17/2025 3:07 PM,440,4.74,0.00,0.00,0.00,0.00%,31,0,25.00%
TSLA250801C00445000,6/17/2025 2:08 PM,445,4.45,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA250801C00450000,6/17/2025 3:59 PM,450,4.05,0.00,0.00,0.00,0.00%,42,0,25.00%
TSLA250801C00455000,6/17/2025 3:45 PM,455,4.05,0.00,0.00,0.00,0.00%,6,0,25.00%
TSLA250801C00460000,6/17/2025 2:19 PM,460,3.60,0.00,0.00,0.00,0.00%,20,0,25.00%
TSLA250801C00465000,6/17/2025 2:44 PM,465,3.41,0.00,0.00,0.00,0.00%,17,0,25.00%
TSLA250801C00470000,6/17/2025 12:54 PM,470,3.46,0.00,0.00,0.00,0.00%,6,0,25.00%
TSLA250801C00480000,6/17/2025 1:09 PM,480,2.98,0.00,0.00,0.00,0.00%,26,0,25.00%
TSLA250801C00490000,6/17/2025 1:01 PM,490,2.67,0.00,0.00,0.00,0.00%,16,0,25.00%
TSLA250801C00500000,6/17/2025 3:54 PM,500,2.28,0.00,0.00,0.00,0.00%,79,0,25.00%
TSLA250801C00510000,6/17/2025 2:04 PM,510,2.09,0.00,0.00,0.00,0.00%,25,0,25.00%
TSLA250801C00520000,6/17/2025 2:34 PM,520,1.88,0.00,0.00,0.00,0.00%,29,0,25.00%
TSLA250801C00530000,6/17/2025 1:50 PM,530,1.73,0.00,0.00,0.00,0.00%,22,0,25.00%
TSLA250801C00540000,6/17/2025 3:53 PM,540,1.54,0.00,0.00,0.00,0.00%,16,0,25.00%
TSLA250801C00550000,6/17/2025 3:54 PM,550,1.38,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA250801C00560000,6/17/2025 1:50 PM,560,1.28,0.00,0.00,0.00,0.00%,22,0,25.00%
TSLA250801C00570000,6/17/2025 2:24 PM,570,1.14,0.00,0.00,0.00,0.00%,31,0,25.00%
TSLA250801C00580000,6/17/2025 2:14 PM,580,1.05,0.00,0.00,0.00,0.00%,32,0,25.00%
TSLA250801C00590000,6/17/2025 2:34 PM,590,0.95,0.00,0.00,0.00,0.00%,34,0,25.00%
TSLA250801C00600000,6/17/2025 2:00 PM,600,0.88,0.00,0.00,0.00,0.00%,25,0,25.00%
TSLA250801C00610000,6/17/2025 3:51 PM,610,0.80,0.00,0.00,0.00,0.00%,24,0,25.00%
TSLA250801C00620000,6/16/2025 11:15 AM,620,1.18,0.00,0.00,0.00,0.00%,20,0,25.00%
TSLA250801C00630000,6/17/2025 3:32 PM,630,0.68,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250801C00640000,6/17/2025 1:06 PM,640,0.64,0.00,0.00,0.00,0.00%,21,0,50.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA250801P00050000,6/17/2025 12:05 PM,50,0.01,0.00,0.00,0.00,0.00%,720,0,50.00%
TSLA250801P00090000,6/16/2025 11:03 AM,90,0.14,0.00,0.00,0.00,0.00%,87,0,50.00%
TSLA250801P00100000,6/17/2025 2:12 PM,100,0.20,0.00,0.00,0.00,0.00%,3,0,50.00%
TSLA250801P00135000,6/17/2025 3:44 PM,135,0.39,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250801P00150000,6/17/2025 3:53 PM,150,0.55,0.00,0.00,0.00,0.00%,15,0,50.00%
TSLA250801P00155000,6/17/2025 9:48 AM,155,0.55,0.00,0.00,0.00,0.00%,10,0,50.00%
TSLA250801P00160000,6/17/2025 2:45 PM,160,0.72,0.00,0.00,0.00,0.00%,28,0,50.00%
TSLA250801P00165000,6/16/2025 1:55 PM,165,0.62,0.00,0.00,0.00,0.00%,-,0,25.00%
TSLA250801P00170000,6/17/2025 11:49 AM,170,0.77,0.00,0.00,0.00,0.00%,22,0,25.00%
TSLA250801P00175000,6/17/2025 3:46 PM,175,0.94,0.00,0.00,0.00,0.00%,31,0,25.00%
TSLA250801P00180000,6/17/2025 1:48 PM,180,1.03,0.00,0.00,0.00,0.00%,13,0,25.00%
TSLA250801P00185000,6/17/2025 11:39 AM,185,1.06,0.00,0.00,0.00,0.00%,9,0,25.00%
TSLA250801P00190000,6/17/2025 3:36 PM,190,1.30,0.00,0.00,0.00,0.00%,16,0,25.00%
TSLA250801P00200000,6/17/2025 2:49 PM,200,1.77,0.00,0.00,0.00,0.00%,20,0,25.00%
TSLA250801P00205000,6/17/2025 3:56 PM,205,1.89,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA250801P00210000,6/17/2025 3:50 PM,210,2.12,0.00,0.00,0.00,0.00%,6,0,25.00%
TSLA250801P00215000,6/17/2025 3:54 PM,215,2.45,0.00,0.00,0.00,0.00%,103,0,25.00%
TSLA250801P00220000,6/17/2025 3:57 PM,220,2.74,0.00,0.00,0.00,0.00%,26,0,25.00%
TSLA250801P00225000,6/17/2025 3:37 PM,225,3.08,0.00,0.00,0.00,0.00%,23,0,25.00%
TSLA250801P00230000,6/17/2025 2:18 PM,230,3.90,0.00,0.00,0.00,0.00%,19,0,25.00%
TSLA250801P00235000,6/17/2025 3:44 PM,235,4.09,0.00,0.00,0.00,0.00%,30,0,12.50%
TSLA250801P00240000,6/17/2025 3:54 PM,240,4.72,0.00,0.00,0.00,0.00%,24,0,12.50%
TSLA250801P00245000,6/17/2025 2:41 PM,245,5.64,0.00,0.00,0.00,0.00%,23,0,12.50%
TSLA250801P00250000,6/17/2025 3:57 PM,250,6.17,0.00,0.00,0.00,0.00%,166,0,12.50%
TSLA250801P00255000,6/17/2025 3:57 PM,255,7.02,0.00,0.00,0.00,0.00%,92,0,12.50%
TSLA250801P00260000,6/17/2025 3:48 PM,260,7.82,0.00,0.00,0.00,0.00%,540,0,12.50%
TSLA250801P00265000,6/17/2025 3:58 PM,265,9.12,0.00,0.00,0.00,0.00%,174,0,12.50%
TSLA250801P00270000,6/17/2025 3:57 PM,270,10.29,0.00,0.00,0.00,0.00%,387,0,12.50%
TSLA250801P00275000,6/17/2025 3:58 PM,275,11.68,0.00,0.00,0.00,0.00%,85,0,6.25%
TSLA250801P00280000,6/17/2025 3:54 PM,280,13.17,0.00,0.00,0.00,0.00%,103,0,6.25%
TSLA250801P00285000,6/17/2025 3:57 PM,285,14.77,0.00,0.00,0.00,0.00%,196,0,6.25%
TSLA250801P00290000,6/17/2025 3:37 PM,290,16.23,0.00,0.00,0.00,0.00%,47,0,6.25%
TSLA250801P00295000,6/17/2025 3:47 PM,295,18.06,0.00,0.00,0.00,0.00%,28,0,3.13%
TSLA250801P00300000,6/17/2025 3:58 PM,300,20.63,0.00,0.00,0.00,0.00%,149,0,3.13%
TSLA250801P00305000,6/17/2025 3:49 PM,305,22.40,0.00,0.00,0.00,0.00%,96,0,3.13%
TSLA250801P00310000,6/17/2025 3:49 PM,310,24.73,0.00,0.00,0.00,0.00%,223,0,1.56%
TSLA250801P00315000,6/17/2025 3:54 PM,315,27.90,0.00,0.00,0.00,0.00%,56,0,0.39%
TSLA250801P00320000,6/17/2025 2:52 PM,320,31.04,0.00,0.00,0.00,0.00%,505,0,0.00%
TSLA250801P00325000,6/17/2025 2:13 PM,325,34.18,0.00,0.00,0.00,0.00%,97,0,0.00%
TSLA250801P00330000,6/17/2025 3:43 PM,330,35.87,0.00,0.00,0.00,0.00%,43,0,0.00%
TSLA250801P00335000,6/17/2025 11:47 AM,335,38.05,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA250801P00340000,6/17/2025 1:58 PM,340,42.25,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA250801P00345000,6/17/2025 2:42 PM,345,46.72,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA250801P00350000,6/17/2025 1:15 PM,350,48.15,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA250801P00355000,6/16/2025 9:34 AM,355,47.15,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA250801P00360000,6/13/2025 12:52 PM,360,51.10,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801P00370000,6/17/2025 2:42 PM,370,65.34,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250801P00380000,6/13/2025 3:48 PM,380,67.80,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801P00400000,2025-12-06 09:58:00,400,83.30,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801P00460000,6/13/2025 1:50 PM,460,133.00,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250801P00490000,6/13/2025 3:06 PM,490,165.65,0.00,0.00,0.00,0.00%,-,0,0.00%
